Orthogroup	Panther_annotation
OG0001122	 VITELLOGENIN RECEPTOR-LIKE PROTEIN-RELATED-RELATED
OG0001462	 MSTPROX-RELATED
OG0006604	 NO HIT
OG0008753	 HEART DEVELOPMENT PROTEIN WITH EGF-LIKE DOMAINS 1
OG0008756	 SUBFAMILY NOT NAMED
OG0009650	 CYTOGLOBIN-1
OG0010253	 NO HIT
OG0010533	 OCTOPAMINE RECEPTOR BETA-2R
OG0010534	 RT07201P-RELATED
OG0011127	 OLFACTORY RECEPTOR AND ADENOSINE RECEPTOR
OG0011131	 ATP-BINDING CASSETTE SUB-FAMILY B (MDR/TAP) MEMBER 5
OG0011783	 GDSL LIPASE/ACYLHYDROLASE PUTATIVE (AFU_ORTHOLOGUE AFUA_2G00510)-RELATED
OG0012142	 ANTITHROMBIN-III
OG0012566	 TUDOR DOMAIN CONTAINING PROTEIN
OG0013077	 NO HIT
OG0013095	 HEPATOCYTE GROWTH FACTOR ACTIVATOR
OG0013099	 PROTEIN CBG12054
OG0013100	 NO HIT
OG0013703	 TRACE AMINE-ASSOCIATED RECEPTOR 19N-RELATED
OG0013710	 5-HYDROXYTRYPTAMINE RECEPTOR
OG0013728	 CELLULOSE SYNTHASE-LIKE PROTEIN D2
OG0013784	 NO HIT
OG0014434	 CROSSVEINLESS 2
OG0014439	 SUBFAMILY NOT NAMED
OG0014453	 PROTEIN CBG12054-RELATED
OG0015340	 NO HIT
OG0015343	 FI21236P1
OG0015365	 SUBFAMILY NOT NAMED
OG0015392	 SUBFAMILY NOT NAMED
OG0015397	 SOLUTE CARRIER FAMILY 43 MEMBER 3
OG0015399	 FUKUTIN RELATED PROTEIN
OG0015406	 NO HIT
OG0016449	 SIGNALING LYMPHOCYTIC ACTIVATION MOLECULE
OG0016459	 TETRASPANIN
OG0016463	 KELCH PROTEIN
OG0016469	 NO HIT
OG0016471	 TRACE AMINE-ASSOCIATED RECEPTOR 19N-RELATED
OG0016521	 NO HIT
OG0016523	 BETA-1 4-N-ACETYLGALACTOSAMINYLTRANSFERASE BRE-4
OG0017931	 TENASCIN
OG0017933	 RHOMBOID PROTEIN 2
OG0017951	 NO HIT
OG0017960	 NO HIT
OG0017976	 FAT ATYPICAL CADHERIN-RELATED
OG0017977	 SUBFAMILY NOT NAMED
OG0017989	 OVOCHYMASE 1
OG0017990	 VARIANT-SPECIFIC SURFACE PROTEIN
OG0017994	 PROMININ PROM PROTEIN
OG0018001	 BTB/POZ DOMAIN-CONTAINING
OG0018026	 NO HIT
OG0018028	 NO HIT
OG0018199	 UNCHARACTERIZED
OG0019943	 NO HIT
OG0019964	 NEURONAL CALCIUM SENSOR 2
OG0019966	 NO HIT
OG0019981	 SPERMATOGENESIS-ASSOCIATED PROTEIN 48
OG0019982	 PROTOPORPHYRINOGEN OXIDASE
OG0019985	 LY6/PLAUR DOMAIN-CONTAINING PROTEIN 8
OG0019991	 NO HIT
OG0019996	 TRANSMEMBRANE CHANNEL-LIKE PROTEIN 7
OG0020006	 NO HIT
OG0020012	 NO HIT
OG0020024	 IP08657P-RELATED
OG0020045	 NO HIT
OG0020050	 SUBFAMILY NOT NAMED
OG0020058	 BIG BANG ISOFORM C
OG0020081	 NO HIT
OG0020122	 HEXOSYLTRANSFERASE
OG0020124	 UNCHARACTERIZED
OG0020127	 SH3 DOMAIN-CONTAINING
OG0020128	 NO HIT
OG0020130	 SUBFAMILY NOT NAMED
OG0020135	 LOCATION OF VULVA DEFECTIVE 1
OG0020138	 SI:CH1073-291C23.2
OG0020143	 NO HIT
OG0020428	 SUBFAMILY NOT NAMED
OG0022730	 NO HIT
OG0022747	 COLLAGEN ALPHA-6(VI) CHAIN
OG0022770	 NO HIT
OG0022788	 NO HIT
OG0022792	 PROLOW-DENSITY LIPOPROTEIN RECEPTOR-RELATED PROTEIN 1
OG0022804	 TRANSMEMBRANE PROTEIN
OG0022805	 FOS TRANSCRIPTION FACTOR-RELATED
