target_id	crown_1	opistosoma_1	trophosome_1	crown_2	opistosoma_2	trophosome_2
OALVG00000000001.1	0.00686227	0	3.24851	0	1.24417	0.634789
OALVG00000000002.1	0.0158225	0	28.4786	0.0435002	0	0.0826159
OALVG00000000003.1	0	0	0.613468	0	0	0
OALVG00000000004.1	5.16569	0.633503	0.46416	6.22805	1.60026	0
OALVG00000000005.1	10.0825	8.96464	17.8557	21.6458	18.2575	11.318
OALVG00000000006.1	0.0808494	0	0.0819671	0.0634814	0.031423	0
OALVG00000000007.1	0	0	0	0	0	0
OALVG00000000008.1	0	0	0.487442	0	0	0
OALVG00000000009.1	0.107281	0.130695	0	0.0842658	0.375788	0.0200034
OALVG00000000010.1	0	0	0.166831	0	0	0
OALVG00000000011.1	0	0	0	0	0	0
OALVG00000000012.1	11.2462	38.3936	79.0666	9.70684	95.9071	90.9484
OALVG00000000013.1	0.452695	2.31799	1.87665	0.453661	1.69766	3.02554
OALVG00000000014.1	0.00375853	0.189541	19.6115	0.495669	0	0.70321
OALVG00000000014.2	1.86139	3.20889	0.642158	3.18447	7.5505	0.887786
OALVG00000000014.3	4.7083	0.00542805	0.00186814	9.70742	0	1.30495
OALVG00000000014.4	0.98453	1.28476	4.12595	3.56529	2.08849	3.63069
OALVG00000000014.5	0.512437	9.00717e-11	1.44335	2.73377e-09	0	0.478379
OALVG00000000014.6	1.81481	5.37078	0.590452	2.42353	7.80479	4.81325
OALVG00000000014.7	5.87103	17.8985	1.00485	15.7157	17.5039	16.2252
OALVG00000000014.8	3.26484	1.79749	0.154638	6.21594	0.75827	16.0501
OALVG00000000015.1	0.0399481	0.0436266	2.67245	0	0.0477011	0.0667591
OALVG00000000016.1	0.0579761	0.0436266	0	0.144544	0	0
OALVG00000000017.1	0	0	3.66529	0	0	0.148949
OALVG00000000018.1	0	0	0	0	0.0420863	0
OALVG00000000019.1	0	0	0.0249656	0	0	0
OALVG00000000020.1	0.0657096	0	0.0083483	0	0	0.0263234
OALVG00000000021.1	0	0	0.0317392	0.144544	0	0
OALVG00000000022.1	0	0	0.266511	0	0	0.0263234
OALVG00000000023.1	0.0233763	0	0.529683	0.032121	0.0212005	0.0393561
OALVG00000000024.1	0	0.0124647	5.96214	0	0.0424009	0
OALVG00000000025.1	2.4508	2.55536	4.9126	5.72092	3.99038	3.13146
OALVG00000000026.1	3.1545	3.20513	3.11339	10.0045	2.82985	4.91326
OALVG00000000027.1	21.9432	23.8207	35.5272	35.4324	24.1441	21.0738
OALVG00000000028.1	0.136355	0.146063	0.148463	0.186768	0.0448944	0.0525166
OALVG00000000029.1	0.162596	1.632	0.208492	0.0807564	0.823643	0.0339386
OALVG00000000030.1	0.270179	0.111575	1.72378	0.478894	0.0710603	0.397511
OALVG00000000031.1	0.233439	0	0.0504648	0.966338	0	0.0769119
OALVG00000000032.1	10.3099	9.95507	4.6006	34.1644	21.9849	13.3952
OALVG00000000033.1	0.134693	6.43993	5.24658	2.25981	2.8856	5.25086
OALVG00000000034.1	0.537918	0.343752	3.9799	1.59221	1.33094	0.450096
OALVG00000000035.1	1.08968	1.74391	2.51318	3.4338	1.50215	1.2423
OALVG00000000036.1	1.0067	1.04259	2.98498	4.19398	1.86092	1.88729
OALVG00000000037.1	0	0	3.74926	0	0	0
OALVG00000000037.2	0.0319562	0.169975	2.0069	0	0.131367	0.0418703
OALVG00000000038.1	0.414425	0	3.74498	0.908033	0.232753	0.436646
OALVG00000000039.1	7.86269	0.0874711	5.43825	2.72196	0.786419	0.581469
OALVG00000000040.1	0.135106	0.0480082	0.102566	1.0317	0.531619	0.156735
OALVG00000000041.1	0.914014	0	0	7.03429	2.69072	2.91346
OALVG00000000042.1	0.995701	4.93936	2.65455	0.947743	4.57353	11.064
OALVG00000000043.1	0.298676	0.011377	0.164017	0.885644	0	0.027824
OALVG00000000044.1	0	0	0	0	0	0
OALVG00000000045.1	0.723513	0	0.216242	6.21421	0	0
OALVG00000000046.1	0.562974	0	0.0480675	2.66944	0	0.0734573
OALVG00000000047.1	0.689819	0.0253297	7.00579	3.40322	0.032501	0
OALVG00000000048.1	0.0332245	0.0353387	0	0.366034	0.0910956	0
OALVG00000000049.1	0.188651	0.0334498	0.107917	0	0.21538	0.0411913
OALVG00000000050.1	0.53704	0	0	0	0.857674	0
OALVG00000000051.1	1.26309	0	0	0	0	0
OALVG00000000052.1	0.0427453	0	0	0.029365	0	0.0139323
OALVG00000000053.1	0.493419	0	0.783182	1.56882	0	0
OALVG00000000054.1	0.264297	0.175701	0.0567221	2.91171	0.22644	0.56287
OALVG00000000055.1	1.80147	0.703643	0	1.51942	0.7066	0
OALVG00000000056.1	4.14359	0	0	7.45454	0.185224	0
OALVG00000000057.1	0.0234058	0	0.387834	0.1016	0.0166354	0.111636
OALVG00000000058.1	5.88049	0	3.01794	3.65107	0.63628	0.581722
OALVG00000000059.1	0.617293	0.0805078	0.565598	1.73332	1.76967	1.02741
OALVG00000000060.1	1.00526	0	0	2.46208	0.153365	0.0976771
OALVG00000000061.1	0	0	0.367523	1.18808	0.619515	0.563137
OALVG00000000062.1	0.358402	0.0181887	0	2.20555	1.7215	0.200563
OALVG00000000063.1	2.56427	0.553115	0.35418	5.00604	2.81646	0.270755
OALVG00000000064.1	0.0807285	0	0	0.111018	0.110167	0
OALVG00000000065.1	0	0	0.185384	0.1084	0.161332	0.0257485
OALVG00000000066.1	0.00919406	0	0	0.0505216	0	0.0599126
OALVG00000000067.1	0	0	0	0	0	0
OALVG00000000068.1	0	0.364696	0	0.960397	0	0.153737
OALVG00000000069.1	0	0	0.45883	0.488056	0	0
OALVG00000000070.1	2.50982	3.81999	6.92796	6.62365	5.20181	4.59799
OALVG00000000071.1	0.323003	0.078353	1.01275	0.712359	0.225796	0.0828326
OALVG00000000072.1	15.9477	17.528	44.7532	34.4072	33.7509	20.5533
OALVG00000000073.1	0.0792624	0	30.8029	1.14294	0.211203	0.460022
OALVG00000000074.1	0.0474913	0.554753	0.122804	0.261888	0.39273	0.187296
OALVG00000000075.1	1.2382	2.30441	0.206764	4.9261	11.7458	3.20147
OALVG00000000076.1	64.6145	275.612	45.871	159.001	1230.35	125.05
OALVG00000000077.1	107.108	458.112	75.1024	254.331	2125.59	231.918
OALVG00000000078.1	0.0744637	0	0.304691	0	0	0
OALVG00000000079.1	0.0602721	0.243443	0.0961035	0.788026	7.36814	0.360944
OALVG00000000080.1	1.24736	0.598177	0.397889	1.31263	10.4593	1.4544
OALVG00000000081.1	4.68896	0.369805	2.92452	3.70947	0.433943	0.49934
OALVG00000000082.1	10.2795	19.5365	7.40355	17.5185	17.5059	10.6875
OALVG00000000082.2	3.4907	4.983	13.3454	5.49748	4.43429	4.64718
OALVG00000000083.1	2.68941	1.94236	5.02824	4.30041	2.26214	1.78569
OALVG00000000084.1	3.8066	3.62067	4.72648	6.10027	4.14342	5.98949
OALVG00000000085.1	0.20895	0.0977483	0.234334	0.892901	0.572411	0.309482
OALVG00000000086.1	0.690253	0.104279	2.47521	0.916874	0.721106	0.613817
OALVG00000000087.1	0.235934	0	0	0.892632	0.166887	0
OALVG00000000088.1	0.277516	0	0	0	0	0.12372
OALVG00000000089.1	0	0	7.66421	0	0	0
OALVG00000000090.1	0.151186	0	2.59538	0	0	0
OALVG00000000091.1	0.15716	0	1.16613	0	0.264745	0.0668285
OALVG00000000092.1	0	0.0616291	2.23477	0	0	0.0758247
OALVG00000000093.1	0	0	0	0.0422436	0	0
OALVG00000000094.1	1.26346	1.89488	1.09396	3.19449	4.21513	0
OALVG00000000094.2	0.958328	2.53612	4.41799	0.800651	4.43497	4.41706
OALVG00000000094.3	0.316325	1.3393	0.109393	0.0109284	3.51659	0
OALVG00000000094.4	1.8539	0.172862	0.0743105	2.82758	8.49811e-06	5.70367
OALVG00000000094.5	0.221151	1.79528	0.491922	0.00207482	3.68072	1.88452
OALVG00000000094.6	0.450798	0	7.1781	0	0	0
OALVG00000000094.7	1.24961	0.000208978	0.000874426	3.90181	0.115698	1.39687e-06
OALVG00000000094.8	0.418976	0.965528	0.462494	1.34892	1.91304	1.56158
OALVG00000000095.1	0.226445	0.0481061	0	0.249692	0	0
OALVG00000000096.1	0.0323941	0	0.00459843	0.0593138	0.0366387	0
OALVG00000000097.1	0	0	0	0.0473409	0	0
OALVG00000000098.1	0	0	0	0	0	0
OALVG00000000099.1	0	0	0	0	0	0
OALVG00000000100.1	0	0	0	0	0	0
OALVG00000000101.1	0	0	0	0	0	0
OALVG00000000102.1	0.371145	0.0179797	0.0576618	0.324697	0.0459878	0
OALVG00000000103.1	4.58125	2.3425	39.939	7.24013	8.78737	3.97127
OALVG00000000104.1	0	0	4.74105	0	0	0
