target_id	body	roots	
OFRAG00000000001.1	46.0474	25.9204
OFRAG00000000002.1	94.1727	36.1342
OFRAG00000000003.1	18.297	13.987
OFRAG00000000004.1	4.20238	0.147728
OFRAG00000000005.1	11.2228	0.0178915
OFRAG00000000006.1	6.35194	2.18923
OFRAG00000000007.1	25.2156	13.7535
OFRAG00000000008.1	0.0338142	0
OFRAG00000000009.1	9.58857	0.0383911
OFRAG00000000010.1	232.91	65.2039
OFRAG00000000011.1	15.3603	5.95247
OFRAG00000000011.2	1.94375	0.433623
OFRAG00000000012.1	0.0608641	0.0263121
OFRAG00000000013.1	0	0
OFRAG00000000014.1	17.7073	5.58172
OFRAG00000000015.1	14.0269	0.689535
OFRAG00000000016.1	0	0.0781143
OFRAG00000000017.1	152.939	126.427
OFRAG00000000018.1	0	0.0781143
OFRAG00000000019.1	0	0
OFRAG00000000020.1	0.0139174	0.0120109
OFRAG00000000021.1	12.8197	4.38405
OFRAG00000000022.1	0.0728189	0.0902216
OFRAG00000000023.1	9.93971	7.65314
OFRAG00000000024.1	0.0461983	0.0644086
OFRAG00000000025.1	5.95496	2.16922
OFRAG00000000026.1	23.9191	52.386
OFRAG00000000027.1	19.6755	27.6139
OFRAG00000000028.1	5.53791	1.70064
OFRAG00000000029.1	24.0748	10.5727
OFRAG00000000030.1	3.4938	1.43507
OFRAG00000000031.1	0	0.00829048
OFRAG00000000032.1	0	0
OFRAG00000000033.1	31.9727	60.3628
OFRAG00000000034.1	6.12755	0.675493
OFRAG00000000035.1	1.20008	0.115776
OFRAG00000000036.1	0	0.0437781
OFRAG00000000037.1	0	0
OFRAG00000000038.1	0	0
OFRAG00000000039.1	14.5559	7.30993
OFRAG00000000040.1	4.36074	2.75339
OFRAG00000000041.1	1.85774	1.69584
OFRAG00000000042.1	7.87251	2.9483
OFRAG00000000043.1	60.6378	39.1804
OFRAG00000000044.1	60.0482	42.7869
OFRAG00000000045.1	4.24292	1.44194
OFRAG00000000046.1	8.2152	3.9508
OFRAG00000000047.1	7.36081	2.32699
OFRAG00000000048.1	26.9568	17.7478
OFRAG00000000049.1	8.34964	6.62199
OFRAG00000000050.1	0.014975	0.0227322
OFRAG00000000051.1	0	0
OFRAG00000000052.1	0.192923	0
OFRAG00000000053.1	1.10399	0
OFRAG00000000054.1	0	0.0127053
OFRAG00000000055.1	0	0.0502267
OFRAG00000000056.1	0	0.0516914
OFRAG00000000057.1	0.0264945	0.0420194
OFRAG00000000058.1	0.0179168	0.018212
OFRAG00000000059.1	11.6845	10.1993
OFRAG00000000060.1	7.09955	5.50764
OFRAG00000000061.1	0	0.0134201
OFRAG00000000062.1	88.1191	80.2517
OFRAG00000000063.1	0.519865	0.237858
OFRAG00000000064.1	0	0.0727454
OFRAG00000000065.1	0	0
OFRAG00000000066.1	0.478214	2.85161
OFRAG00000000067.1	75.3599	532.435
OFRAG00000000068.1	11.6297	7.24955
OFRAG00000000069.1	14.1223	10.5035
OFRAG00000000070.1	112.731	124.136
OFRAG00000000071.1	19.3451	40.3569
OFRAG00000000072.1	16.9215	26.9054
OFRAG00000000073.1	1.43676	0.0790115
OFRAG00000000074.1	1.82843	0.944348
OFRAG00000000075.1	12.8709	6.41103
OFRAG00000000076.1	0	0
OFRAG00000000077.1	0.150315	0
OFRAG00000000078.1	16.8579	13.0536
OFRAG00000000079.1	91.2178	35.9433
OFRAG00000000080.1	16.3985	0.743325
OFRAG00000000081.1	5.17512	2.23171
OFRAG00000000082.1	26.3299	8.75332
OFRAG00000000083.1	3.49414	3.41614
OFRAG00000000084.1	27.3285	0.709045
OFRAG00000000085.1	0.00558229	0
OFRAG00000000086.1	0.0703863	0.0332024
OFRAG00000000087.1	0.00138638	0.00119469
OFRAG00000000088.1	0	0
OFRAG00000000089.1	0	4.3488
OFRAG00000000090.1	3.52841	20.7676
OFRAG00000000091.1	9.41101	2.46407
OFRAG00000000092.1	2.69152	0.66195
OFRAG00000000093.1	0	0
OFRAG00000000094.1	55.8188	9.2185
OFRAG00000000095.1	16.5722	5.99631
OFRAG00000000096.1	18.9888	6.43774
OFRAG00000000097.1	340.804	12.7339
OFRAG00000000098.1	6.08944	10.2609
OFRAG00000000099.1	63.3723	29.9806
OFRAG00000000100.1	4.2153	2.35797
OFRAG00000000101.1	63.9032	44.0529
OFRAG00000000102.1	106.142	48.8852
OFRAG00000000103.1	53.9885	20.7523
OFRAG00000000103.2	15.0805	6.64119
OFRAG00000000104.1	81.2634	32.5535
OFRAG00000000105.1	4.4496	2.523
OFRAG00000000106.1	4.21151	1.4227
OFRAG00000000107.1	2.03468	0.322822
OFRAG00000000108.1	0.0789323	0.00850586
OFRAG00000000109.1	11.8582	0.836438
OFRAG00000000110.1	67.5326	12.4591
OFRAG00000000111.1	20.5845	42.0364
OFRAG00000000112.1	0.081951	0
OFRAG00000000113.1	0	0
OFRAG00000000114.1	0.0515557	0.0310851
OFRAG00000000115.1	0	0.0498595
OFRAG00000000116.1	0.0463907	0
OFRAG00000000117.1	5.42407	2.36029
OFRAG00000000118.1	22.8905	28.8924
OFRAG00000000119.1	0.00569707	1.82204
OFRAG00000000120.1	0	1.08975
OFRAG00000000121.1	21.4911	1.32598
OFRAG00000000122.1	0.0117153	7.16531
OFRAG00000000123.1	0.0157971	0
OFRAG00000000124.1	0	0
OFRAG00000000125.1	7.64462	5.36818
OFRAG00000000126.1	11.9833	7.18392
OFRAG00000000127.1	0	0
OFRAG00000000128.1	0	0
OFRAG00000000129.1	3.58526	5.69981
OFRAG00000000129.2	14.5493	10.5532
OFRAG00000000130.1	6.14878	1.91811
OFRAG00000000131.1	76.7862	31.1152
OFRAG00000000132.1	0	0
OFRAG00000000133.1	9.35691	0
OFRAG00000000134.1	0.176223	0
