Orthogroup	Panther_annotation
OG0000009	 FAMILY NOT NAMED
OG0000034	 SUBFAMILY NOT NAMED
OG0000038	 TRANSPOSON
OG0000040	 NOTCH LIGAND FAMILY MEMBER
OG0000046	 PLASMINOGEN-RELATED
OG0000047	 SUBFAMILY NOT NAMED
OG0000049	 CALCIUM-ACTIVATED CHLORIDE CHANNEL REGULATOR 1
OG0000055	 H1 PUTATIVE-RELATED
OG0000056	 DORSAL-VENTRAL PATTERNING PROTEIN TOLLOID-RELATED-RELATED
OG0000061	 HISTONE H2AX
OG0000063	 SI:CH211-108C17.2-RELATED-RELATED
OG0000065	 TECTORIN ALPHA GENE 2
OG0000081	 TRIPARTITE MOTIF-CONTAINING PROTEIN 45
OG0000092	 SHORT-CHAIN DEHYDROGENASE/REDUCTASE FAMILY 9C
OG0000099	 EG:4F1.1 PROTEIN
OG0000106	 SUBFAMILY NOT NAMED
OG0000107	 NO HIT
OG0000108	 NO HIT
OG0000121	 SUBFAMILY NOT NAMED
OG0000127	 NUCLEAR ENVELOPE-ASSOCIATED PROTEIN 1
OG0000129	 HISTONE H4
OG0000139	 NO HIT
OG0000143	 ATP-DEPENDENT DNA HELICASE
OG0000148	 HELICASE WITH ZINC FINGER DOMAIN-RELATED
OG0000153	 SUBFAMILY NOT NAMED
OG0000164	 INTERFERON-INDUCED PROTEIN 35/NMI N-MYC/STAT INTERACTING PROTEIN
OG0000167	 UBIQUITIN-LIKE PROTEIN 4A
OG0000170	 NO HIT
OG0000171	 TNF RECEPTOR-ASSOCIATED FACTOR 5
OG0000184	 MULTIPLE EGF-LIKE-DOMAINS 11
OG0000186	 NO HIT
OG0000189	 UNCHARACTERIZED
OG0000190	 TRANSMEMBRANE PROTEASE SERINE
OG0000192	 CYTOCHROME P450 4F22
OG0000199	 KREMEN PROTEIN
OG0000208	 PARP/ZINC FINGER CCCH TYPE DOMAIN CONTAINING PROTEIN
OG0000213	 SIMILAR TO RIKEN CDNA E130308A19
OG0000222	 WSCD FAMILY MEMBER CG9164
OG0000231	 SUBFAMILY NOT NAMED
OG0000233	 NO HIT
OG0000235	 OS01G0338200 PROTEIN
OG0000243	 SUBFAMILY NOT NAMED
OG0000249	 PERIOSTIN-RELATED
OG0000254	 SUBFAMILY NOT NAMED
OG0000256	 TRANSPOSABLE ELEMENT-RELATED
OG0000260	 SUBFAMILY NOT NAMED
OG0000272	 MEMBRANE-SPANNING 4-DOMAINS SUBFAMILY A MS4A -RELATED
OG0000273	 SUBFAMILY NOT NAMED
OG0000275	 HELICASE WITH DEATH DOMAIN-RELATED
OG0000276	 JITTERBUG ISOFORM N
OG0000287	 RAS-RELATED C3 BOTULINUM TOXIN SUBSTRATE 3
OG0000289	 SUBFAMILY NOT NAMED
OG0000292	 DEOXYNUCLEOSIDE TRIPHOSPHATE TRIPHOSPHOHYDROLASE SAMHD1
OG0000299	 ZGC:195170
OG0000308	 MELATONIN RECEPTOR TYPE 1A-LIKE ISOFORM X2
OG0000309	 SUBFAMILY NOT NAMED
OG0000313	 NO HIT
OG0000314	 L1 TRANSPOSABLE ELEMENT-RELATED
OG0000315	 NO HIT
OG0000323	 NO HIT
OG0000325	 COLLAGEN TRIPLE HELIX REPEAT-CONTAINING PROTEIN 1
OG0000326	 FAMILY NOT NAMED
OG0000336	 SUBFAMILY NOT NAMED
OG0000338	 TYROSINASE
OG0000342	 60 KDA RIBONUCLEOPROTEIN SSA/RO
OG0000345	 ZINC FINGER BED DOMAIN-CONTAINING PROTEIN RICESLEEPER 1-LIKE ISOFORM X1
OG0000350	 NO HIT
OG0000356	 DEFECTIVE PROBOSCIS EXTENSION RESPONSE DPR -RELATED
OG0000361	 ALDEHYDE OXIDASE
OG0000367	 SUBFAMILY NOT NAMED
OG0000385	 INTERFERON REGULATORY FACTOR
OG0000391	 NO HIT
OG0000393	 "ANKYRIN REPEAT PH AND SEC7 DOMAIN CONTAINING PROTEIN SECG-RELATED"
OG0000398	 LD39211P
OG0000404	 52 KDA REPRESSOR OF THE INHIBITOR OF THE PROTEIN KINASE-LIKE PROTEIN
OG0000406	 ZINC FINGER PROTEIN GLIS3
OG0000412	 MACROPHAGE MANNOSE RECEPTOR 1
OG0000416	 MANNOSYL PHOSPHORYLINOSITOL CERAMIDE SYNTHASE
OG0000423	 PARP/ZINC FINGER CCCH TYPE DOMAIN CONTAINING PROTEIN
OG0000426	 "LYSOSOMAL ENZYME RECEPTOR PROTEIN ISOFORM E"
OG0000430	 CARBOHYDRATE SULFOTRANSFERASE 15
OG0000432	 SUBFAMILY NOT NAMED
OG0000440	 NOTCH LIGAND FAMILY MEMBER
OG0000441	 NG5
OG0000453	 SUBFAMILY NOT NAMED
OG0000458	 CHOLINERGIC RECEPTOR NICOTINIC ALPHA 7 (NEURONAL)
OG0000459	 SUBFAMILY NOT NAMED
OG0000467	 5'-NUCLEOTIDASE
OG0000468	 TENASCIN C
OG0000473	 FAMILY NOT NAMED
OG0000477	 SUBFAMILY NOT NAMED
OG0000484	 OS10G0105400 PROTEIN
OG0000485	 NO HIT
OG0000490	 SI:CH211-125E6.12 PROTEIN
OG0000495	 SI:DKEYP-61B2.1-RELATED
OG0000527	 FAMILY NOT NAMED
OG0000528	 ENDOGLIN/TGF-BETA RECEPTOR TYPE III
OG0000529	 MAMMALIAN EPENDYMIN-RELATED PROTEIN 1
OG0000537	 LEUCINE-RICH REPEAT (LRR) FAMILY PROTEIN
OG0000541	 NO HIT
OG0000547	 HYDROXYACID OXIDASE 2
OG0000548	 THIOESTERASE 1/PROTEASE 1/LYSOPHOSPHOLIPASE L1
OG0000561	 THIOPURINE S-METHYLTRANSFERASE
OG0000564	 NO HIT
OG0000565	 LD33804P
OG0000589	 INTER-ALPHA-TRYPSIN INHIBITOR HEAVY CHAIN FAMILY MEMBER
OG0000595	 PROTEIN CBG15099
OG0000599	 NO HIT
OG0000606	 NO HIT
OG0000607	 D-ERYTHRULOSE REDUCTASE
OG0000609	 FAMILY NOT NAMED
OG0000622	 POLY [ADP-RIBOSE] POLYMERASE
OG0000627	 CYTOCHROME P450 20A1
OG0000631	 SUBFAMILY NOT NAMED
OG0000633	 SUBFAMILY NOT NAMED
OG0000638	 PROTEIN LIN-12
OG0000647	 NO HIT
OG0000653	 MITOCHONDRIAL AMIDOXIME-REDUCING COMPONENT 1
OG0000655	 HAT FAMILY DIMERISATION DOMAINCONTAINING PROTEIN
OG0000656	 SUBFAMILY NOT NAMED
OG0000657	 PROTEIN PUTATIVE-RELATED
OG0000667	 STEREOCILIN RELATED
OG0000673	 CRIMPLED
OG0000682	 ZINC FINGER PROTEIN
OG0000690	 SBP (S-RIBONUCLEASE BINDING PROTEIN) FAMILY PROTEIN
OG0000704	 GALECTIN-9
OG0000709	 CELL FATE DETERMINING PROTEIN MAB21-RELATED
OG0000711	 SI:CH211-108C17.2-RELATED-RELATED
OG0000713	 FAMILY NOT NAMED
OG0000716	 NO HIT
OG0000717	 ATP-DEPENDENT DNA HELICASE PIF1
OG0000724	 SI:CH211-243P7.3-RELATED
OG0000726	 NO HIT
OG0000735	 FAMILY NOT NAMED
OG0000737	 SUBFAMILY NOT NAMED
OG0000744	 "PROTEASE FAMILY S9B C DIPEPTIDYL-PEPTIDASE IV-RELATED"
OG0000747	 FAMILY NOT NAMED
OG0000749	 FLAVIN-CONTAINING MONOOXYGENASE
OG0000760	 PROSTAGLANDIN REDUCTASE 2
OG0000762	 PEROXISOMAL N(1)-ACETYL-SPERMINE/SPERMIDINE OXIDASE
OG0000764	 IDURONATE 2-SULFATASE
OG0000765	 SUBFAMILY NOT NAMED
OG0000766	 POTASSIUM VOLTAGE-GATED CHANNEL SHAB-RELATED SUBFAMILY MEMBER 1-RELATED
OG0000767	 SUBFAMILY NOT NAMED
OG0000769	 NO HIT
OG0000771	 SUBFAMILY NOT NAMED
OG0000772	 SUBFAMILY NOT NAMED
OG0000775	 SORBITOL DEHYDROGENASE
OG0000776	 SUBFAMILY NOT NAMED
OG0000777	 SI:CH211-267E7.3
OG0000787	 SUBFAMILY NOT NAMED
OG0000792	 ARYLSULFATASE
OG0000799	 LOC100145250 PROTEIN
OG0000801	 HYDROXYSTEROID (11-BETA) DEHYDROGENASE 1-LIKE B-RELATED
OG0000808	 VASCULAR CELL ADHESION MOLECULE 1
OG0000811	 N-ACETYLGLUCOSAMINYLTRANSFERASE VI
OG0000822	 NO HIT
OG0000823	 CYTOKINE RECEPTOR
OG0000824	 VITAMIN D3 HYDROXYLASE-ASSOCIATED PROTEIN
OG0000830	 KELCH-LIKE PROTEIN 20
OG0000845	 EG:BACR37P7.8 PROTEIN
OG0000846	 IONOTROPIC RECEPTOR 20A-RELATED
OG0000850	 FRAS1-RELATED EXTRACELLULAR MATRIX PROTEIN 2
OG0000853	 PROTEIN CBG23225
OG0000876	 FOS TRANSCRIPTION FACTOR-RELATED
OG0000882	 NO HIT
OG0000883	 NO HIT
OG0000890	 PEPTIDASE M20 DOMAIN-CONTAINING PROTEIN 2
OG0000908	 FAMILY NOT NAMED
OG0000909	 GLUTATHIONE PEROXIDASE
OG0000910	 ADRENERGIC RECEPTOR-RELATED G-PROTEIN COUPLED RECEPTOR
OG0000917	 BLR2807 PROTEIN
OG0000928	 PROTEIN CBG23764
OG0000930	 FI05319P-RELATED
OG0000937	 FAMILY NOT NAMED
OG0000943	 NO HIT
OG0000947	 ENOLASE (DUF1399)
OG0000948	 B(0 +)-TYPE AMINO ACID TRANSPORTER 1
OG0000951	 RGD1565685 PROTEIN
OG0000954	 FAMILY NOT NAMED
OG0000958	 AUTOCRINE PROLIFERATION REPRESSOR PROTEIN A
OG0000967	 TRANSCRIPTION FACTOR RFX4
OG0000971	 FASTING-INDUCIBLE INTEGRAL MEMBRANE PROTEIN TM6P1-RELATED
OG0000974	 AQUAPORIN-10
OG0000975	 PEROXISOMAL SARCOSINE OXIDASE
OG0000988	 LOW-DENSITY LIPOPROTEIN RECEPTOR-RELATED PROTEIN
OG0000989	 SUBFAMILY NOT NAMED
OG0001003	 ZGC:194887
OG0001008	 NO HIT
OG0001010	 SUBFAMILY NOT NAMED
OG0001011	 AGAP008228-PA
OG0001026	 HISTONE H1OO
OG0001033	 NO HIT
OG0001041	 "PHOSPHOLIPASE B PLB1"
OG0001050	 Y-BOX-BINDING PROTEIN 3
OG0001065	 MICROSOMAL DIPEPTIDASE
OG0001067	 TNF RECEPTOR-ASSOCIATED FACTOR FAMILY PROTEIN DDB_G0277243
OG0001073	 NO HIT
OG0001078	 FAMILY NOT NAMED
OG0001080	 SUBFAMILY NOT NAMED
OG0001091	 EGF-LIKE AND EMI DOMAIN-CONTAINING PROTEIN 1-RELATED
OG0001101	 METALLOPHOSPHOESTERASE MPPED2
OG0001105	 CD302 ANTIGEN-RELATED
OG0001107	 BINDING ROSSMANN FOLD OXIDOREDUCTASE PUTATIVE (AFU_ORTHOLOGUE AFUA_2G10240)-RELATED
OG0001156	 PROTEIN B PUTATIVE-RELATED
OG0001158	
OG0001181	 PROLINE-RICH TRANSMEMBRANE PROTEIN 4-RELATED
OG0001185	 FAMILY NOT NAMED
OG0001189	 EG:BACR42I17.3 PROTEIN-RELATED
OG0001193	 NO HIT
OG0001195	
OG0001207	 FUSELESS ISOFORM A
OG0001212	 SUBFAMILY NOT NAMED
OG0001213	 DNA-DEPENDENT PROTEIN KINASE CATALYTIC SUBUNIT
OG0001224	 ZGC:195170
OG0001228	 SH2 DOMAIN CONTAINING PROTEIN
OG0001235	 "BETA-1 3-GALACTOSYLTRANSFERASE 4"
OG0001261	 NADPH OXIDASE 4
OG0001269	 HEH2P
OG0001277	 DNA-DIRECTED RNA POLYMERASES I II AND III SUBUNIT RPABC2
OG0001278	 CUBILIN
OG0001311	 CNMAMIDE RECEPTOR
OG0001312	 RH61964P
OG0001324	 SUBFAMILY NOT NAMED
OG0001329	 MEMBRANE-BOUND LYTIC MUREIN TRANSGLYCOSYLASE F
OG0001336	 FUKUTIN-RELATED PROTEIN
OG0001338	 DEATH RESISTOR ADH DOMAIN CONTAINING TARGET ISOFORM C
OG0001362	 SUBFAMILY NOT NAMED
OG0001373	 TARTRATE-RESISTANT ACID PHOSPHATASE TYPE 5
OG0001375	 BANK1/PIK3AP1 FAMILY MEMBER
OG0001376	 ETHR ISOFORM A
OG0001379	 KV CHANNEL-INTERACTING PROTEIN 4
OG0001416	 TRISSIN RECEPTOR
OG0001421	 NO HIT
OG0001426	 PROTEIN-GLUCOSYLGALACTOSYLHYDROXYLYSINE GLUCOSIDASE
OG0001427	 POLY(A) RNA POLYMERASE MITOCHONDRIAL
OG0001438	 [PROTEIN ADP-RIBOSYLARGININE] HYDROLASE
OG0001441	 PR DOMAIN ZINC FINGER PROTEIN 13
OG0001446	 FAMILY NOT NAMED
OG0001456	 NO HIT
OG0001459	 SI:CH211-57F7.7
OG0001461	 SI:DKEY-65L23.2
OG0001468	 SUBFAMILY NOT NAMED
OG0001475	 SI:DKEYP-2E4.2-RELATED
OG0001479	 SUBFAMILY NOT NAMED
OG0001496	 TPR AND ANKYRIN REPEAT-CONTAINING PROTEIN 1
OG0001517	
OG0001528	 THYROTROPIN-RELEASING HORMONE RECEPTOR
OG0001533	 C-TYPE LECTIN
OG0001541	 ADP-RIBOSYL CYCLASE
OG0001546	 PROTEIN MONO-ADP-RIBOSYLTRANSFERASE PARP9
OG0001560	 ADP-DEPENDENT GLUCOKINASE 2
OG0001563	 E3 UBIQUITIN-PROTEIN LIGASE HERC4-RELATED
OG0001571	 SUBFAMILY NOT NAMED
OG0001574	 .
OG0001580	 TRANSIENT RECEPTOR POTENTIAL CATION CHANNEL SUBFAMILY A MEMBER 1B
OG0001584	 SPARC/OSTEONECTIN CWCV AND KAZAL-LIKE DOMAINS PROTEOGLYCAN 1
OG0001588	 RBR-TYPE E3 UBIQUITIN TRANSFERASE
OG0001593	 NO HIT
OG0001599	 UNCHARACTERIZED
OG0001603	 IP21249P
OG0001606	 PHOSPHOFRUCTOKINASE
OG0001608	 POLYCOMB GROUP PROTEIN PC
OG0001609	 METHYLTRANSFERASE LIKE 7B
OG0001621	 BETA-LACTAMASE-RELATED
OG0001635	 SUBFAMILY NOT NAMED
OG0001640	 CYTOSOLIC IRON-SULFUR ASSEMBLY COMPONENT 2B
OG0001650	 HYDROXYSTEROID DEHYDROGENASE PUTATIVE-RELATED
OG0001652	 BRORIN FAMILY MEMBER
OG0001658	 MYXOVIRUS (INFLUENZA VIRUS) RESISTANCE D-RELATED
OG0001662	 NO HIT
OG0001682	 NUCLEOLAR PROTEIN 4-LIKE PROTEIN
OG0001687	 E3 UBIQUITIN-PROTEIN LIGASE MIB1
OG0001699	 N-ACETYLNEURAMINATE LYASE
OG0001705	 NO HIT
OG0001708	 ZGC:171489
OG0001727	 ATP-BINDING CASSETTE SUB-FAMILY A (ABC1) MEMBER 5
OG0001740	 FAMILY NOT NAMED
OG0001744	 HAT FAMILY DIMERISATION DOMAINCONTAINING PROTEIN
OG0001748	 SUBFAMILY NOT NAMED
OG0001751	 URACIL-DNA GLYCOSYLASE
OG0001755	 NO HIT
OG0001764	 ALPHA-(1 3)-FUCOSYLTRANSFERASE 11
OG0001770	 ASPARTYL/ASPARAGINYL BETA-HYDROXYLASE
OG0001772	 MEMBRANE PROGESTIN RECEPTOR BETA
OG0001779	 NMRA-LIKE FAMILY DOMAIN-CONTAINING PROTEIN 1
OG0001782	 ENDONUCLEASE G MITOCHONDRIAL
OG0001795	 RIBONUCLEASE H1
OG0001818	 SUBFAMILY NOT NAMED
OG0001820	 UNCHARACTERIZED
OG0001822	 E3 UBIQUITIN-PROTEIN LIGASE MIB1
OG0001823	 NO HIT
OG0001839	 NO HIT
OG0001841	 CARTILAGE OLIGOMERIC MATRIX PROTEIN
OG0001855	 ARGINASE/AGMATINASE
OG0001864	 E3 UBIQUITIN-PROTEIN LIGASE HERC2
OG0001867	 NO HIT
OG0001886	 TYRAMINE/OCTOPAMINE RECEPTOR-LIKE PROTEIN
OG0001887	 NO HIT
OG0001890	 C-TYPE LECTIN DOMAIN FAMILY 17 MEMBER A
OG0001893	 NO HIT
OG0001900	 FAS-ASSOCIATING DEATH DOMAIN-CONTAINING PROTEIN FADD
OG0001907	 FAMILY NOT NAMED
OG0001910	 ESTRADIOL 17-BETA-DEHYDROGENASE 8
OG0001919	 E3 UBIQUITIN-PROTEIN LIGASE RNF216
OG0001920	 HAIRY/ENHANCER-OF-SPLIT RELATED WITH YRPW MOTIF PROTEIN
OG0001925	 SUGAR TRANSPORTER SWEET1
OG0001930	 GLUTAMATE SYNTHASE [NADH]
OG0001947	 N-ACYL-PHOSPHATIDYLETHANOLAMINE-HYDROLYZING PHOSPHOLIPASE D
OG0001950	 IST1 HOMOLOG
OG0001956	 SH3 MULTIPLE DOMAIN
OG0001960	 UNCHARACTERIZED
