OG0000043	oasisia	.	.	.	OALVG00000007688.1	NO HIT
OG0000061	oasisia	GO:0000786^cellular_component^nucleosome`GO:0005634^cellular_component^nucleus`GO:0003677^molecular_function^DNA binding`GO:0046982^molecular_function^protein heterodimerization activity	GO:0000786^cellular_component^nucleosome`GO:0005634^cellular_component^nucleus`GO:0003677^molecular_function^DNA binding`GO:0046982^molecular_function^protein heterodimerization activity	GO:0003677^molecular_function^DNA binding`GO:0000786^cellular_component^nucleosome	OALVG00000002827.1	HISTONE H2A	K11251
OG0000061	oasisia	GO:0000786^cellular_component^nucleosome`GO:0005634^cellular_component^nucleus`GO:0003677^molecular_function^DNA binding`GO:0046982^molecular_function^protein heterodimerization activity	GO:0000786^cellular_component^nucleosome`GO:0005634^cellular_component^nucleus`GO:0003677^molecular_function^DNA binding`GO:0046982^molecular_function^protein heterodimerization activity	GO:0003677^molecular_function^DNA binding`GO:0000786^cellular_component^nucleosome	OALVG00000002845.1	HISTONE H2A	K11251
OG0000061	oasisia	GO:0000786^cellular_component^nucleosome`GO:0005634^cellular_component^nucleus`GO:0003677^molecular_function^DNA binding`GO:0046982^molecular_function^protein heterodimerization activity	GO:0000786^cellular_component^nucleosome`GO:0005634^cellular_component^nucleus`GO:0003677^molecular_function^DNA binding`GO:0046982^molecular_function^protein heterodimerization activity	GO:0003677^molecular_function^DNA binding`GO:0000786^cellular_component^nucleosome	OALVG00000005352.1	HISTONE H2A	K11251
OG0000061	oasisia	GO:0000786^cellular_component^nucleosome`GO:0005634^cellular_component^nucleus`GO:0003677^molecular_function^DNA binding`GO:0046982^molecular_function^protein heterodimerization activity	GO:0000786^cellular_component^nucleosome`GO:0005634^cellular_component^nucleus`GO:0003677^molecular_function^DNA binding`GO:0046982^molecular_function^protein heterodimerization activity	GO:0003677^molecular_function^DNA binding`GO:0000786^cellular_component^nucleosome	OALVG00000005354.1	HISTONE H2A	K11251
OG0000061	oasisia	GO:0000786^cellular_component^nucleosome`GO:0005634^cellular_component^nucleus`GO:0003677^molecular_function^DNA binding`GO:0046982^molecular_function^protein heterodimerization activity	GO:0000786^cellular_component^nucleosome`GO:0005634^cellular_component^nucleus`GO:0003677^molecular_function^DNA binding`GO:0046982^molecular_function^protein heterodimerization activity	GO:0003677^molecular_function^DNA binding`GO:0000786^cellular_component^nucleosome	OALVG00000005356.1	HISTONE H2A	K11251
OG0000061	oasisia	GO:0000786^cellular_component^nucleosome`GO:0005634^cellular_component^nucleus`GO:0003677^molecular_function^DNA binding`GO:0046982^molecular_function^protein heterodimerization activity	GO:0000786^cellular_component^nucleosome`GO:0005634^cellular_component^nucleus`GO:0003677^molecular_function^DNA binding`GO:0046982^molecular_function^protein heterodimerization activity	GO:0003677^molecular_function^DNA binding`GO:0000786^cellular_component^nucleosome	OALVG00000005358.1	HISTONE H2A	K11251
OG0000061	oasisia	GO:0000786^cellular_component^nucleosome`GO:0005634^cellular_component^nucleus`GO:0003677^molecular_function^DNA binding`GO:0046982^molecular_function^protein heterodimerization activity	GO:0000786^cellular_component^nucleosome`GO:0005634^cellular_component^nucleus`GO:0003677^molecular_function^DNA binding`GO:0046982^molecular_function^protein heterodimerization activity	GO:0003677^molecular_function^DNA binding`GO:0000786^cellular_component^nucleosome	OALVG00000005360.1	HISTONE H2A	K11251
OG0000061	oasisia	GO:0000786^cellular_component^nucleosome`GO:0005634^cellular_component^nucleus`GO:0003677^molecular_function^DNA binding`GO:0046982^molecular_function^protein heterodimerization activity	GO:0000786^cellular_component^nucleosome`GO:0005634^cellular_component^nucleus`GO:0003677^molecular_function^DNA binding`GO:0046982^molecular_function^protein heterodimerization activity	GO:0003677^molecular_function^DNA binding`GO:0000786^cellular_component^nucleosome	OALVG00000005362.1	HISTONE H2A	K11251
OG0000061	oasisia	GO:0000786^cellular_component^nucleosome`GO:0005634^cellular_component^nucleus`GO:0003677^molecular_function^DNA binding`GO:0046982^molecular_function^protein heterodimerization activity	GO:0000786^cellular_component^nucleosome`GO:0005634^cellular_component^nucleus`GO:0003677^molecular_function^DNA binding`GO:0046982^molecular_function^protein heterodimerization activity	GO:0003677^molecular_function^DNA binding`GO:0000786^cellular_component^nucleosome	OALVG00000005364.1	HISTONE H2A	K11251
OG0000061	oasisia	GO:0000786^cellular_component^nucleosome`GO:0005634^cellular_component^nucleus`GO:0003677^molecular_function^DNA binding`GO:0046982^molecular_function^protein heterodimerization activity	GO:0000786^cellular_component^nucleosome`GO:0005634^cellular_component^nucleus`GO:0003677^molecular_function^DNA binding`GO:0046982^molecular_function^protein heterodimerization activity	GO:0003677^molecular_function^DNA binding`GO:0000786^cellular_component^nucleosome	OALVG00000005366.1	HISTONE H2A	K11251
