FID	nb_genes	nb_species	origin	lost_sp	lost_taxa	expanded_tax
OG0000000	1060	25	Eumetazoa	3	Hsap,Smed,Dgyr	Eand,Gaeg,Lana,Myes,Ngen,Paus,Spur
OG0000001	1014	27	Eumetazoa	1	Hmia	Cgig,Gaeg,Myes
OG0000002	859	28	Eumetazoa	0		
OG0000003	734	28	Eumetazoa	0		
OG0000004	723	28	Eumetazoa	0		Spur
OG0000005	640	28	Eumetazoa	0		
OG0000006	619	28	Eumetazoa	0		
OG0000007	606	28	Eumetazoa	0		
OG0000008	603	28	Eumetazoa	0		
OG0000009	590	17	Eumetazoa	11	Hmia,Vertebrata,Cgig,Ofus,Vestimentifera_cl1,Ofra,Clitellata	Lana,Ngen,Paus,Spur,Smed
OG0000010	585	27	Eumetazoa	1	Dgyr	
OG0000011	556	28	Eumetazoa	0		
OG0000012	555	27	Eumetazoa	1	Tcas	Gaeg,Locu,Myes,Nvec,Spur
OG0000013	548	28	Eumetazoa	0		Nvec
OG0000014	531	23	Eumetazoa	5	Skow,Dgyr,Vestimentifera_cl2,Hrob	Gaeg,Ngen,Spur,Tcas,Smed
OG0000015	521	25	Eumetazoa	3	Hmia,Smed,Dgyr	
OG0000016	499	28	Eumetazoa	0		
OG0000017	450	28	Eumetazoa	0		Hmia
OG0000018	448	28	Eumetazoa	0		Locu,Nvec
OG0000019	447	2	Eumetazoa	26	Hmia,Deuterostomia,Arthropoda,Smed,Gaeg,Bivalvia,Lophotrochozoa_cl1	
OG0000020	436	26	Eumetazoa	2	Hmia,Skow	
OG0000021	422	21	Bilateria	6	Deuterostomia,Ngen	
OG0000022	421	26	Eumetazoa	2	Smed,Cgig	Blan,Spur
OG0000023	407	28	Eumetazoa	0		
OG0000024	404	21	Protostomia	0		Eand
OG0000025	396	25	Eumetazoa	3	Hmia,Arthropoda	Nvec
OG0000026	396	28	Eumetazoa	0		Eand,Hrob
OG0000027	390	27	Eumetazoa	1	Tcas	Nvec
OG0000028	383	28	Eumetazoa	0		Pech
OG0000029	383	28	Eumetazoa	0		
OG0000030	381	28	Eumetazoa	0		
OG0000031	380	28	Eumetazoa	0		Spur
OG0000032	379	27	Bilateria	0		
OG0000033	373	24	Eumetazoa	4	Hmia,Spur,Hsap,Tcas	Cgig
OG0000034	361	18	Eumetazoa	10	Hmia,Vertebrata,Arthropoda,Smed,Gaeg,Dgyr,Ofra,Hrob	Bpla,Cgig
OG0000035	360	21	Bilateria	6	Ambulacraria,Vertebrata,Arthropoda	Ofus
OG0000036	358	24	Eumetazoa	4	Hmia,Spur,Smed,Ngen	
OG0000037	352	28	Eumetazoa	0		
