OG0000121	RPACG00000027878.1
OG0000127	RPACG00000004882.1
OG0000192	RPACG00000014092.1, RPACG00000014093.1
OG0000232	RPACG00000018875.1
OG0000235	RPACG00000007017.1, RPACG00000008878.1, RPACG00000022052.1
OG0000287	RPACG00000010916.1
OG0000477	RPACG00000019405.1
OG0000527	RPACG00000018554.1
OG0000529	RPACG00000001023.1
OG0000586	RPACG00000015157.1
OG0000787	RPACG00000014719.1
OG0000923	RPACG00000006201.1, RPACG00000018958.1, RPACG00000018959.1, RPACG00000018960.1, RPACG00000018961.1, RPACG00000018962.1, RPACG00000023131.1, RPACG00000023135.1, RPACG00000023136.1, RPACG00000023137.1, RPACG00000023138.1, RPACG00000023139.1
OG0001003	RPACG00000010625.1
OG0001026	RPACG00000025020.1
OG0001076	RPACG00000022159.1, RPACG00000032486.1
OG0001080	RPACG00000030970.1
OG0001126	RPACG00000013395.1
OG0001164	RPACG00000004898.1
OG0001235	RPACG00000009160.1, RPACG00000021091.1, RPACG00000021093.1, RPACG00000021094.1, RPACG00000021095.1, RPACG00000021097.1, RPACG00000021099.1, RPACG00000021100.1, RPACG00000021101.1
OG0001264	RPACG00000036863.1, RPACG00000036865.1, RPACG00000036870.1, RPACG00000036872.1
OG0001475	RPACG00000000613.1
OG0001591	RPACG00000004965.1
OG0001603	RPACG00000003460.1
OG0001744	RPACG00000003903.1
OG0001864	RPACG00000003985.1
OG0001903	RPACG00000001916.1
OG0001962	RPACG00000006054.1
OG0002206	RPACG00000009452.1, RPACG00000035552.1
OG0002324	RPACG00000013652.1
OG0002327	RPACG00000020079.1
OG0002517	RPACG00000004721.1
OG0002777	RPACG00000018296.1
OG0002786	RPACG00000026133.1
OG0003374	RPACG00000024960.1
OG0003478	RPACG00000034039.1
OG0003564	RPACG00000035379.1
OG0003672	RPACG00000002340.1
OG0003674	RPACG00000012802.1, RPACG00000035353.1
OG0003928	RPACG00000035559.1, RPACG00000035562.1
OG0004021	RPACG00000029400.1
OG0004235	RPACG00000026276.1
OG0004355	RPACG00000019257.1
OG0004445	RPACG00000007600.1
OG0004476	RPACG00000008556.1
OG0004753	RPACG00000023037.1
OG0004981	RPACG00000025881.1
OG0004984	RPACG00000010941.1
OG0005017	RPACG00000011430.1
OG0005063	RPACG00000020546.1
OG0005069	RPACG00000012081.1
OG0005287	RPACG00000012798.1
OG0005304	RPACG00000032195.1
OG0005324	RPACG00000018492.1
OG0005545	RPACG00000021957.1
OG0005657	RPACG00000020188.2
OG0005693	RPACG00000029898.1
OG0005716	RPACG00000035313.1
OG0005832	RPACG00000025648.1
OG0005882	RPACG00000020149.1, RPACG00000028024.1
OG0005926	RPACG00000000907.1
OG0005986	RPACG00000030817.1
OG0006130	RPACG00000001542.1
OG0006162	RPACG00000030190.1
OG0006165	RPACG00000010381.1
OG0006181	RPACG00000030992.1, RPACG00000030994.1
OG0006433	RPACG00000028753.1
OG0006562	RPACG00000031739.1
OG0006611	RPACG00000033696.1
OG0006680	RPACG00000025120.1, RPACG00000025121.1
OG0006716	RPACG00000027885.1
OG0006797	RPACG00000027187.1
OG0006854	RPACG00000009791.1, RPACG00000009795.1
OG0006909	RPACG00000008230.1
OG0006976	RPACG00000016857.1
OG0007012	RPACG00000001689.1, RPACG00000018768.1, RPACG00000023267.1
OG0007156	RPACG00000003037.1
OG0007172	RPACG00000030228.1
OG0007221	RPACG00000022319.1, RPACG00000024984.1, RPACG00000027418.1
OG0007339	RPACG00000010769.1
OG0007389	RPACG00000014862.1
OG0007418	RPACG00000026255.1
OG0007700	RPACG00000014096.1
OG0007720	RPACG00000001069.1
OG0007822	RPACG00000007769.1
OG0007877	RPACG00000028891.1
OG0007889	RPACG00000004107.1
OG0007931	RPACG00000013447.2
OG0008063	RPACG00000000490.1, RPACG00000012378.1
OG0008085	RPACG00000023436.1
OG0008188	RPACG00000006375.1
OG0008316	RPACG00000025107.1
OG0008388	RPACG00000016482.1, RPACG00000016483.1
OG0008449	RPACG00000028484.1, RPACG00000035007.1
OG0008550	RPACG00000011937.1
OG0008584	RPACG00000010232.1
OG0008647	RPACG00000014310.1
OG0008660	RPACG00000014411.1
OG0008754	RPACG00000016199.1, RPACG00000018278.1, RPACG00000018461.1, RPACG00000018463.1, RPACG00000031494.1
OG0008755	RPACG00000002077.1
