



CapteT149515
CapteT149543
CapteT149569
CapteT149571
CapteT149583
CapteT149599
CapteT1495	K09660
CapteT187482	K00670	
CapteT187483
CapteT187484
CapteT187485
CapteT187486
CapteT187487
CapteT187489
CapteT206463	K20123	
CapteT21356	
CapteT213562
CapteT213563
CapteT213564
CapteT213568
CapteT213569
CapteT213695
CapteT213697
CapteT213699
CapteT21369	K21798
K01596
K01783
K04233	
K06944
K07762
K08838	
K10434
K11128
K14389
K17286
K17352
K19765	
OG0000121							
OG0000121							
OG0000121	capitella			\tCapteT101426	K07190	
OG0000121	capitella			\tCapteT128409		
OG0000121	capitella			\tCapteT135353	K07190	
OG0000121	capitella			\tCapteT197883		
OG0000121	capitella			\tCapteT199617		
OG0000121	capitella			\tCapteT40175	K07190	
OG0000121	capitella			\tCapteT40178	K07190	
OG0000121	capitella			\tCapteT41850	K07190	
OG0000121	capitella			\tCapteT60621		
OG0000121	capitella			\tCapteT78332	K09228	
OG0000121	capitella			\tCapteT93947		
OG0000121	lamellibrachia	.	.	.	FUN_040648-T1	SUBFAMILY NOT NAMED	
OG0000121	lamellibrachia	GO:0005615^cellular_component^extracellular space`GO:0005125^molecular_function^cytokine activity`GO:0005109^molecular_function^frizzled binding`GO:0035284^biological_process^brain segmentation`GO:0060070^biological_process^canonical Wnt signaling pathway`GO:0045165^biological_process^cell fate commitment`GO:0021587^biological_process^cerebellum morphogenesis`GO:0021592^biological_process^fourth ventricle development`GO:0030902^biological_process^hindbrain development`GO:0030917^biological_process^midbrain-hindbrain boundary development`GO:0030182^biological_process^neuron differentiation	GO:0005615^cellular_component^extracellular space`GO:0005125^molecular_function^cytokine activity`GO:0005109^molecular_function^frizzled binding`GO:0035284^biological_process^brain segmentation`GO:0060070^biological_process^canonical Wnt signaling pathway`GO:0045165^biological_process^cell fate commitment`GO:0021587^biological_process^cerebellum morphogenesis`GO:0021592^biological_process^fourth ventricle development`GO:0030902^biological_process^hindbrain development`GO:0030917^biological_process^midbrain-hindbrain boundary development`GO:0030182^biological_process^neuron differentiation	GO:0005102^molecular_function^signaling receptor binding`GO:0007275^biological_process^multicellular organism development`GO:0016055^biological_process^Wnt signaling pathway`GO:0005576^cellular_component^extracellular region	FUN_014864-T1	PROTO-ONCOGENE WNT-1	K03209
OG0000121	paraescarpia	
OG0000121	paraescarpia	
OG0000121	paraescarpia	
OG0000121	paraescarpia	
OG0000121	paraescarpia	
OG0000121	paraescarpia	
OG0000121	riftia	.	.	.	RPACG00000027878.1	BNAC08G21900D PROTEIN	
OG0000127							
OG0000127							
OG0000127							
OG0000127	lamellibrachia	.	.	.	FUN_002917-T1	NO HIT
