Orthogroup	Species	GO_term1	GO_term2	GO_term3	gene_ID	Panther_annotation	KEGG_number
OG0000040	oasisia	.	.	.	OALVG00000001032.1	OS10G0105400 PROTEIN	
OG0000040	oasisia	.	.	.	OALVG00000001034.1	OS10G0105400 PROTEIN	
OG0000040	oasisia	.	.	.	OALVG00000001058.1	OS10G0105400 PROTEIN	
OG0000040	oasisia	.	.	.	OALVG00000001083.1	OS10G0105400 PROTEIN	
OG0000040	oasisia	.	.	.	OALVG00000001084.1	OS10G0105400 PROTEIN	
OG0000040	oasisia	.	.	.	OALVG00000001098.1	NO HIT
OG0000040	oasisia	.	.	.	OALVG00000001099.1	OS10G0105400 PROTEIN	
OG0000040	oasisia	GO:0005737^cellular_component^cytoplasm`GO:0031965^cellular_component^nuclear membrane`GO:0036126^cellular_component^sperm flagellum`GO:0030031^biological_process^cell projection assembly`GO:0030317^biological_process^flagellated sperm motility`GO:2000059^biological_process^negative regulation of ubiquitin-dependent protein catabolic process	GO:0005737^cellular_component^cytoplasm`GO:0031965^cellular_component^nuclear membrane`GO:0036126^cellular_component^sperm flagellum`GO:0030031^biological_process^cell projection assembly`GO:0030317^biological_process^flagellated sperm motility`GO:2000059^biological_process^negative regulation of ubiquitin-dependent protein catabolic process	.	OALVG00000001101.1	OS10G0105400 PROTEIN	
OG0000040	oasisia	.	.	.	OALVG00000001102.1	OS10G0105400 PROTEIN	
OG0000040	oasisia	.	.	.	OALVG00000001226.1	OS10G0105400 PROTEIN	
OG0000040	oasisia	.	.	.	OALVG00000001302.1	NOTCH LIGAND FAMILY MEMBER	
OG0000040	oasisia	.	.	.	OALVG00000002054.1	OS10G0105400 PROTEIN	
OG0000040	oasisia	.	.	.	OALVG00000002069.1	OS10G0105400 PROTEIN	
OG0000040	oasisia	.	.	.	OALVG00000002070.1	OS10G0105400 PROTEIN	
OG0000040	oasisia	.	.	.	OALVG00000002071.1	OS10G0105400 PROTEIN	
OG0000040	oasisia	.	.	.	OALVG00000008747.1	OS10G0105400 PROTEIN	
OG0000040	oasisia	.	.	.	OALVG00000010273.1	NOTCH LIGAND FAMILY MEMBER	
OG0000040	oasisia	.	.	.	OALVG00000013194.1	OS10G0105400 PROTEIN	
OG0000040	oasisia	.	.	.	OALVG00000013830.1	NO HIT
OG0000040	oasisia	.	.	.	OALVG00000013831.1	OS10G0105400 PROTEIN	
OG0000040	oasisia	.	.	.	OALVG00000013832.1	NO HIT
OG0000040	oasisia	.	.	.	OALVG00000013835.1	NO HIT
OG0000040	oasisia	.	.	.	OALVG00000013837.1	ZINC FINGER CCCH DOMAIN-CONTAINING PROTEIN 13	
OG0000040	oasisia	.	.	.	OALVG00000013838.1	NOTCH LIGAND FAMILY MEMBER	
OG0000040	oasisia	.	.	.	OALVG00000013849.1	OS10G0105400 PROTEIN	
OG0000040	oasisia	.	.	.	OALVG00000013850.1	OS10G0105400 PROTEIN	
