Orthogroup	Panther_annotation
OG0000040	 NO HIT
OG0000046	 PLASMINOGEN
OG0000049	 SUBFAMILY NOT NAMED
OG0000054	 NOTCH LIGAND FAMILY MEMBER
OG0000061	 HISTONE H2A
OG0000062	 HISTONE H2B 5
OG0000139	 FAMILY NOT NAMED
OG0000184	 SI:CABZ01040626.2-RELATED
OG0000227	 OOKINETE PROTEIN PUTATIVE-RELATED
OG0000342	 60 KDA RIBONUCLEOPROTEIN SSA/RO
OG0000352	 BACTERIOHEMERYTHRIN
OG0000364	 T-CELL SURFACE GLYCOPROTEIN CD4
OG0000398	 LD39211P
OG0000407	 FAMILY NOT NAMED
OG0000633	 SUBFAMILY NOT NAMED
OG0000674	 NO HIT
OG0000771	 SUBFAMILY NOT NAMED
OG0000861	 SUBFAMILY NOT NAMED
OG0002331	 UBIQUITIN CARBOXYL-TERMINAL HYDROLASE CYLD
OG0002848	 NO HIT
OG0002954	 TRACE AMINE-ASSOCIATED RECEPTOR 19N
OG0004086	 BETA-2-GLYCOPROTEIN 1
OG0004950	 NO HIT
OG0006541	 POLYCYSTIC KIDNEY DISEASE PROTEIN 1-LIKE 2
OG0008431	 NACHT LRR AND PYD DOMAINS-CONTAINING PROTEIN 12
OG0009072	 SORBIN AND SH3 DOMAIN-CONTAINING 3
OG0009079	 SECRETORY PHOSPHOLIPASE A2 RECEPTOR
