OG0001122	riftia	.	.	.	RPACG00000004247.1	NO HIT
OG0001122	riftia	.	.	.	RPACG00000004248.1	DORSAL-VENTRAL PATTERNING PROTEIN TOLLOID-RELATED-RELATED	
OG0001122	riftia	.	.	.	RPACG00000004249.1	NO HIT
OG0001122	riftia	GO:0005912^cellular_component^adherens junction`GO:0016324^cellular_component^apical plasma membrane`GO:0005576^cellular_component^extracellular region`GO:0005887^cellular_component^integral component of plasma membrane`GO:0016020^cellular_component^membrane`GO:0005886^cellular_component^plasma membrane`GO:0005509^molecular_function^calcium ion binding`GO:0008083^molecular_function^growth factor activity`GO:0005112^molecular_function^Notch binding`GO:0005543^molecular_function^phospholipid binding`GO:0005198^molecular_function^structural molecule activity`GO:0001525^biological_process^angiogenesis`GO:0035909^biological_process^aorta morphogenesis`GO:0003180^biological_process^aortic valve morphogenesis`GO:0001974^biological_process^blood vessel remodeling`GO:0061309^biological_process^cardiac neural crest cell development involved in outflow tract morphogenesis`GO:0003215^biological_process^cardiac right ventricle morphogenesis`GO:0060411^biological_process^cardiac septum morphogenesis`GO:0001709^biological_process^cell fate determination`GO:0061073^biological_process^ciliary body morphogenesis`GO:0072017^biological_process^distal tubule development`GO:0061444^biological_process^endocardial cushion cell development`GO:0045446^biological_process^endothelial cell differentiation`GO:0072015^biological_process^glomerular visceral epithelial cell development`GO:0030097^biological_process^hemopoiesis`GO:0042491^biological_process^inner ear auditory receptor cell differentiation`GO:0030216^biological_process^keratinocyte differentiation`GO:0072070^biological_process^loop of Henle development`GO:0002011^biological_process^morphogenesis of an epithelial sheet`GO:0045445^biological_process^myoblast differentiation`GO:0030336^biological_process^negative regulation of cell migration`GO:0022408^biological_process^negative regulation of cell-cell adhesion`GO:0001953^biological_process^negative regulation of cell-matrix adhesion`GO:0045602^biological_process^negative regulation of endothelial cell differentiation`GO:0045599^biological_process^negative regulation of fat cell differentiation`GO:0045665^biological_process^negative regulation of neuron differentiation`GO:2000737^biological_process^negative regulation of stem cell differentiation`GO:0072006^biological_process^nephron development`GO:0007399^biological_process^nervous system development`GO:0097150^biological_process^neuronal stem cell population maintenance`GO:0061314^biological_process^Notch signaling involved in heart development`GO:0007219^biological_process^Notch signaling pathway`GO:0062043^biological_process^positive regulation of cardiac epithelial to mesenchymal transition`GO:0045639^biological_process^positive regulation of myeloid cell differentiation`GO:0045747^biological_process^positive regulation of Notch signaling pathway`GO:0045669^biological_process^positive regulation of osteoblast differentiation`GO:0045944^biological_process^positive regulation of transcription by RNA polymerase II`GO:0061156^biological_process^pulmonary artery morphogenesis`GO:0003184^biological_process^pulmonary valve morphogenesis`GO:0042127^biological_process^regulation of cell population proliferation`GO:0032495^biological_process^response to muramyl dipeptide`GO:0002456^biological_process^T cell mediated immunity	GO:0005912^cellular_component^adherens junction`GO:0016324^cellular_component^apical plasma membrane`GO:0005576^cellular_component^extracellular region`GO:0005887^cellular_component^integral component of plasma membrane`GO:0016020^cellular_component^membrane`GO:0005886^cellular_component^plasma membrane`GO:0005509^molecular_function^calcium ion binding`GO:0008083^molecular_function^growth factor activity`GO:0005112^molecular_function^Notch binding`GO:0005543^molecular_function^phospholipid binding`GO:0005198^molecular_function^structural molecule activity`GO:0001525^biological_process^angiogenesis`GO:0035909^biological_process^aorta morphogenesis`GO:0003180^biological_process^aortic valve morphogenesis`GO:0001974^biological_process^blood vessel remodeling`GO:0061309^biological_process^cardiac neural crest cell development involved in outflow tract morphogenesis`GO:0003215^biological_process^cardiac right ventricle morphogenesis`GO:0060411^biological_process^cardiac septum morphogenesis`GO:0001709^biological_process^cell fate determination`GO:0061073^biological_process^ciliary body morphogenesis`GO:0072017^biological_process^distal tubule development`GO:0061444^biological_process^endocardial cushion cell development`GO:0045446^biological_process^endothelial cell differentiation`GO:0072015^biological_process^glomerular visceral epithelial cell development`GO:0030097^biological_process^hemopoiesis`GO:0042491^biological_process^inner ear auditory receptor cell differentiation`GO:0030216^biological_process^keratinocyte differentiation`GO:0072070^biological_process^loop of Henle development`GO:0002011^biological_process^morphogenesis of an epithelial sheet`GO:0045445^biological_process^myoblast differentiation`GO:0030336^biological_process^negative regulation of cell migration`GO:0022408^biological_process^negative regulation of cell-cell adhesion`GO:0001953^biological_process^negative regulation of cell-matrix adhesion`GO:0045602^biological_process^negative regulation of endothelial cell differentiation`GO:0045599^biological_process^negative regulation of fat cell differentiation`GO:0045665^biological_process^negative regulation of neuron differentiation`GO:2000737^biological_process^negative regulation of stem cell differentiation`GO:0072006^biological_process^nephron development`GO:0007399^biological_process^nervous system development`GO:0097150^biological_process^neuronal stem cell population maintenance`GO:0061314^biological_process^Notch signaling involved in heart development`GO:0007219^biological_process^Notch signaling pathway`GO:0062043^biological_process^positive regulation of cardiac epithelial to mesenchymal transition`GO:0045639^biological_process^positive regulation of myeloid cell differentiation`GO:0045747^biological_process^positive regulation of Notch signaling pathway`GO:0045669^biological_process^positive regulation of osteoblast differentiation`GO:0045944^biological_process^positive regulation of transcription by RNA polymerase II`GO:0061156^biological_process^pulmonary artery morphogenesis`GO:0003184^biological_process^pulmonary valve morphogenesis`GO:0042127^biological_process^regulation of cell population proliferation`GO:0032495^biological_process^response to muramyl dipeptide`GO:0002456^biological_process^T cell mediated immunity	.	RPACG00000010203.1	DELTA-LIKE PROTEIN 4	K02599
OG0001122	riftia	GO:0016021^cellular_component^integral component of membrane`GO:0005509^molecular_function^calcium ion binding`GO:0006897^biological_process^endocytosis`GO:0021517^biological_process^ventral spinal cord development	GO:0016021^cellular_component^integral component of membrane`GO:0005509^molecular_function^calcium ion binding`GO:0006897^biological_process^endocytosis`GO:0021517^biological_process^ventral spinal cord development	.	RPACG00000014948.1	VITELLOGENIN RECEPTOR-LIKE PROTEIN-RELATED	K20051
OG0001122	riftia	GO:0009986^cellular_component^cell surface`GO:0030425^cellular_component^dendrite`GO:0016021^cellular_component^integral component of membrane`GO:0031594^cellular_component^neuromuscular junction`GO:0043025^cellular_component^neuronal cell body`GO:0005886^cellular_component^plasma membrane`GO:0044853^cellular_component^plasma membrane raft`GO:0014069^cellular_component^postsynaptic density`GO:0097060^cellular_component^synaptic membrane`GO:0034185^molecular_function^apolipoprotein binding`GO:0005509^molecular_function^calcium ion binding`GO:0042803^molecular_function^protein homodimerization activity`GO:0030971^molecular_function^receptor tyrosine kinase binding`GO:0097110^molecular_function^scaffold protein binding`GO:0150094^biological_process^amyloid-beta clearance by cellular catabolic process`GO:0048856^biological_process^anatomical structure development`GO:0048813^biological_process^dendrite morphogenesis`GO:0009953^biological_process^dorsal/ventral pattern formation`GO:0042733^biological_process^embryonic digit morphogenesis`GO:0030326^biological_process^embryonic limb morphogenesis`GO:0006897^biological_process^endocytosis`GO:0001942^biological_process^hair follicle development`GO:0001822^biological_process^kidney development`GO:0060173^biological_process^limb development`GO:0050771^biological_process^negative regulation of axonogenesis`GO:0090090^biological_process^negative regulation of canonical Wnt signaling pathway`GO:0030279^biological_process^negative regulation of ossification`GO:0042475^biological_process^odontogenesis of dentin-containing tooth`GO:0050731^biological_process^positive regulation of peptidyl-tyrosine phosphorylation`GO:1901631^biological_process^positive regulation of presynaptic membrane organization`GO:1904395^biological_process^positive regulation of skeletal muscle acetylcholine-gated channel clustering`GO:0097104^biological_process^postsynaptic membrane assembly`GO:0097105^biological_process^presynaptic membrane assembly`GO:0008104^biological_process^protein localization`GO:0009954^biological_process^proximal/distal pattern formation`GO:0043113^biological_process^receptor clustering`GO:0001932^biological_process^regulation of protein phosphorylation`GO:0071340^biological_process^skeletal muscle acetylcholine-gated channel clustering`GO:0050808^biological_process^synapse organization`GO:0051124^biological_process^synaptic growth at neuromuscular junction`GO:0016055^biological_process^Wnt signaling pathway	GO:0009986^cellular_component^cell surface`GO:0030425^cellular_component^dendrite`GO:0016021^cellular_component^integral component of membrane`GO:0031594^cellular_component^neuromuscular junction`GO:0043025^cellular_component^neuronal cell body`GO:0005886^cellular_component^plasma membrane`GO:0044853^cellular_component^plasma membrane raft`GO:0014069^cellular_component^postsynaptic density`GO:0097060^cellular_component^synaptic membrane`GO:0034185^molecular_function^apolipoprotein binding`GO:0005509^molecular_function^calcium ion binding`GO:0042803^molecular_function^protein homodimerization activity`GO:0030971^molecular_function^receptor tyrosine kinase binding`GO:0097110^molecular_function^scaffold protein binding`GO:0150094^biological_process^amyloid-beta clearance by cellular catabolic process`GO:0048856^biological_process^anatomical structure development`GO:0048813^biological_process^dendrite morphogenesis`GO:0009953^biological_process^dorsal/ventral pattern formation`GO:0042733^biological_process^embryonic digit morphogenesis`GO:0030326^biological_process^embryonic limb morphogenesis`GO:0006897^biological_process^endocytosis`GO:0001942^biological_process^hair follicle development`GO:0001822^biological_process^kidney development`GO:0060173^biological_process^limb development`GO:0050771^biological_process^negative regulation of axonogenesis`GO:0090090^biological_process^negative regulation of canonical Wnt signaling pathway`GO:0030279^biological_process^negative regulation of ossification`GO:0042475^biological_process^odontogenesis of dentin-containing tooth`GO:0050731^biological_process^positive regulation of peptidyl-tyrosine phosphorylation`GO:1901631^biological_process^positive regulation of presynaptic membrane organization`GO:1904395^biological_process^positive regulation of skeletal muscle acetylcholine-gated channel clustering`GO:0097104^biological_process^postsynaptic membrane assembly`GO:0097105^biological_process^presynaptic membrane assembly`GO:0008104^biological_process^protein localization`GO:0009954^biological_process^proximal/distal pattern formation`GO:0043113^biological_process^receptor clustering`GO:0001932^biological_process^regulation of protein phosphorylation`GO:0071340^biological_process^skeletal muscle acetylcholine-gated channel clustering`GO:0050808^biological_process^synapse organization`GO:0051124^biological_process^synaptic growth at neuromuscular junction`GO:0016055^biological_process^Wnt signaling pathway	GO:0008270^molecular_function^zinc ion binding	RPACG00000015156.1	VITELLOGENIN RECEPTOR-LIKE PROTEIN-RELATED	K20051
OG0001122	riftia	.	.	.	RPACG00000016202.1	VITELLOGENIN RECEPTOR-LIKE PROTEIN-RELATED-RELATED	
OG0001122	riftia	.	.	.	RPACG00000019619.1	NO HIT
OG0001122	riftia	GO:0016324^cellular_component^apical plasma membrane`GO:0030424^cellular_component^axon`GO:0031526^cellular_component^brush border membrane`GO:0005905^cellular_component^clathrin-coated pit`GO:0030425^cellular_component^dendrite`GO:0031904^cellular_component^endosome lumen`GO:0009897^cellular_component^external side of plasma membrane`GO:0016021^cellular_component^integral component of membrane`GO:0043235^cellular_component^receptor complex`GO:0005509^molecular_function^calcium ion binding`GO:0051087^molecular_function^chaperone binding`GO:0017124^molecular_function^SH3 domain binding`GO:0060982^biological_process^coronary artery morphogenesis`GO:1904447^biological_process^folate import across plasma membrane`GO:0008584^biological_process^male gonad development`GO:0030001^biological_process^metal ion transport`GO:0030514^biological_process^negative regulation of BMP signaling pathway`GO:0001843^biological_process^neural tube closure`GO:0140058^biological_process^neuron projection arborization`GO:0003148^biological_process^outflow tract septum morphogenesis`GO:1905167^biological_process^positive regulation of lysosomal protein catabolic process`GO:0050769^biological_process^positive regulation of neurogenesis`GO:0070447^biological_process^positive regulation of oligodendrocyte progenitor proliferation`GO:0061156^biological_process^pulmonary artery morphogenesis`GO:0006898^biological_process^receptor-mediated endocytosis`GO:0003139^biological_process^secondary heart field specification`GO:0007605^biological_process^sensory perception of sound`GO:0060068^biological_process^vagina development`GO:0003223^biological_process^ventricular compact myocardium morphogenesis	GO:0016324^cellular_component^apical plasma membrane`GO:0030424^cellular_component^axon`GO:0031526^cellular_component^brush border membrane`GO:0005905^cellular_component^clathrin-coated pit`GO:0030425^cellular_component^dendrite`GO:0031904^cellular_component^endosome lumen`GO:0009897^cellular_component^external side of plasma membrane`GO:0016021^cellular_component^integral component of membrane`GO:0043235^cellular_component^receptor complex`GO:0005509^molecular_function^calcium ion binding`GO:0051087^molecular_function^chaperone binding`GO:0017124^molecular_function^SH3 domain binding`GO:0060982^biological_process^coronary artery morphogenesis`GO:1904447^biological_process^folate import across plasma membrane`GO:0008584^biological_process^male gonad development`GO:0030001^biological_process^metal ion transport`GO:0030514^biological_process^negative regulation of BMP signaling pathway`GO:0001843^biological_process^neural tube closure`GO:0140058^biological_process^neuron projection arborization`GO:0003148^biological_process^outflow tract septum morphogenesis`GO:1905167^biological_process^positive regulation of lysosomal protein catabolic process`GO:0050769^biological_process^positive regulation of neurogenesis`GO:0070447^biological_process^positive regulation of oligodendrocyte progenitor proliferation`GO:0061156^biological_process^pulmonary artery morphogenesis`GO:0006898^biological_process^receptor-mediated endocytosis`GO:0003139^biological_process^secondary heart field specification`GO:0007605^biological_process^sensory perception of sound`GO:0060068^biological_process^vagina development`GO:0003223^biological_process^ventricular compact myocardium morphogenesis	.	RPACG00000019621.1	VITELLOGENIN RECEPTOR-LIKE PROTEIN-RELATED-RELATED	K20051
OG0001122	riftia	GO:0009986^cellular_component^cell surface`GO:0030425^cellular_component^dendrite`GO:0016021^cellular_component^integral component of membrane`GO:0031594^cellular_component^neuromuscular junction`GO:0043025^cellular_component^neuronal cell body`GO:0005886^cellular_component^plasma membrane`GO:0044853^cellular_component^plasma membrane raft`GO:0014069^cellular_component^postsynaptic density`GO:0097060^cellular_component^synaptic membrane`GO:0034185^molecular_function^apolipoprotein binding`GO:0005509^molecular_function^calcium ion binding`GO:0042803^molecular_function^protein homodimerization activity`GO:0030971^molecular_function^receptor tyrosine kinase binding`GO:0097110^molecular_function^scaffold protein binding`GO:0150094^biological_process^amyloid-beta clearance by cellular catabolic process`GO:0048813^biological_process^dendrite morphogenesis`GO:0009953^biological_process^dorsal/ventral pattern formation`GO:0042733^biological_process^embryonic digit morphogenesis`GO:0006897^biological_process^endocytosis`GO:0001942^biological_process^hair follicle development`GO:0001822^biological_process^kidney development`GO:0060173^biological_process^limb development`GO:0050771^biological_process^negative regulation of axonogenesis`GO:0090090^biological_process^negative regulation of canonical Wnt signaling pathway`GO:0030279^biological_process^negative regulation of ossification`GO:0042475^biological_process^odontogenesis of dentin-containing tooth`GO:0050731^biological_process^positive regulation of peptidyl-tyrosine phosphorylation`GO:1901631^biological_process^positive regulation of presynaptic membrane organization`GO:1904395^biological_process^positive regulation of skeletal muscle acetylcholine-gated channel clustering`GO:0097104^biological_process^postsynaptic membrane assembly`GO:0097105^biological_process^presynaptic membrane assembly`GO:0009954^biological_process^proximal/distal pattern formation`GO:0071340^biological_process^skeletal muscle acetylcholine-gated channel clustering`GO:0050808^biological_process^synapse organization`GO:0051124^biological_process^synaptic growth at neuromuscular junction`GO:0016055^biological_process^Wnt signaling pathway	GO:0009986^cellular_component^cell surface`GO:0030425^cellular_component^dendrite`GO:0016021^cellular_component^integral component of membrane`GO:0031594^cellular_component^neuromuscular junction`GO:0043025^cellular_component^neuronal cell body`GO:0005886^cellular_component^plasma membrane`GO:0044853^cellular_component^plasma membrane raft`GO:0014069^cellular_component^postsynaptic density`GO:0097060^cellular_component^synaptic membrane`GO:0034185^molecular_function^apolipoprotein binding`GO:0005509^molecular_function^calcium ion binding`GO:0042803^molecular_function^protein homodimerization activity`GO:0030971^molecular_function^receptor tyrosine kinase binding`GO:0097110^molecular_function^scaffold protein binding`GO:0150094^biological_process^amyloid-beta clearance by cellular catabolic process`GO:0048813^biological_process^dendrite morphogenesis`GO:0009953^biological_process^dorsal/ventral pattern formation`GO:0042733^biological_process^embryonic digit morphogenesis`GO:0006897^biological_process^endocytosis`GO:0001942^biological_process^hair follicle development`GO:0001822^biological_process^kidney development`GO:0060173^biological_process^limb development`GO:0050771^biological_process^negative regulation of axonogenesis`GO:0090090^biological_process^negative regulation of canonical Wnt signaling pathway`GO:0030279^biological_process^negative regulation of ossification`GO:0042475^biological_process^odontogenesis of dentin-containing tooth`GO:0050731^biological_process^positive regulation of peptidyl-tyrosine phosphorylation`GO:1901631^biological_process^positive regulation of presynaptic membrane organization`GO:1904395^biological_process^positive regulation of skeletal muscle acetylcholine-gated channel clustering`GO:0097104^biological_process^postsynaptic membrane assembly`GO:0097105^biological_process^presynaptic membrane assembly`GO:0009954^biological_process^proximal/distal pattern formation`GO:0071340^biological_process^skeletal muscle acetylcholine-gated channel clustering`GO:0050808^biological_process^synapse organization`GO:0051124^biological_process^synaptic growth at neuromuscular junction`GO:0016055^biological_process^Wnt signaling pathway	.	RPACG00000019622.1	VITELLOGENIN RECEPTOR-LIKE PROTEIN-RELATED-RELATED	K20051
OG0001122	riftia	.	.	.	RPACG00000020064.1	LOC100135371 PROTEIN	
