Orthogroup	Panther_annotation
OG0000009	 FAMILY NOT NAMED
OG0000336	 SUBFAMILY NOT NAMED
OG0000395	 UNCHARACTERIZED
OG0000440	 NOTCH LIGAND FAMILY MEMBER
OG0000656	 SUBFAMILY NOT NAMED
OG0000711	 SI:CH211-108C17.2-RELATED-RELATED
OG0000713	 FAMILY NOT NAMED
OG0000724	 SI:CH211-243P7.3-RELATED
OG0000726	 NO HIT
OG0000830	 KELCH-LIKE PROTEIN 20
OG0000883	 NO HIT
OG0000954	 FAMILY NOT NAMED
OG0001033	 NO HIT
OG0001078	 FAMILY NOT NAMED
OG0001156	 PROTEIN B PUTATIVE-RELATED
OG0001193	 NO HIT
OG0001242	 CHROMOBOX HOMOLOG 1A (HP1 BETA HOMOLOG DROSOPHILA)-RELATED
OG0001571	 SUBFAMILY NOT NAMED
OG0001608	 POLYCOMB GROUP PROTEIN PC
OG0001662	 NO HIT
OG0001823	 NO HIT
OG0001893	 NO HIT
OG0001907	 FAMILY NOT NAMED
OG0002090	 SUBFAMILY NOT NAMED
OG0002194	 ATP-DEPENDENT DNA HELICASE Q5
OG0002293	 POPEYE DOMAIN-CONTAINING PROTEIN 3-LIKE PROTEIN
OG0002335	 PROTEIN ZBED8
OG0003006	 NO HIT
OG0003014	 NO HIT
OG0003400	 SUBFAMILY NOT NAMED
OG0003479	 NO HIT
OG0003565	 NO HIT
OG0003623	 SENESCENCE-ASSOCIATED PROTEIN
OG0003781	 LEUCINE-RICH REPEAT-CONTAINING PROTEIN 1
OG0004081	 SUBFAMILY NOT NAMED
OG0004454	 SUBFAMILY NOT NAMED
OG0004544	 HISTONE-LYSINE N-METHYLTRANSFERASE SETD2
OG0004939	 SUBFAMILY NOT NAMED
OG0005135	 RETROVIRUS-RELATED POL POLYPROTEIN LINE-1
OG0005477	 NO HIT
OG0005487	 SUBFAMILY NOT NAMED
OG0006407	 FAMILY NOT NAMED
OG0006598	 115 KDA PROTEIN IN TYPE-1 RETROTRANSPOSABLE ELEMENT R1DM-LIKE PROTEIN-RELATED
OG0007118	 PUTATIVE-RELATED
OG0007137	 FAMILY NOT NAMED
OG0007569	 NO HIT
OG0007593	 FAMILY NOT NAMED
OG0007918	 RIBOSOME MATURATION FACTOR RIMM
OG0008013	 MULTIPLE EPIDERMAL GROWTH FACTOR-LIKE DOMAINS PROTEIN
OG0008021	 SUBFAMILY NOT NAMED
OG0008343	 VERTNIN
OG0008538	 COILED-COIL DOMAIN-CONTAINING PROTEIN 9
OG0008612	 PEPTIDYL-TRNA HYDROLASE PTRHD1-RELATED
OG0008724	 EG:152A3.5 PROTEIN (FBGN0003116 PN PROTEIN)
OG0008736	 SI:CH211-207I20.3-RELATED
OG0008746	 GLUCOSE INHIBITED DIVISION PROTEIN A
OG0008977	 NO HIT
OG0009048	 FAMILY NOT NAMED
OG0009107	 LAMININ SUBUNIT BETA-1
OG0009147	 SUBFAMILY NOT NAMED
OG0009296	 NO HIT
OG0009353	 INTELECTIN
OG0009355	 SUBFAMILY NOT NAMED
OG0009640	 PROTEIN CBG26694
OG0009643	 SUBFAMILY NOT NAMED
OG0009709	 FAMILY NOT NAMED
OG0009722	 NO HIT
OG0009745	 G PATCH DOMAIN AND ANKYRIN REPEAT-CONTAINING PROTEIN 1
OG0009808	 NO HIT
OG0009838	 SUBFAMILY NOT NAMED
OG0009891	 NO HIT
OG0009936	 RETROVIRUS-RELATED POL POLYPROTEIN FROM TRANSPOSON GYPSY-LIKE PROTEIN
OG0009938	 NO HIT
OG0009942	 NO HIT
OG0009946	 SUBFAMILY NOT NAMED
OG0010008	 LD44824P
OG0010185	 TRANSCRIPTIONAL REGULATOR ATRX
OG0010247	 NO HIT
OG0010254	 RHO GTPASE ACTIVATING PROTEIN AT 15B ISOFORM C
OG0010332	 NO HIT
OG0010619	 MULTIDRUG RESISTANCE-ASSOCIATED PROTEIN 4
OG0010637	 REGULATOR OF G-PROTEIN SIGNALING PROTEIN-LIKE
OG0010681	 CYSTEINE-RICH PDF MOTIF DOMAIN-CONTAINING PROTEIN 1
OG0010798	 FAMILY NOT NAMED
OG0010879	 NO HIT
OG0010910	 "STEROID 17-ALPHA-HYDROXYLASE/17 20 LYASE"
OG0010934	 NO HIT
OG0010957	 POTASSIUM VOLTAGE-GATED CHANNEL SUBFAMILY KQT MEMBER 4
OG0010972	 FAMILY NOT NAMED
OG0010992	 PIGGYBAC TRANSPOSABLE ELEMENT-DERIVED PROTEIN 4
OG0011048	 TWITCHIN-LIKE PROTEIN
OG0011099	 THISBE
OG0011216	 SODIUM CHANNEL PROTEIN PARA
