OG0001122	Ofra|OFRAG00000001656.1
OG0001462	Ofra|OFRAG00000005824.1, Ofra|OFRAG00000005825.1
OG0006604	Ofra|OFRAG00000002515.1, Ofra|OFRAG00000003548.1, Ofra|OFRAG00000013723.1
OG0008753	Ofra|OFRAG00000006414.1
OG0008756	Ofra|OFRAG00000008858.1, Ofra|OFRAG00000008860.1
OG0009650	Ofra|OFRAG00000006332.1, Ofra|OFRAG00000006333.1, Ofra|OFRAG00000006334.1, Ofra|OFRAG00000006335.1
OG0010253	Ofra|OFRAG00000005762.1
OG0010533	Ofra|OFRAG00000002327.1, Ofra|OFRAG00000002329.1
OG0010534	Ofra|OFRAG00000006901.1, Ofra|OFRAG00000006902.1, Ofra|OFRAG00000007073.1, Ofra|OFRAG00000007330.1, Ofra|OFRAG00000011364.1, Ofra|OFRAG00000013077.1, Ofra|OFRAG00000017893.1, Ofra|OFRAG00000017894.1
OG0011127	Ofra|OFRAG00000010960.1, Ofra|OFRAG00000010961.1, Ofra|OFRAG00000012674.1, Ofra|OFRAG00000015523.1, Ofra|OFRAG00000017380.1, Ofra|OFRAG00000017685.1
OG0011131	Ofra|OFRAG00000013248.1
OG0011783	Ofra|OFRAG00000001081.1, Ofra|OFRAG00000001291.1, Ofra|OFRAG00000001292.1, Ofra|OFRAG00000004433.1, Ofra|OFRAG00000004916.1, Ofra|OFRAG00000004917.1, Ofra|OFRAG00000004918.1, Ofra|OFRAG00000007450.1, Ofra|OFRAG00000007457.1, Ofra|OFRAG00000012435.1, Ofra|OFRAG00000012507.1, Ofra|OFRAG00000014132.1, Ofra|OFRAG00000014313.1, Ofra|OFRAG00000014314.1
OG0012142	Ofra|OFRAG00000007241.1
OG0012566	Ofra|OFRAG00000000580.1
OG0013077	Ofra|OFRAG00000001974.1, Ofra|OFRAG00000005885.1, Ofra|OFRAG00000005886.1, Ofra|OFRAG00000005887.1, Ofra|OFRAG00000011418.1, Ofra|OFRAG00000015502.1
OG0013095	Ofra|OFRAG00000003432.1, Ofra|OFRAG00000003433.1
OG0013099	Ofra|OFRAG00000002772.1, Ofra|OFRAG00000013369.1, Ofra|OFRAG00000014669.1, Ofra|OFRAG00000015943.1
OG0013100	Ofra|OFRAG00000000581.1
OG0013703	Ofra|OFRAG00000013855.1
OG0013710	Ofra|OFRAG00000002819.1
OG0013728	Ofra|OFRAG00000009494.1, Ofra|OFRAG00000010606.1
OG0013784	Ofra|OFRAG00000004467.1, Ofra|OFRAG00000004468.1
OG0014434	Ofra|OFRAG00000012913.1
OG0014439	Ofra|OFRAG00000010719.1
OG0014453	Ofra|OFRAG00000009593.1, Ofra|OFRAG00000009595.1, Ofra|OFRAG00000009596.1, Ofra|OFRAG00000009597.1, Ofra|OFRAG00000015444.1, Ofra|OFRAG00000015774.1, Ofra|OFRAG00000016724.1, Ofra|OFRAG00000016725.1
OG0015340	Ofra|OFRAG00000007570.1
OG0015343	Ofra|OFRAG00000008786.1
OG0015365	Ofra|OFRAG00000000801.1, Ofra|OFRAG00000000802.1
OG0015392	Ofra|OFRAG00000007333.1
OG0015397	Ofra|OFRAG00000005084.1, Ofra|OFRAG00000015014.1, Ofra|OFRAG00000015015.1, Ofra|OFRAG00000015016.1
OG0015399	Ofra|OFRAG00000003707.1
OG0015406	Ofra|OFRAG00000009944.1
OG0016449	Ofra|OFRAG00000011288.2
OG0016459	Ofra|OFRAG00000010315.1
OG0016463	Ofra|OFRAG00000013432.1
OG0016469	Ofra|OFRAG00000009247.1, Ofra|OFRAG00000009248.1
OG0016471	Ofra|OFRAG00000010491.1
OG0016521	Ofra|OFRAG00000001652.1
OG0016523	Ofra|OFRAG00000016718.1
OG0017931	Ofra|OFRAG00000003743.1
OG0017933	Ofra|OFRAG00000009619.1
OG0017951	Ofra|OFRAG00000012021.1, Ofra|OFRAG00000012022.1
OG0017960	Ofra|OFRAG00000001748.1
OG0017976	Ofra|OFRAG00000003720.1, Ofra|OFRAG00000005816.1
OG0017977	Ofra|OFRAG00000014154.1, Ofra|OFRAG00000014155.1
OG0017989	Ofra|OFRAG00000002367.1
OG0017990	Ofra|OFRAG00000000943.1
OG0017994	Ofra|OFRAG00000001578.1
OG0018001	Ofra|OFRAG00000008406.1, Ofra|OFRAG00000008407.1
OG0018026	Ofra|OFRAG00000016868.1
OG0018028	Ofra|OFRAG00000014050.1
OG0018199	Ofra|OFRAG00000002109.1
OG0019943	Ofra|OFRAG00000003405.1, Ofra|OFRAG00000013575.1
OG0019964	Ofra|OFRAG00000010242.1, Ofra|OFRAG00000013382.1
OG0019966	Ofra|OFRAG00000013300.1, Ofra|OFRAG00000013302.1
OG0019981	Ofra|OFRAG00000009282.1
OG0019982	Ofra|OFRAG00000015907.1
OG0019985	Ofra|OFRAG00000001991.1
OG0019991	Ofra|OFRAG00000004953.1
OG0019996	Ofra|OFRAG00000015400.1
OG0020006	Ofra|OFRAG00000010101.1
OG0020012	Ofra|OFRAG00000013039.1
OG0020024	Ofra|OFRAG00000003900.1
OG0020045	Ofra|OFRAG00000010739.1
OG0020050	Ofra|OFRAG00000009404.1
OG0020058	Ofra|OFRAG00000014914.1
OG0020081	Ofra|OFRAG00000002049.1
OG0020122	Ofra|OFRAG00000002672.1
OG0020124	Ofra|OFRAG00000001653.1
OG0020127	Ofra|OFRAG00000014701.1
OG0020128	Ofra|OFRAG00000003835.1
OG0020130	Ofra|OFRAG00000005327.1
