OG0000043	Oalv|OALVG00000007688.1
OG0000061	Oalv|OALVG00000002827.1, Oalv|OALVG00000002845.1, Oalv|OALVG00000005352.1, Oalv|OALVG00000005354.1, Oalv|OALVG00000005356.1, Oalv|OALVG00000005358.1, Oalv|OALVG00000005360.1, Oalv|OALVG00000005362.1, Oalv|OALVG00000005364.1, Oalv|OALVG00000005366.1, Oalv|OALVG00000005368.1, Oalv|OALVG00000005370.1, Oalv|OALVG00000005372.1, Oalv|OALVG00000005374.1, Oalv|OALVG00000005376.1, Oalv|OALVG00000005424.1, Oalv|OALVG00000005425.1, Oalv|OALVG00000005544.1, Oalv|OALVG00000006183.1, Oalv|OALVG00000009348.1, Oalv|OALVG00000009350.1, Oalv|OALVG00000009352.1, Oalv|OALVG00000009354.1, Oalv|OALVG00000009356.1, Oalv|OALVG00000009358.1, Oalv|OALVG00000009360.1, Oalv|OALVG00000009362.1, Oalv|OALVG00000009364.1, Oalv|OALVG00000009366.1, Oalv|OALVG00000009369.1, Oalv|OALVG00000009371.1, Oalv|OALVG00000009373.1, Oalv|OALVG00000009375.1, Oalv|OALVG00000009377.1, Oalv|OALVG00000009379.1, Oalv|OALVG00000009381.1, Oalv|OALVG00000010973.1, Oalv|OALVG00000022680.1, Oalv|OALVG00000022682.1, Oalv|OALVG00000024700.1, Oalv|OALVG00000025144.1, Oalv|OALVG00000025146.1, Oalv|OALVG00000025148.1, Oalv|OALVG00000025151.1, Oalv|OALVG00000025153.1, Oalv|OALVG00000025155.1, Oalv|OALVG00000027571.1
OG0000062	Oalv|OALVG00000002826.1, Oalv|OALVG00000005353.1, Oalv|OALVG00000005355.1, Oalv|OALVG00000005357.1, Oalv|OALVG00000005359.1, Oalv|OALVG00000005361.1, Oalv|OALVG00000005363.1, Oalv|OALVG00000005365.1, Oalv|OALVG00000005367.1, Oalv|OALVG00000005369.1, Oalv|OALVG00000005371.1, Oalv|OALVG00000005373.1, Oalv|OALVG00000005375.1, Oalv|OALVG00000005378.1, Oalv|OALVG00000005423.1, Oalv|OALVG00000005543.1, Oalv|OALVG00000009349.1, Oalv|OALVG00000009351.1, Oalv|OALVG00000009353.1, Oalv|OALVG00000009355.1, Oalv|OALVG00000009357.1, Oalv|OALVG00000009359.1, Oalv|OALVG00000009361.1, Oalv|OALVG00000009363.1, Oalv|OALVG00000009365.1, Oalv|OALVG00000009367.1, Oalv|OALVG00000009368.1, Oalv|OALVG00000009370.1, Oalv|OALVG00000009372.1, Oalv|OALVG00000009374.1, Oalv|OALVG00000009376.1, Oalv|OALVG00000009378.1, Oalv|OALVG00000009380.1, Oalv|OALVG00000009382.1, Oalv|OALVG00000022681.1, Oalv|OALVG00000022683.1, Oalv|OALVG00000024532.1, Oalv|OALVG00000024551.1, Oalv|OALVG00000024552.1, Oalv|OALVG00000024699.1, Oalv|OALVG00000025141.1, Oalv|OALVG00000025143.1, Oalv|OALVG00000025145.1, Oalv|OALVG00000025147.1, Oalv|OALVG00000025149.1, Oalv|OALVG00000025150.1, Oalv|OALVG00000025152.1, Oalv|OALVG00000025154.1, Oalv|OALVG00000025156.1, Oalv|OALVG00000025158.1, Oalv|OALVG00000025160.1, Oalv|OALVG00000025162.1, Oalv|OALVG00000025164.1, Oalv|OALVG00000025166.1, Oalv|OALVG00000025168.1, Oalv|OALVG00000027572.1
OG0000107	Oalv|OALVG00000023736.1, Oalv|OALVG00000026066.1
OG0000123	Oalv|OALVG00000018864.1, Oalv|OALVG00000029225.1
OG0000138	Oalv|OALVG00000008568.1
OG0000245	Oalv|OALVG00000003095.1, Oalv|OALVG00000033411.1
OG0000256	Oalv|OALVG00000017253.1
OG0000299	Oalv|OALVG00000000911.1, Oalv|OALVG00000010249.1, Oalv|OALVG00000015239.1
OG0000313	Oalv|OALVG00000012115.1
OG0000314	Oalv|OALVG00000011050.1
