Orthogroup	Panther_annotation
OG0000832	 NO HIT
OG0004467	 OLFACTORY RECEPTOR AND ADENOSINE RECEPTOR
OG0010252	 THIOESTERASE 1/PROTEASE 1/LYSOPHOSPHOLIPASE L1
OG0010531	 UNCHARACTERIZED
OG0010822	 THIOESTERASE 1/PROTEASE 1/LYSOPHOSPHOLIPASE L1
OG0011129	 HYDROXYCARBOXYLATE DEHYDROGENASE B-RELATED
OG0011133	 FAMILY NOT NAMED
OG0011752	 NO HIT
OG0011753	 NO HIT
OG0011761	 SUBFAMILY NOT NAMED
OG0012126	 NO HIT
OG0012131	 SUBFAMILY NOT NAMED
OG0012133	 RAN GTPASE-ACTIVATING PROTEIN 1
OG0012554	 FAMILY NOT NAMED
OG0012555	 ZN(II)2CYS6 TRANSCRIPTION FACTOR (EUROFUNG)-RELATED-RELATED
OG0012558	 FAMILY NOT NAMED
OG0012562	 SUBFAMILY NOT NAMED
OG0012568	 C-TYPE LECTIN
OG0012572	 NO HIT
OG0012577	 EXPRESSED PROTEIN
OG0013076	 FAMILY NOT NAMED
OG0013078	 HAT FAMILY DIMERISATION DOMAINCONTAINING PROTEIN
OG0013085	 NO HIT
OG0013089	 NO HIT
OG0013091	 MUCIN-4
OG0013092	 FI02047P-RELATED
OG0013721	 SUBFAMILY NOT NAMED
OG0014424	 TUDOR DOMAIN CONTAINING PROTEIN
OG0014427	 NO HIT
OG0014428	 NO HIT
OG0014431	 NO HIT
OG0014436	 SUBFAMILY NOT NAMED
OG0014438	 NO HIT
OG0014442	 SUBFAMILY NOT NAMED
OG0014446	 NO HIT
OG0014449	 NO HIT
OG0014451	 ACID-SENSING ION CHANNEL 4
OG0014474	 NO HIT
OG0015324	 DNA-DIRECTED RNA POLYMERASES I II AND III SUBUNIT RPABC2
OG0015325	 SUBFAMILY NOT NAMED
OG0015329	 NO HIT
OG0015331	 NO HIT
OG0015332	 PIGGYBAC TRANSPOSABLE ELEMENT-DERIVED 4-RELATED
OG0015336	 NO HIT
