OG0000167	Pech|nbis-mrna-18169
OG0000285	Pech|nbis-mrna-17831, Pech|nbis-mrna-17832, Pech|nbis-mrna-21756
OG0000444	
OG0000477	
OG0000565	Pech|nbis-mrna-1341, Pech|nbis-mrna-2934, Pech|nbis-mrna-5703
OG0000593	Pech|nbis-mrna-10944, Pech|nbis-mrna-12413, Pech|nbis-mrna-12491, Pech|nbis-mrna-12635, Pech|nbis-mrna-13496, Pech|nbis-mrna-13975, Pech|nbis-mrna-18798, Pech|nbis-mrna-20664, Pech|nbis-mrna-21385, Pech|nbis-mrna-2382, Pech|nbis-mrna-4414, Pech|nbis-mrna-447, Pech|nbis-mrna-4505, Pech|nbis-mrna-5770, Pech|nbis-mrna-6251, Pech|nbis-mrna-6874, Pech|nbis-mrna-7032, Pech|nbis-mrna-7274, Pech|nbis-mrna-7378, Pech|nbis-mrna-8395, Pech|nbis-mrna-8397, Pech|nbis-mrna-8910, Pech|nbis-mrna-9951
OG0000599	
OG0000620	Pech|nbis-mrna-12226, Pech|nbis-mrna-16543
OG0000631	
OG0000717	Pech|nbis-mrna-5777
OG0000767	
OG0000787	
OG0001003	
OG0001091	Pech|nbis-mrna-14975
OG0001126	Pech|nbis-mrna-20032, Pech|nbis-mrna-6513
OG0001158	Pech|nbis-mrna-8353
OG0001195	Pech|nbis-mrna-1353, Pech|nbis-mrna-887
OG0001224	
OG0001517	Pech|nbis-mrna-15456
OG0001603	Pech|nbis-mrna-18280
OG0001635	
OG0001783	Pech|nbis-mrna-22312
OG0001914	Pech|nbis-mrna-5818
OG0001971	Pech|nbis-mrna-21770
OG0002083	
OG0002211	Pech|nbis-mrna-1018, Pech|nbis-mrna-10239, Pech|nbis-mrna-11158, Pech|nbis-mrna-11184, Pech|nbis-mrna-11679, Pech|nbis-mrna-12432, Pech|nbis-mrna-13431, Pech|nbis-mrna-13503, Pech|nbis-mrna-14760, Pech|nbis-mrna-14841, Pech|nbis-mrna-15165, Pech|nbis-mrna-15385, Pech|nbis-mrna-15470, Pech|nbis-mrna-16131, Pech|nbis-mrna-16354, Pech|nbis-mrna-16563, Pech|nbis-mrna-16627, Pech|nbis-mrna-16964, Pech|nbis-mrna-17313, Pech|nbis-mrna-17491, Pech|nbis-mrna-18294, Pech|nbis-mrna-18300, Pech|nbis-mrna-18469, Pech|nbis-mrna-19852, Pech|nbis-mrna-20086, Pech|nbis-mrna-202, Pech|nbis-mrna-20465, Pech|nbis-mrna-20817, Pech|nbis-mrna-21985, Pech|nbis-mrna-22076, Pech|nbis-mrna-2213, Pech|nbis-mrna-2472, Pech|nbis-mrna-2591, Pech|nbis-mrna-3592, Pech|nbis-mrna-6011, Pech|nbis-mrna-6798, Pech|nbis-mrna-709, Pech|nbis-mrna-9155, Pech|nbis-mrna-9305, Pech|nbis-mrna-9393, Pech|nbis-mrna-942, Pech|nbis-mrna-9760, Pech|nbis-mrna-9978
OG0002219	Pech|nbis-mrna-10471
OG0002250	
OG0002402	Pech|nbis-mrna-979
OG0002438	Pech|nbis-mrna-280
OG0002455	Pech|nbis-mrna-11219, Pech|nbis-mrna-11790, Pech|nbis-mrna-12086, Pech|nbis-mrna-13277, Pech|nbis-mrna-15060, Pech|nbis-mrna-15176, Pech|nbis-mrna-16841, Pech|nbis-mrna-16842, Pech|nbis-mrna-16845, Pech|nbis-mrna-16846, Pech|nbis-mrna-16849, Pech|nbis-mrna-16850, Pech|nbis-mrna-16851, Pech|nbis-mrna-20665, Pech|nbis-mrna-2072, Pech|nbis-mrna-22129, Pech|nbis-mrna-22161, Pech|nbis-mrna-3133, Pech|nbis-mrna-3135, Pech|nbis-mrna-3137, Pech|nbis-mrna-4506, Pech|nbis-mrna-6796, Pech|nbis-mrna-6801, Pech|nbis-mrna-7275, Pech|nbis-mrna-7808, Pech|nbis-mrna-8485, Pech|nbis-mrna-8488, Pech|nbis-mrna-8489, Pech|nbis-mrna-8490
OG0002737	Pech|nbis-mrna-12534
OG0002763	Pech|nbis-mrna-19474
OG0002777	
OG0002786	
OG0002912	Pech|nbis-mrna-1392
OG0003193	Pech|nbis-mrna-20513
OG0003286	Pech|nbis-mrna-19327
OG0003352	Pech|nbis-mrna-16735
OG0003466	Pech|nbis-mrna-10171, Pech|nbis-mrna-12223, Pech|nbis-mrna-1254, Pech|nbis-mrna-12826, Pech|nbis-mrna-16388, Pech|nbis-mrna-9019, Pech|nbis-mrna-903, Pech|nbis-mrna-904
OG0003666	Pech|nbis-mrna-15970, Pech|nbis-mrna-19711
OG0003743	Pech|nbis-mrna-13788
OG0003772	Pech|nbis-mrna-21878
OG0003804	Pech|nbis-mrna-5731
OG0004228	Pech|nbis-mrna-21203
