Orthogroup	Panther_annotation
OG0000207	 KELCH-LIKE PROTEIN 18
OG0000450	 DNA HELICASE-RELATED
OG0001138	 SUBFAMILY NOT NAMED
OG0001256	 ORGANIC SOLUTE TRANSPORTER ALPHA-LIKE PROTEIN
OG0001286	 SUBFAMILY NOT NAMED
OG0001356	 PROTEIN CBG17025
OG0001586	 RE42927P-RELATED
OG0001796	 PROTEIN WHITE
OG0002101	 LEUCINE-RICH REPEAT AND IMMUNOGLOBULIN-LIKE DOMAIN-CONTAINING NOGO RECEPTOR-INTERACTING PROTEIN 3
OG0003708	 IG(IMMUNOGLOBULIN) AND LRR(LEUCINE RICH REPEAT) DOMAINS
OG0003745	 AGAP008170-PA
OG0005478	 RAB6A MEMBER RAS ONCOGENE FAMILY-RELATED
OG0005517	 KEKKON-2
OG0006041	 TRACE AMINE-ASSOCIATED RECEPTOR 19N-RELATED
OG0006566	 ALPHA/BETA-HYDROLASES SUPERFAMILY PROTEIN
OG0007124	 MADF DOMAIN TRANSCRIPTION FACTOR
OG0008055	 SUBFAMILY NOT NAMED
OG0008269	 NEUFERRICIN
OG0008333	 LIM DOMAIN KINASE 1
OG0008677	 COPPER HOMEOSTASIS PROTEIN CUTC
OG0008698	 ZINC FINGER PROTEIN GFI-1-LIKE PROTEIN
OG0008715	 NOTCH LIGAND FAMILY MEMBER
OG0009007	 SI:CH211-189E2.2
OG0009068	 LD24340P
OG0009304	 PROTEIN TINCAR
OG0010251	 LAMBDA-CRYSTALLIN HOMOLOG
OG0010348	 FATTY ACID SYNTHASE
OG0010612	 BREAST CANCER TYPE 1 SUSCEPTIBILITY PROTEIN
OG0011303	 FI03704P-RELATED
OG0011382	 INTERLEUKIN-1 RECEPTOR FAMILY MEMBER
OG0011396	 RE54151P
OG0011455	 T-LYMPHOCYTE ACTIVATION ANTIGEN CD86
OG0011508	 UNCHARACTERIZED
OG0011512	 CYCLIN-DEPENDENT KINASE INHIBITOR 2C-RELATED
OG0011549	 CADHERIN-RELATED FAMILY MEMBER 2
OG0011559	 60S RIBOSOMAL PROTEIN L29
OG0011577	 AT09986P-RELATED
OG0011666	 FAMILY NOT NAMED
OG0011767	 SUBFAMILY NOT NAMED
OG0011832	 KELCH-LIKE PROTEIN 24 ISOFORM X1
OG0012005	 COP9 SIGNALOSOME COMPLEX SUBUNIT 9
OG0012011	 HIGH-AFFINITY BRANCHED-CHAIN AMINO ACID TRANSPORT ATP-BINDING PROTEIN LIVG
OG0012164	 HOMEOBOX PROTEIN TRANSCRIPTION FACTORS
OG0012232	 HISTONE DEACETYLASE-LIKE PROTEIN
OG0012852	 NO HIT
OG0012888	 5-HYDROXYTRYPTAMINE (SEROTONIN) RECEPTOR 2A ISOFORM B
OG0013043	 PROSTATE STEM CELL ANTIGEN
OG0013289	 SI:DKEY-1J5.4
OG0013352	 NO HIT
OG0013498	 LEUCINE RICH REPEAT AND IG DOMAIN CONTAINING 4
OG0013596	 SI:CH211-276C2.4-RELATED
OG0013662	 C-TYPE LECTIN DOMAIN FAMILY 20 MEMBER A-RELATED
OG0014007	 NEJIRE ISOFORM C
OG0014033	 OCTOPAMINE RECEPTOR BETA-3R
OG0014182	 ECDYSONE-INDUCIBLE GENE E1 ISOFORM A
OG0014192	 CRYPTIC PROTEIN
OG0014263	 MAM DOMAIN-CONTAINING 2B
OG0014418	 LOW-DENSITY LIPOPROTEIN RECEPTOR-RELATED PROTEIN 12
OG0014507	 CNMAMIDE RECEPTOR
OG0014737	 SMALL INTEGRAL MEMBRANE PROTEIN 4
OG0014756	 RHO GTPASE-ACTIVATING PROTEIN 39
OG0014807	 DEHYDROGENASE PUTATIVE-RELATED
OG0014851	 NO HIT
OG0014915	 TETRASPANIN-36
OG0014928	 ZGC:113162
OG0015176	 ACTIVATED CDC42 KINASE
OG0015318	 FAMILY NOT NAMED
OG0015835	 ECDYSONE-INDUCIBLE GENE E1 ISOFORM A
OG0016120	 GH08155P
OG0016397	 "ECDYSONE-INDUCIBLE GENE E1 ISOFORM A"
OG0016847	 SUBFAMILY NOT NAMED
OG0017001	 CADHERIN-87A
OG0017011	 SUBFAMILY NOT NAMED
OG0017086	 ZINC FINGER C3HC4 TYPE (RING FINGER) PROTEIN
OG0017288	 MIP31509P
OG0017364	 CALMODULIN
OG0017543	 METABOTROPIC GLUTAMATE RECEPTOR 6
OG0017749	 UDP-GLUCOSE GLYCOPROTEIN:GLUCOSYLTRANSFERASE
OG0017750	 ATP-DEPENDENT RNA HELICASE DDX4-RELATED
OG0017796	 NO HIT
OG0018177	 NUCLEOSOME-REMODELING FACTOR SUBUNIT BPTF
OG0019004	 ATP-BINDING CASSETTE SUB-FAMILY F MEMBER 3
OG0019075	 TRANSCRIPTIONAL REPRESSOR NF-X1
