Orthogroup	Species	GO_term1	GO_term2	GO_term3	gene_ID	Panther_annotation	KEGG_number
OG0000071	osedax	GO:0005737^cellular_component^cytoplasm`GO:0031410^cellular_component^cytoplasmic vesicle`GO:0005829^cellular_component^cytosol`GO:0031012^cellular_component^extracellular matrix`GO:0005615^cellular_component^extracellular space`GO:0016021^cellular_component^integral component of membrane`GO:0045111^cellular_component^intermediate filament cytoskeleton`GO:0044354^cellular_component^macropinosome`GO:0042470^cellular_component^melanosome`GO:0005634^cellular_component^nucleus`GO:0005886^cellular_component^plasma membrane`GO:0004175^molecular_function^endopeptidase activity`GO:0005178^molecular_function^integrin binding`GO:0070006^molecular_function^metalloaminopeptidase activity`GO:0004222^molecular_function^metalloendopeptidase activity`GO:0008270^molecular_function^zinc ion binding`GO:0001525^biological_process^angiogenesis`GO:0043615^biological_process^astrocyte cell migration`GO:0060348^biological_process^bone development`GO:0048754^biological_process^branching morphogenesis of an epithelial tube`GO:0016477^biological_process^cell migration`GO:0035988^biological_process^chondrocyte proliferation`GO:0030574^biological_process^collagen catabolic process`GO:0097094^biological_process^craniofacial suture morphogenesis`GO:0048701^biological_process^embryonic cranial skeleton morphogenesis`GO:0001958^biological_process^endochondral ossification`GO:0035987^biological_process^endodermal cell differentiation`GO:0001935^biological_process^endothelial cell proliferation`GO:0030198^biological_process^extracellular matrix organization`GO:0060322^biological_process^head development`GO:0030324^biological_process^lung development`GO:0008584^biological_process^male gonad development`GO:0051895^biological_process^negative regulation of focal adhesion assembly`GO:0045746^biological_process^negative regulation of Notch signaling pathway`GO:0001503^biological_process^ossification`GO:0001541^biological_process^ovarian follicle development`GO:0045579^biological_process^positive regulation of B cell differentiation`GO:0030307^biological_process^positive regulation of cell growth`GO:0030335^biological_process^positive regulation of cell migration`GO:1905523^biological_process^positive regulation of macrophage migration`GO:0010831^biological_process^positive regulation of myotube differentiation`GO:0010954^biological_process^positive regulation of protein processing`GO:0006508^biological_process^proteolysis`GO:1903076^biological_process^regulation of protein localization to plasma membrane`GO:0043627^biological_process^response to estrogen`GO:0009725^biological_process^response to hormone`GO:0001666^biological_process^response to hypoxia`GO:0009612^biological_process^response to mechanical stimulus`GO:1990834^biological_process^response to odorant`GO:0014070^biological_process^response to organic cyclic compound`GO:0006979^biological_process^response to oxidative stress`GO:0001501^biological_process^skeletal system development`GO:0048771^biological_process^tissue remodeling`GO:0031638^biological_process^zymogen activation	GO:0005737^cellular_component^cytoplasm`GO:0031410^cellular_component^cytoplasmic vesicle`GO:0005829^cellular_component^cytosol`GO:0031012^cellular_component^extracellular matrix`GO:0005615^cellular_component^extracellular space`GO:0016021^cellular_component^integral component of membrane`GO:0045111^cellular_component^intermediate filament cytoskeleton`GO:0044354^cellular_component^macropinosome`GO:0042470^cellular_component^melanosome`GO:0005634^cellular_component^nucleus`GO:0005886^cellular_component^plasma membrane`GO:0004175^molecular_function^endopeptidase activity`GO:0005178^molecular_function^integrin binding`GO:0070006^molecular_function^metalloaminopeptidase activity`GO:0004222^molecular_function^metalloendopeptidase activity`GO:0008270^molecular_function^zinc ion binding`GO:0001525^biological_process^angiogenesis`GO:0043615^biological_process^astrocyte cell migration`GO:0060348^biological_process^bone development`GO:0048754^biological_process^branching morphogenesis of an epithelial tube`GO:0016477^biological_process^cell migration`GO:0035988^biological_process^chondrocyte proliferation`GO:0030574^biological_process^collagen catabolic process`GO:0097094^biological_process^craniofacial suture morphogenesis`GO:0048701^biological_process^embryonic cranial skeleton morphogenesis`GO:0001958^biological_process^endochondral ossification`GO:0035987^biological_process^endodermal cell differentiation`GO:0001935^biological_process^endothelial cell proliferation`GO:0030198^biological_process^extracellular matrix organization`GO:0060322^biological_process^head development`GO:0030324^biological_process^lung development`GO:0008584^biological_process^male gonad development`GO:0051895^biological_process^negative regulation of focal adhesion assembly`GO:0045746^biological_process^negative regulation of Notch signaling pathway`GO:0001503^biological_process^ossification`GO:0001541^biological_process^ovarian follicle development`GO:0045579^biological_process^positive regulation of B cell differentiation`GO:0030307^biological_process^positive regulation of cell growth`GO:0030335^biological_process^positive regulation of cell migration`GO:1905523^biological_process^positive regulation of macrophage migration`GO:0010831^biological_process^positive regulation of myotube differentiation`GO:0010954^biological_process^positive regulation of protein processing`GO:0006508^biological_process^proteolysis`GO:1903076^biological_process^regulation of protein localization to plasma membrane`GO:0043627^biological_process^response to estrogen`GO:0009725^biological_process^response to hormone`GO:0001666^biological_process^response to hypoxia`GO:0009612^biological_process^response to mechanical stimulus`GO:1990834^biological_process^response to odorant`GO:0014070^biological_process^response to organic cyclic compound`GO:0006979^biological_process^response to oxidative stress`GO:0001501^biological_process^skeletal system development`GO:0048771^biological_process^tissue remodeling`GO:0031638^biological_process^zymogen activation	GO:0004222^molecular_function^metalloendopeptidase activity`GO:0008270^molecular_function^zinc ion binding`GO:0006508^biological_process^proteolysis`GO:0031012^cellular_component^extracellular matrix	OFRAG00000000534.1	SUBFAMILY NOT NAMED	K07763
OG0000071	osedax	GO:0031012^cellular_component^extracellular matrix`GO:0005887^cellular_component^integral component of plasma membrane`GO:0032588^cellular_component^trans-Golgi network membrane`GO:0045296^molecular_function^cadherin binding`GO:0004222^molecular_function^metalloendopeptidase activity`GO:0008270^molecular_function^zinc ion binding`GO:0044331^biological_process^cell-cell adhesion mediated by cadherin`GO:0098742^biological_process^cell-cell adhesion via plasma-membrane adhesion molecules`GO:0030574^biological_process^collagen catabolic process`GO:0050965^biological_process^detection of temperature stimulus involved in sensory perception of pain`GO:0030198^biological_process^extracellular matrix organization`GO:0010001^biological_process^glial cell differentiation`GO:0097150^biological_process^neuronal stem cell population maintenance`GO:0006508^biological_process^proteolysis	GO:0031012^cellular_component^extracellular matrix`GO:0005887^cellular_component^integral component of plasma membrane`GO:0032588^cellular_component^trans-Golgi network membrane`GO:0045296^molecular_function^cadherin binding`GO:0004222^molecular_function^metalloendopeptidase activity`GO:0008270^molecular_function^zinc ion binding`GO:0044331^biological_process^cell-cell adhesion mediated by cadherin`GO:0098742^biological_process^cell-cell adhesion via plasma-membrane adhesion molecules`GO:0030574^biological_process^collagen catabolic process`GO:0050965^biological_process^detection of temperature stimulus involved in sensory perception of pain`GO:0030198^biological_process^extracellular matrix organization`GO:0010001^biological_process^glial cell differentiation`GO:0097150^biological_process^neuronal stem cell population maintenance`GO:0006508^biological_process^proteolysis	GO:0004222^molecular_function^metalloendopeptidase activity`GO:0008270^molecular_function^zinc ion binding`GO:0006508^biological_process^proteolysis`GO:0031012^cellular_component^extracellular matrix	OFRAG00000002660.1	MATRIX METALLOPROTEINASE-28	K07763
OG0000071	osedax	GO:0031012^cellular_component^extracellular matrix`GO:0005576^cellular_component^extracellular region`GO:0005615^cellular_component^extracellular space`GO:0004175^molecular_function^endopeptidase activity`GO:0004222^molecular_function^metalloendopeptidase activity`GO:0008237^molecular_function^metallopeptidase activity`GO:0008233^molecular_function^peptidase activity`GO:0004252^molecular_function^serine-type endopeptidase activity`GO:0008270^molecular_function^zinc ion binding`GO:0071732^biological_process^cellular response to nitric oxide`GO:0071492^biological_process^cellular response to UV-A`GO:0030574^biological_process^collagen catabolic process`GO:0019221^biological_process^cytokine-mediated signaling pathway`GO:0022617^biological_process^extracellular matrix disassembly`GO:0030198^biological_process^extracellular matrix organization`GO:0010727^biological_process^negative regulation of hydrogen peroxide metabolic process`GO:1903209^biological_process^positive regulation of oxidative stress-induced cell death`GO:0031334^biological_process^positive regulation of protein-containing complex assembly`GO:0006508^biological_process^proteolysis`GO:0150077^biological_process^regulation of neuroinflammatory response`GO:1904645^biological_process^response to amyloid-beta	GO:0031012^cellular_component^extracellular matrix`GO:0005576^cellular_component^extracellular region`GO:0005615^cellular_component^extracellular space`GO:0004175^molecular_function^endopeptidase activity`GO:0004222^molecular_function^metalloendopeptidase activity`GO:0008237^molecular_function^metallopeptidase activity`GO:0008233^molecular_function^peptidase activity`GO:0004252^molecular_function^serine-type endopeptidase activity`GO:0008270^molecular_function^zinc ion binding`GO:0071732^biological_process^cellular response to nitric oxide`GO:0071492^biological_process^cellular response to UV-A`GO:0030574^biological_process^collagen catabolic process`GO:0019221^biological_process^cytokine-mediated signaling pathway`GO:0022617^biological_process^extracellular matrix disassembly`GO:0030198^biological_process^extracellular matrix organization`GO:0010727^biological_process^negative regulation of hydrogen peroxide metabolic process`GO:1903209^biological_process^positive regulation of oxidative stress-induced cell death`GO:0031334^biological_process^positive regulation of protein-containing complex assembly`GO:0006508^biological_process^proteolysis`GO:0150077^biological_process^regulation of neuroinflammatory response`GO:1904645^biological_process^response to amyloid-beta	GO:0004222^molecular_function^metalloendopeptidase activity`GO:0008270^molecular_function^zinc ion binding`GO:0006508^biological_process^proteolysis`GO:0031012^cellular_component^extracellular matrix	OFRAG00000006000.1	MACROPHAGE METALLOELASTASE	K07763
OG0000071	osedax	GO:0031012^cellular_component^extracellular matrix`GO:0016021^cellular_component^integral component of membrane`GO:0042470^cellular_component^melanosome`GO:0004222^molecular_function^metalloendopeptidase activity`GO:0008270^molecular_function^zinc ion binding`GO:0048754^biological_process^branching morphogenesis of an epithelial tube`GO:0016477^biological_process^cell migration`GO:0030324^biological_process^lung development`GO:0045746^biological_process^negative regulation of Notch signaling pathway`GO:0045579^biological_process^positive regulation of B cell differentiation`GO:0010831^biological_process^positive regulation of myotube differentiation`GO:0031638^biological_process^zymogen activation	GO:0031012^cellular_component^extracellular matrix`GO:0016021^cellular_component^integral component of membrane`GO:0042470^cellular_component^melanosome`GO:0004222^molecular_function^metalloendopeptidase activity`GO:0008270^molecular_function^zinc ion binding`GO:0048754^biological_process^branching morphogenesis of an epithelial tube`GO:0016477^biological_process^cell migration`GO:0030324^biological_process^lung development`GO:0045746^biological_process^negative regulation of Notch signaling pathway`GO:0045579^biological_process^positive regulation of B cell differentiation`GO:0010831^biological_process^positive regulation of myotube differentiation`GO:0031638^biological_process^zymogen activation	GO:0004222^molecular_function^metalloendopeptidase activity`GO:0008270^molecular_function^zinc ion binding`GO:0006508^biological_process^proteolysis`GO:0031012^cellular_component^extracellular matrix	OFRAG00000008176.1	MATRIX METALLOPROTEINASE	K07763
OG0000071	osedax	GO:0031012^cellular_component^extracellular matrix`GO:0004222^molecular_function^metalloendopeptidase activity`GO:0008233^molecular_function^peptidase activity`GO:0004252^molecular_function^serine-type endopeptidase activity`GO:0008270^molecular_function^zinc ion binding`GO:0030574^biological_process^collagen catabolic process`GO:0030198^biological_process^extracellular matrix organization	GO:0031012^cellular_component^extracellular matrix`GO:0004222^molecular_function^metalloendopeptidase activity`GO:0008233^molecular_function^peptidase activity`GO:0004252^molecular_function^serine-type endopeptidase activity`GO:0008270^molecular_function^zinc ion binding`GO:0030574^biological_process^collagen catabolic process`GO:0030198^biological_process^extracellular matrix organization	GO:0004222^molecular_function^metalloendopeptidase activity`GO:0008270^molecular_function^zinc ion binding`GO:0006508^biological_process^proteolysis`GO:0031012^cellular_component^extracellular matrix	OFRAG00000008453.1	MATRIX METALLOPROTEINASE	K07763
OG0000071	osedax	GO:0009986^cellular_component^cell surface`GO:0070062^cellular_component^extracellular exosome`GO:0031012^cellular_component^extracellular matrix`GO:0005576^cellular_component^extracellular region`GO:0005615^cellular_component^extracellular space`GO:0004175^molecular_function^endopeptidase activity`GO:0008201^molecular_function^heparin binding`GO:0004222^molecular_function^metalloendopeptidase activity`GO:0008237^molecular_function^metallopeptidase activity`GO:0004252^molecular_function^serine-type endopeptidase activity`GO:0008270^molecular_function^zinc ion binding`GO:0007568^biological_process^aging`GO:0071260^biological_process^cellular response to mechanical stimulus`GO:0030574^biological_process^collagen catabolic process`GO:0044849^biological_process^estrous cycle`GO:0022617^biological_process^extracellular matrix disassembly`GO:0030198^biological_process^extracellular matrix organization`GO:0060135^biological_process^maternal process involved in female pregnancy`GO:0006509^biological_process^membrane protein ectodomain proteolysis`GO:0031293^biological_process^membrane protein intracellular domain proteolysis`GO:0030335^biological_process^positive regulation of cell migration`GO:0006508^biological_process^proteolysis`GO:0031667^biological_process^response to nutrient levels	GO:0009986^cellular_component^cell surface`GO:0070062^cellular_component^extracellular exosome`GO:0031012^cellular_component^extracellular matrix`GO:0005576^cellular_component^extracellular region`GO:0005615^cellular_component^extracellular space`GO:0004175^molecular_function^endopeptidase activity`GO:0008201^molecular_function^heparin binding`GO:0004222^molecular_function^metalloendopeptidase activity`GO:0008237^molecular_function^metallopeptidase activity`GO:0004252^molecular_function^serine-type endopeptidase activity`GO:0008270^molecular_function^zinc ion binding`GO:0007568^biological_process^aging`GO:0071260^biological_process^cellular response to mechanical stimulus`GO:0030574^biological_process^collagen catabolic process`GO:0044849^biological_process^estrous cycle`GO:0022617^biological_process^extracellular matrix disassembly`GO:0030198^biological_process^extracellular matrix organization`GO:0060135^biological_process^maternal process involved in female pregnancy`GO:0006509^biological_process^membrane protein ectodomain proteolysis`GO:0031293^biological_process^membrane protein intracellular domain proteolysis`GO:0030335^biological_process^positive regulation of cell migration`GO:0006508^biological_process^proteolysis`GO:0031667^biological_process^response to nutrient levels	GO:0004222^molecular_function^metalloendopeptidase activity`GO:0008270^molecular_function^zinc ion binding`GO:0006508^biological_process^proteolysis`GO:0031012^cellular_component^extracellular matrix	OFRAG00000009370.1	MATRIX METALLOPROTEINASE	K07763
OG0000071	osedax	GO:0009986^cellular_component^cell surface`GO:0070062^cellular_component^extracellular exosome`GO:0031012^cellular_component^extracellular matrix`GO:0005576^cellular_component^extracellular region`GO:0005615^cellular_component^extracellular space`GO:0004175^molecular_function^endopeptidase activity`GO:0008201^molecular_function^heparin binding`GO:0004222^molecular_function^metalloendopeptidase activity`GO:0008237^molecular_function^metallopeptidase activity`GO:0004252^molecular_function^serine-type endopeptidase activity`GO:0008270^molecular_function^zinc ion binding`GO:0007568^biological_process^aging`GO:0071260^biological_process^cellular response to mechanical stimulus`GO:0030574^biological_process^collagen catabolic process`GO:0044849^biological_process^estrous cycle`GO:0022617^biological_process^extracellular matrix disassembly`GO:0030198^biological_process^extracellular matrix organization`GO:0060135^biological_process^maternal process involved in female pregnancy`GO:0006509^biological_process^membrane protein ectodomain proteolysis`GO:0031293^biological_process^membrane protein intracellular domain proteolysis`GO:0030335^biological_process^positive regulation of cell migration`GO:0006508^biological_process^proteolysis`GO:0031667^biological_process^response to nutrient levels	GO:0009986^cellular_component^cell surface`GO:0070062^cellular_component^extracellular exosome`GO:0031012^cellular_component^extracellular matrix`GO:0005576^cellular_component^extracellular region`GO:0005615^cellular_component^extracellular space`GO:0004175^molecular_function^endopeptidase activity`GO:0008201^molecular_function^heparin binding`GO:0004222^molecular_function^metalloendopeptidase activity`GO:0008237^molecular_function^metallopeptidase activity`GO:0004252^molecular_function^serine-type endopeptidase activity`GO:0008270^molecular_function^zinc ion binding`GO:0007568^biological_process^aging`GO:0071260^biological_process^cellular response to mechanical stimulus`GO:0030574^biological_process^collagen catabolic process`GO:0044849^biological_process^estrous cycle`GO:0022617^biological_process^extracellular matrix disassembly`GO:0030198^biological_process^extracellular matrix organization`GO:0060135^biological_process^maternal process involved in female pregnancy`GO:0006509^biological_process^membrane protein ectodomain proteolysis`GO:0031293^biological_process^membrane protein intracellular domain proteolysis`GO:0030335^biological_process^positive regulation of cell migration`GO:0006508^biological_process^proteolysis`GO:0031667^biological_process^response to nutrient levels	GO:0004222^molecular_function^metalloendopeptidase activity`GO:0008270^molecular_function^zinc ion binding`GO:0006508^biological_process^proteolysis`GO:0031012^cellular_component^extracellular matrix	OFRAG00000010064.1	MACROPHAGE METALLOELASTASE	K07763
OG0000071	osedax	GO:0009986^cellular_component^cell surface`GO:0070062^cellular_component^extracellular exosome`GO:0031012^cellular_component^extracellular matrix`GO:0005576^cellular_component^extracellular region`GO:0005615^cellular_component^extracellular space`GO:0004175^molecular_function^endopeptidase activity`GO:0008201^molecular_function^heparin binding`GO:0004222^molecular_function^metalloendopeptidase activity`GO:0008237^molecular_function^metallopeptidase activity`GO:0004252^molecular_function^serine-type endopeptidase activity`GO:0008270^molecular_function^zinc ion binding`GO:0007568^biological_process^aging`GO:0071260^biological_process^cellular response to mechanical stimulus`GO:0030574^biological_process^collagen catabolic process`GO:0044849^biological_process^estrous cycle`GO:0022617^biological_process^extracellular matrix disassembly`GO:0030198^biological_process^extracellular matrix organization`GO:0060135^biological_process^maternal process involved in female pregnancy`GO:0006509^biological_process^membrane protein ectodomain proteolysis`GO:0031293^biological_process^membrane protein intracellular domain proteolysis`GO:0030335^biological_process^positive regulation of cell migration`GO:0006508^biological_process^proteolysis`GO:0031667^biological_process^response to nutrient levels	GO:0009986^cellular_component^cell surface`GO:0070062^cellular_component^extracellular exosome`GO:0031012^cellular_component^extracellular matrix`GO:0005576^cellular_component^extracellular region`GO:0005615^cellular_component^extracellular space`GO:0004175^molecular_function^endopeptidase activity`GO:0008201^molecular_function^heparin binding`GO:0004222^molecular_function^metalloendopeptidase activity`GO:0008237^molecular_function^metallopeptidase activity`GO:0004252^molecular_function^serine-type endopeptidase activity`GO:0008270^molecular_function^zinc ion binding`GO:0007568^biological_process^aging`GO:0071260^biological_process^cellular response to mechanical stimulus`GO:0030574^biological_process^collagen catabolic process`GO:0044849^biological_process^estrous cycle`GO:0022617^biological_process^extracellular matrix disassembly`GO:0030198^biological_process^extracellular matrix organization`GO:0060135^biological_process^maternal process involved in female pregnancy`GO:0006509^biological_process^membrane protein ectodomain proteolysis`GO:0031293^biological_process^membrane protein intracellular domain proteolysis`GO:0030335^biological_process^positive regulation of cell migration`GO:0006508^biological_process^proteolysis`GO:0031667^biological_process^response to nutrient levels	GO:0004222^molecular_function^metalloendopeptidase activity`GO:0008270^molecular_function^zinc ion binding`GO:0006508^biological_process^proteolysis`GO:0031012^cellular_component^extracellular matrix	OFRAG00000010065.1	MACROPHAGE METALLOELASTASE	K07763
OG0000071	osedax	GO:0009986^cellular_component^cell surface`GO:0070062^cellular_component^extracellular exosome`GO:0031012^cellular_component^extracellular matrix`GO:0005576^cellular_component^extracellular region`GO:0005615^cellular_component^extracellular space`GO:0004175^molecular_function^endopeptidase activity`GO:0008201^molecular_function^heparin binding`GO:0004222^molecular_function^metalloendopeptidase activity`GO:0008237^molecular_function^metallopeptidase activity`GO:0004252^molecular_function^serine-type endopeptidase activity`GO:0008270^molecular_function^zinc ion binding`GO:0007568^biological_process^aging`GO:0071260^biological_process^cellular response to mechanical stimulus`GO:0030574^biological_process^collagen catabolic process`GO:0044849^biological_process^estrous cycle`GO:0022617^biological_process^extracellular matrix disassembly`GO:0030198^biological_process^extracellular matrix organization`GO:0060135^biological_process^maternal process involved in female pregnancy`GO:0006509^biological_process^membrane protein ectodomain proteolysis`GO:0031293^biological_process^membrane protein intracellular domain proteolysis`GO:0030335^biological_process^positive regulation of cell migration`GO:0006508^biological_process^proteolysis`GO:0031667^biological_process^response to nutrient levels	GO:0009986^cellular_component^cell surface`GO:0070062^cellular_component^extracellular exosome`GO:0031012^cellular_component^extracellular matrix`GO:0005576^cellular_component^extracellular region`GO:0005615^cellular_component^extracellular space`GO:0004175^molecular_function^endopeptidase activity`GO:0008201^molecular_function^heparin binding`GO:0004222^molecular_function^metalloendopeptidase activity`GO:0008237^molecular_function^metallopeptidase activity`GO:0004252^molecular_function^serine-type endopeptidase activity`GO:0008270^molecular_function^zinc ion binding`GO:0007568^biological_process^aging`GO:0071260^biological_process^cellular response to mechanical stimulus`GO:0030574^biological_process^collagen catabolic process`GO:0044849^biological_process^estrous cycle`GO:0022617^biological_process^extracellular matrix disassembly`GO:0030198^biological_process^extracellular matrix organization`GO:0060135^biological_process^maternal process involved in female pregnancy`GO:0006509^biological_process^membrane protein ectodomain proteolysis`GO:0031293^biological_process^membrane protein intracellular domain proteolysis`GO:0030335^biological_process^positive regulation of cell migration`GO:0006508^biological_process^proteolysis`GO:0031667^biological_process^response to nutrient levels	GO:0004222^molecular_function^metalloendopeptidase activity`GO:0008270^molecular_function^zinc ion binding`GO:0006508^biological_process^proteolysis`GO:0031012^cellular_component^extracellular matrix	OFRAG00000010066.1	MACROPHAGE METALLOELASTASE	K07763
OG0000071	osedax	GO:0031225^cellular_component^anchored component of membrane`GO:0031012^cellular_component^extracellular matrix`GO:0016021^cellular_component^integral component of membrane`GO:0016020^cellular_component^membrane`GO:0005886^cellular_component^plasma membrane`GO:0035579^cellular_component^specific granule membrane`GO:0004222^molecular_function^metalloendopeptidase activity`GO:0008270^molecular_function^zinc ion binding`GO:0030574^biological_process^collagen catabolic process`GO:0030198^biological_process^extracellular matrix organization`GO:0060022^biological_process^hard palate development`GO:0006954^biological_process^inflammatory response`GO:0043312^biological_process^neutrophil degranulation`GO:0006508^biological_process^proteolysis	GO:0031225^cellular_component^anchored component of membrane`GO:0031012^cellular_component^extracellular matrix`GO:0016021^cellular_component^integral component of membrane`GO:0016020^cellular_component^membrane`GO:0005886^cellular_component^plasma membrane`GO:0035579^cellular_component^specific granule membrane`GO:0004222^molecular_function^metalloendopeptidase activity`GO:0008270^molecular_function^zinc ion binding`GO:0030574^biological_process^collagen catabolic process`GO:0030198^biological_process^extracellular matrix organization`GO:0060022^biological_process^hard palate development`GO:0006954^biological_process^inflammatory response`GO:0043312^biological_process^neutrophil degranulation`GO:0006508^biological_process^proteolysis	GO:0004222^molecular_function^metalloendopeptidase activity`GO:0008270^molecular_function^zinc ion binding`GO:0006508^biological_process^proteolysis`GO:0031012^cellular_component^extracellular matrix	OFRAG00000010416.1	MATRIX METALLOPROTEINASE-25	K07997
