Orthogroup	Panther_annotation
OG0000167	 UBIQUITIN-LIKE PROTEIN 4A
OG0000285	 LOW-DENSITY LIPOPROTEIN RECEPTOR-RELATED
OG0000444	 MULTIDRUG RESISTANCE-ASSOCIATED PROTEIN 4
OG0000477	 SUBFAMILY NOT NAMED
OG0000565	 LD33804P
OG0000593	 AMILORIDE-SENSITIVE SODIUM CHANNEL-RELATED
OG0000599	 NO HIT
OG0000620	 FAMILY NOT NAMED
OG0000631	 SUBFAMILY NOT NAMED
OG0000717	 ATP-DEPENDENT DNA HELICASE PIF1
OG0000767	 SUBFAMILY NOT NAMED
OG0000787	 SUBFAMILY NOT NAMED
OG0001003	 ZGC:194887
OG0001091	 EGF-LIKE AND EMI DOMAIN-CONTAINING PROTEIN 1-RELATED
OG0001126	 ZINC FINGER PROTEIN
OG0001158	
OG0001195	
OG0001224	 ZGC:195170
OG0001517	
OG0001603	 IP21249P
OG0001635	 SUBFAMILY NOT NAMED
OG0001783	 LYSINE-SPECIFIC DEMETHYLASE 5C
OG0001914	 RE70963P
OG0001971	
OG0002083	 ZINC FINGER CCHC DOMAIN CONTAINING PROTEIN
OG0002211	
OG0002219	 MICROTUBULE-ASSOCIATED SERINE/THREONINE-PROTEIN KINASE 4
OG0002250	 BONUS ISOFORM C-RELATED
OG0002402	 RNA-BINDING PROTEIN 5
OG0002438	 INHIBITOR OF GROWTH PROTEIN 5
OG0002455	 AMILORIDE-SENSITIVE SODIUM CHANNEL-RELATED
OG0002737	 VIBRATOR ISOFORM B
OG0002763	
OG0002777	 NEUROLIGIN 3 ISOFORM B
OG0002786	 SUBFAMILY NOT NAMED
OG0002912	 WITHOUT CHILDREN ISOFORM B
OG0003193	 FAS APOPTOTIC INHIBITORY MOLECULE FAIM
OG0003286	 SOLUTE CARRIER FAMILY 35 MEMBER F6
OG0003352	 POLYPEPTIDE N-ACETYLGALACTOSAMINYLTRANSFERASE 10
OG0003466	
OG0003666	 AT07685P-RELATED
OG0003743	 ATP-DEPENDENT RNA HELICASE DDX53-RELATED
OG0003772	 NUCLEOLAR RNA HELICASE 2
OG0003804	 WD REPEAT-CONTAINING PROTEIN 86
OG0004228	 U1 SMALL NUCLEAR RIBONUCLEOPROTEIN A
OG0004246	
OG0004258	 TRANSMEMBRANE 9 SUPERFAMILY MEMBER 2
OG0004269	 ATP SYNTHASE SUBUNIT GAMMA MITOCHONDRIAL
OG0004337	 NUCLEAR PORE COMPLEX PROTEIN NUP214
OG0004344	 NUCLEOSOME ASSEMBLY PROTEIN 1-LIKE 4
OG0004499	
OG0004636	 CLATHRIN LIGHT CHAIN B
OG0004800	 PROTEIN SPT2 HOMOLOG
OG0004829	 BCDNA.GH02439
OG0004901	 DELTA-LIKE PROTEIN
OG0004940	
OG0004950	 NO HIT
OG0004971	 TETRATRICOPEPTIDE REPEAT PROTEIN 39B-LIKE PROTEIN
OG0005017	 SUBFAMILY NOT NAMED
OG0005041	 SUBFAMILY NOT NAMED
OG0005057	 IM:7160594
OG0005262	 26S PROTEASOME REGULATORY SUBUNIT 7
OG0005290	 RAS-RELATED PROTEIN RAB-24
OG0005574	 MICROFIBRIL-ASSOCIATED PROTEIN
OG0005607	 SUBFAMILY NOT NAMED
OG0005837	 MEIOTIC NUCLEAR DIVISION PROTEIN 1 HOMOLOG
OG0005899	 BROMODOMAIN ADJACENT TO ZINC FINGER DOMAIN PROTEIN 1A
OG0006112	 NO HIT
OG0006114	 ATP-DEPENDENT DNA HELICASE Q4
OG0006125	 DEOXYURIDINE TRIPHOSPHATASE
OG0006159	 CYSTEINE-RICH MOTOR NEURON 1 PROTEIN
OG0006162	 ADHESION G-PROTEIN COUPLED RECEPTOR D1
OG0006167	 PHOSPHOLIPASE B-LIKE 1
OG0006174	
OG0006181	 KELCH-LIKE PROTEIN 1
OG0006212	 ATPASE N2B
OG0006225	 NO HIT
OG0006384	 INHIBITOR OF GROWTH PROTEIN 3
OG0006443	 PARTNER OF SLD5
OG0006446	 FAMILY NOT NAMED
OG0006476	 LD47387P
OG0006511	 UNCHARACTERIZED
OG0006595	 SUBFAMILY NOT NAMED
OG0006690	 CYTOCHROME C OXIDASE ASSEMBLY PROTEIN COX18 MITOCHONDRIAL
OG0006805	 ENDOPLASMIC RETICULUM LECTIN 1
OG0006828	 MITOCHONDRIAL IMPORT RECEPTOR SUBUNIT TOM20
OG0006996	 MITOCHONDRIAL RHO GTPASE 1
OG0007024	 RHOTEKIN-2
OG0007078	 ATP-DEPENDENT RNA HELICASE DDX55
OG0007086	 SI:CH211-262H13.3-RELATED-RELATED
OG0007103	 E3 UBIQUITIN-PROTEIN LIGASE SHPRH FAMILY MEMBER
OG0007173	 SUBFAMILY NOT NAMED
OG0007281	 HEMATOPOIETIC LINEAGE CELL-SPECIFIC PROTEIN
OG0007466	 3'-5' EXONUCLEASE ERI1-RELATED
OG0007468	 CAMP-RESPONSIVE ELEMENT-BINDING PROTEIN-LIKE 2
OG0007562	 SUBFAMILY NOT NAMED
OG0007596	 HORMONALLY UP-REGULATED NEU TUMOR-ASSOCIATED KINASE-LIKE PROTEIN
OG0007720	 SI:CH211-176G6.2-RELATED
OG0007757	 SNRNP CORE PROTEIN FAMILY MEMBER
OG0007815	 THIOREDOXIN-RELATED
OG0008049	 CGI-140
OG0008063	 SOLUTE CARRIER FAMILY 17
OG0008105	
OG0008150	 28S RIBOSOMAL PROTEIN S6 MITOCHONDRIAL
OG0008313	 SUBFAMILY NOT NAMED
OG0008335	 NO HIT
OG0008386	 NO HIT
OG0008388	 SI:CH211-57F7.7
OG0008404	
OG0008431	 NACHT LRR AND CARD DOMAINS-CONTAINING
OG0008467	 E3 UBIQUITIN-PROTEIN LIGASE PARKIN
OG0008485	 ADH DEHYDROGENASE [UBIQUINONE] 1 ALPHA SUBCOMPLEX ASSEMBLY FACTOR 2
OG0008523	 KH HOMOLOGY DOMAIN-CONTAINING PROTEIN 4
OG0008535	 EXOSOME COMPLEX COMPONENT MTR3
OG0008567	 PHD FINGER PROTEIN 6
OG0008572	 CAPPUCCINO
OG0008604	 FAMILY NOT NAMED
OG0008627	 COMM DOMAIN-CONTAINING PROTEIN 6
OG0008675	 OPOSSUM ISOFORM A
OG0008841	 BTB/POZ DOMAIN-CONTAINING PROTEIN KCTD9
OG0008842	 ZINC FINGER PROTEIN 410
OG0008857	 SMALL NUCLEAR RIBONUCLEOPROTEIN SM D3
OG0008883	 V-TYPE PROTON ATPASE SUBUNIT E 2
OG0008890	
OG0008921	 CB1 CANNABINOID RECEPTOR-INTERACTING PROTEIN 1
OG0008944	 F-BOX ONLY PROTEIN 21
OG0008950	 PROTEIN CMSS1
OG0008970	 AN1-TYPE ZINC FINGER PROTEIN 4
OG0008996	 CELL DEATH ACTIVATOR CIDE
OG0009006	 POLYMERASE DELTA-INTERACTING PROTEIN 3
OG0009019	 TRANSMEMBRANE PROTEASE SERINE
OG0009053	 SUBFAMILY NOT NAMED
OG0009079	 SECRETORY PHOSPHOLIPASE A2 RECEPTOR
OG0009121	 RURM1 PROTEIN
OG0009149	 UPF0728 PROTEIN C10ORF53
OG0009156	 PEROXISOMAL MEMBRANE PROTEIN PEX16
OG0009271	 UPF0669 PROTEIN C6ORF120
OG0009287	 RT07201P-RELATED
OG0009295	
OG0009343	 NO HIT
OG0009344	 SUBFAMILY NOT NAMED
OG0009393	
OG0009428	 INHIBITOR OF GROWTH PROTEIN
OG0009443	 WDR41-RELATED
OG0009541	 NO HIT
OG0009544	 HYDROLASE PNKD-RELATED
OG0009686	 CYTOCHROME P450 FAMILY 3
OG0009730	 TENASCIN
OG0009749	 DNA POLYMERASE THETA
OG0009822	 BARDET-BIEDL SYNDROME 10 PROTEIN
OG0009832	 ZINC FINGER PROTEIN 300-LIKE PROTEIN
OG0009834	 RING FINGER PROTEIN 37
OG0009854	 SACSIN
OG0009915	 CENTROSOMAL PROTEIN KIZUNA
OG0009941	 GH16255P
OG0009952	 TRANSPOSASE-RELATED
OG0010020	 PROTEIN C6ORF130
OG0010023	 INFLUENZA VIRUS NS1A-BINDING PROTEIN
OG0010035	 PROTEIN NATD1
OG0010037	 DELTA AND NOTCH-LIKE EPIDERMAL GROWTH FACTOR-RELATED RECEPTOR
OG0010093	 FAMILY NOT NAMED
OG0010098	
OG0010101	
OG0010104	 DOLICHYL-DIPHOSPHOOLIGOSACCHARIDE--PROTEIN GLYCOSYLTRANSFERASE SUBUNIT DAD1
OG0010106	 TRANSPORTER
OG0010113	 SWIB COMPLEX BAF60B DOMAIN-CONTAINING PROTEIN
OG0010123	 VON WILLEBRAND FACTOR D AND EGF DOMAIN-CONTAINING PROTEIN
