Orthogroup	Panther_annotation
OG0000043	 ZGC:113019
OG0000061	 HISTONE H2AX
OG0000062	 HISTONE H2B 5
OG0000107	 NO HIT
OG0000123	 NO HIT
OG0000138	 SIMILAR TO ENSANGP00000010363
OG0000245	 FAMILY NOT NAMED
OG0000256	 TRANSPOSABLE ELEMENT-RELATED
OG0000299	 ZGC:195170
OG0000313	 NO HIT
OG0000314	 L1 TRANSPOSABLE ELEMENT-RELATED
OG0000315	 NO HIT
OG0000316	 AGAP001331-PA-RELATED
OG0000326	 FAMILY NOT NAMED
OG0000350	 NO HIT
OG0000446	 SUBFAMILY NOT NAMED
OG0000453	 SUBFAMILY NOT NAMED
OG0000459	 SUBFAMILY NOT NAMED
OG0000465	 PDF RECEPTOR-LIKE PROTEIN-RELATED
OG0000497	 THAP DOMAIN-CONTAINING
OG0000528	 ENDOGLIN/TGF-BETA RECEPTOR TYPE III
OG0000548	 THIOESTERASE 1/PROTEASE 1/LYSOPHOSPHOLIPASE L1
OG0000599	 NO HIT
OG0000631	 SUBFAMILY NOT NAMED
OG0000655	 HAT FAMILY DIMERISATION DOMAINCONTAINING PROTEIN
OG0000717	 ATP-DEPENDENT DNA HELICASE PIF1
OG0000765	 SUBFAMILY NOT NAMED
OG0000767	 SUBFAMILY NOT NAMED
OG0000814	 RH14732P
OG0000908	 FAMILY NOT NAMED
OG0000937	 FAMILY NOT NAMED
OG0001067	 TNF RECEPTOR-ASSOCIATED FACTOR FAMILY PROTEIN DDB_G0277243
OG0001175	 CATECHOL O-METHYLTRANSFERASE DOMAIN-CONTAINING PROTEIN 1
OG0001201	 SUBFAMILY NOT NAMED
OG0001224	 ZGC:195170
OG0001321	 CCAAT/ENHANCER-BINDING PROTEIN GAMMA-LIKE PROTEIN
OG0001446	 FAMILY NOT NAMED
OG0001594	 CHONDROMODULIN-RELATED
OG0001635	 SUBFAMILY NOT NAMED
OG0001648	 CENTROSOMAL PROTEIN OF 290 KDA
OG0001839	 NO HIT
OG0002083	 ZINC FINGER CCHC DOMAIN CONTAINING PROTEIN
OG0002092	 FAMILY NOT NAMED
OG0002164	 FAMILY NOT NAMED
OG0002250	 BONUS ISOFORM C-RELATED
OG0002586	 NO HIT
OG0002848	 PROTEIN CBG20746
OG0003208	 TUMOR SUSCEPTIBILITY GENE 101 PROTEIN
OG0003286	 SOLUTE CARRIER FAMILY 35 MEMBER F6
OG0003326	 EVI5-LIKE PROTEIN
OG0003426	 GLYCOSYLTRANSFERASE STELLO1-RELATED
OG0003460	 ZINC FINGER PROTEIN
OG0003677	 SUBFAMILY NOT NAMED
OG0004073	 SENTRIN/SUMO-SPECIFIC PROTEASE
OG0004111	 NUCLEAR AUTOANTIGENIC SPERM PROTEIN NASP -RELATED
