OG0006611	RPACG00000033696.1
OG0008430	RPACG00000001150.1, RPACG00000001151.1, RPACG00000013788.1, RPACG00000013790.1, RPACG00000013793.1, RPACG00000029262.1, RPACG00000029264.1, RPACG00000029265.1
OG0008762	RPACG00000031174.1, RPACG00000031178.1, RPACG00000031179.1, RPACG00000031181.1, RPACG00000031182.1, RPACG00000031183.1, RPACG00000031187.1, RPACG00000031188.1, RPACG00000031192.1, RPACG00000031194.1, RPACG00000031195.1, RPACG00000031196.1, RPACG00000031197.1, RPACG00000031198.1, RPACG00000031199.1, RPACG00000031200.1, RPACG00000031201.1, RPACG00000031202.1, RPACG00000031203.1, RPACG00000031204.1, RPACG00000035171.1, RPACG00000035182.1, RPACG00000035183.1, RPACG00000035184.1
OG0010547	RPACG00000003862.1
OG0010836	RPACG00000022217.1, RPACG00000033053.1, RPACG00000033054.1
OG0011780	RPACG00000017556.1
OG0011781	RPACG00000012552.1, RPACG00000012554.1, RPACG00000012556.1, RPACG00000012658.1, RPACG00000012659.1, RPACG00000012660.1, RPACG00000012661.1, RPACG00000012662.1, RPACG00000032894.1, RPACG00000032896.1
OG0012160	RPACG00000034256.1, RPACG00000034257.1
OG0012177	RPACG00000007571.1, RPACG00000010313.1, RPACG00000020606.1, RPACG00000020607.1, RPACG00000021785.1, RPACG00000021943.1, RPACG00000021961.1, RPACG00000024029.1, RPACG00000024030.1, RPACG00000026121.1, RPACG00000026122.1, RPACG00000026313.1, RPACG00000035187.1
OG0012616	RPACG00000033694.1, RPACG00000033695.1, RPACG00000033697.1, RPACG00000033698.1, RPACG00000033699.1, RPACG00000035860.1
OG0012639	RPACG00000020605.1, RPACG00000024884.1
OG0013127	
OG0013130	
OG0013133	RPACG00000003381.1
OG0013788	
OG0013790	RPACG00000012972.1
OG0013795	RPACG00000033617.1
OG0014529	
OG0014531	
OG0014534	RPACG00000018725.1, RPACG00000018727.1, RPACG00000018730.1, RPACG00000018731.1
OG0014535	
OG0014542	
OG0014543	RPACG00000006732.1, RPACG00000006733.1, RPACG00000029438.1, RPACG00000029439.1
OG0014587	RPACG00000021518.1, RPACG00000021522.1, RPACG00000021525.1, RPACG00000021529.1
OG0014590	RPACG00000014814.1
OG0014593	RPACG00000006908.1, RPACG00000006909.1, RPACG00000006910.1, RPACG00000009494.1, RPACG00000009495.1, RPACG00000010467.1, RPACG00000026607.1, RPACG00000026608.1, RPACG00000026609.1
OG0015487	RPACG00000001722.1, RPACG00000009837.1, RPACG00000009842.1, RPACG00000012950.1
OG0015489	
OG0015496	
OG0016625	RPACG00000014429.1, RPACG00000014430.1
OG0016626	RPACG00000009070.1, RPACG00000026641.1
OG0016634	
OG0016643	
OG0018186	
OG0018195	
OG0018201	RPACG00000019336.1
OG0018204	RPACG00000015510.1
OG0018206	
OG0018208	
OG0018212	RPACG00000029458.1
OG0018215	
OG0018230	
OG0018318	RPACG00000030642.1
OG0020371	
OG0020373	
OG0020381	
OG0020387	
OG0020388	RPACG00000031513.1
OG0020389	
OG0020396	RPACG00000006367.1, RPACG00000023643.1
OG0020400	RPACG00000011118.1
OG0020406	RPACG00000012999.1
OG0020407	
OG0020417	
OG0020420	
OG0020422	RPACG00000030446.1
OG0020561	RPACG00000017939.1, RPACG00000017940.1
OG0020562	RPACG00000012101.1
