OG0000014	nbis-mrna-7020
OG0000047	nbis-mrna-1238, nbis-mrna-8295
OG0000106	nbis-mrna-10748, nbis-mrna-10770, nbis-mrna-1235, nbis-mrna-15112, nbis-mrna-16454, nbis-mrna-16781, nbis-mrna-17017, nbis-mrna-17362, nbis-mrna-18514, nbis-mrna-18942, nbis-mrna-18977, nbis-mrna-19652, nbis-mrna-20209, nbis-mrna-20559, nbis-mrna-20561, nbis-mrna-2420, nbis-mrna-6358, nbis-mrna-6698, nbis-mrna-763, nbis-mrna-9280, nbis-mrna-9711
OG0000129	nbis-mrna-18812, nbis-mrna-21015, nbis-mrna-3021
OG0000145	nbis-mrna-1240, nbis-mrna-22597
OG0000167	nbis-mrna-18169
OG0000231	nbis-mrna-10279, nbis-mrna-10280, nbis-mrna-11802, nbis-mrna-11905, nbis-mrna-12484, nbis-mrna-12779, nbis-mrna-12818, nbis-mrna-13168, nbis-mrna-1351, nbis-mrna-15031, nbis-mrna-15640, nbis-mrna-15758, nbis-mrna-1919, nbis-mrna-19281, nbis-mrna-22211, nbis-mrna-3937, nbis-mrna-4343, nbis-mrna-5535, nbis-mrna-5586, nbis-mrna-567, nbis-mrna-6677, nbis-mrna-6756, nbis-mrna-6840, nbis-mrna-9504, nbis-mrna-9845
OG0000233	nbis-mrna-2178
OG0000289	nbis-mrna-1043, nbis-mrna-15459, nbis-mrna-21726, nbis-mrna-3096, nbis-mrna-6368
OG0000367	nbis-mrna-10166
OG0000404	nbis-mrna-2115
OG0000495	nbis-mrna-776
OG0000620	nbis-mrna-12226, nbis-mrna-16543
OG0000772	nbis-mrna-13031
OG0000882	nbis-mrna-22565, nbis-mrna-4209
OG0001091	nbis-mrna-14975
OG0001158	nbis-mrna-8353
OG0001195	nbis-mrna-1353, nbis-mrna-887
OG0001277	nbis-mrna-20772
OG0001459	nbis-mrna-15160
OG0001517	nbis-mrna-15456
OG0001695	nbis-mrna-13758, nbis-mrna-20142
OG0001971	nbis-mrna-21770
OG0002005	nbis-mrna-11612
OG0002174	nbis-mrna-9337
OG0002196	nbis-mrna-22640, nbis-mrna-4395
OG0002211	nbis-mrna-1018, nbis-mrna-10239, nbis-mrna-11158, nbis-mrna-11184, nbis-mrna-11679, nbis-mrna-12432, nbis-mrna-13431, nbis-mrna-13503, nbis-mrna-14760, nbis-mrna-14841, nbis-mrna-15165, nbis-mrna-15385, nbis-mrna-15470, nbis-mrna-16131, nbis-mrna-16354, nbis-mrna-16563, nbis-mrna-16627, nbis-mrna-16964, nbis-mrna-17313, nbis-mrna-17491, nbis-mrna-18294, nbis-mrna-18300, nbis-mrna-18469, nbis-mrna-19852, nbis-mrna-20086, nbis-mrna-202, nbis-mrna-20465, nbis-mrna-20817, nbis-mrna-21985, nbis-mrna-22076, nbis-mrna-2213, nbis-mrna-2472, nbis-mrna-2591, nbis-mrna-3592, nbis-mrna-6011, nbis-mrna-6798, nbis-mrna-709, nbis-mrna-9155, nbis-mrna-9305, nbis-mrna-9393, nbis-mrna-942, nbis-mrna-9760, nbis-mrna-9978
OG0002237	nbis-mrna-21722, nbis-mrna-3343
OG0002455	nbis-mrna-11219, nbis-mrna-11790, nbis-mrna-12086, nbis-mrna-13277, nbis-mrna-15060, nbis-mrna-15176, nbis-mrna-16841, nbis-mrna-16842, nbis-mrna-16845, nbis-mrna-16846, nbis-mrna-16849, nbis-mrna-16850, nbis-mrna-16851, nbis-mrna-20665, nbis-mrna-2072, nbis-mrna-22129, nbis-mrna-22161, nbis-mrna-3133, nbis-mrna-3135, nbis-mrna-3137, nbis-mrna-4506, nbis-mrna-6796, nbis-mrna-6801, nbis-mrna-7275, nbis-mrna-7808, nbis-mrna-8485, nbis-mrna-8488, nbis-mrna-8489, nbis-mrna-8490
OG0002763	nbis-mrna-19474
OG0002766	nbis-mrna-21492
OG0002799	nbis-mrna-21836
OG0002941	nbis-mrna-10059, nbis-mrna-10227, nbis-mrna-10320, nbis-mrna-10608, nbis-mrna-10814, nbis-mrna-11540, nbis-mrna-12844, nbis-mrna-13216, nbis-mrna-13849, nbis-mrna-14236, nbis-mrna-17416, nbis-mrna-17609, nbis-mrna-19443, nbis-mrna-19768, nbis-mrna-19971, nbis-mrna-20583, nbis-mrna-2074, nbis-mrna-21749, nbis-mrna-2452, nbis-mrna-3718, nbis-mrna-3924, nbis-mrna-4234, nbis-mrna-6307, nbis-mrna-7364, nbis-mrna-7609, nbis-mrna-8205, nbis-mrna-8964
OG0002978	nbis-mrna-10468, nbis-mrna-6088
OG0003282	nbis-mrna-188
OG0003466	nbis-mrna-10171, nbis-mrna-12223, nbis-mrna-1254, nbis-mrna-12826, nbis-mrna-16388, nbis-mrna-9019, nbis-mrna-903, nbis-mrna-904
OG0003963	nbis-mrna-16513
OG0004246	nbis-mrna-10260, nbis-mrna-12812, nbis-mrna-13380, nbis-mrna-13700, nbis-mrna-14532, nbis-mrna-14768, nbis-mrna-15595, nbis-mrna-17105, nbis-mrna-18220, nbis-mrna-18372, nbis-mrna-20396, nbis-mrna-20397, nbis-mrna-21129, nbis-mrna-21521, nbis-mrna-22106, nbis-mrna-4086, nbis-mrna-4528, nbis-mrna-4653, nbis-mrna-5475, nbis-mrna-5647, nbis-mrna-5819, nbis-mrna-6534, nbis-mrna-6632, nbis-mrna-9322
OG0004499	nbis-mrna-18764, nbis-mrna-19982, nbis-mrna-6065, nbis-mrna-8634
OG0004940	nbis-mrna-277
OG0004976	nbis-mrna-8121
OG0005112	nbis-mrna-13889
OG0005899	nbis-mrna-15584
OG0006125	nbis-mrna-4143
OG0006174	nbis-mrna-15216, nbis-mrna-6288
OG0007116	nbis-mrna-10210, nbis-mrna-13984, nbis-mrna-17095, nbis-mrna-17881, nbis-mrna-22061, nbis-mrna-22561, nbis-mrna-7968
OG0007326	nbis-mrna-8212
OG0007621	nbis-mrna-1358
OG0007981	nbis-mrna-14553
OG0008105	nbis-mrna-15007
OG0008149	nbis-mrna-20013, nbis-mrna-584
OG0008404	nbis-mrna-1105, nbis-mrna-12414, nbis-mrna-12440, nbis-mrna-12745, nbis-mrna-1385, nbis-mrna-13937, nbis-mrna-15332, nbis-mrna-15983, nbis-mrna-16980, nbis-mrna-20629, nbis-mrna-21513, nbis-mrna-21871, nbis-mrna-22233, nbis-mrna-4382, nbis-mrna-4529, nbis-mrna-4896, nbis-mrna-4923, nbis-mrna-5527, nbis-mrna-5674, nbis-mrna-7809, nbis-mrna-8013, nbis-mrna-8191, nbis-mrna-8801, nbis-mrna-9120, nbis-mrna-9687
OG0008781	nbis-mrna-14141, nbis-mrna-16967
OG0008890	nbis-mrna-1215
OG0008970	nbis-mrna-20524
OG0009018	nbis-mrna-18985
OG0009295	nbis-mrna-14594
OG0009393	nbis-mrna-13952, nbis-mrna-16935, nbis-mrna-3053
OG0009396	nbis-mrna-10634
OG0009460	nbis-mrna-9373
OG0009484	nbis-mrna-7126
OG0009811	nbis-mrna-13099
OG0009974	nbis-mrna-7453
OG0010098	nbis-mrna-6627
OG0010101	nbis-mrna-6499
OG0010120	nbis-mrna-9044
OG0010125	nbis-mrna-12874
OG0010306	nbis-mrna-9979
OG0010374	nbis-mrna-12470, nbis-mrna-15904, nbis-mrna-15997, nbis-mrna-4415, nbis-mrna-7028
OG0010382	nbis-mrna-8986
OG0010730	nbis-mrna-17327
OG0010923	nbis-mrna-1109, nbis-mrna-11498, nbis-mrna-12665, nbis-mrna-12710, nbis-mrna-13433, nbis-mrna-14882, nbis-mrna-17144, nbis-mrna-18888, nbis-mrna-20019, nbis-mrna-21582, nbis-mrna-22051, nbis-mrna-2728, nbis-mrna-296, nbis-mrna-384, nbis-mrna-471, nbis-mrna-7519
OG0010938	nbis-mrna-19127
OG0011144	nbis-mrna-5872
OG0011203	nbis-mrna-10844
OG0011244	nbis-mrna-5368
OG0011245	nbis-mrna-11524, nbis-mrna-1199, nbis-mrna-13030, nbis-mrna-13263, nbis-mrna-15477, nbis-mrna-15840, nbis-mrna-16525, nbis-mrna-17660, nbis-mrna-18373, nbis-mrna-1839, nbis-mrna-3087
OG0011361	nbis-mrna-17286
OG0011535	nbis-mrna-12731
OG0011550	nbis-mrna-339
OG0011578	nbis-mrna-407
OG0011631	nbis-mrna-21230
OG0011692	nbis-mrna-2667
OG0011758	nbis-mrna-13376, nbis-mrna-13690, nbis-mrna-14119, nbis-mrna-15691, nbis-mrna-20313, nbis-mrna-21247, nbis-mrna-21250, nbis-mrna-21254, nbis-mrna-3171, nbis-mrna-4303, nbis-mrna-4635, nbis-mrna-905
OG0011842	nbis-mrna-20100, nbis-mrna-6934
OG0011859	nbis-mrna-7574
OG0012121	nbis-mrna-2059
OG0012135	nbis-mrna-1286, nbis-mrna-16548, nbis-mrna-18010, nbis-mrna-18269, nbis-mrna-20461, nbis-mrna-20462, nbis-mrna-21396, nbis-mrna-5016, nbis-mrna-5134, nbis-mrna-5389, nbis-mrna-6787
OG0012308	nbis-mrna-18850
OG0012483	nbis-mrna-10630, nbis-mrna-14979
OG0012703	nbis-mrna-365
OG0012752	nbis-mrna-21143
OG0012838	nbis-mrna-12496, nbis-mrna-7579
OG0012923	nbis-mrna-18654
OG0012996	nbis-mrna-9109
OG0013003	nbis-mrna-22002
OG0013072	nbis-mrna-10143, nbis-mrna-13761, nbis-mrna-17275, nbis-mrna-3747, nbis-mrna-71, nbis-mrna-9723
OG0013337	nbis-mrna-5768
OG0013386	nbis-mrna-1124
OG0013402	nbis-mrna-9431
OG0013568	nbis-mrna-22278
OG0013605	nbis-mrna-10571, nbis-mrna-19544
OG0013726	nbis-mrna-8377
OG0013731	nbis-mrna-7773
OG0013761	nbis-mrna-12576, nbis-mrna-14485, nbis-mrna-17716, nbis-mrna-20299, nbis-mrna-20300, nbis-mrna-20301, nbis-mrna-2480, nbis-mrna-6693, nbis-mrna-9729
OG0013940	nbis-mrna-21463
OG0013980	nbis-mrna-7818
OG0014003	nbis-mrna-17284, nbis-mrna-18585, nbis-mrna-5759
OG0014044	nbis-mrna-15330
OG0014150	nbis-mrna-12627
OG0014183	nbis-mrna-10307
OG0014202	nbis-mrna-12329, nbis-mrna-21674, nbis-mrna-22017, nbis-mrna-6899, nbis-mrna-9023, nbis-mrna-9472, nbis-mrna-9632
OG0014341	nbis-mrna-4732
OG0014398	nbis-mrna-16573
OG0014455	nbis-mrna-10546, nbis-mrna-11676, nbis-mrna-13631, nbis-mrna-20966, nbis-mrna-21587, nbis-mrna-6597
OG0014458	nbis-mrna-1000, nbis-mrna-10477, nbis-mrna-148, nbis-mrna-15507, nbis-mrna-15797, nbis-mrna-16928, nbis-mrna-6872, nbis-mrna-7781
