#Host
OFRAG00000000002.1	K07834
OFRAG00000000003.1	K15144
OFRAG00000000004.1	K16479
OFRAG00000000005.1	K25549
OFRAG00000000007.1	K22988
OFRAG00000000007.1	K01992
OFRAG00000000015.1	K19907
OFRAG00000000027.1	K15122
OFRAG00000000027.1	K01992
OFRAG00000000028.1	K15326
OFRAG00000000040.1	K23297
OFRAG00000000042.1	K03005
OFRAG00000000044.1	K09523
OFRAG00000000046.1	K18643
OFRAG00000000048.1	K17263
OFRAG00000000062.1	K23570
OFRAG00000000062.1	K01992
OFRAG00000000067.1	K01077
OFRAG00000000068.1	K23739
OFRAG00000000075.1	K14310
OFRAG00000000079.1	K12947
OFRAG00000000080.1	K19677
OFRAG00000000082.1	K01493
OFRAG00000000100.1	K16330
OFRAG00000000100.1	K16329
OFRAG00000000104.1	K14803
OFRAG00000000106.1	K16751
OFRAG00000000107.1	K08766
OFRAG00000000107.1	K20276
OFRAG00000000109.1	K16801
OFRAG00000000110.1	K07575
OFRAG00000000117.1	K03455
OFRAG00000000118.1	K02366
OFRAG00000000121.1	K19760
OFRAG00000000125.1	K23552
OFRAG00000000126.1	K09291
OFRAG00000000130.1	K12585
OFRAG00000000137.1	K12843
OFRAG00000000162.1	K10594
OFRAG00000000163.1	K02214
OFRAG00000000166.1	K01196
OFRAG00000000167.1	K02272
OFRAG00000000168.1	K00889
OFRAG00000000169.1	K00720
OFRAG00000000170.1	K00698
OFRAG00000000170.1	K01992
OFRAG00000000180.1	K08000
OFRAG00000000182.1	K01719
OFRAG00000000187.1	K02129
OFRAG00000000188.1	K13506
OFRAG00000000189.1	K10357
OFRAG00000000191.1	K21449
OFRAG00000000192.1	K21449
OFRAG00000000195.1	K09478
OFRAG00000000196.1	K00774
OFRAG00000000199.1	K10739
OFRAG00000000201.1	K03265
OFRAG00000000202.1	K14778
OFRAG00000000204.1	K19514
OFRAG00000000206.1	K03065
OFRAG00000000210.1	K01304
OFRAG00000000211.1	K18655
OFRAG00000000215.1	K09341
OFRAG00000000218.1	K12841
OFRAG00000000219.1	K24885
OFRAG00000000221.1	K11540
OFRAG00000000221.1	K00609
OFRAG00000000222.1	K19179
OFRAG00000000222.1	K01126
OFRAG00000000223.1	K25474
OFRAG00000000225.1	K16315
OFRAG00000000227.1	K12623
OFRAG00000000228.1	K12176
OFRAG00000000239.1	K15262
OFRAG00000000241.1	K14079
OFRAG00000000245.1	K16449
OFRAG00000000249.1	K03249
OFRAG00000000250.1	K26094
OFRAG00000000251.1	K23794
OFRAG00000000257.1	K11584
OFRAG00000000261.1	K22390
OFRAG00000000265.1	K01873
OFRAG00000000266.1	K05309
OFRAG00000000267.1	K15171
OFRAG00000000277.1	K09524
OFRAG00000000279.1	K03063
OFRAG00000000281.1	K04658
OFRAG00000000283.1	K11205
OFRAG00000000284.1	K13168
OFRAG00000000288.1	K01135
OFRAG00000000289.1	K01135
OFRAG00000000290.1	K15109
OFRAG00000000297.1	K26052
OFRAG00000000298.1	K20352
OFRAG00000000301.1	K06091
OFRAG00000000303.1	K09490
OFRAG00000000305.1	K08333
OFRAG00000000306.1	K08333
OFRAG00000000307.1	K00314
OFRAG00000000309.1	K11165
OFRAG00000000310.1	K03857
OFRAG00000000314.1	K22375
OFRAG00000000315.1	K22863
OFRAG00000000316.1	K17429
OFRAG00000000329.1	K12161
OFRAG00000000330.1	K15202
OFRAG00000000337.1	K14676
OFRAG00000000337.1	K07001
OFRAG00000000339.1	K05287
OFRAG00000000340.1	K14376
OFRAG00000000344.1	K00789
OFRAG00000000355.1	K01953
OFRAG00000000356.1	K06875
OFRAG00000000357.1	K21596
OFRAG00000000359.1	K21919
OFRAG00000000360.1	K18411
OFRAG00000000361.1	K08678
OFRAG00000000362.1	K01054
OFRAG00000000374.1	K00819
OFRAG00000000379.1	K00560
OFRAG00000000380.1	K24341
OFRAG00000000381.1	K01280
OFRAG00000000387.2	K04365
OFRAG00000000388.1	K01363
OFRAG00000000390.1	K11650
OFRAG00000000391.1	K02090
OFRAG00000000393.1	K05658
OFRAG00000000393.1	K01992
OFRAG00000000394.1	K05658
OFRAG00000000394.1	K01992
OFRAG00000000396.1	K01283
OFRAG00000000397.1	K01283
OFRAG00000000399.1	K14793
OFRAG00000000400.1	K04571
OFRAG00000000401.1	K12389
OFRAG00000000401.1	K01992
OFRAG00000000402.1	K17680
OFRAG00000000405.2	K23677
OFRAG00000000408.1	K00710
OFRAG00000000410.1	K00710
OFRAG00000000411.1	K00710
OFRAG00000000414.1	K00710
OFRAG00000000420.1	K15162
OFRAG00000000421.1	K21771
OFRAG00000000422.1	K21771
OFRAG00000000427.1	K00798
OFRAG00000000432.1	K11293
OFRAG00000000433.1	K01904
OFRAG00000000434.1	K01021
OFRAG00000000435.1	K10666
OFRAG00000000436.1	K14016
OFRAG00000000438.1	K10775
OFRAG00000000439.1	K16727
OFRAG00000000440.1	K11098
