OG0000043	Ofra|OFRAG00000004296.1
OG0000061	
OG0000062	Ofra|OFRAG00000008894.1, Ofra|OFRAG00000008895.1, Ofra|OFRAG00000008896.1, Ofra|OFRAG00000015649.1
OG0000107	
OG0000123	Ofra|OFRAG00000013780.1
OG0000138	Ofra|OFRAG00000001319.1
OG0000245	Ofra|OFRAG00000003468.1
OG0000256	
OG0000299	
OG0000313	
OG0000314	
OG0000315	
OG0000316	Ofra|OFRAG00000006473.1
OG0000326	
OG0000350	
OG0000446	Ofra|OFRAG00000013949.1
OG0000453	
OG0000459	
OG0000465	Ofra|OFRAG00000001464.1
OG0000497	Ofra|OFRAG00000003336.1
OG0000528	
OG0000548	
OG0000599	
OG0000631	
OG0000655	
OG0000717	
OG0000765	
OG0000767	
OG0000814	Ofra|OFRAG00000015978.1
OG0000908	
OG0000937	
OG0001067	
OG0001175	Ofra|OFRAG00000015052.1
OG0001201	Ofra|OFRAG00000000919.1, Ofra|OFRAG00000001750.1, Ofra|OFRAG00000007530.1, Ofra|OFRAG00000017154.1
OG0001224	
OG0001321	Ofra|OFRAG00000005717.1, Ofra|OFRAG00000011459.1
OG0001446	
OG0001594	Ofra|OFRAG00000006256.1
OG0001635	
OG0001648	Ofra|OFRAG00000005559.1
OG0001839	
OG0002083	
OG0002092	
OG0002164	
OG0002250	
OG0002586	
OG0002848	
OG0003208	Ofra|OFRAG00000004594.1
OG0003286	Ofra|OFRAG00000010339.1
OG0003326	Ofra|OFRAG00000003493.1, Ofra|OFRAG00000003495.1
OG0003426	Ofra|OFRAG00000007035.1
OG0003460	
OG0003677	
OG0004073	Ofra|OFRAG00000002574.1
OG0004111	Ofra|OFRAG00000004828.1
OG0004212	
OG0004243	
OG0004627	Ofra|OFRAG00000010688.1
OG0004717	
OG0004828	
OG0004830	Ofra|OFRAG00000006364.1
OG0004901	
OG0005038	Ofra|OFRAG00000004107.1
OG0005041	Ofra|OFRAG00000002828.1
OG0005229	Ofra|OFRAG00000011048.1
OG0005310	Ofra|OFRAG00000015687.1
OG0005368	
OG0005484	
OG0005489	
OG0005625	
OG0005751	
OG0005997	Ofra|OFRAG00000003967.1
OG0006016	
OG0006073	Ofra|OFRAG00000014230.1
OG0006084	
OG0006112	
OG0006114	Ofra|OFRAG00000004751.1
OG0006159	Ofra|OFRAG00000016019.1
OG0006163	Ofra|OFRAG00000000204.1
OG0006225	
OG0006446	
OG0006494	Ofra|OFRAG00000016147.1
OG0006595	
OG0006606	
OG0006635	Ofra|OFRAG00000009629.1
OG0006669	Ofra|OFRAG00000001828.1, Ofra|OFRAG00000001829.1, Ofra|OFRAG00000001831.1, Ofra|OFRAG00000001832.1
OG0006710	Ofra|OFRAG00000001790.1
OG0006805	Ofra|OFRAG00000006598.1, Ofra|OFRAG00000006600.1
OG0006816	Ofra|OFRAG00000003374.1
OG0006895	Ofra|OFRAG00000012405.1
OG0007043	Ofra|OFRAG00000001666.1
OG0007086	
OG0007173	Ofra|OFRAG00000014832.1
OG0007181	
OG0007230	Ofra|OFRAG00000006363.1
OG0007231	Ofra|OFRAG00000014170.1
OG0007236	Ofra|OFRAG00000017486.1
OG0007562	
OG0007724	
OG0007831	Ofra|OFRAG00000012406.1
OG0007976	
OG0008011	
OG0008079	Ofra|OFRAG00000000664.1
OG0008189	Ofra|OFRAG00000014426.1
OG0008210	Ofra|OFRAG00000011448.1, Ofra|OFRAG00000011449.1
OG0008264	Ofra|OFRAG00000008268.1
OG0008272	
OG0008304	Ofra|OFRAG00000016148.1
OG0008313	
OG0008335	
OG0008409	
OG0008448	
OG0008806	
OG0008842	
OG0008899	
OG0008931	Ofra|OFRAG00000013466.1
OG0008996	
OG0009019	
OG0009053	
OG0009079	
OG0009180	Ofra|OFRAG00000006031.1
OG0009218	
OG0009222	Ofra|OFRAG00000002412.1
OG0009287	
OG0009297	
OG0009335	
OG0009344	
OG0009544	
OG0009575	Ofra|OFRAG00000013322.1
OG0009586	
OG0009649	
OG0009652	
OG0009743	
OG0009799	
OG0009825	
OG0009832	Ofra|OFRAG00000002386.1
OG0009833	Ofra|OFRAG00000013468.1
OG0009878	Ofra|OFRAG00000006736.1
OG0009914	Ofra|OFRAG00000017145.1
OG0009952	
OG0009954	
OG0009968	
OG0009969	
OG0009973	
OG0009977	
OG0010020	
OG0010037	
OG0010040	
OG0010069	
OG0010092	Ofra|OFRAG00000009121.1
OG0010123	
OG0010144	
OG0010203	
OG0010256	
OG0010352	Ofra|OFRAG00000004986.1
OG0010439	
OG0010443	
OG0010449	
OG0010456	
OG0010489	
OG0010495	
OG0010496	Ofra|OFRAG00000007800.1, Ofra|OFRAG00000016288.1, Ofra|OFRAG00000016611.1
OG0010498	Ofra|OFRAG00000014234.1
OG0010598	
OG0010620	
OG0010690	Ofra|OFRAG00000017331.1
OG0010708	
OG0010749	
OG0010759	
OG0010807	
OG0010824	
OG0010827	
OG0010828	
OG0010838	
OG0010883	
OG0010885	Ofra|OFRAG00000002217.1, Ofra|OFRAG00000014346.1
OG0010944	
OG0010965	
OG0010969	
OG0011049	
OG0011064	
OG0011131	Ofra|OFRAG00000013248.1
OG0011194	
OG0011195	
OG0011205	
OG0011212	
OG0011240	
OG0011247	
OG0011365	
OG0011390	
OG0011422	
OG0011440	
OG0011503	Ofra|OFRAG00000001359.1
OG0011551	
OG0011594	
OG0011612	
OG0011652	
OG0011656	
OG0011668	
OG0011722	Ofra|OFRAG00000010232.1
OG0011754	
OG0011899	
OG0011966	
OG0011972	
OG0011988	
OG0012031	
OG0012039	
OG0012125	
OG0012138	
OG0012150	
OG0012315	
OG0012354	
OG0012357	
OG0012364	
OG0012407	
OG0012424	
OG0012527	
OG0012551	
OG0012563	
OG0012575	
OG0012780	
OG0012806	
OG0012853	Ofra|OFRAG00000001424.1
OG0012858	
OG0012936	
OG0012982	
OG0012993	Ofra|OFRAG00000008483.1, Ofra|OFRAG00000008484.1, Ofra|OFRAG00000008485.1, Ofra|OFRAG00000008486.1, Ofra|OFRAG00000008487.1, Ofra|OFRAG00000008726.1
OG0013004	
OG0013047	
OG0013075	
OG0013080	
OG0013081	
OG0013083	
OG0013088	
OG0013095	Ofra|OFRAG00000003432.1, Ofra|OFRAG00000003433.1
OG0013099	Ofra|OFRAG00000002772.1, Ofra|OFRAG00000013369.1, Ofra|OFRAG00000014669.1, Ofra|OFRAG00000015943.1
OG0013127	
OG0013130	
OG0013213	
OG0013318	
OG0013430	
OG0013455	Ofra|OFRAG00000013919.1
OG0013456	
OG0013463	
OG0013516	Ofra|OFRAG00000005085.1, Ofra|OFRAG00000011647.1, Ofra|OFRAG00000015144.1, Ofra|OFRAG00000015146.1, Ofra|OFRAG00000015148.1
OG0013594	
OG0013610	
OG0013706	
OG0013709	
OG0013715	
OG0013716	
OG0013719	
OG0013765	
OG0013788	
OG0013889	
OG0014012	
OG0014074	
OG0014111	
OG0014174	
OG0014223	
OG0014337	
OG0014395	
OG0014399	
OG0014408	
OG0014422	
OG0014423	
OG0014426	
OG0014435	
OG0014443	
OG0014445	
OG0014447	
OG0014448	
OG0014450	
OG0014452	
OG0014456	
OG0014457	
OG0014461	
OG0014465	
OG0014489	
OG0014529	
OG0014531	
OG0014535	
OG0014541	
OG0014542	
OG0014689	
OG0014690	
OG0014806	
OG0014844	
OG0014873	
OG0014898	
OG0014925	
OG0014942	
OG0014978	
OG0014989	
OG0014994	
OG0015039	Ofra|OFRAG00000016978.1
OG0015053	Ofra|OFRAG00000006200.1
OG0015079	
OG0015171	
OG0015237	
OG0015299	
OG0015321	
OG0015326	
OG0015341	
OG0015348	
OG0015352	
OG0015356	
OG0015366	
OG0015368	Ofra|OFRAG00000006942.1
OG0015372	
OG0015378	
OG0015380	
OG0015384	
OG0015387	
OG0015395	
OG0015396	
OG0015443	
OG0015489	
OG0015496	
OG0015691	
OG0015696	
OG0015727	
OG0015747	
OG0015774	
OG0015833	
OG0015852	
OG0015890	Ofra|OFRAG00000003360.1
OG0015910	
OG0015926	
OG0015941	
OG0015947	
OG0016016	
OG0016107	
OG0016167	Ofra|OFRAG00000006874.1
OG0016249	
OG0016263	
OG0016323	
OG0016338	
OG0016453	
OG0016466	
OG0016468	
OG0016471	Ofra|OFRAG00000010491.1
OG0016474	
OG0016483	
OG0016486	
OG0016491	
OG0016496	
OG0016503	
OG0016505	
OG0016512	
OG0016514	
OG0016525	
OG0016526	
OG0016528	
