OG0009082	Rpac|RPACG00000019490.1
OG0010839	Rpac|RPACG00000013143.1, Rpac|RPACG00000014737.1, Rpac|RPACG00000029516.1
OG0010842	Rpac|RPACG00000001714.1
OG0011449	Rpac|RPACG00000018608.1, Rpac|RPACG00000018609.1, Rpac|RPACG00000018610.1, Rpac|RPACG00000018611.1, Rpac|RPACG00000018612.1, Rpac|RPACG00000018613.1, Rpac|RPACG00000018614.1, Rpac|RPACG00000018615.1, Rpac|RPACG00000018616.1, Rpac|RPACG00000018617.1, Rpac|RPACG00000018618.1, Rpac|RPACG00000018619.1, Rpac|RPACG00000018620.1, Rpac|RPACG00000018621.1, Rpac|RPACG00000018622.1
OG0013128	Rpac|RPACG00000010630.1
OG0013782	Rpac|RPACG00000003099.1
OG0013792	Rpac|RPACG00000008351.1, Rpac|RPACG00000008352.1, Rpac|RPACG00000010193.1, Rpac|RPACG00000010197.1, Rpac|RPACG00000010198.1, Rpac|RPACG00000010199.1, Rpac|RPACG00000010204.1, Rpac|RPACG00000010205.1, Rpac|RPACG00000019784.1, Rpac|RPACG00000030516.1
OG0015476	Rpac|RPACG00000011132.1
OG0015477	Rpac|RPACG00000029755.1
OG0016629	Rpac|RPACG00000027006.1
OG0016632	Rpac|RPACG00000019488.1
OG0018190	Rpac|RPACG00000001933.1, Rpac|RPACG00000001938.1
OG0018192	Rpac|RPACG00000033788.1
OG0018196	Rpac|RPACG00000003431.1, Rpac|RPACG00000007583.1, Rpac|RPACG00000007584.1, Rpac|RPACG00000007585.1, Rpac|RPACG00000018080.1, Rpac|RPACG00000021985.1
OG0018200	Rpac|RPACG00000006589.1
OG0018224	Rpac|RPACG00000001115.1, Rpac|RPACG00000029819.1
OG0020361	Rpac|RPACG00000007249.1, Rpac|RPACG00000007255.1, Rpac|RPACG00000025190.1
OG0020362	Rpac|RPACG00000012178.1, Rpac|RPACG00000017295.1
OG0020367	Rpac|RPACG00000025526.1, Rpac|RPACG00000026858.1
OG0020368	Rpac|RPACG00000007506.1
OG0020375	Rpac|RPACG00000030886.1
OG0020377	Rpac|RPACG00000019539.1
OG0020391	Rpac|RPACG00000017000.1
OG0020403	Rpac|RPACG00000012985.1, Rpac|RPACG00000012988.1, Rpac|RPACG00000012991.1, Rpac|RPACG00000012994.1, Rpac|RPACG00000012997.1
OG0020404	Rpac|RPACG00000010275.1, Rpac|RPACG00000015531.1, Rpac|RPACG00000015532.1, Rpac|RPACG00000019624.1
OG0020415	Rpac|RPACG00000007953.1
OG0023490	Rpac|RPACG00000019861.1
OG0023508	Rpac|RPACG00000024803.1, Rpac|RPACG00000024804.1
OG0023521	Rpac|RPACG00000019142.1
OG0023522	Rpac|RPACG00000035907.1
OG0023527	Rpac|RPACG00000004175.1
OG0023535	Rpac|RPACG00000011682.1, Rpac|RPACG00000020542.1
OG0023544	Rpac|RPACG00000002432.1, Rpac|RPACG00000002439.1
OG0023547	Rpac|RPACG00000010594.1, Rpac|RPACG00000017221.1
OG0023549	Rpac|RPACG00000034574.1, Rpac|RPACG00000034576.1, Rpac|RPACG00000034577.1
OG0023550	Rpac|RPACG00000008213.1, Rpac|RPACG00000008214.1, Rpac|RPACG00000008217.1, Rpac|RPACG00000022493.1
OG0023558	Rpac|RPACG00000008012.1, Rpac|RPACG00000008014.1, Rpac|RPACG00000008018.1, Rpac|RPACG00000008022.1
OG0023574	Rpac|RPACG00000006434.1, Rpac|RPACG00000006436.1
OG0028114	Rpac|RPACG00000007250.1, Rpac|RPACG00000031023.1
