OG0000014	Pech|nbis-mrna-7020
OG0000047	Pech|nbis-mrna-1238, Pech|nbis-mrna-8295
OG0000106	Pech|nbis-mrna-10748, Pech|nbis-mrna-10770, Pech|nbis-mrna-1235, Pech|nbis-mrna-15112, Pech|nbis-mrna-16454, Pech|nbis-mrna-16781, Pech|nbis-mrna-17017, Pech|nbis-mrna-17362, Pech|nbis-mrna-18514, Pech|nbis-mrna-18942, Pech|nbis-mrna-18977, Pech|nbis-mrna-19652, Pech|nbis-mrna-20209, Pech|nbis-mrna-20559, Pech|nbis-mrna-20561, Pech|nbis-mrna-2420, Pech|nbis-mrna-6358, Pech|nbis-mrna-6698, Pech|nbis-mrna-763, Pech|nbis-mrna-9280, Pech|nbis-mrna-9711
OG0000129	Pech|nbis-mrna-18812, Pech|nbis-mrna-21015, Pech|nbis-mrna-3021
OG0000145	Pech|nbis-mrna-1240, Pech|nbis-mrna-22597
OG0000167	Pech|nbis-mrna-18169
OG0000231	Pech|nbis-mrna-10279, Pech|nbis-mrna-10280, Pech|nbis-mrna-11802, Pech|nbis-mrna-11905, Pech|nbis-mrna-12484, Pech|nbis-mrna-12779, Pech|nbis-mrna-12818, Pech|nbis-mrna-13168, Pech|nbis-mrna-1351, Pech|nbis-mrna-15031, Pech|nbis-mrna-15640, Pech|nbis-mrna-15758, Pech|nbis-mrna-1919, Pech|nbis-mrna-19281, Pech|nbis-mrna-22211, Pech|nbis-mrna-3937, Pech|nbis-mrna-4343, Pech|nbis-mrna-5535, Pech|nbis-mrna-5586, Pech|nbis-mrna-567, Pech|nbis-mrna-6677, Pech|nbis-mrna-6756, Pech|nbis-mrna-6840, Pech|nbis-mrna-9504, Pech|nbis-mrna-9845
OG0000233	Pech|nbis-mrna-2178
OG0000289	Pech|nbis-mrna-1043, Pech|nbis-mrna-15459, Pech|nbis-mrna-21726, Pech|nbis-mrna-3096, Pech|nbis-mrna-6368
OG0000367	Pech|nbis-mrna-10166
OG0000404	Pech|nbis-mrna-2115
OG0000495	Pech|nbis-mrna-776
OG0000620	Pech|nbis-mrna-12226, Pech|nbis-mrna-16543
OG0000772	Pech|nbis-mrna-13031
OG0000882	Pech|nbis-mrna-22565, Pech|nbis-mrna-4209
OG0001091	Pech|nbis-mrna-14975
OG0001158	Pech|nbis-mrna-8353
OG0001195	Pech|nbis-mrna-1353, Pech|nbis-mrna-887
OG0001277	Pech|nbis-mrna-20772
OG0001459	Pech|nbis-mrna-15160
OG0001517	Pech|nbis-mrna-15456
OG0001695	Pech|nbis-mrna-13758, Pech|nbis-mrna-20142
OG0001971	Pech|nbis-mrna-21770
OG0002005	Pech|nbis-mrna-11612
OG0002174	Pech|nbis-mrna-9337
OG0002196	Pech|nbis-mrna-22640, Pech|nbis-mrna-4395
