OG0000121	Rpac|RPACG00000027878.1
OG0000127	Rpac|RPACG00000004882.1
OG0000192	Rpac|RPACG00000014092.1, Rpac|RPACG00000014093.1
OG0000232	Rpac|RPACG00000018875.1
OG0000235	Rpac|RPACG00000007017.1, Rpac|RPACG00000008878.1, Rpac|RPACG00000022052.1
OG0000287	Rpac|RPACG00000010916.1
OG0000477	Rpac|RPACG00000019405.1
OG0000527	Rpac|RPACG00000018554.1
OG0000529	Rpac|RPACG00000001023.1
OG0000586	Rpac|RPACG00000015157.1
OG0000787	Rpac|RPACG00000014719.1
OG0000923	Rpac|RPACG00000006201.1, Rpac|RPACG00000018958.1, Rpac|RPACG00000018959.1, Rpac|RPACG00000018960.1, Rpac|RPACG00000018961.1, Rpac|RPACG00000018962.1, Rpac|RPACG00000023131.1, Rpac|RPACG00000023135.1, Rpac|RPACG00000023136.1, Rpac|RPACG00000023137.1, Rpac|RPACG00000023138.1, Rpac|RPACG00000023139.1
OG0001003	Rpac|RPACG00000010625.1
OG0001026	Rpac|RPACG00000025020.1
OG0001076	Rpac|RPACG00000022159.1, Rpac|RPACG00000032486.1
OG0001080	Rpac|RPACG00000030970.1
OG0001126	Rpac|RPACG00000013395.1
OG0001164	Rpac|RPACG00000004898.1
OG0001235	Rpac|RPACG00000009160.1, Rpac|RPACG00000021091.1, Rpac|RPACG00000021093.1, Rpac|RPACG00000021094.1, Rpac|RPACG00000021095.1, Rpac|RPACG00000021097.1, Rpac|RPACG00000021099.1, Rpac|RPACG00000021100.1, Rpac|RPACG00000021101.1
OG0001264	Rpac|RPACG00000036863.1, Rpac|RPACG00000036865.1, Rpac|RPACG00000036870.1, Rpac|RPACG00000036872.1
OG0001475	Rpac|RPACG00000000613.1
OG0001591	Rpac|RPACG00000004965.1
OG0001603	Rpac|RPACG00000003460.1
OG0001744	Rpac|RPACG00000003903.1
OG0001864	Rpac|RPACG00000003985.1
OG0001903	Rpac|RPACG00000001916.1
OG0001962	Rpac|RPACG00000006054.1
OG0002206	Rpac|RPACG00000009452.1, Rpac|RPACG00000035552.1
OG0002324	Rpac|RPACG00000013652.1
OG0002327	Rpac|RPACG00000020079.1
OG0002517	Rpac|RPACG00000004721.1
OG0002777	Rpac|RPACG00000018296.1
OG0002786	Rpac|RPACG00000026133.1
OG0003374	Rpac|RPACG00000024960.1
OG0003478	Rpac|RPACG00000034039.1
OG0003564	Rpac|RPACG00000035379.1
OG0003672	Rpac|RPACG00000002340.1
OG0003674	Rpac|RPACG00000012802.1, Rpac|RPACG00000035353.1
OG0003928	Rpac|RPACG00000035559.1, Rpac|RPACG00000035562.1
OG0004021	Rpac|RPACG00000029400.1
OG0004235	Rpac|RPACG00000026276.1
OG0004355	Rpac|RPACG00000019257.1
OG0004445	Rpac|RPACG00000007600.1
OG0004476	Rpac|RPACG00000008556.1
OG0004753	Rpac|RPACG00000023037.1
OG0004981	Rpac|RPACG00000025881.1
OG0004984	Rpac|RPACG00000010941.1
OG0005017	Rpac|RPACG00000011430.1
OG0005063	Rpac|RPACG00000020546.1
OG0005069	Rpac|RPACG00000012081.1
OG0005287	Rpac|RPACG00000012798.1
OG0005304	Rpac|RPACG00000032195.1
OG0005324	Rpac|RPACG00000018492.1
OG0005545	Rpac|RPACG00000021957.1
OG0005657	Rpac|RPACG00000020188.2
OG0005693	Rpac|RPACG00000029898.1
OG0005716	Rpac|RPACG00000035313.1
OG0005832	Rpac|RPACG00000025648.1
OG0005882	Rpac|RPACG00000020149.1, Rpac|RPACG00000028024.1
OG0005926	Rpac|RPACG00000000907.1
OG0005986	Rpac|RPACG00000030817.1
OG0006130	Rpac|RPACG00000001542.1
OG0006162	Rpac|RPACG00000030190.1
OG0006165	Rpac|RPACG00000010381.1
OG0006181	Rpac|RPACG00000030992.1, Rpac|RPACG00000030994.1
OG0006433	Rpac|RPACG00000028753.1
OG0006562	Rpac|RPACG00000031739.1
OG0006611	Rpac|RPACG00000033696.1
OG0006680	Rpac|RPACG00000025120.1, Rpac|RPACG00000025121.1
OG0006716	Rpac|RPACG00000027885.1
OG0006797	Rpac|RPACG00000027187.1
OG0006854	Rpac|RPACG00000009791.1, Rpac|RPACG00000009795.1
OG0006909	Rpac|RPACG00000008230.1
OG0006976	Rpac|RPACG00000016857.1
OG0007012	Rpac|RPACG00000001689.1, Rpac|RPACG00000018768.1, Rpac|RPACG00000023267.1
OG0007156	Rpac|RPACG00000003037.1
OG0007172	Rpac|RPACG00000030228.1
OG0007221	Rpac|RPACG00000022319.1, Rpac|RPACG00000024984.1, Rpac|RPACG00000027418.1
OG0007339	Rpac|RPACG00000010769.1
OG0007389	Rpac|RPACG00000014862.1
OG0007418	Rpac|RPACG00000026255.1
OG0007700	Rpac|RPACG00000014096.1
OG0007720	Rpac|RPACG00000001069.1
OG0007822	Rpac|RPACG00000007769.1
OG0007877	Rpac|RPACG00000028891.1
OG0007889	Rpac|RPACG00000004107.1
OG0007931	Rpac|RPACG00000013447.2
OG0008063	Rpac|RPACG00000000490.1, Rpac|RPACG00000012378.1
OG0008085	Rpac|RPACG00000023436.1
OG0008188	Rpac|RPACG00000006375.1
