Orthogroup	Panther_annotation
OG0000068	 TRACE AMINE-ASSOCIATED RECEPTOR 19N-RELATED
OG0000081	 TRIPARTITE MOTIF-CONTAINING PROTEIN 45
OG0000099	 EG:4F1.1 PROTEIN
OG0000107	 NO HIT
OG0000108	 NO HIT
OG0000127	 NUCLEAR ENVELOPE-ASSOCIATED PROTEIN 1
OG0000192	 CYTOCHROME P450 4F22
OG0000256	 TRANSPOSABLE ELEMENT-RELATED
OG0000273	 SUBFAMILY NOT NAMED
OG0000312	 CDC25-LIKE PROTEIN PHOSPHATASE TWINE-RELATED
OG0000314	 L1 TRANSPOSABLE ELEMENT-RELATED
OG0000315	 NO HIT
OG0000316	 AGAP001331-PA-RELATED
OG0000326	 FAMILY NOT NAMED
OG0000327	 "MYOSUPPRESSIN RECEPTOR 1 ISOFORM B-RELATED"
OG0000328	 POTASSIUM CHANNEL SUBFAMILY K MEMBER 1
OG0000353	 G-PROTEIN COUPLED RECEPTOR
OG0000359	 CNMAMIDE RECEPTOR
OG0000412	 MACROPHAGE MANNOSE RECEPTOR 1
OG0000444	 MULTIDRUG RESISTANCE-ASSOCIATED PROTEIN 4
OG0000449	 POTASSIUM/SODIUM HYPERPOLARIZATION-ACTIVATED CYCLIC NUCLEOTIDE-GATED CHANNEL 4
OG0000459	 SUBFAMILY NOT NAMED
OG0000465	 PDF RECEPTOR-LIKE PROTEIN-RELATED
OG0000477	 SUBFAMILY NOT NAMED
OG0000527	 FAMILY NOT NAMED
OG0000529	 MAMMALIAN EPENDYMIN-RELATED PROTEIN 1
OG0000536	 G-PROTEIN COUPLED RECEPTOR 83-RELATED
OG0000560	 NF-KAPPA-B INHIBITOR ALPHA
OG0000568	 NEUROPEPTIDE RECEPTOR-RELATED G-PROTEIN COUPLED RECEPTOR
OG0000575	 AMMONIUM TRANSPORTER
OG0000581	 CARDIOACCELERATORY PEPTIDE RECEPTOR-RELATED
OG0000589	 INTER-ALPHA-TRYPSIN INHIBITOR HEAVY CHAIN FAMILY MEMBER
OG0000599	 NO HIT
OG0000616	 GM2 GANGLIOSIDE ACTIVATOR PROTEIN
OG0000619	 GH12419P1
OG0000625	 NEUREXIN-3B
OG0000631	 SUBFAMILY NOT NAMED
OG0000668	 NO HIT
OG0000688	 BETA-1 4 N-ACETYLGALACTOSAMINYLTRANSFERASE 2
OG0000693	 SUBFAMILY NOT NAMED
OG0000719	 ANKYRIN-2
OG0000762	 PEROXISOMAL N(1)-ACETYL-SPERMINE/SPERMIDINE OXIDASE
OG0000764	 IDURONATE 2-SULFATASE
OG0000766	 POTASSIUM VOLTAGE-GATED CHANNEL SHAB-RELATED SUBFAMILY MEMBER 1-RELATED
OG0000767	 SUBFAMILY NOT NAMED
OG0000787	 SUBFAMILY NOT NAMED
OG0000801	 HYDROXYSTEROID (11-BETA) DEHYDROGENASE 1-LIKE B-RELATED
OG0000818	 PYROKININ-1 RECEPTOR
OG0000828	 SIGNAL TRANSDUCER AND ACTIVATOR OF TRANSCRIPTION
OG0000853	 PROTEIN CBG23225
OG0000856	 G-PROTEIN COUPLED RECEPTOR
OG0000909	 GLUTATHIONE PEROXIDASE
OG0000917	 BLR2807 PROTEIN
OG0000928	 PROTEIN CBG23764
OG0000946	 SPHINGOMYELIN PHOSPHODIESTERASE
OG0000969	 HEPARAN SULFATE 2-O-SULFOTRANSFERASE
OG0000973	 NATRIURETIC PEPTIDE RECEPTOR 3
OG0001001	 SEX PEPTIDE RECEPTOR
OG0001003	 ZGC:194887
OG0001008	 NO HIT
OG0001010	 SUBFAMILY NOT NAMED
OG0001012	 DIHYDROPYRIMIDINASE
OG0001028	 PHOTORECEPTOR OUTER SEGMENT MEMBRANE GLYCOPROTEIN 2
OG0001031	 TRACE AMINE-ASSOCIATED RECEPTOR 19N-RELATED
OG0001040	 ARGININE VASOPRESSIN RECEPTOR
OG0001041	 "PHOSPHOLIPASE B PLB1"
