Orthogroup	Species	GO_term1	GO_term2	GO_term3	gene_ID	Panther_annotation	KEGG_number
OG0000054	riftia	GO:0016021^cellular_component^integral component of membrane`GO:0005509^molecular_function^calcium ion binding`GO:0007160^biological_process^cell-matrix adhesion	GO:0016021^cellular_component^integral component of membrane`GO:0005509^molecular_function^calcium ion binding`GO:0007160^biological_process^cell-matrix adhesion	GO:0007160^biological_process^cell-matrix adhesion	RPACG00000002744.1	MUCIN 4-RELATED	
OG0000054	riftia	.	.	.	RPACG00000004801.1	UTP:RNA URIDYLYLTRANSFERASE 1	
OG0000054	riftia	GO:0016021^cellular_component^integral component of membrane`GO:0005509^molecular_function^calcium ion binding`GO:0007160^biological_process^cell-matrix adhesion	GO:0016021^cellular_component^integral component of membrane`GO:0005509^molecular_function^calcium ion binding`GO:0007160^biological_process^cell-matrix adhesion	GO:0007160^biological_process^cell-matrix adhesion`GO:0005509^molecular_function^calcium ion binding	RPACG00000004802.1	NOTCH 3	
OG0000054	riftia	GO:0016021^cellular_component^integral component of membrane`GO:0005509^molecular_function^calcium ion binding`GO:0007160^biological_process^cell-matrix adhesion	GO:0016021^cellular_component^integral component of membrane`GO:0005509^molecular_function^calcium ion binding`GO:0007160^biological_process^cell-matrix adhesion	GO:0005509^molecular_function^calcium ion binding	RPACG00000006167.1	NOTCH LIGAND FAMILY MEMBER	
OG0000054	riftia	GO:0016021^cellular_component^integral component of membrane`GO:0005509^molecular_function^calcium ion binding`GO:0007160^biological_process^cell-matrix adhesion	GO:0016021^cellular_component^integral component of membrane`GO:0005509^molecular_function^calcium ion binding`GO:0007160^biological_process^cell-matrix adhesion	GO:0005509^molecular_function^calcium ion binding`GO:0007160^biological_process^cell-matrix adhesion	RPACG00000006371.1	MUCIN-4	
OG0000054	riftia	GO:0016021^cellular_component^integral component of membrane`GO:0005509^molecular_function^calcium ion binding`GO:0007160^biological_process^cell-matrix adhesion	GO:0016021^cellular_component^integral component of membrane`GO:0005509^molecular_function^calcium ion binding`GO:0007160^biological_process^cell-matrix adhesion	.	RPACG00000006566.1	MUCIN 4-RELATED	K22017
OG0000054	riftia	GO:0016021^cellular_component^integral component of membrane`GO:0005509^molecular_function^calcium ion binding`GO:0007160^biological_process^cell-matrix adhesion	GO:0016021^cellular_component^integral component of membrane`GO:0005509^molecular_function^calcium ion binding`GO:0007160^biological_process^cell-matrix adhesion	GO:0005509^molecular_function^calcium ion binding	RPACG00000007437.1	PROTEIN SHIFTED	
OG0000054	riftia	GO:0016021^cellular_component^integral component of membrane`GO:0005509^molecular_function^calcium ion binding`GO:0007160^biological_process^cell-matrix adhesion	GO:0016021^cellular_component^integral component of membrane`GO:0005509^molecular_function^calcium ion binding`GO:0007160^biological_process^cell-matrix adhesion	GO:0005509^molecular_function^calcium ion binding	RPACG00000007438.1	NOTCH LIGAND FAMILY MEMBER	
OG0000054	riftia	GO:0016021^cellular_component^integral component of membrane`GO:0005509^molecular_function^calcium ion binding`GO:0007160^biological_process^cell-matrix adhesion	GO:0016021^cellular_component^integral component of membrane`GO:0005509^molecular_function^calcium ion binding`GO:0007160^biological_process^cell-matrix adhesion	GO:0007160^biological_process^cell-matrix adhesion`GO:0005509^molecular_function^calcium ion binding	RPACG00000008932.1	PROTEIN LIN-12	
OG0000054	riftia	GO:0016021^cellular_component^integral component of membrane`GO:0005509^molecular_function^calcium ion binding`GO:0007160^biological_process^cell-matrix adhesion	GO:0016021^cellular_component^integral component of membrane`GO:0005509^molecular_function^calcium ion binding`GO:0007160^biological_process^cell-matrix adhesion	GO:0007160^biological_process^cell-matrix adhesion`GO:0005509^molecular_function^calcium ion binding	RPACG00000011683.1	MUCIN 4-RELATED	
OG0000054	riftia	GO:0032579^cellular_component^apical lamina of hyaline layer`GO:0031410^cellular_component^cytoplasmic vesicle`GO:0005615^cellular_component^extracellular space`GO:0009374^molecular_function^biotin binding`GO:0005509^molecular_function^calcium ion binding	GO:0032579^cellular_component^apical lamina of hyaline layer`GO:0031410^cellular_component^cytoplasmic vesicle`GO:0005615^cellular_component^extracellular space`GO:0009374^molecular_function^biotin binding`GO:0005509^molecular_function^calcium ion binding	GO:0005509^molecular_function^calcium ion binding	RPACG00000015231.1	NOTCH HOMOLOG 2 N-TERMINAL-LIKE PROTEIN B	
OG0000054	riftia	GO:0016021^cellular_component^integral component of membrane`GO:0005509^molecular_function^calcium ion binding`GO:0007160^biological_process^cell-matrix adhesion	GO:0016021^cellular_component^integral component of membrane`GO:0005509^molecular_function^calcium ion binding`GO:0007160^biological_process^cell-matrix adhesion	GO:0005509^molecular_function^calcium ion binding	RPACG00000016754.1	PROTEIN SHIFTED	
OG0000054	riftia	GO:0016021^cellular_component^integral component of membrane`GO:0005509^molecular_function^calcium ion binding`GO:0007160^biological_process^cell-matrix adhesion	GO:0016021^cellular_component^integral component of membrane`GO:0005509^molecular_function^calcium ion binding`GO:0007160^biological_process^cell-matrix adhesion	GO:0005509^molecular_function^calcium ion binding	RPACG00000017229.1	LAMININ G-LIKE DOMAIN-CONTAINING PROTEIN	K17307
OG0000054	riftia	GO:0016021^cellular_component^integral component of membrane`GO:0005509^molecular_function^calcium ion binding`GO:0007160^biological_process^cell-matrix adhesion	GO:0016021^cellular_component^integral component of membrane`GO:0005509^molecular_function^calcium ion binding`GO:0007160^biological_process^cell-matrix adhesion	GO:0007160^biological_process^cell-matrix adhesion	RPACG00000017230.1	MUCIN 4-RELATED	
OG0000054	riftia	GO:0016021^cellular_component^integral component of membrane`GO:0005509^molecular_function^calcium ion binding`GO:0007160^biological_process^cell-matrix adhesion	GO:0016021^cellular_component^integral component of membrane`GO:0005509^molecular_function^calcium ion binding`GO:0007160^biological_process^cell-matrix adhesion	GO:0005509^molecular_function^calcium ion binding	RPACG00000017277.1	LAMININ G-LIKE DOMAIN-CONTAINING PROTEIN	
OG0000054	riftia	GO:0016021^cellular_component^integral component of membrane`GO:0005509^molecular_function^calcium ion binding`GO:0007160^biological_process^cell-matrix adhesion	GO:0016021^cellular_component^integral component of membrane`GO:0005509^molecular_function^calcium ion binding`GO:0007160^biological_process^cell-matrix adhesion	GO:0007160^biological_process^cell-matrix adhesion`GO:0005509^molecular_function^calcium ion binding	RPACG00000018342.1	MUCIN-4	K22017
