Orthogroup	Species	GO_term1	GO_term2	GO_term3	gene_ID	Panther_annotation	KEGG_number
OG0000555	riftia	.	.	.	RPACG00000031923.1	FAMILY NOT NAMED	
OG0000555	riftia	.	.	.	RPACG00000031924.1	NO HIT
OG0000555	riftia	.	.	.	RPACG00000031925.1	FAMILY NOT NAMED	
OG0000555	riftia	.	.	.	RPACG00000035977.1	FAMILY NOT NAMED	
OG0000555	riftia	.	.	.	RPACG00000035978.1	NO HIT
OG0000555	riftia	.	.	.	RPACG00000035979.1	SERINE/THREONINE-PROTEIN KINASE HT1-LIKE	
OG0000555	riftia	.	.	.	RPACG00000035980.1	NO HIT
OG0000555	riftia	.	.	.	RPACG00000035981.1	OS03G0108700 PROTEIN	
OG0000555	riftia	.	.	.	RPACG00000035982.1	FAMILY NOT NAMED	
OG0000555	riftia	.	.	.	RPACG00000035983.1	OS03G0108700 PROTEIN	
OG0000555	riftia	.	.	.	RPACG00000035984.1	PROTEIN CBG03580	
OG0000555	riftia	.	.	.	RPACG00000035985.1	NO HIT
OG0000555	riftia	.	.	.	RPACG00000035986.1	FAMILY NOT NAMED	
OG0000555	riftia	.	.	.	RPACG00000035987.1	OS03G0108700 PROTEIN	
OG0000555	riftia	.	.	.	RPACG00000035988.1	NO HIT
OG0000555	riftia	.	.	.	RPACG00000035989.1	FAMILY NOT NAMED	
OG0000555	riftia	.	.	.	RPACG00000035990.1	OS03G0108700 PROTEIN	
OG0000555	riftia	.	.	.	RPACG00000035991.1	FAMILY NOT NAMED	
OG0000555	riftia	.	.	.	RPACG00000035992.1	FAMILY NOT NAMED	
OG0000555	riftia	.	.	.	RPACG00000035993.1	OS03G0108700 PROTEIN	
OG0000555	riftia	.	.	.	RPACG00000035994.1	FAMILY NOT NAMED	
OG0000555	riftia	.	.	.	RPACG00000035995.1	OS03G0108700 PROTEIN	
OG0000555	riftia	.	.	.	RPACG00000035996.1	FAMILY NOT NAMED	
OG0000555	riftia	.	.	.	RPACG00000035997.1	OS03G0108700 PROTEIN	
OG0000555	riftia	.	.	.	RPACG00000035998.1	FAMILY NOT NAMED	
OG0000555	riftia	.	.	.	RPACG00000035999.1	OS03G0108700 PROTEIN	
OG0000555	riftia	.	.	.	RPACG00000036000.1	OS03G0108700 PROTEIN	
OG0000555	riftia	.	.	.	RPACG00000036001.1	FAMILY NOT NAMED	
OG0000555	riftia	.	.	.	RPACG00000036002.1	NO HIT
OG0000555	riftia	.	.	.	RPACG00000036003.1	FAMILY NOT NAMED	
OG0000555	riftia	.	.	.	RPACG00000036005.1	OS03G0108700 PROTEIN	
OG0000555	riftia	.	.	.	RPACG00000036006.1	OS03G0108700 PROTEIN	
OG0000555	riftia	.	.	.	RPACG00000036007.1	FAMILY NOT NAMED	
OG0000555	riftia	.	.	.	RPACG00000036008.1	OS03G0108700 PROTEIN	
OG0000555	riftia	.	.	.	RPACG00000036009.1	OS03G0108700 PROTEIN	
OG0000555	riftia	.	.	.	RPACG00000036010.1	OS03G0108700 PROTEIN	
OG0000555	riftia	.	.	.	RPACG00000036011.1	OS03G0108700 PROTEIN	
OG0000555	riftia	.	.	.	RPACG00000036012.1	OS03G0108700 PROTEIN	
OG0000555	riftia	.	.	.	RPACG00000036013.1	OS03G0108700 PROTEIN	
OG0000555	riftia	.	.	.	RPACG00000036014.1	FAMILY NOT NAMED	
OG0000555	riftia	.	.	.	RPACG00000036015.1	OS03G0108700 PROTEIN	
OG0000555	riftia	.	.	.	RPACG00000036016.1	OS03G0108700 PROTEIN	
OG0000555	riftia	.	.	.	RPACG00000036017.1	OS03G0108700 PROTEIN	
OG0000555	riftia	.	.	.	RPACG00000036018.1	OS03G0108700 PROTEIN	
OG0000555	riftia	.	.	.	RPACG00000036019.1	FAMILY NOT NAMED	
OG0000555	riftia	.	.	.	RPACG00000036020.1	OS03G0108700 PROTEIN	
OG0000555	riftia	.	.	.	RPACG00000036021.1	FAMILY NOT NAMED	
OG0000555	riftia	.	.	.	RPACG00000036022.1	OS03G0108700 PROTEIN	
OG0000555	riftia	.	.	.	RPACG00000036023.1	FAMILY NOT NAMED	
OG0000555	riftia	.	.	.	RPACG00000036024.1	FAMILY NOT NAMED	
OG0000555	riftia	.	.	.	RPACG00000036025.1	FAMILY NOT NAMED	
OG0000555	riftia	.	.	.	RPACG00000036026.1	OS03G0108700 PROTEIN	
OG0000555	riftia	.	.	.	RPACG00000036027.1	FAMILY NOT NAMED	
OG0000555	riftia	.	.	.	RPACG00000036028.1	OS03G0108700 PROTEIN	
OG0000555	riftia	.	.	.	RPACG00000036029.1	OS03G0108700 PROTEIN	
OG0000555	riftia	.	.	.	RPACG00000036030.1	FAMILY NOT NAMED	
OG0000555	riftia	.	.	.	RPACG00000036031.1	NO HIT
OG0000555	riftia	.	.	.	RPACG00000036032.1	NO HIT
OG0000555	riftia	.	.	.	RPACG00000036034.1	NO HIT
OG0000555	riftia	.	.	.	RPACG00000036035.1	NO HIT
OG0000555	riftia	.	.	.	RPACG00000036037.1	FAMILY NOT NAMED	
OG0000555	riftia	.	.	.	RPACG00000036038.1	NO HIT
OG0000555	riftia	.	.	.	RPACG00000036039.1	OS03G0108700 PROTEIN	
OG0000555	riftia	.	.	.	RPACG00000036040.1	NO HIT
OG0000555	riftia	.	.	.	RPACG00000036041.1	OS03G0108700 PROTEIN	
OG0000555	riftia	.	.	.	RPACG00000036042.1	NO HIT
OG0000555	riftia	.	.	.	RPACG00000036045.1	NO HIT
OG0000555	riftia	.	.	.	RPACG00000036049.1	NO HIT
OG0000555	riftia	.	.	.	RPACG00000036052.1	NO HIT
OG0000555	riftia	.	.	.	RPACG00000036054.1	FAMILY NOT NAMED	
OG0000555	riftia	.	.	.	RPACG00000036055.1	RLPA-LIKE DOUBLE-PSI BETA-BARREL DOMAIN-CONTAINING PROTEIN-RELATED	
OG0000555	riftia	.	.	.	RPACG00000036057.1	FAMILY NOT NAMED	
OG0000555	riftia	.	.	.	RPACG00000036058.1	NO HIT
OG0000555	riftia	.	.	.	RPACG00000036060.1	NO HIT
OG0000555	riftia	.	.	.	RPACG00000036061.1	NO HIT
OG0000555	riftia	.	.	.	RPACG00000036062.1	OS03G0108700 PROTEIN	
