Orthogroup	Panther_annotation
OG0009082	 NO HIT
OG0010839	 SI:CABZ01040626.2-RELATED
OG0010842	 NO HIT
OG0011449	 OS02G0173200 PROTEIN
OG0013128	 PROTEIN LIN-12
OG0013782	 HISTAMINE RECEPTOR-RELATED G-PROTEIN COUPLED RECEPTOR
OG0013792	 PHOSPHOINOSITIDE-3-KINASE-INTERACTING PROTEIN 1-RELATED
OG0015476	 NO HIT
OG0015477	 PROTEIN LIN-12
OG0016629	 ATP-BINDING CASSETTE SUB-FAMILY A (ABC1) MEMBER 14
OG0016632	 PROTEIN LIN-12
OG0018190	 SUBFAMILY NOT NAMED
OG0018192	 NO HIT
OG0018196	 SUBFAMILY NOT NAMED
OG0018200	 PHOSPHATIDYLETHANOLAMINE-BINDING PROTEIN
OG0018224	 LEGUMAIN
OG0020361	 HEART DEVELOPMENT PROTEIN WITH EGF-LIKE DOMAINS 1
OG0020362	 PLAT DOMAIN-CONTAINING PROTEIN 1
OG0020367	 NO HIT
OG0020368	 NO HIT
OG0020375	 NIDOGEN-2
OG0020377	 NO HIT
OG0020391	 PROTEIN LIN-12
OG0020403	 NO HIT
OG0020404	 OS10G0105400 PROTEIN
OG0020415	 SUBFAMILY NOT NAMED
OG0023490	 NO HIT
OG0023508	 NO HIT
OG0023521	 SUBFAMILY NOT NAMED
OG0023522	 NO HIT
OG0023527	 NO HIT
OG0023535	 RECEPTOR-TYPE TYROSINE-PROTEIN PHOSPHATASE BETA
OG0023544	 PROTEIN CBG09996
OG0023547	 COLLAGEN TYPE VI ALPHA 4A
OG0023549	 PROTEIN EVA-1
OG0023550	 VITELLOGENIN RECEPTOR-LIKE PROTEIN-RELATED-RELATED
OG0023558	 SI:CH211-203K16.3
OG0023574	 NO HIT
OG0028114	 OS02G0596700 PROTEIN
OG0028115	 ARMADILLO-TYPE FOLD-RELATED
OG0028117	 NO HIT
OG0028145	 SUBFAMILY NOT NAMED
OG0028176	 TRANSPOSASE-RELATED
OG0028199	 BETA-2-GLYCOPROTEIN 1
OG0028203	 NO HIT
OG0028204	 SUBFAMILY NOT NAMED
OG0028216	 ATP-BINDING CASSETTE SUB-FAMILY A (ABC1) MEMBER 14
OG0028230	 VWFA AND CACHE DOMAIN-CONTAINING PROTEIN 1
OG0028250	 SUBFAMILY NOT NAMED
OG0028252	 OS02G0650800 PROTEIN
OG0028257	 NO HIT
OG0035588	 TETRASPANIN
OG0035594	 CHROMOSOME ALIGNMENT-MAINTAINING PHOSPHOPROTEIN 1
OG0035609	 EARLY NODULIN-93
OG0035610	 NO HIT
OG0035616	 NO HIT
OG0035636	 FIBRINOGEN/TENASCIN/ANGIOPOEITIN
OG0035661	 SUBFAMILY NOT NAMED
OG0035678	 TRANSMEMBRANE PROTEIN
OG0035682	 NO HIT
OG0035696	 HEME OXYGENASE
OG0035702	 NEUROGLOBIN
OG0035705	 D-ERYTHRULOSE REDUCTASE
OG0035713	 NO HIT
OG0035714	 NO HIT
OG0035725	 GLYCOPROTEIN-N-ACETYLGALACTOSAMINE 3-BETA-GALACTOSYLTRANSFERASE 1-B
OG0035744	 POLIOVIRUS RECEPTOR ISOFORM X2
OG0035749	 TRACE AMINE-ASSOCIATED RECEPTOR 19N
OG0035751	 NO HIT
OG0035754	 NICOTINIC ACETYLCHOLINE RECEPTOR ALPHA3 ISOFORM B
OG0035756	 NO HIT
OG0035762	 CLAUDIN-LIKE IN CAENORHABDITIS
OG0035763	 NO HIT
OG0035764	 NO HIT
OG0035765	 VITELLOGENIN-RELATED
OG0035768	 CRIMPLED
OG0035774	 SPORE COAT PROTEIN SP65
OG0035781	 NO HIT
OG0035789	 UNCHARACTERIZED
