OG0000121	Lluy|FUN_014864-T1, Lluy|FUN_040648-T1
OG0000127	Lluy|FUN_002917-T1
OG0000192	Lluy|FUN_028096-T1, Lluy|FUN_028100-T1, Lluy|FUN_030477-T1
OG0000232	Lluy|FUN_008882-T1
OG0000235	Lluy|FUN_003227-T1, Lluy|FUN_009764-T1, Lluy|FUN_022639-T1, Lluy|FUN_027197-T1, Lluy|FUN_029791-T1, Lluy|FUN_035864-T1, Lluy|FUN_035916-T1, Lluy|FUN_037767-T1
OG0000287	Lluy|FUN_012581-T1
OG0000477	
OG0000527	Lluy|FUN_004392-T1, Lluy|FUN_011122-T1, Lluy|FUN_011182-T1, Lluy|FUN_017410-T1, Lluy|FUN_019760-T1, Lluy|FUN_025490-T1, Lluy|FUN_025523-T1, Lluy|FUN_025630-T1
OG0000529	Lluy|FUN_000430-T1, Lluy|FUN_000431-T1, Lluy|FUN_000433-T1, Lluy|FUN_000434-T1, Lluy|FUN_000435-T1, Lluy|FUN_000437-T1, Lluy|FUN_000438-T1, Lluy|FUN_000439-T1
OG0000586	Lluy|FUN_005495-T1, Lluy|FUN_012604-T1, Lluy|FUN_018637-T1, Lluy|FUN_020218-T1, Lluy|FUN_023538-T1
OG0000787	
OG0000923	Lluy|FUN_006036-T1, Lluy|FUN_014553-T1, Lluy|FUN_015607-T1, Lluy|FUN_016232-T1, Lluy|FUN_016233-T1, Lluy|FUN_016235-T1, Lluy|FUN_017807-T1, Lluy|FUN_020204-T1, Lluy|FUN_021833-T1, Lluy|FUN_025006-T1, Lluy|FUN_030323-T1, Lluy|FUN_030328-T1, Lluy|FUN_030331-T1, Lluy|FUN_030334-T1, Lluy|FUN_030645-T1, Lluy|FUN_032694-T1, Lluy|FUN_032696-T1, Lluy|FUN_032700-T1, Lluy|FUN_032701-T1, Lluy|FUN_032704-T1, Lluy|FUN_032706-T1, Lluy|FUN_032710-T1
OG0001003	
OG0001026	Lluy|FUN_021838-T1
OG0001076	Lluy|FUN_013355-T1, Lluy|FUN_037567-T1
OG0001080	Lluy|FUN_007631-T1, Lluy|FUN_027954-T1, Lluy|FUN_030187-T1, Lluy|FUN_032720-T1, Lluy|FUN_034847-T1
OG0001126	
OG0001164	Lluy|FUN_031408-T1
OG0001235	Lluy|FUN_007025-T1, Lluy|FUN_026914-T1, Lluy|FUN_026915-T1, Lluy|FUN_026916-T1
OG0001264	Lluy|FUN_022176-T1, Lluy|FUN_025330-T1, Lluy|FUN_025331-T1, Lluy|FUN_025333-T1, Lluy|FUN_025335-T1
OG0001475	Lluy|FUN_036419-T1, Lluy|FUN_038077-T1
OG0001591	Lluy|FUN_030650-T1, Lluy|FUN_030655-T1, Lluy|FUN_030657-T1
OG0001603	
