OG0000009							
OG0000009							
OG0000009	capitella			\tCapteT143021		
OG0000009	capitella			\tCapteT143088		
OG0000009	capitella			\tCapteT197228		
OG0000009	capitella			\tCapteT201220		
OG0000009	capitella			\tCapteT205867		
OG0000009	capitella			\tCapteT89874		
OG0000009	capitella			\tCapteT97458		
OG0000009	capitella			\tCapteT97468		
OG0000009	lamellibrachia	.	.	.	FUN_015366-T1	FAMILY NOT NAMED	
OG0000009	lamellibrachia	.	.	.	FUN_017130-T1	FAMILY NOT NAMED	
OG0000009	lamellibrachia	.	.	.	FUN_029391-T1	SUBFAMILY NOT NAMED	
OG0000336							
OG0000336							
OG0000336	capitella			\tCapteT192765		
OG0000336	capitella			\tCapteT192889		
OG0000336	capitella			\tCapteT201483		
OG0000336	capitella			\tCapteT203843		
OG0000336	capitella			\tCapteT207614		
OG0000336	capitella			\tCapteT215021		
OG0000336	capitella			\tCapteT217314		
OG0000336	lamellibrachia	.	.	.	FUN_015859-T1	ZMP:0000000984	
OG0000336	lamellibrachia	.	.	.	FUN_033346-T1	SUBFAMILY NOT NAMED	
OG0000336	lamellibrachia	.	.	.	FUN_035077-T1	SUBFAMILY NOT NAMED	
OG0000395							
OG0000395	lamellibrachia	.	.	.	FUN_016461-T1	NO HIT
OG0000395	lamellibrachia	.	.	.	FUN_024287-T1	EPPIN	
OG0000395	osedax	.	.	.	OFRAG00000008543.1	SI:DKEY-197C15.6-RELATED	
OG0000395	owenia	GO:0005634^cellular_component^nucleus`GO:0046872^molecular_function^metal ion binding`GO:0004518^molecular_function^nuclease activity	GO:0005634^cellular_component^nucleus`GO:0046872^molecular_function^metal ion binding`GO:0004518^molecular_function^nuclease activity	.	OFUSG03538.1	UNCHARACTERIZED	
OG0000440							
OG0000440							
OG0000440	lamellibrachia	GO:0005737^cellular_component^cytoplasm`GO:0005615^cellular_component^extracellular space`GO:0016020^cellular_component^membrane`GO:0005634^cellular_component^nucleus`GO:0005509^molecular_function^calcium ion binding`GO:0003682^molecular_function^chromatin binding`GO:0007155^biological_process^cell adhesion`GO:0008544^biological_process^epidermis development`GO:0010467^biological_process^gene expression`GO:0003017^biological_process^lymph circulation`GO:0001945^biological_process^lymph vessel development`GO:0036303^biological_process^lymph vessel morphogenesis`GO:0048014^biological_process^Tie signaling pathway`GO:0120193^biological_process^tight junction organization	GO:0005737^cellular_component^cytoplasm`GO:0005615^cellular_component^extracellular space`GO:0016020^cellular_component^membrane`GO:0005634^cellular_component^nucleus`GO:0005509^molecular_function^calcium ion binding`GO:0003682^molecular_function^chromatin binding`GO:0007155^biological_process^cell adhesion`GO:0008544^biological_process^epidermis development`GO:0010467^biological_process^gene expression`GO:0003017^biological_process^lymph circulation`GO:0001945^biological_process^lymph vessel development`GO:0036303^biological_process^lymph vessel morphogenesis`GO:0048014^biological_process^Tie signaling pathway`GO:0120193^biological_process^tight junction organization	GO:0005509^molecular_function^calcium ion binding	FUN_025275-T1	NOTCH LIGAND FAMILY MEMBER	K24469
