#Host
FUN000001-T1	K11253
FUN000003-T1	K01027
FUN000006-T1	K05504
FUN000018-T1	K19352
FUN000024-T1	K02951
FUN000037-T1	K09072
FUN000039-T1	K09072
FUN000040-T1	K22804
FUN000041-T1	K14191
FUN000043-T1	K24927
FUN000046-T1	K16740
FUN000049-T1	K11136
FUN000049-T1	K14788
FUN000050-T1	K14788
FUN000051-T1	K23852
FUN000052-T1	K10631
FUN000053-T1	K20098
FUN000054-T1	K12598
FUN000055-T1	K05360
FUN000057-T1	K07441
FUN000058-T1	K21842
FUN000062-T1	K07841
FUN000070-T1	K04402
FUN000072-T1	K01974
FUN000073-T1	K09699
FUN000077-T1	K01992
FUN000082-T1	K09215
FUN000082-T1	K09191
FUN000086-T1	K11268
FUN000089-T1	K19535
FUN000095-T1	K10350
FUN000096-T1	K25421
FUN000097-T1	K20476
FUN000098-T1	K15446
FUN000099-T1	K10839
FUN000104-T1	K07963
FUN000105-T1	K20310
FUN000106-T1	K11497
FUN000108-T1	K11664
FUN000109-T1	K25441
FUN000113-T1	K17256
FUN000113-T1	K21768
FUN000119-T1	K11843
FUN000121-T1	K06234
FUN000122-T1	K03938
FUN000123-T1	K12386
FUN000127-T1	K25757
FUN000128-T1	K21813
FUN012814-T1	K25058
FUN012824-T1	K16364
FUN012840-T1	K09191
FUN012845-T1	K13523
FUN012870-T1	K19410
FUN012871-T1	K24167
FUN012872-T1	K17404
FUN012873-T1	K12481
FUN012874-T1	K24523
FUN012876-T1	K21682
FUN012876-T1	K03737
FUN012877-T1	K23612
FUN012878-T1	K08800
FUN012879-T1	K02493
FUN012885-T1	K11803
FUN012886-T1	K25201
FUN012893-T1	K10356
FUN012897-T1	K17406
FUN012899-T1	K18085
FUN012902-T1	K21411
FUN012903-T1	K13701
FUN012904-T1	K02914
FUN012905-T1	K19367
FUN012906-T1	K02219
FUN012908-T1	K17578
FUN012917-T1	K01792
FUN019242-T1	K25768
FUN019246-T1	K13443
FUN019247-T1	K00863
FUN019248-T1	K24348
FUN019250-T1	K02983
FUN019256-T1	K25450
FUN019259-T1	K01759
FUN019260-T1	K17807
FUN019261-T1	K18167
FUN019262-T1	K08657
FUN019263-T1	K16576
FUN019268-T1	K13217
FUN019269-T1	K14693
FUN019270-T1	K07554
FUN019274-T1	K16894
FUN019275-T1	K19365
FUN019276-T1	K05287
FUN019277-T1	K14376
FUN019282-T1	K11853
