#Host
RPACG00000000026.1	K12478
RPACG00000000028.1	K00382
RPACG00000000029.1	K04730
RPACG00000000031.1	K11789
RPACG00000000051.1	K21774
RPACG00000000052.1	K25475
RPACG00000000053.1	K06636
RPACG00000000055.1	K15687
RPACG00000000057.1	K10838
RPACG00000000061.1	K10406
RPACG00000000064.1	K16754
RPACG00000000065.1	K11098
RPACG00000000066.1	K13528
RPACG00000000067.1	K04459
RPACG00000000072.1	K15381
RPACG00000000080.1	K25549
RPACG00000000082.1	K17411
RPACG00000000083.1	K15341
RPACG00000000086.1	K19360
RPACG00000000108.1	K12666
RPACG00000000109.1	K20224
RPACG00000000111.1	K14650
RPACG00000000111.1	K14649
RPACG00000000115.1	K07951
RPACG00000000116.2	K05631
RPACG00000000126.1	K17886
RPACG00000000127.1	K03662
RPACG00000000128.1	K02973
RPACG00000000129.1	K14453
RPACG00000000129.1	K01992
RPACG00000000131.1	K10905
RPACG00000000132.1	K11351
RPACG00000000133.1	K08794
RPACG00000000140.1	K24838
RPACG00000000141.1	K10408
RPACG00000000142.1	K00181
RPACG00000000143.1	K00088
RPACG00000000146.1	K04441
RPACG00000000147.1	K04441
RPACG00000000148.1	K16608
RPACG00000000165.1	K03260
RPACG00000000167.2	K11858
RPACG00000000169.1	K17302
RPACG00000000170.1	K22764
RPACG00000000191.1	K00830
RPACG00000000193.2	K08818
RPACG00000000195.1	K21403
RPACG00000000196.1	K15116
RPACG00000000207.1	K14442
RPACG00000000207.1	K21843
RPACG00000000208.1	K06255
RPACG00000000209.1	K09567
RPACG00000000209.1	K03768
RPACG00000000212.1	K23331
RPACG00000000214.1	K21439
RPACG00000000215.1	K15264
RPACG00000000217.1	K03845
RPACG00000000218.1	K18953
RPACG00000000219.1	K11368
RPACG00000000222.1	K25791
RPACG00000000223.1	K00387
RPACG00000000225.1	K11323
RPACG00000000226.1	K07098
RPACG00000000228.1	K13202
RPACG00000000231.1	K23332
RPACG00000000235.1	K16682
RPACG00000000236.1	K04534
RPACG00000000236.1	K04640
RPACG00000000238.2	K20409
RPACG00000000241.1	K02731
RPACG00000000246.1	K02834
RPACG00000000247.1	K24970
RPACG00000000249.1	K08956
RPACG00000000250.1	K14790
RPACG00000000252.1	K06972
RPACG00000000261.1	K01102
RPACG00000000262.1	K23908
RPACG00000000267.1	K07847
RPACG00000000272.1	K04487
RPACG00000000273.1	K09410
RPACG00000000277.1	K03936
RPACG00000000277.1	K00332
RPACG00000000279.1	K05628
RPACG00000000287.1	K11511
RPACG00000000289.1	K09403
RPACG00000000290.1	K13091
RPACG00000000291.1	K03131
RPACG00000000292.1	K01942
RPACG00000000293.1	K14634
RPACG00000000294.1	K01890
RPACG00000000298.1	K06839
RPACG00000000298.1	K21635
RPACG00000000298.1	K02599
RPACG00000000298.1	K20995
RPACG00000000298.1	K06838
RPACG00000000299.1	K03188
RPACG00000000300.1	K14864
RPACG00000000301.1	K01855
RPACG00000000301.1	K06173
RPACG00000000302.1	K23215
RPACG00000000316.1	K01992
RPACG00000000317.1	K25216
RPACG00000000332.1	K15424
RPACG00000000342.1	K03514
RPACG00000000343.1	K21626
RPACG00000000344.1	K06875
RPACG00000000346.1	K16830
RPACG00000000347.1	K07203
RPACG00000000350.1	K00810
RPACG00000000350.1	K01992
RPACG00000000351.1	K01992
RPACG00000000353.1	K13251
RPACG00000000358.1	K01427
RPACG00000000358.1	K01428
RPACG00000000359.1	K03189
RPACG00000000362.1	K11089
RPACG00000000372.1	K18342
RPACG00000000373.1	K04567
RPACG00000000374.1	K15111
RPACG00000000375.1	K17928
RPACG00000000376.1	K18342
RPACG00000000377.1	K04567
RPACG00000000381.1	K04567
RPACG00000000382.1	K15111
RPACG00000000384.1	K04567
RPACG00000000385.1	K15111
RPACG00000000389.1	K04567
RPACG00000000390.1	K15111
RPACG00000000391.1	K17928
RPACG00000000392.1	K12352
RPACG00000000394.1	K23902
RPACG00000000396.1	K23902
RPACG00000000397.1	K12196
RPACG00000000399.1	K05925
RPACG00000000401.1	K20300
RPACG00000000406.1	K15111
RPACG00000000418.1	K23480
RPACG00000000418.1	K09191
RPACG00000000424.1	K23569
RPACG00000000426.1	K10400
RPACG00000000429.1	K08811
RPACG00000000431.1	K14027
RPACG00000000446.1	K08076
RPACG00000000450.1	K08076
RPACG00000000451.1	K08076
RPACG00000000452.1	K08076
RPACG00000000454.1	K14824
RPACG00000000458.1	K12593
RPACG00000000461.1	K23362
RPACG00000000462.1	K17784
RPACG00000000463.1	K14951
RPACG00000000463.1	K13526
RPACG00000000475.1	K24523
RPACG00000000483.1	K14213
RPACG00000000486.1	K09503
RPACG00000000488.1	K08193
RPACG00000000488.1	K01992
RPACG00000000497.1	K12830
RPACG00000000498.1	K16280
RPACG00000000499.1	K14406
RPACG00000000500.1	K11885
RPACG00000000501.1	K11885
RPACG00000000503.1	K16280
RPACG00000000504.1	K17617
RPACG00000000506.1	K18756
RPACG00000000506.1	K18666
RPACG00000000510.2	K06254
RPACG00000000514.1	K00922
RPACG00000000516.1	K10453
RPACG00000000517.1	K16475
RPACG00000000520.1	K16475
RPACG00000000530.1	K01013
RPACG00000000531.1	K01013
RPACG00000000542.1	K23635
RPACG00000000543.1	K08073
RPACG00000000544.1	K03163
RPACG00000000545.1	K20301
RPACG00000000546.1	K25639
RPACG00000000550.1	K01338
RPACG00000000551.1	K10275
RPACG00000000552.1	K22137
RPACG00000000553.1	K06688
RPACG00000000555.1	K23334
RPACG00000000558.1	K05285
RPACG00000000560.1	K20784
RPACG00000000562.1	K20784
RPACG00000000564.1	K03349
RPACG00000000565.1	K17560
RPACG00000000568.1	K04536
RPACG00000000569.1	K14835
RPACG00000000571.1	K11346
RPACG00000000574.1	K17509
RPACG00000000575.1	K24852
RPACG00000000575.1	K09191
RPACG00000000576.1	K01125
RPACG00000000577.1	K14343
RPACG00000000577.1	K01992
RPACG00000000580.1	K02737
RPACG00000000582.1	K24064
RPACG00000000584.1	K00645
RPACG00000000585.1	K02212
RPACG00000000590.1	K09381
RPACG00000000592.1	K09381
RPACG00000000598.1	K15104
RPACG00000000605.1	K11270
RPACG00000000606.1	K23679
RPACG00000000608.1	K14343
RPACG00000000608.1	K01992
RPACG00000000609.1	K14724
RPACG00000000609.1	K01992
RPACG00000000617.1	K00231
RPACG00000000618.1	K12194
RPACG00000000620.1	K23860
RPACG00000000626.1	K09191
RPACG00000000627.1	K09191
RPACG00000000628.1	K15151
RPACG00000000648.1	K01537
RPACG00000000649.1	K01992
RPACG00000000650.1	K13236
RPACG00000000651.1	K03038
RPACG00000000652.1	K03372
RPACG00000000653.1	K19501
RPACG00000000657.1	K07565
RPACG00000000659.1	K18122
RPACG00000000660.1	K20069
RPACG00000000661.1	K11723
RPACG00000000662.1	K22399
RPACG00000000663.1	K25817
RPACG00000000665.1	K20719
RPACG00000000666.1	K25703
RPACG00000000668.1	K00587
RPACG00000000671.1	K20351
RPACG00000000672.1	K12272
RPACG00000000673.1	K12275
RPACG00000000694.1	K22544
RPACG00000000695.1	K22544
RPACG00000000697.1	K16532
RPACG00000000698.1	K13084
RPACG00000000700.1	K11826
RPACG00000000701.1	K02891
RPACG00000000704.1	K22037
RPACG00000000708.1	K20027
RPACG00000000709.1	K15101
RPACG00000000710.1	K01870
RPACG00000000715.1	K13510
RPACG00000000717.1	K23314
RPACG00000000725.1	K14309
RPACG00000000726.1	K16742
RPACG00000000727.1	K20050
RPACG00000000729.1	K20291
RPACG00000000733.1	K11376
RPACG00000000734.2	K20128
RPACG00000000761.1	K15305
RPACG00000000766.1	K18669
RPACG00000000769.1	K10271
RPACG00000000788.1	K00030
RPACG00000000789.1	K00615
RPACG00000000790.1	K20820
RPACG00000000791.1	K06947
RPACG00000000797.1	K18405
RPACG00000000826.1	K14011
RPACG00000000827.1	K22390
RPACG00000000833.1	K01446
RPACG00000000840.1	K13130
RPACG00000000841.1	K24800
RPACG00000000843.1	K03850
RPACG00000000844.1	K24523
RPACG00000000852.1	K01265
RPACG00000000853.1	K18461
RPACG00000000857.1	K12495
RPACG00000000861.1	K10104
RPACG00000000865.1	K16757
RPACG00000000866.1	K11446
RPACG00000000867.1	K11318
RPACG00000000868.1	K13176
RPACG00000000869.1	K20195
RPACG00000000873.1	K26051
RPACG00000000876.1	K20360
RPACG00000000877.1	K00036
RPACG00000000878.1	K23408
RPACG00000000879.1	K16607
RPACG00000000880.1	K25451
