#Host
nbis-mrna-10864	K22182
nbis-mrna-10863	K15102
nbis-mrna-10866	K01712
nbis-mrna-13227	K06265
nbis-mrna-13228	K11433
nbis-mrna-21135	K08766
nbis-mrna-1339	K17654
nbis-mrna-1341	K12859
nbis-mrna-1338	K23413
nbis-mrna-2493	K08150
nbis-mrna-2495	K18465
nbis-mrna-2496	K13667
nbis-mrna-12700	K01691
nbis-mrna-2293	K11847
nbis-mrna-2291	K15685
nbis-mrna-16589	K25397
nbis-mrna-12289	K17543
nbis-mrna-4719	K08150
nbis-mrna-3611	K17543
nbis-mrna-3612	K14793
nbis-mrna-21179	K05038
nbis-mrna-21178	K05038
nbis-mrna-21174	K01992
nbis-mrna-8146	K01992
nbis-mrna-12135	K01054
nbis-mrna-14400	K16344
nbis-mrna-14399	K18762
nbis-mrna-4290	K25138
nbis-mrna-958	K15980
nbis-mrna-960	K00605
nbis-mrna-966	K11319
nbis-mrna-968	K09210
nbis-mrna-19770	K13511
nbis-mrna-19771	K17782
nbis-mrna-19772	K15272
nbis-mrna-19773	K14443
nbis-mrna-7937	K10572
nbis-mrna-7936	K23970
nbis-mrna-19615	K10271
nbis-mrna-19613	K18669
nbis-mrna-4629	K08683
nbis-mrna-4631	K19323
nbis-mrna-4632	K08371
nbis-mrna-2907	K00139
nbis-mrna-2907	K00135
nbis-mrna-3876	K01578
nbis-mrna-3877	K26096
nbis-mrna-3879	K10279
nbis-mrna-22368	K20367
nbis-mrna-22366	K12817
nbis-mrna-22364	K14836
nbis-mrna-6036	K17604
nbis-mrna-6037	K11508
nbis-mrna-17686	K17427
nbis-mrna-17685	K14966
nbis-mrna-17684	K14966
nbis-mrna-17682	K08337
nbis-mrna-17681	K21398
nbis-mrna-17680	K21398
nbis-mrna-17680	K01992
nbis-mrna-17677	K22558
nbis-mrna-17674	K16547
nbis-mrna-17673	K18134
nbis-mrna-13490	K16815
nbis-mrna-21277	K14764
nbis-mrna-21278	K24205
nbis-mrna-21279	K16590
nbis-mrna-21284	K17920
nbis-mrna-21292	K06867
nbis-mrna-21293	K06867
nbis-mrna-21295	K12870
nbis-mrna-21297	K21644
nbis-mrna-21300	K20299
nbis-mrna-21301	K23167
nbis-mrna-21301	K00344
nbis-mrna-21304	K23214
nbis-mrna-9635	K05850
nbis-mrna-6352	K03178
nbis-mrna-4192	K03259
nbis-mrna-21068	K14684
nbis-mrna-10704	K05030
nbis-mrna-10701	K01870
nbis-mrna-7006	K10576
nbis-mrna-7004	K25809
nbis-mrna-7003	K11206
nbis-mrna-7003	K13566
nbis-mrna-7003	K01522
nbis-mrna-6997	K13983
nbis-mrna-6997	K18422
nbis-mrna-6996	K11969
nbis-mrna-6993	K02729
nbis-mrna-6992	K03462
nbis-mrna-14219	K19410
nbis-mrna-14221	K17404
nbis-mrna-14222	K12481
nbis-mrna-14224	K21682
nbis-mrna-14224	K03737
nbis-mrna-14227	K23612
nbis-mrna-8247	K02493
nbis-mrna-8248	K04365
nbis-mrna-8242	K13985
nbis-mrna-8241	K13985
nbis-mrna-8243	K17732
nbis-mrna-8239	K17307
nbis-mrna-8237	K10887
nbis-mrna-8232	K11419
nbis-mrna-8228	K22556
nbis-mrna-8227	K12584
nbis-mrna-8224	K12627
nbis-mrna-8225	K02886
nbis-mrna-8221	K17423
nbis-mrna-2868	K03037
nbis-mrna-2872	K15285
nbis-mrna-2873	K01112
nbis-mrna-2875	K01869
nbis-mrna-2876	K11673
nbis-mrna-15132	K08857
nbis-mrna-15133	K26098
nbis-mrna-18213	K05607
nbis-mrna-18213	K01692
nbis-mrna-18212	K16482
nbis-mrna-9973	K24935
nbis-mrna-9971	K25451
nbis-mrna-9972	K16607
nbis-mrna-3882	K16607
nbis-mrna-3883	K23408
nbis-mrna-3885	K00036
nbis-mrna-3886	K20360
nbis-mrna-3884	K26051
nbis-mrna-22310	K20195
nbis-mrna-22311	K13176
nbis-mrna-22312	K11446
nbis-mrna-22313	K16757
nbis-mrna-22314	K12495
nbis-mrna-22315	K18461
nbis-mrna-22316	K01265
nbis-mrna-22318	K24523
nbis-mrna-22320	K03850
nbis-mrna-22323	K13130
nbis-mrna-22327	K14011
nbis-mrna-22328	K22390
nbis-mrna-22244	K01446
nbis-mrna-18700	K01992
nbis-mrna-10174	K06947
nbis-mrna-10175	K20820
nbis-mrna-10177	K00615
nbis-mrna-19828	K07297
nbis-mrna-19828	K01992
nbis-mrna-5618	K21052
nbis-mrna-5620	K10891
nbis-mrna-18863	K10891
nbis-mrna-18864	K24837
nbis-mrna-18865	K14009
nbis-mrna-11335	K19933
nbis-mrna-16536	K18410
nbis-mrna-16537	K11352
nbis-mrna-7921	K08065
nbis-mrna-7922	K20683
nbis-mrna-7918	K13444
nbis-mrna-7920	K07955
nbis-mrna-386	K03357
nbis-mrna-22422	K00799
nbis-mrna-22423	K07930
nbis-mrna-1009	K24317
nbis-mrna-6708	K00182
nbis-mrna-6709	K12865
nbis-mrna-9566	K05755
nbis-mrna-9567	K15109
nbis-mrna-9569	K11835
nbis-mrna-21613	K18086
nbis-mrna-9790	K01558
nbis-mrna-17698	K01468
nbis-mrna-17700	K20813
nbis-mrna-17703	K23893
nbis-mrna-9787	K14538
nbis-mrna-15340	K10592
nbis-mrna-15343	K16608
nbis-mrna-15341	K10592
nbis-mrna-3981	K25439
nbis-mrna-3983	K18078
nbis-mrna-15451	K24492
nbis-mrna-15450	K09522
nbis-mrna-20907	K09522
