OG0000014	OFRAG00000000769.1
OG0000047	
OG0000106	
OG0000129	
OG0000145	OFRAG00000003273.1
OG0000167	
OG0000231	
OG0000233	
OG0000289	
OG0000367	
OG0000404	
OG0000495	
OG0000620	OFRAG00000004358.1
OG0000772	
OG0000882	
OG0001091	
OG0001158	
OG0001195	
OG0001277	
OG0001459	
OG0001517	
OG0001695	OFRAG00000008226.1
OG0001971	
OG0002005	
OG0002174	OFRAG00000013974.1
OG0002196	
OG0002211	
OG0002237	
OG0002455	
OG0002763	
OG0002766	OFRAG00000011532.1
OG0002799	OFRAG00000002573.1, OFRAG00000005122.1
OG0002941	
OG0002978	OFRAG00000009630.1, OFRAG00000009631.1
OG0003282	OFRAG00000005810.1
OG0003466	
OG0003963	OFRAG00000010385.1
OG0004246	
OG0004499	
OG0004940	
OG0004976	
OG0005112	
OG0005899	OFRAG00000009966.1
OG0006125	
OG0006174	
OG0007116	
OG0007326	
OG0007621	
OG0007981	
OG0008105	
OG0008149	OFRAG00000004997.1
OG0008404	
OG0008781	
OG0008890	
OG0008970	
OG0009018	
OG0009295	
OG0009393	
OG0009396	OFRAG00000009891.1
OG0009460	
OG0009484	
OG0009811	
OG0009974	
OG0010098	
OG0010101	
OG0010120	
OG0010125	OFRAG00000004111.1
OG0010306	OFRAG00000016940.1
OG0010374	
OG0010382	
OG0010730	
OG0010923	
OG0010938	
OG0011144	OFRAG00000000712.1, OFRAG00000000713.1, OFRAG00000000714.1, OFRAG00000000715.1, OFRAG00000000716.1, OFRAG00000000717.1, OFRAG00000000718.1, OFRAG00000000719.1, OFRAG00000000720.1, OFRAG00000000721.1, OFRAG00000000722.1, OFRAG00000014430.1, OFRAG00000014431.1, OFRAG00000014432.1, OFRAG00000014433.1
OG0011203	
OG0011244	
OG0011245	
OG0011361	
OG0011535	
OG0011550	
OG0011578	
OG0011631	OFRAG00000006222.1
OG0011692	
OG0011758	
OG0011842	
OG0011859	
OG0012121	
OG0012135	
OG0012308	OFRAG00000015803.1
OG0012483	
OG0012703	
OG0012752	
OG0012838	OFRAG00000013091.1
OG0012923	
OG0012996	
OG0013003	
OG0013072	
OG0013337	
OG0013386	
OG0013402	
OG0013568	OFRAG00000013135.1, OFRAG00000013140.1
OG0013605	
OG0013726	
OG0013731	
OG0013761	
OG0013940	
OG0013980	
OG0014003	
OG0014044	
OG0014150	
OG0014183	
OG0014202	OFRAG00000017408.1
OG0014341	
OG0014398	
OG0014455	
OG0014458	
OG0014680	
OG0014723	
OG0014801	
OG0014903	
OG0014927	
OG0015086	
OG0015154	
OG0015186	
OG0015196	
OG0015344	
OG0015369	
OG0015394	
OG0015401	
OG0015510	
OG0015655	
OG0015721	
OG0015801	
OG0015809	
OG0015815	
OG0015858	
OG0015939	
OG0015960	OFRAG00000011789.1
OG0016023	
OG0016148	
OG0016179	
OG0016241	
OG0016329	
OG0016382	
OG0016444	
OG0016448	
OG0016481	
OG0016622	
OG0016672	
OG0017010	
OG0017036	
