OG0006611	riftia	.	.	.	RPACG00000033696.1	NO HIT
OG0008430	riftia	GO:0016021^cellular_component^integral component of membrane`GO:0005887^cellular_component^integral component of plasma membrane`GO:0008028^molecular_function^monocarboxylic acid transmembrane transporter activity`GO:0015293^molecular_function^symporter activity`GO:0015718^biological_process^monocarboxylic acid transport	GO:0016021^cellular_component^integral component of membrane`GO:0005887^cellular_component^integral component of plasma membrane`GO:0008028^molecular_function^monocarboxylic acid transmembrane transporter activity`GO:0015293^molecular_function^symporter activity`GO:0015718^biological_process^monocarboxylic acid transport	GO:0055085^biological_process^transmembrane transport`GO:0016021^cellular_component^integral component of membrane	RPACG00000001150.1	MONOCARBOXYLATE TRANSPORTER 5	K08186
OG0008430	riftia	GO:0016021^cellular_component^integral component of membrane`GO:0005887^cellular_component^integral component of plasma membrane`GO:0008028^molecular_function^monocarboxylic acid transmembrane transporter activity`GO:0015293^molecular_function^symporter activity`GO:0015718^biological_process^monocarboxylic acid transport	GO:0016021^cellular_component^integral component of membrane`GO:0005887^cellular_component^integral component of plasma membrane`GO:0008028^molecular_function^monocarboxylic acid transmembrane transporter activity`GO:0015293^molecular_function^symporter activity`GO:0015718^biological_process^monocarboxylic acid transport	.	RPACG00000001151.1	IP12869P	K08187
OG0008430	riftia	.	.	.	RPACG00000013788.1	RIBOFLAVIN TRANSPORTER RIBJ	K11810
OG0008430	riftia	GO:0016021^cellular_component^integral component of membrane`GO:0005887^cellular_component^integral component of plasma membrane`GO:0016020^cellular_component^membrane`GO:0008028^molecular_function^monocarboxylic acid transmembrane transporter activity`GO:0015293^molecular_function^symporter activity`GO:0015718^biological_process^monocarboxylic acid transport	GO:0016021^cellular_component^integral component of membrane`GO:0005887^cellular_component^integral component of plasma membrane`GO:0016020^cellular_component^membrane`GO:0008028^molecular_function^monocarboxylic acid transmembrane transporter activity`GO:0015293^molecular_function^symporter activity`GO:0015718^biological_process^monocarboxylic acid transport	GO:0055085^biological_process^transmembrane transport`GO:0016021^cellular_component^integral component of membrane`GO:0022857^molecular_function^transmembrane transporter activity	RPACG00000013790.1	MONOCARBOXYLATE TRANSPORTER	K08190
OG0008430	riftia	GO:0016021^cellular_component^integral component of membrane`GO:0005887^cellular_component^integral component of plasma membrane`GO:0005886^cellular_component^plasma membrane`GO:0015129^molecular_function^lactate transmembrane transporter activity`GO:0008028^molecular_function^monocarboxylic acid transmembrane transporter activity`GO:0015293^molecular_function^symporter activity`GO:0015718^biological_process^monocarboxylic acid transport`GO:0035879^biological_process^plasma membrane lactate transport	GO:0016021^cellular_component^integral component of membrane`GO:0005887^cellular_component^integral component of plasma membrane`GO:0005886^cellular_component^plasma membrane`GO:0015129^molecular_function^lactate transmembrane transporter activity`GO:0008028^molecular_function^monocarboxylic acid transmembrane transporter activity`GO:0015293^molecular_function^symporter activity`GO:0015718^biological_process^monocarboxylic acid transport`GO:0035879^biological_process^plasma membrane lactate transport	GO:0055085^biological_process^transmembrane transport`GO:0016021^cellular_component^integral component of membrane	RPACG00000013793.1	MONOCARBOXYLATE TRANSPORTER 5	K11810
OG0008430	riftia	.	.	GO:0055085^biological_process^transmembrane transport`GO:0016021^cellular_component^integral component of membrane	RPACG00000029262.1	RIBOFLAVIN TRANSPORTER RIBJ	K11810
OG0008430	riftia	.	.	.	RPACG00000029264.1	RIBOFLAVIN TRANSPORTER RIBJ	K11810
OG0008430	riftia	GO:0016021^cellular_component^integral component of membrane`GO:0005887^cellular_component^integral component of plasma membrane`GO:0005886^cellular_component^plasma membrane`GO:0015129^molecular_function^lactate transmembrane transporter activity`GO:0008028^molecular_function^monocarboxylic acid transmembrane transporter activity`GO:0015293^molecular_function^symporter activity`GO:0015718^biological_process^monocarboxylic acid transport`GO:0035879^biological_process^plasma membrane lactate transport	GO:0016021^cellular_component^integral component of membrane`GO:0005887^cellular_component^integral component of plasma membrane`GO:0005886^cellular_component^plasma membrane`GO:0015129^molecular_function^lactate transmembrane transporter activity`GO:0008028^molecular_function^monocarboxylic acid transmembrane transporter activity`GO:0015293^molecular_function^symporter activity`GO:0015718^biological_process^monocarboxylic acid transport`GO:0035879^biological_process^plasma membrane lactate transport	.	RPACG00000029265.1	RE60337P	K11810
OG0008762	riftia	.	.	.	RPACG00000031174.1	NO HIT
OG0008762	riftia	.	.	.	RPACG00000031178.1	NO HIT
OG0008762	riftia	GO:0032044^cellular_component^DSIF complex`GO:0005634^cellular_component^nucleus`GO:0003729^molecular_function^mRNA binding`GO:0003711^molecular_function^transcription elongation regulator activity`GO:0006397^biological_process^mRNA processing`GO:0060195^biological_process^negative regulation of antisense RNA transcription`GO:0032968^biological_process^positive regulation of transcription elongation from RNA polymerase II promoter`GO:0006357^biological_process^regulation of transcription by RNA polymerase II`GO:0006368^biological_process^transcription elongation from RNA polymerase II promoter	GO:0032044^cellular_component^DSIF complex`GO:0005634^cellular_component^nucleus`GO:0003729^molecular_function^mRNA binding`GO:0003711^molecular_function^transcription elongation regulator activity`GO:0006397^biological_process^mRNA processing`GO:0060195^biological_process^negative regulation of antisense RNA transcription`GO:0032968^biological_process^positive regulation of transcription elongation from RNA polymerase II promoter`GO:0006357^biological_process^regulation of transcription by RNA polymerase II`GO:0006368^biological_process^transcription elongation from RNA polymerase II promoter	.	RPACG00000031179.1	SUBFAMILY NOT NAMED	
OG0008762	riftia	.	.	.	RPACG00000031181.1	NO HIT
OG0008762	riftia	.	.	.	RPACG00000031182.1	NO HIT
OG0008762	riftia	.	.	.	RPACG00000031183.1	NO HIT
OG0008762	riftia	.	.	.	RPACG00000031187.1	NO HIT
OG0008762	riftia	.	.	.	RPACG00000031188.1	NO HIT
OG0008762	riftia	GO:0032044^cellular_component^DSIF complex`GO:0005634^cellular_component^nucleus`GO:0003729^molecular_function^mRNA binding`GO:0003711^molecular_function^transcription elongation regulator activity`GO:0006397^biological_process^mRNA processing`GO:0060195^biological_process^negative regulation of antisense RNA transcription`GO:0032968^biological_process^positive regulation of transcription elongation from RNA polymerase II promoter`GO:0006357^biological_process^regulation of transcription by RNA polymerase II`GO:0006368^biological_process^transcription elongation from RNA polymerase II promoter	GO:0032044^cellular_component^DSIF complex`GO:0005634^cellular_component^nucleus`GO:0003729^molecular_function^mRNA binding`GO:0003711^molecular_function^transcription elongation regulator activity`GO:0006397^biological_process^mRNA processing`GO:0060195^biological_process^negative regulation of antisense RNA transcription`GO:0032968^biological_process^positive regulation of transcription elongation from RNA polymerase II promoter`GO:0006357^biological_process^regulation of transcription by RNA polymerase II`GO:0006368^biological_process^transcription elongation from RNA polymerase II promoter	.	RPACG00000031192.1	SUBFAMILY NOT NAMED	
OG0008762	riftia	.	.	.	RPACG00000031194.1	NO HIT
OG0008762	riftia	.	.	.	RPACG00000031195.1	NO HIT
OG0008762	riftia	.	.	.	RPACG00000031196.1	NO HIT
OG0008762	riftia	.	.	.	RPACG00000031197.1	NO HIT
OG0008762	riftia	.	.	.	RPACG00000031198.1	NO HIT
OG0008762	riftia	.	.	.	RPACG00000031199.1	NO HIT
OG0008762	riftia	.	.	.	RPACG00000031200.1	NO HIT
OG0008762	riftia	.	.	.	RPACG00000031201.1	NO HIT
OG0008762	riftia	.	.	.	RPACG00000031202.1	NO HIT
OG0008762	riftia	.	.	.	RPACG00000031203.1	NO HIT
OG0008762	riftia	.	.	.	RPACG00000031204.1	NO HIT
OG0008762	riftia	.	.	.	RPACG00000035171.1	NO HIT
OG0008762	riftia	.	.	.	RPACG00000035182.1	NO HIT
OG0008762	riftia	.	.	.	RPACG00000035183.1	NO HIT
OG0008762	riftia	.	.	.	RPACG00000035184.1	NO HIT
OG0010547	riftia	GO:0000785^cellular_component^chromatin`GO:0005737^cellular_component^cytoplasm`GO:0005829^cellular_component^cytosol`GO:0005654^cellular_component^nucleoplasm`GO:0003723^molecular_function^RNA binding`GO:0004842^molecular_function^ubiquitin-protein transferase activity`GO:0008270^molecular_function^zinc ion binding`GO:0051607^biological_process^defense response to virus`GO:0045087^biological_process^innate immune response`GO:0032608^biological_process^interferon-beta production`GO:0045893^biological_process^positive regulation of transcription DNA-templated`GO:0070534^biological_process^protein K63-linked ubiquitination`GO:0032479^biological_process^regulation of type I interferon production`GO:0034340^biological_process^response to type I interferon	GO:0000785^cellular_component^chromatin`GO:0005737^cellular_component^cytoplasm`GO:0005829^cellular_component^cytosol`GO:0005654^cellular_component^nucleoplasm`GO:0003723^molecular_function^RNA binding`GO:0004842^molecular_function^ubiquitin-protein transferase activity`GO:0008270^molecular_function^zinc ion binding`GO:0051607^biological_process^defense response to virus`GO:0045087^biological_process^innate immune response`GO:0032608^biological_process^interferon-beta production`GO:0045893^biological_process^positive regulation of transcription DNA-templated`GO:0070534^biological_process^protein K63-linked ubiquitination`GO:0032479^biological_process^regulation of type I interferon production`GO:0034340^biological_process^response to type I interferon	GO:0046872^molecular_function^metal ion binding`GO:0008270^molecular_function^zinc ion binding	RPACG00000003862.1	BONUS ISOFORM C-RELATED	K12026
OG0010836	riftia	.	.	.	RPACG00000022217.1	NO HIT
OG0010836	riftia	.	.	.	RPACG00000033053.1	NO HIT
OG0010836	riftia	.	.	.	RPACG00000033054.1	NO HIT
OG0011780	riftia	.	.	.	RPACG00000017556.1	NO HIT
OG0011781	riftia	GO:0000139^cellular_component^Golgi membrane`GO:0016021^cellular_component^integral component of membrane`GO:0050656^molecular_function^3'-phosphoadenosine 5'-phosphosulfate binding`GO:0008467^molecular_function^[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity`GO:0006024^biological_process^glycosaminoglycan biosynthetic process`GO:0015015^biological_process^heparan sulfate proteoglycan biosynthetic process enzymatic modification`GO:0050819^biological_process^negative regulation of coagulation`GO:0006477^biological_process^protein sulfation`GO:0046596^biological_process^regulation of viral entry into host cell	GO:0000139^cellular_component^Golgi membrane`GO:0016021^cellular_component^integral component of membrane`GO:0050656^molecular_function^3'-phosphoadenosine 5'-phosphosulfate binding`GO:0008467^molecular_function^[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity`GO:0006024^biological_process^glycosaminoglycan biosynthetic process`GO:0015015^biological_process^heparan sulfate proteoglycan biosynthetic process enzymatic modification`GO:0050819^biological_process^negative regulation of coagulation`GO:0006477^biological_process^protein sulfation`GO:0046596^biological_process^regulation of viral entry into host cell	GO:0008146^molecular_function^sulfotransferase activity`GO:0016021^cellular_component^integral component of membrane	RPACG00000012552.1	HEPARAN SULFATE SULFOTRANSFERASE	K08104
