OG0000167	nbis-mrna-18169
OG0000285	nbis-mrna-17831, nbis-mrna-17832, nbis-mrna-21756
OG0000444	
OG0000477	
OG0000565	nbis-mrna-1341, nbis-mrna-2934, nbis-mrna-5703
OG0000593	nbis-mrna-10944, nbis-mrna-12413, nbis-mrna-12491, nbis-mrna-12635, nbis-mrna-13496, nbis-mrna-13975, nbis-mrna-18798, nbis-mrna-20664, nbis-mrna-21385, nbis-mrna-2382, nbis-mrna-4414, nbis-mrna-447, nbis-mrna-4505, nbis-mrna-5770, nbis-mrna-6251, nbis-mrna-6874, nbis-mrna-7032, nbis-mrna-7274, nbis-mrna-7378, nbis-mrna-8395, nbis-mrna-8397, nbis-mrna-8910, nbis-mrna-9951
OG0000599	
OG0000620	nbis-mrna-12226, nbis-mrna-16543
OG0000631	
OG0000717	nbis-mrna-5777
OG0000767	
OG0000787	
OG0001003	
OG0001091	nbis-mrna-14975
OG0001126	nbis-mrna-20032, nbis-mrna-6513
OG0001158	nbis-mrna-8353
OG0001195	nbis-mrna-1353, nbis-mrna-887
OG0001224	
OG0001517	nbis-mrna-15456
OG0001603	nbis-mrna-18280
OG0001635	
OG0001783	nbis-mrna-22312
OG0001914	nbis-mrna-5818
OG0001971	nbis-mrna-21770
OG0002083	
OG0002211	nbis-mrna-1018, nbis-mrna-10239, nbis-mrna-11158, nbis-mrna-11184, nbis-mrna-11679, nbis-mrna-12432, nbis-mrna-13431, nbis-mrna-13503, nbis-mrna-14760, nbis-mrna-14841, nbis-mrna-15165, nbis-mrna-15385, nbis-mrna-15470, nbis-mrna-16131, nbis-mrna-16354, nbis-mrna-16563, nbis-mrna-16627, nbis-mrna-16964, nbis-mrna-17313, nbis-mrna-17491, nbis-mrna-18294, nbis-mrna-18300, nbis-mrna-18469, nbis-mrna-19852, nbis-mrna-20086, nbis-mrna-202, nbis-mrna-20465, nbis-mrna-20817, nbis-mrna-21985, nbis-mrna-22076, nbis-mrna-2213, nbis-mrna-2472, nbis-mrna-2591, nbis-mrna-3592, nbis-mrna-6011, nbis-mrna-6798, nbis-mrna-709, nbis-mrna-9155, nbis-mrna-9305, nbis-mrna-9393, nbis-mrna-942, nbis-mrna-9760, nbis-mrna-9978
OG0002219	nbis-mrna-10471
OG0002250	
OG0002402	nbis-mrna-979
OG0002438	nbis-mrna-280
OG0002455	nbis-mrna-11219, nbis-mrna-11790, nbis-mrna-12086, nbis-mrna-13277, nbis-mrna-15060, nbis-mrna-15176, nbis-mrna-16841, nbis-mrna-16842, nbis-mrna-16845, nbis-mrna-16846, nbis-mrna-16849, nbis-mrna-16850, nbis-mrna-16851, nbis-mrna-20665, nbis-mrna-2072, nbis-mrna-22129, nbis-mrna-22161, nbis-mrna-3133, nbis-mrna-3135, nbis-mrna-3137, nbis-mrna-4506, nbis-mrna-6796, nbis-mrna-6801, nbis-mrna-7275, nbis-mrna-7808, nbis-mrna-8485, nbis-mrna-8488, nbis-mrna-8489, nbis-mrna-8490
OG0002737	nbis-mrna-12534
OG0002763	nbis-mrna-19474
OG0002777	
OG0002786	
OG0002912	nbis-mrna-1392
OG0003193	nbis-mrna-20513
OG0003286	nbis-mrna-19327
OG0003352	nbis-mrna-16735
OG0003466	nbis-mrna-10171, nbis-mrna-12223, nbis-mrna-1254, nbis-mrna-12826, nbis-mrna-16388, nbis-mrna-9019, nbis-mrna-903, nbis-mrna-904
OG0003666	nbis-mrna-15970, nbis-mrna-19711
OG0003743	nbis-mrna-13788
OG0003772	nbis-mrna-21878
OG0003804	nbis-mrna-5731
OG0004228	nbis-mrna-21203
OG0004246	nbis-mrna-10260, nbis-mrna-12812, nbis-mrna-13380, nbis-mrna-13700, nbis-mrna-14532, nbis-mrna-14768, nbis-mrna-15595, nbis-mrna-17105, nbis-mrna-18220, nbis-mrna-18372, nbis-mrna-20396, nbis-mrna-20397, nbis-mrna-21129, nbis-mrna-21521, nbis-mrna-22106, nbis-mrna-4086, nbis-mrna-4528, nbis-mrna-4653, nbis-mrna-5475, nbis-mrna-5647, nbis-mrna-5819, nbis-mrna-6534, nbis-mrna-6632, nbis-mrna-9322
OG0004258	
