Orthogroup	Panther_annotation
OG0007145	 BNAC04G55460D PROTEIN
OG0007146	 NO HIT
OG0008761	 NO HIT
OG0009359	 PROTEIN CBG12054
OG0010263	 AGAP008170-PA
OG0010264	 NO HIT
OG0010548	 NO HIT
OG0010549	 SUBFAMILY NOT NAMED
OG0010550	 GLIPR1-LIKE PROTEIN 1
OG0010551	 NO HIT
OG0011143	 SUBFAMILY NOT NAMED
OG0011145	 NO HIT
OG0011146	 PLAT DOMAIN-CONTAINING PROTEIN 1
OG0011454	 NO HIT
OG0011456	 NO HIT
OG0012163	 BARRIER TO AUTOINTEGRATION FACTOR 2
OG0012617	 SUBFAMILY NOT NAMED
OG0012618	 CYTOCHROME C-TYPE BIOGENESIS PROTEIN CCMH
OG0012619	 SI:CH211-212K18.6
OG0013137	 NO HIT
OG0013138	 MEMBRANE METALLO-ENDOPEPTIDASE-LIKE 1
OG0013139	 NO HIT
OG0013796	 NON-HISTONE CHROMOSOMAL PROTEIN 6
OG0013797	 OVARIAN TUMOUR OTUBAIN
OG0013798	 SUBFAMILY NOT NAMED
OG0014548	 G-PROTEIN COUPLED RECEPTOR
OG0014549	 OOKINETE PROTEIN PUTATIVE-RELATED
OG0014550	 NO HIT
OG0014551	 FAMILY NOT NAMED
OG0014552	 52 KDA REPRESSOR OF THE INHIBITOR OF THE PROTEIN KINASE-LIKE PROTEIN
OG0015499	 MAMMALIAN EPENDYMIN-RELATED PROTEIN 1
OG0015500	 NO HIT
OG0015501	 OOKINETE PROTEIN PUTATIVE-RELATED
OG0015502	 METABOTROPIC GLUTAMATE RECEPTOR
OG0015503	 NEPRILYSIN-1
OG0015504	 OOKINETE PROTEIN PUTATIVE-RELATED
OG0016650	 E3 UBIQUITIN-PROTEIN LIGASE MYCBP2
OG0016651	 MYOSIN REGULATORY LIGHT CHAIN 2
OG0016652	 NO HIT
OG0016653	 NO HIT
OG0016654	 NO HIT
OG0016655	 RSBT ANTAGONIST PROTEIN RSBS
OG0016656	 FAMILY NOT NAMED
OG0018235	 NO HIT
OG0018236	 NO HIT
OG0018237	 PDZ AND LIM DOMAIN PROTEIN ZASP
OG0018238	 POLYADENYLATE-BINDING PROTEIN-INTERACTING PROTEIN 1
OG0018239	 SUBFAMILY NOT NAMED
OG0018240	 PROTEIN MIS12 HOMOLOG
OG0018241	 UNCHARACTERIZED
OG0018242	 NO HIT
OG0018243	 NO HIT
OG0020424	 NO HIT
OG0020425	 NO HIT
OG0020426	 COLLAGEN
OG0020427	 SUBFAMILY NOT NAMED
OG0020429	 LANOSTEROL SYNTHASE
OG0020430	 STROMAL INTERACTION MOLECULE HOMOLOG
OG0020431	 RNA EXONUCLEASE 4
OG0020432	 NO HIT
OG0020433	 KEKKON-2
OG0020434	 NO HIT
OG0023577	 SUBFAMILY NOT NAMED
OG0023578	 COMPLEMENT COMPONENT 1 S SUBCOMPONENT-RELATED
OG0023579	 NO HIT
OG0023580	 OOKINETE PROTEIN PUTATIVE-RELATED
OG0023581	 RHOMBOID PROTEIN 2
OG0023583	 NO HIT
OG0023584	 NO HIT
OG0023585	 AGAP002802-PA
