Orthogroup	Species	GO_term1	GO_term2	GO_term3	gene_ID	Panther_annotation	KEGG_number
OG0000863	oasisia	GO:0045179^cellular_component^apical cortex`GO:0005938^cellular_component^cell cortex`GO:0032991^cellular_component^protein-containing complex`GO:0003723^molecular_function^RNA binding`GO:0090307^biological_process^mitotic spindle assembly`GO:0007094^biological_process^mitotic spindle assembly checkpoint`GO:0007275^biological_process^multicellular organism development`GO:0006468^biological_process^protein phosphorylation	GO:0045179^cellular_component^apical cortex`GO:0005938^cellular_component^cell cortex`GO:0032991^cellular_component^protein-containing complex`GO:0003723^molecular_function^RNA binding`GO:0090307^biological_process^mitotic spindle assembly`GO:0007094^biological_process^mitotic spindle assembly checkpoint`GO:0007275^biological_process^multicellular organism development`GO:0006468^biological_process^protein phosphorylation	.	OALVG00000000569.1	SUBFAMILY NOT NAMED	
OG0000863	oasisia	GO:0045179^cellular_component^apical cortex`GO:0005938^cellular_component^cell cortex`GO:0032991^cellular_component^protein-containing complex`GO:0003723^molecular_function^RNA binding`GO:0090307^biological_process^mitotic spindle assembly`GO:0007094^biological_process^mitotic spindle assembly checkpoint`GO:0007275^biological_process^multicellular organism development`GO:0006468^biological_process^protein phosphorylation	GO:0045179^cellular_component^apical cortex`GO:0005938^cellular_component^cell cortex`GO:0032991^cellular_component^protein-containing complex`GO:0003723^molecular_function^RNA binding`GO:0090307^biological_process^mitotic spindle assembly`GO:0007094^biological_process^mitotic spindle assembly checkpoint`GO:0007275^biological_process^multicellular organism development`GO:0006468^biological_process^protein phosphorylation	.	OALVG00000001852.1	SUBFAMILY NOT NAMED	
OG0000863	oasisia	GO:0045179^cellular_component^apical cortex`GO:0005938^cellular_component^cell cortex`GO:0032991^cellular_component^protein-containing complex`GO:0003723^molecular_function^RNA binding`GO:0090307^biological_process^mitotic spindle assembly`GO:0007094^biological_process^mitotic spindle assembly checkpoint`GO:0007275^biological_process^multicellular organism development`GO:0006468^biological_process^protein phosphorylation	GO:0045179^cellular_component^apical cortex`GO:0005938^cellular_component^cell cortex`GO:0032991^cellular_component^protein-containing complex`GO:0003723^molecular_function^RNA binding`GO:0090307^biological_process^mitotic spindle assembly`GO:0007094^biological_process^mitotic spindle assembly checkpoint`GO:0007275^biological_process^multicellular organism development`GO:0006468^biological_process^protein phosphorylation	.	OALVG00000005135.1	SUBFAMILY NOT NAMED	
OG0000863	oasisia	GO:0031362^cellular_component^anchored component of external side of plasma membrane`GO:0010339^cellular_component^external side of cell wall`GO:0098631^molecular_function^cell adhesion mediator activity	GO:0031362^cellular_component^anchored component of external side of plasma membrane`GO:0010339^cellular_component^external side of cell wall`GO:0098631^molecular_function^cell adhesion mediator activity	.	OALVG00000005136.1	SUBFAMILY NOT NAMED	
OG0000863	oasisia	GO:0045179^cellular_component^apical cortex`GO:0005938^cellular_component^cell cortex`GO:0032991^cellular_component^protein-containing complex`GO:0003723^molecular_function^RNA binding`GO:0090307^biological_process^mitotic spindle assembly`GO:0007094^biological_process^mitotic spindle assembly checkpoint`GO:0007275^biological_process^multicellular organism development`GO:0006468^biological_process^protein phosphorylation	GO:0045179^cellular_component^apical cortex`GO:0005938^cellular_component^cell cortex`GO:0032991^cellular_component^protein-containing complex`GO:0003723^molecular_function^RNA binding`GO:0090307^biological_process^mitotic spindle assembly`GO:0007094^biological_process^mitotic spindle assembly checkpoint`GO:0007275^biological_process^multicellular organism development`GO:0006468^biological_process^protein phosphorylation	.	OALVG00000005138.1	SUBFAMILY NOT NAMED	
OG0000863	oasisia	GO:0009279^cellular_component^cell outer membrane`GO:0050825^molecular_function^ice binding	GO:0009279^cellular_component^cell outer membrane`GO:0050825^molecular_function^ice binding	.	OALVG00000005139.1	SUBFAMILY NOT NAMED	
OG0000863	oasisia	GO:0045179^cellular_component^apical cortex`GO:0005938^cellular_component^cell cortex`GO:0032991^cellular_component^protein-containing complex`GO:0003723^molecular_function^RNA binding`GO:0090307^biological_process^mitotic spindle assembly`GO:0007094^biological_process^mitotic spindle assembly checkpoint`GO:0007275^biological_process^multicellular organism development`GO:0006468^biological_process^protein phosphorylation	GO:0045179^cellular_component^apical cortex`GO:0005938^cellular_component^cell cortex`GO:0032991^cellular_component^protein-containing complex`GO:0003723^molecular_function^RNA binding`GO:0090307^biological_process^mitotic spindle assembly`GO:0007094^biological_process^mitotic spindle assembly checkpoint`GO:0007275^biological_process^multicellular organism development`GO:0006468^biological_process^protein phosphorylation	.	OALVG00000006416.1	SUBFAMILY NOT NAMED	
OG0000863	oasisia	GO:0031362^cellular_component^anchored component of external side of plasma membrane`GO:0010339^cellular_component^external side of cell wall`GO:0098631^molecular_function^cell adhesion mediator activity	GO:0031362^cellular_component^anchored component of external side of plasma membrane`GO:0010339^cellular_component^external side of cell wall`GO:0098631^molecular_function^cell adhesion mediator activity	.	OALVG00000006417.1	SUBFAMILY NOT NAMED	
OG0000863	oasisia	GO:0045179^cellular_component^apical cortex`GO:0005938^cellular_component^cell cortex`GO:0032991^cellular_component^protein-containing complex`GO:0003723^molecular_function^RNA binding`GO:0090307^biological_process^mitotic spindle assembly`GO:0007094^biological_process^mitotic spindle assembly checkpoint`GO:0007275^biological_process^multicellular organism development`GO:0006468^biological_process^protein phosphorylation	GO:0045179^cellular_component^apical cortex`GO:0005938^cellular_component^cell cortex`GO:0032991^cellular_component^protein-containing complex`GO:0003723^molecular_function^RNA binding`GO:0090307^biological_process^mitotic spindle assembly`GO:0007094^biological_process^mitotic spindle assembly checkpoint`GO:0007275^biological_process^multicellular organism development`GO:0006468^biological_process^protein phosphorylation	.	OALVG00000006418.1	SUBFAMILY NOT NAMED	
OG0000863	oasisia	GO:0045179^cellular_component^apical cortex`GO:0005938^cellular_component^cell cortex`GO:0032991^cellular_component^protein-containing complex`GO:0003723^molecular_function^RNA binding`GO:0090307^biological_process^mitotic spindle assembly`GO:0007094^biological_process^mitotic spindle assembly checkpoint`GO:0007275^biological_process^multicellular organism development`GO:0006468^biological_process^protein phosphorylation	GO:0045179^cellular_component^apical cortex`GO:0005938^cellular_component^cell cortex`GO:0032991^cellular_component^protein-containing complex`GO:0003723^molecular_function^RNA binding`GO:0090307^biological_process^mitotic spindle assembly`GO:0007094^biological_process^mitotic spindle assembly checkpoint`GO:0007275^biological_process^multicellular organism development`GO:0006468^biological_process^protein phosphorylation	.	OALVG00000006471.1	SUBFAMILY NOT NAMED	
