OG0000121	FUN_014864-T1, FUN_040648-T1
OG0000127	FUN_002917-T1
OG0000192	FUN_028096-T1, FUN_028100-T1, FUN_030477-T1
OG0000232	FUN_008882-T1
OG0000235	FUN_003227-T1, FUN_009764-T1, FUN_022639-T1, FUN_027197-T1, FUN_029791-T1, FUN_035864-T1, FUN_035916-T1, FUN_037767-T1
OG0000287	FUN_012581-T1
OG0000477	
OG0000527	FUN_004392-T1, FUN_011122-T1, FUN_011182-T1, FUN_017410-T1, FUN_019760-T1, FUN_025490-T1, FUN_025523-T1, FUN_025630-T1
OG0000529	FUN_000430-T1, FUN_000431-T1, FUN_000433-T1, FUN_000434-T1, FUN_000435-T1, FUN_000437-T1, FUN_000438-T1, FUN_000439-T1
OG0000586	FUN_005495-T1, FUN_012604-T1, FUN_018637-T1, FUN_020218-T1, FUN_023538-T1
OG0000787	
OG0000923	FUN_006036-T1, FUN_014553-T1, FUN_015607-T1, FUN_016232-T1, FUN_016233-T1, FUN_016235-T1, FUN_017807-T1, FUN_020204-T1, FUN_021833-T1, FUN_025006-T1, FUN_030323-T1, FUN_030328-T1, FUN_030331-T1, FUN_030334-T1, FUN_030645-T1, FUN_032694-T1, FUN_032696-T1, FUN_032700-T1, FUN_032701-T1, FUN_032704-T1, FUN_032706-T1, FUN_032710-T1
OG0001003	
OG0001026	FUN_021838-T1
OG0001076	FUN_013355-T1, FUN_037567-T1
OG0001080	FUN_007631-T1, FUN_027954-T1, FUN_030187-T1, FUN_032720-T1, FUN_034847-T1
OG0001126	
OG0001164	FUN_031408-T1
OG0001235	FUN_007025-T1, FUN_026914-T1, FUN_026915-T1, FUN_026916-T1
OG0001264	FUN_022176-T1, FUN_025330-T1, FUN_025331-T1, FUN_025333-T1, FUN_025335-T1
OG0001475	FUN_036419-T1, FUN_038077-T1
OG0001591	FUN_030650-T1, FUN_030655-T1, FUN_030657-T1
OG0001603	
OG0001744	FUN_006857-T1, FUN_009519-T1, FUN_010699-T1, FUN_012531-T1, FUN_012532-T1, FUN_018368-T1, FUN_018369-T1, FUN_021979-T1, FUN_021980-T1, FUN_022086-T1, FUN_025461-T1, FUN_025728-T1, FUN_026020-T1, FUN_027804-T1, FUN_029179-T1, FUN_030616-T1, FUN_030653-T1, FUN_034338-T1, FUN_034339-T1, FUN_038409-T1
OG0001864	FUN_005780-T1, FUN_005783-T1
OG0001903	FUN_017729-T1
OG0001962	FUN_034913-T1
OG0002206	FUN_000182-T1, FUN_009312-T1, FUN_010604-T1, FUN_011523-T1, FUN_020205-T1, FUN_028306-T1
OG0002324	FUN_017322-T1, FUN_024755-T1
OG0002327	FUN_010370-T1, FUN_011206-T1, FUN_013202-T1, FUN_014824-T1, FUN_015351-T1, FUN_016019-T1, FUN_016502-T1, FUN_019009-T1, FUN_028761-T1, FUN_029739-T1
OG0002517	FUN_036863-T1
OG0002777	
OG0002786	
OG0003374	FUN_034801-T1
OG0003478	FUN_040466-T1
OG0003564	FUN_040771-T1
OG0003672	FUN_035932-T1
OG0003674	FUN_015799-T1
OG0003928	FUN_009048-T1
OG0004021	FUN_021443-T1
OG0004235	FUN_028937-T1
OG0004355	FUN_011325-T1
OG0004445	FUN_033257-T1
OG0004476	FUN_005949-T1, FUN_029345-T1, FUN_029916-T1, FUN_030664-T1, FUN_039005-T1
OG0004753	FUN_007457-T1
OG0004981	FUN_028645-T1
OG0004984	FUN_003272-T1
OG0005017	
OG0005063	FUN_007483-T1
OG0005069	FUN_013325-T1
OG0005287	FUN_036818-T1
OG0005304	FUN_020524-T1
OG0005324	FUN_028258-T1
OG0005545	FUN_028583-T1
OG0005657	FUN_005301-T1, FUN_005302-T1, FUN_005303-T1
OG0005693	FUN_017550-T1
OG0005716	FUN_010291-T1
OG0005832	FUN_008055-T1, FUN_008057-T1
OG0005882	FUN_006864-T1
OG0005926	FUN_029389-T1
OG0005986	FUN_030842-T1
OG0006130	FUN_008433-T1
OG0006162	
OG0006165	FUN_031278-T1
OG0006181	
OG0006433	FUN_038554-T1
OG0006562	FUN_035931-T1
OG0006611	
OG0006680	FUN_034529-T1, FUN_034531-T1
OG0006716	FUN_006571-T1
OG0006797	FUN_031130-T1
OG0006854	FUN_033791-T1
OG0006909	FUN_034729-T1
OG0006976	FUN_031708-T1
OG0007012	FUN_013497-T1, FUN_040742-T1
OG0007156	FUN_029551-T1, FUN_033986-T1
OG0007172	FUN_009113-T1
OG0007221	FUN_003294-T1, FUN_010511-T1
OG0007339	FUN_005715-T1, FUN_005717-T1
OG0007389	FUN_038267-T1
OG0007418	FUN_014532-T1
OG0007700	FUN_037318-T1
OG0007720	
OG0007822	FUN_015259-T1
OG0007877	FUN_014340-T1
OG0007889	FUN_026561-T1
OG0007931	FUN_029475-T1
OG0008063	
OG0008085	FUN_023867-T1
OG0008188	FUN_000942-T1
OG0008316	FUN_034556-T1
OG0008388	
OG0008449	FUN_000768-T1, FUN_001945-T1, FUN_002261-T1, FUN_002353-T1, FUN_004036-T1, FUN_009488-T1, FUN_013627-T1, FUN_016002-T1, FUN_016698-T1, FUN_018921-T1, FUN_031121-T1, FUN_037870-T1
OG0008550	FUN_010041-T1
OG0008584	FUN_032784-T1
OG0008647	FUN_005684-T1, FUN_036698-T1
OG0008660	FUN_030660-T1
OG0008754	FUN_021191-T1, FUN_030845-T1, FUN_030901-T1
OG0008755	FUN_001810-T1, FUN_001811-T1, FUN_001812-T1, FUN_003039-T1, FUN_003040-T1, FUN_003973-T1, FUN_010518-T1, FUN_010519-T1, FUN_010520-T1, FUN_010521-T1, FUN_012633-T1, FUN_016863-T1, FUN_016864-T1, FUN_033686-T1, FUN_033689-T1, FUN_033691-T1, FUN_033693-T1, FUN_033695-T1, FUN_033696-T1, FUN_033698-T1, FUN_033699-T1, FUN_033700-T1, FUN_037675-T1
OG0008762	
OG0008788	FUN_022052-T1
OG0008800	FUN_023418-T1
OG0008846	FUN_019334-T1
OG0008858	FUN_020807-T1
OG0008870	FUN_000887-T1
OG0008874	FUN_019028-T1
OG0009003	FUN_017345-T1
OG0009036	FUN_015537-T1, FUN_023085-T1, FUN_030069-T1, FUN_030072-T1, FUN_030074-T1, FUN_030077-T1
OG0009049	FUN_027982-T1, FUN_039747-T1
OG0009098	FUN_032339-T1
OG0009156	
OG0009193	FUN_006883-T1
OG0009217	FUN_005855-T1
OG0009233	FUN_005499-T1
OG0009314	FUN_025837-T1
OG0009445	FUN_004018-T1, FUN_023341-T1, FUN_025384-T1
OG0009599	FUN_033709-T1, FUN_033710-T1
OG0009680	FUN_024216-T1
OG0009686	
OG0009691	FUN_003886-T1
OG0009707	FUN_026364-T1
OG0009730	
OG0009757	FUN_002231-T1
OG0009821	FUN_019039-T1, FUN_019040-T1
OG0009850	FUN_021709-T1, FUN_022270-T1, FUN_029333-T1
OG0009854	
OG0009976	FUN_024175-T1, FUN_024177-T1, FUN_024178-T1, FUN_024179-T1
OG0010023	
OG0010104	
OG0010117	FUN_001335-T1
OG0010128	
OG0010161	FUN_026225-T1, FUN_026228-T1, FUN_031967-T1, FUN_033277-T1
OG0010186	FUN_029825-T1
OG0010312	
OG0010386	FUN_018289-T1, FUN_022099-T1, FUN_026019-T1, FUN_028124-T1, FUN_029557-T1
OG0010394	
OG0010467	FUN_034032-T1
OG0010587	
OG0010597	
OG0010769	FUN_003052-T1, FUN_007353-T1, FUN_007354-T1, FUN_018523-T1, FUN_023332-T1, FUN_023333-T1, FUN_023334-T1, FUN_036670-T1
OG0010778	FUN_007738-T1, FUN_012377-T1, FUN_016633-T1, FUN_023123-T1, FUN_032535-T1
OG0010888	FUN_033610-T1
OG0010900	FUN_020420-T1
OG0010956	FUN_016640-T1, FUN_020826-T1
OG0010973	FUN_010606-T1, FUN_025880-T1, FUN_035703-T1
OG0010989	FUN_002199-T1, FUN_014977-T1, FUN_021401-T1, FUN_026055-T1, FUN_026060-T1
OG0011034	
OG0011098	FUN_001984-T1, FUN_003022-T1, FUN_003025-T1, FUN_009508-T1, FUN_014787-T1, FUN_016258-T1, FUN_019693-T1, FUN_021002-T1, FUN_023231-T1, FUN_029744-T1, FUN_030051-T1, FUN_030314-T1
OG0011208	FUN_009446-T1
OG0011274	FUN_019790-T1
OG0011321	FUN_003103-T1
OG0011322	FUN_008504-T1
OG0011331	FUN_024025-T1
OG0011349	
OG0011356	FUN_009173-T1, FUN_013106-T1, FUN_013700-T1, FUN_014825-T1, FUN_017671-T1, FUN_022304-T1, FUN_038940-T1
OG0011387	FUN_010530-T1, FUN_010533-T1, FUN_013221-T1, FUN_015231-T1, FUN_015232-T1, FUN_019763-T1, FUN_032921-T1, FUN_032923-T1, FUN_036325-T1, FUN_036327-T1
OG0011498	FUN_000756-T1, FUN_008187-T1, FUN_024787-T1, FUN_024789-T1, FUN_033136-T1, FUN_033138-T1
OG0011529	FUN_014156-T1, FUN_015667-T1
OG0011562	FUN_036919-T1
OG0011569	
OG0011636	
OG0011654	FUN_038104-T1
OG0011680	FUN_040618-T1
OG0011682	
OG0011749	
OG0011750	FUN_005757-T1, FUN_013114-T1, FUN_017442-T1, FUN_019351-T1, FUN_022527-T1, FUN_027289-T1, FUN_029919-T1, FUN_037719-T1, FUN_037835-T1, FUN_039469-T1
OG0011757	FUN_002379-T1, FUN_002466-T1, FUN_003163-T1, FUN_003164-T1, FUN_009683-T1, FUN_011110-T1, FUN_013684-T1, FUN_022190-T1, FUN_031248-T1, FUN_031280-T1, FUN_031644-T1, FUN_032026-T1
OG0011766	
OG0011783	
OG0011852	FUN_006071-T1
OG0011873	FUN_006557-T1
OG0011920	FUN_034811-T1
OG0011959	FUN_002393-T1
OG0011961	
OG0011979	FUN_039784-T1
OG0011984	FUN_000909-T1, FUN_008341-T1, FUN_011709-T1, FUN_013875-T1, FUN_014620-T1, FUN_014829-T1, FUN_015411-T1, FUN_022010-T1, FUN_022569-T1, FUN_035086-T1
OG0012075	FUN_031870-T1
OG0012095	FUN_000685-T1, FUN_000690-T1, FUN_010856-T1, FUN_012015-T1, FUN_012017-T1, FUN_012092-T1, FUN_021586-T1, FUN_021590-T1, FUN_021835-T1
OG0012177	
OG0012233	FUN_018559-T1
OG0012317	FUN_018146-T1, FUN_020676-T1
OG0012320	FUN_012565-T1
OG0012323	FUN_000846-T1
OG0012359	FUN_003405-T1
OG0012401	FUN_031842-T1
OG0012404	FUN_006681-T1, FUN_013442-T1, FUN_019076-T1, FUN_022346-T1, FUN_024371-T1, FUN_024692-T1, FUN_030336-T1, FUN_032038-T1
OG0012561	FUN_004050-T1, FUN_008440-T1, FUN_008860-T1, FUN_031092-T1
OG0012566	FUN_002928-T1, FUN_003316-T1, FUN_003319-T1, FUN_003322-T1, FUN_008865-T1, FUN_011611-T1, FUN_011612-T1, FUN_021282-T1, FUN_028475-T1, FUN_040001-T1
OG0012574	FUN_010950-T1, FUN_010952-T1, FUN_031571-T1
OG0012639	
OG0012716	FUN_003123-T1, FUN_015361-T1, FUN_029392-T1
OG0012734	
OG0012735	
OG0012748	FUN_035793-T1
OG0012757	FUN_016583-T1
OG0012808	
OG0012872	FUN_034239-T1
OG0012874	FUN_009412-T1, FUN_017333-T1
OG0012896	FUN_032335-T1
OG0012906	FUN_010736-T1, FUN_020666-T1, FUN_031045-T1, FUN_033860-T1
OG0012926	FUN_003799-T1
OG0013062	FUN_020574-T1
OG0013084	FUN_003775-T1, FUN_007499-T1, FUN_012783-T1, FUN_031297-T1, FUN_031299-T1, FUN_037180-T1, FUN_037183-T1
OG0013087	FUN_005663-T1, FUN_007199-T1, FUN_007567-T1, FUN_007572-T1, FUN_008614-T1, FUN_010611-T1, FUN_014692-T1, FUN_020245-T1, FUN_021482-T1
OG0013096	FUN_005164-T1, FUN_009535-T1, FUN_032813-T1
OG0013241	FUN_020210-T1
OG0013309	FUN_006030-T1, FUN_016752-T1, FUN_018518-T1, FUN_035652-T1
OG0013311	FUN_004783-T1
OG0013312	FUN_021847-T1
OG0013333	FUN_032288-T1, FUN_036978-T1
OG0013336	FUN_002071-T1
OG0013345	FUN_013263-T1, FUN_021337-T1
OG0013428	
OG0013443	FUN_020549-T1
OG0013471	FUN_011350-T1
OG0013476	FUN_003793-T1, FUN_017053-T1, FUN_035199-T1
OG0013493	FUN_001631-T1, FUN_002834-T1, FUN_005265-T1, FUN_023326-T1, FUN_032518-T1, FUN_035361-T1, FUN_036917-T1
OG0013581	FUN_025134-T1
OG0013617	
OG0013688	FUN_030100-T1, FUN_030825-T1, FUN_030832-T1, FUN_039978-T1
OG0013700	FUN_001177-T1, FUN_002144-T1, FUN_006244-T1, FUN_010613-T1, FUN_015762-T1, FUN_021352-T1, FUN_028806-T1, FUN_029902-T1, FUN_030954-T1
OG0013708	FUN_000767-T1, FUN_007422-T1, FUN_009518-T1, FUN_016346-T1, FUN_017051-T1, FUN_027330-T1, FUN_031854-T1, FUN_037638-T1, FUN_039895-T1
OG0013711	FUN_006081-T1, FUN_006085-T1
OG0013827	
OG0013963	FUN_004252-T1
OG0013966	FUN_032660-T1
OG0013981	FUN_007705-T1, FUN_008586-T1, FUN_010027-T1, FUN_012322-T1, FUN_018230-T1, FUN_021607-T1, FUN_039124-T1
OG0014035	
OG0014059	FUN_009947-T1, FUN_020562-T1
OG0014122	FUN_027444-T1
OG0014215	FUN_003115-T1, FUN_010715-T1, FUN_019055-T1, FUN_020150-T1, FUN_025988-T1, FUN_026031-T1
OG0014333	FUN_005463-T1
OG0014587	
OG0014590	
OG0014593	
OG0014700	FUN_013749-T1
OG0014717	
OG0014725	FUN_024754-T1
OG0014759	FUN_039947-T1
OG0014782	FUN_023167-T1
OG0014808	FUN_002920-T1, FUN_005490-T1, FUN_019576-T1, FUN_022818-T1, FUN_024861-T1, FUN_039897-T1, FUN_039900-T1
OG0014900	
OG0014909	
