OG0000207	Ofra|OFRAG00000004254.1
OG0000450	Ofra|OFRAG00000009273.1, Ofra|OFRAG00000016263.1
OG0001138	Ofra|OFRAG00000011078.1
OG0001256	Ofra|OFRAG00000010631.1
OG0001286	Ofra|OFRAG00000015393.1
OG0001356	Ofra|OFRAG00000001945.1
OG0001586	Ofra|OFRAG00000013499.1
OG0001796	Ofra|OFRAG00000008915.1, Ofra|OFRAG00000010742.1, Ofra|OFRAG00000010743.1
OG0002101	Ofra|OFRAG00000007818.1, Ofra|OFRAG00000008191.1
OG0003708	Ofra|OFRAG00000010431.1
OG0003745	Ofra|OFRAG00000013779.1
OG0005478	Ofra|OFRAG00000002909.2
OG0005517	Ofra|OFRAG00000015142.1
OG0006041	Ofra|OFRAG00000000321.1, Ofra|OFRAG00000002733.1, Ofra|OFRAG00000005599.1, Ofra|OFRAG00000005600.1, Ofra|OFRAG00000005601.1, Ofra|OFRAG00000007182.1, Ofra|OFRAG00000007183.1, Ofra|OFRAG00000007184.1, Ofra|OFRAG00000007185.1, Ofra|OFRAG00000007186.1, Ofra|OFRAG00000007187.1, Ofra|OFRAG00000009215.1, Ofra|OFRAG00000010036.1, Ofra|OFRAG00000013200.1, Ofra|OFRAG00000013201.1, Ofra|OFRAG00000013202.1, Ofra|OFRAG00000013203.1, Ofra|OFRAG00000014112.1, Ofra|OFRAG00000014116.1, Ofra|OFRAG00000015728.1, Ofra|OFRAG00000015733.1, Ofra|OFRAG00000015735.1, Ofra|OFRAG00000015736.1, Ofra|OFRAG00000015737.1, Ofra|OFRAG00000015738.1, Ofra|OFRAG00000015874.1, Ofra|OFRAG00000017295.1, Ofra|OFRAG00000017899.1, Ofra|OFRAG00000017900.1
OG0006566	Ofra|OFRAG00000007864.1, Ofra|OFRAG00000007865.1
OG0007124	Ofra|OFRAG00000006437.1, Ofra|OFRAG00000009626.1, Ofra|OFRAG00000015887.1
OG0008055	Ofra|OFRAG00000014572.1
OG0008269	Ofra|OFRAG00000005094.1
OG0008333	Ofra|OFRAG00000003237.1
OG0008677	Ofra|OFRAG00000017315.1
OG0008698	Ofra|OFRAG00000000576.1, Ofra|OFRAG00000006723.1
OG0008715	Ofra|OFRAG00000017944.1
OG0009007	Ofra|OFRAG00000002601.2
OG0009068	Ofra|OFRAG00000008365.1
OG0009304	Ofra|OFRAG00000008725.1
OG0010251	Ofra|OFRAG00000016668.1, Ofra|OFRAG00000016669.1, Ofra|OFRAG00000016670.1, Ofra|OFRAG00000016671.1, Ofra|OFRAG00000016672.1, Ofra|OFRAG00000016673.1, Ofra|OFRAG00000016674.1, Ofra|OFRAG00000016675.1, Ofra|OFRAG00000016676.1, Ofra|OFRAG00000016677.1, Ofra|OFRAG00000016678.1, Ofra|OFRAG00000016679.1, Ofra|OFRAG00000016680.1, Ofra|OFRAG00000016681.1, Ofra|OFRAG00000016682.1, Ofra|OFRAG00000016683.1, Ofra|OFRAG00000016684.1, Ofra|OFRAG00000016685.1, Ofra|OFRAG00000016686.1
OG0010348	Ofra|OFRAG00000006729.1, Ofra|OFRAG00000012554.1
OG0010612	Ofra|OFRAG00000001463.1
OG0011303	Ofra|OFRAG00000000746.1
OG0011382	Ofra|OFRAG00000009179.1
OG0011396	Ofra|OFRAG00000011314.1
OG0011455	Ofra|OFRAG00000006445.1
OG0011508	Ofra|OFRAG00000010021.1
OG0011512	Ofra|OFRAG00000012704.1
OG0011549	Ofra|OFRAG00000007936.1
OG0011559	Ofra|OFRAG00000013613.1
OG0011577	Ofra|OFRAG00000015975.1
OG0011666	Ofra|OFRAG00000000051.1
OG0011767	Ofra|OFRAG00000004489.1
OG0011832	Ofra|OFRAG00000000034.1
OG0012005	Ofra|OFRAG00000017693.1
OG0012011	Ofra|OFRAG00000017600.1, Ofra|OFRAG00000017601.1
OG0012164	Ofra|OFRAG00000013010.1
OG0012232	Ofra|OFRAG00000006302.1
