OG0000014	OFUSG08075.1, OFUSG14531.1
OG0000047	OFUSG26087.1
OG0000106	OFUSG20108.1, OFUSG20109.1, OFUSG23061.1
OG0000129	OFUSG26967.1
OG0000145	
OG0000167	OFUSG19136.1
OG0000231	OFUSG20104.1, OFUSG23015.1
OG0000233	OFUSG00124.1, OFUSG02621.1, OFUSG09276.1, OFUSG13961.1, OFUSG14566.1, OFUSG18170.1, OFUSG19894.1, OFUSG20276.1, OFUSG20682.1, OFUSG25652.1
OG0000289	
OG0000367	
OG0000404	
OG0000495	
OG0000620	
OG0000772	
OG0000882	
OG0001091	OFUSG04001.1
OG0001158	
OG0001195	
OG0001277	OFUSG04017.1
OG0001459	
OG0001517	
OG0001695	OFUSG10006.2, OFUSG26728.1
OG0001971	
OG0002005	
OG0002174	OFUSG07625.1
OG0002196	OFUSG03090.1, OFUSG11617.1
OG0002211	
OG0002237	OFUSG15902.1, OFUSG15903.1, OFUSG15904.1, OFUSG15905.1, OFUSG15906.1, OFUSG15907.1, OFUSG15908.1, OFUSG15909.1, OFUSG15915.1
OG0002455	OFUSG19531.1
OG0002763	
OG0002766	
OG0002799	OFUSG23437.1
OG0002941	
OG0002978	OFUSG17669.1
OG0003282	OFUSG18155.1, OFUSG18156.1
OG0003466	
OG0003963	OFUSG09769.1, OFUSG17318.2
OG0004246	
OG0004499	
OG0004940	
OG0004976	
OG0005112	
OG0005899	
OG0006125	OFUSG14105.1
OG0006174	
OG0007116	
OG0007326	
OG0007621	
OG0007981	OFUSG14054.1, OFUSG14055.1, OFUSG24353.1, OFUSG24423.1, OFUSG24424.1, OFUSG24425.1, OFUSG24434.1, OFUSG24436.2, OFUSG24438.1, OFUSG24439.1, OFUSG24514.1, OFUSG24515.1, OFUSG24516.1, OFUSG24517.1, OFUSG24527.1, OFUSG24543.1, OFUSG24544.1, OFUSG24545.1, OFUSG24547.1, OFUSG24549.1, OFUSG24550.1, OFUSG24552.1
OG0008105	
OG0008149	
OG0008404	
OG0008781	
OG0008890	
OG0008970	OFUSG10156.1
OG0009018	
OG0009295	
OG0009393	
OG0009396	
OG0009460	OFUSG13105.1
OG0009484	
OG0009811	
OG0009974	
OG0010098	
OG0010101	
OG0010120	
OG0010125	
OG0010306	
OG0010374	
OG0010382	
OG0010730	OFUSG17377.1
OG0010923	
OG0010938	
OG0011144	
OG0011203	
OG0011244	OFUSG21124.1
OG0011245	OFUSG22144.1
OG0011361	
OG0011535	
OG0011550	
OG0011578	
OG0011631	OFUSG21768.1
OG0011692	
OG0011758	
OG0011842	
OG0011859	
OG0012121	
OG0012135	
OG0012308	
OG0012483	OFUSG14002.1
OG0012703	
OG0012752	
OG0012838	OFUSG26309.1, OFUSG26531.1
OG0012923	
OG0012996	
OG0013003	
OG0013072	
OG0013337	
OG0013386	
OG0013402	
OG0013568	
OG0013605	
OG0013726	
OG0013731	OFUSG25126.1
OG0013761	
OG0013940	
OG0013980	
OG0014003	
OG0014044	
OG0014150	
OG0014183	OFUSG10118.1
OG0014202	
OG0014341	
OG0014398	
OG0014455	
OG0014458	
OG0014680	
OG0014723	OFUSG15866.1
OG0014801	
OG0014903	
OG0014927	OFUSG05007.1, OFUSG20833.1
OG0015086	
OG0015154	
OG0015186	
OG0015196	
OG0015344	
OG0015369	
OG0015394	
OG0015401	
OG0015510	OFUSG00624.1
OG0015655	
OG0015721	
OG0015801	OFUSG12237.1
OG0015809	
OG0015815	
OG0015858	
OG0015939	OFUSG02855.1
OG0015960	
OG0016023	
OG0016148	OFUSG07693.1
OG0016179	
OG0016241	OFUSG19605.1, OFUSG19606.1
OG0016329	
OG0016382	
OG0016444	
OG0016448	
OG0016481	
OG0016622	
OG0016672	OFUSG04024.1, OFUSG04025.1, OFUSG09860.1, OFUSG14392.1, OFUSG22742.1
OG0017010	
OG0017036	
OG0017045	
OG0017079	
OG0017188	
OG0017190	
OG0017193	
OG0017211	OFUSG02529.1
OG0017266	
OG0017267	
OG0017331	
OG0017359	
OG0017393	
OG0017514	
OG0017629	
OG0017635	
OG0017694	
OG0017771	
OG0017886	
OG0017929	
OG0017964	OFUSG22145.1
OG0017985	
OG0017999	
OG0018034	OFUSG21143.1
OG0018322	
OG0018707	
OG0018710	
OG0018722	
OG0018752	OFUSG00378.1
OG0018965	
OG0018968	
OG0018971	
OG0018972	
OG0019009	
OG0019061	
OG0019165	OFUSG18770.1
OG0019280	
OG0019469	
OG0019539	
OG0019714	
OG0019851	
OG0019877	
OG0019948	
OG0019958	
OG0019959	
OG0019973	
OG0020000	
OG0020015	
OG0020022	
OG0020027	
OG0020032	
OG0020039	
OG0020047	
OG0020086	
OG0020089	
OG0020110	
OG0020152	OFUSG03749.1
OG0020298	
OG0021030	
OG0021079	
OG0021165	OFUSG09000.1
OG0021166	
OG0021168	
OG0021193	
OG0021300	
OG0021443	
OG0021444	
OG0021445	
OG0021516	
OG0021657	
OG0021678	
OG0021699	
OG0021703	
OG0021805	
OG0021819	
OG0021841	
OG0021870	
OG0021929	
OG0021943	OFUSG15211.1
OG0021998	
OG0022007	
OG0022136	
OG0022155	
OG0022190	OFUSG02269.1
OG0022402	
OG0022425	
OG0022646	
OG0022767	
OG0022793	
OG0022814	
OG0022817	
OG0022836	
OG0022931	
OG0022942	
OG0022965	
OG0022971	
OG0023008	
OG0023060	
OG0023097	
OG0023100	
OG0023103	
OG0023116	
OG0023130	OFUSG17444.1
OG0023385	
OG0023760	
OG0024313	
OG0024518	
OG0024606	
OG0024758	
OG0024922	
OG0025316	
OG0025329	
OG0025402	
OG0025614	
OG0025646	
OG0025658	
OG0025661	
OG0025664	
OG0025960	
OG0025994	
OG0026000	
OG0026323	
OG0026332	
OG0026470	
OG0026479	
OG0026702	OFUSG24658.1
OG0026729	
OG0026778	
OG0026837	
OG0026855	
OG0026917	
OG0026937	
OG0026969	
OG0027010	
OG0027016	
OG0027043	
OG0027047	
OG0027102	
OG0027222	
OG0027226	
OG0027228	
OG0027301	
OG0027319	
OG0027349	
OG0027398	
OG0027476	
OG0027490	
OG0028543	
OG0028586	
OG0029542	
OG0029620	
OG0029692	
OG0029723	
OG0029879	
OG0029897	
OG0029932	
OG0029943	
OG0029973	
OG0030138	
OG0030286	
OG0030451	
OG0030470	
OG0030631	
OG0030908	
OG0030972	
OG0030983	OFUSG04228.1
OG0031437	
OG0031442	
OG0031959	
OG0031988	
OG0031999	
OG0032561	
OG0032876	
OG0032913	
OG0033363	
OG0033425	
OG0033427	
OG0033511	
OG0033533	
OG0033562	
OG0033571	
OG0033670	
OG0033744	
OG0033815	
OG0033821	
OG0033831	
OG0033835	
OG0033848	
OG0033919	
OG0033928	
OG0033978	
OG0034044	
OG0034045	
OG0034050	
OG0034069	
OG0034077	
OG0034081	
OG0034095	
OG0034141	
OG0034174	
OG0034175	
OG0034197	
OG0034200	
OG0034234	
OG0034306	
OG0034322	
OG0034353	
OG0034374	
OG0034418	
OG0034570	
OG0034606	
OG0034821	
OG0035571	
OG0036399	
OG0038402	
OG0038703	
OG0038778	
OG0039190	
OG0039497	
OG0039615	
OG0040690	
OG0041058	
OG0041082	
OG0041545	
OG0041759	
OG0042017	
OG0042157	
OG0045315	
OG0045674	
OG0045685	
OG0045699	
OG0045712	
OG0045751	
OG0045761	
OG0045788	
OG0045820	
OG0045853	
