OG0000207	OFRAG00000004254.1
OG0000450	OFRAG00000009273.1, OFRAG00000016263.1
OG0001138	OFRAG00000011078.1
OG0001256	OFRAG00000010631.1
OG0001286	OFRAG00000015393.1
OG0001356	OFRAG00000001945.1
OG0001586	OFRAG00000013499.1
OG0001796	OFRAG00000008915.1, OFRAG00000010742.1, OFRAG00000010743.1
OG0002101	OFRAG00000007818.1, OFRAG00000008191.1
OG0003708	OFRAG00000010431.1
OG0003745	OFRAG00000013779.1
OG0005478	OFRAG00000002909.2
OG0005517	OFRAG00000015142.1
OG0006041	OFRAG00000000321.1, OFRAG00000002733.1, OFRAG00000005599.1, OFRAG00000005600.1, OFRAG00000005601.1, OFRAG00000007182.1, OFRAG00000007183.1, OFRAG00000007184.1, OFRAG00000007185.1, OFRAG00000007186.1, OFRAG00000007187.1, OFRAG00000009215.1, OFRAG00000010036.1, OFRAG00000013200.1, OFRAG00000013201.1, OFRAG00000013202.1, OFRAG00000013203.1, OFRAG00000014112.1, OFRAG00000014116.1, OFRAG00000015728.1, OFRAG00000015733.1, OFRAG00000015735.1, OFRAG00000015736.1, OFRAG00000015737.1, OFRAG00000015738.1, OFRAG00000015874.1, OFRAG00000017295.1, OFRAG00000017899.1, OFRAG00000017900.1
OG0006566	OFRAG00000007864.1, OFRAG00000007865.1
OG0007124	OFRAG00000006437.1, OFRAG00000009626.1, OFRAG00000015887.1
OG0008055	OFRAG00000014572.1
OG0008269	OFRAG00000005094.1
OG0008333	OFRAG00000003237.1
OG0008677	OFRAG00000017315.1
OG0008698	OFRAG00000000576.1, OFRAG00000006723.1
OG0008715	OFRAG00000017944.1
OG0009007	OFRAG00000002601.2
OG0009068	OFRAG00000008365.1
OG0009304	OFRAG00000008725.1
OG0010251	OFRAG00000016668.1, OFRAG00000016669.1, OFRAG00000016670.1, OFRAG00000016671.1, OFRAG00000016672.1, OFRAG00000016673.1, OFRAG00000016674.1, OFRAG00000016675.1, OFRAG00000016676.1, OFRAG00000016677.1, OFRAG00000016678.1, OFRAG00000016679.1, OFRAG00000016680.1, OFRAG00000016681.1, OFRAG00000016682.1, OFRAG00000016683.1, OFRAG00000016684.1, OFRAG00000016685.1, OFRAG00000016686.1
OG0010348	OFRAG00000006729.1, OFRAG00000012554.1
OG0010612	OFRAG00000001463.1
OG0011303	OFRAG00000000746.1
OG0011382	OFRAG00000009179.1
OG0011396	OFRAG00000011314.1
OG0011455	OFRAG00000006445.1
OG0011508	OFRAG00000010021.1
OG0011512	OFRAG00000012704.1
OG0011549	OFRAG00000007936.1
OG0011559	OFRAG00000013613.1
OG0011577	OFRAG00000015975.1
OG0011666	OFRAG00000000051.1
OG0011767	OFRAG00000004489.1
OG0011832	OFRAG00000000034.1
OG0012005	OFRAG00000017693.1
OG0012011	OFRAG00000017600.1, OFRAG00000017601.1
OG0012164	OFRAG00000013010.1
OG0012232	OFRAG00000006302.1
OG0012852	OFRAG00000011413.1
OG0012888	OFRAG00000011190.1
OG0013043	OFRAG00000004054.1, OFRAG00000004055.1, OFRAG00000005614.1, OFRAG00000005615.1, OFRAG00000005616.1, OFRAG00000005617.1, OFRAG00000005618.1
OG0013289	OFRAG00000005854.1
OG0013352	OFRAG00000008116.1
OG0013498	OFRAG00000002458.1, OFRAG00000012028.1, OFRAG00000016018.1
OG0013596	OFRAG00000010589.1
OG0013662	OFRAG00000010760.1
OG0014007	OFRAG00000002475.1
OG0014033	OFRAG00000011838.1
OG0014182	OFRAG00000000560.1, OFRAG00000010970.1, OFRAG00000012337.1, OFRAG00000015254.1, OFRAG00000015255.1, OFRAG00000015640.1, OFRAG00000015769.1, OFRAG00000015986.1
OG0014192	OFRAG00000012090.1
OG0014263	OFRAG00000007771.1
OG0014418	OFRAG00000011850.1, OFRAG00000011851.1, OFRAG00000011852.1, OFRAG00000011853.1, OFRAG00000014418.1, OFRAG00000014419.1, OFRAG00000014420.1, OFRAG00000016094.1, OFRAG00000017568.1
OG0014507	OFRAG00000010225.1
OG0014737	OFRAG00000015984.1
OG0014756	OFRAG00000016791.1
OG0014807	OFRAG00000004075.1
OG0014851	OFRAG00000006125.1, OFRAG00000006126.1, OFRAG00000006127.1, OFRAG00000006128.1
OG0014915	OFRAG00000004058.1
OG0014928	OFRAG00000002831.1
OG0015176	OFRAG00000000370.1, OFRAG00000010257.1
OG0015318	OFRAG00000014527.1
OG0015835	OFRAG00000012842.1
OG0016120	OFRAG00000013496.1
OG0016397	OFRAG00000007962.1
OG0016847	OFRAG00000015812.1
OG0017001	OFRAG00000008524.1
OG0017011	OFRAG00000000031.1, OFRAG00000017782.1
OG0017086	OFRAG00000009186.1
OG0017288	OFRAG00000002901.1
OG0017364	OFRAG00000013912.1
OG0017543	OFRAG00000011454.1, OFRAG00000015226.1
OG0017749	OFRAG00000006155.1
OG0017750	OFRAG00000006905.1, OFRAG00000006906.1, OFRAG00000006907.1, OFRAG00000006908.1, OFRAG00000006909.1, OFRAG00000014872.1
