OG0001122	oasisia	.	.	.	OALVG00000004971.1	NO HIT
OG0001122	oasisia	.	.	.	OALVG00000006928.1	LOC100135371 PROTEIN	
OG0001122	oasisia	.	.	.	OALVG00000006929.1	LOC100135371 PROTEIN	
OG0001122	oasisia	.	.	.	OALVG00000006930.1	NO HIT
OG0001122	oasisia	GO:0005769^cellular_component^early endosome`GO:0005887^cellular_component^integral component of plasma membrane`GO:0005886^cellular_component^plasma membrane`GO:0004940^molecular_function^beta1-adrenergic receptor activity`GO:0004930^molecular_function^G protein-coupled receptor activity`GO:0071880^biological_process^adenylate cyclase-activating adrenergic receptor signaling pathway`GO:0002025^biological_process^norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure`GO:0043547^biological_process^positive regulation of GTPase activity`GO:0001996^biological_process^positive regulation of heart rate by epinephrine-norepinephrine`GO:0045187^biological_process^regulation of circadian sleep/wake cycle sleep	GO:0005769^cellular_component^early endosome`GO:0005887^cellular_component^integral component of plasma membrane`GO:0005886^cellular_component^plasma membrane`GO:0004940^molecular_function^beta1-adrenergic receptor activity`GO:0004930^molecular_function^G protein-coupled receptor activity`GO:0071880^biological_process^adenylate cyclase-activating adrenergic receptor signaling pathway`GO:0002025^biological_process^norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure`GO:0043547^biological_process^positive regulation of GTPase activity`GO:0001996^biological_process^positive regulation of heart rate by epinephrine-norepinephrine`GO:0045187^biological_process^regulation of circadian sleep/wake cycle sleep	GO:0004930^molecular_function^G protein-coupled receptor activity`GO:0007186^biological_process^G protein-coupled receptor signaling pathway`GO:0016021^cellular_component^integral component of membrane	OALVG00000009456.1	ADENOSINE RECEPTOR HOMOLOG	K04142
OG0001122	oasisia	.	.	.	OALVG00000013271.1	LOC100135371 PROTEIN	
OG0001122	oasisia	.	.	.	OALVG00000020194.1	NO HIT
OG0001122	oasisia	.	.	.	OALVG00000023330.1	NO HIT
OG0001122	oasisia	GO:0016021^cellular_component^integral component of membrane`GO:0005886^cellular_component^plasma membrane	GO:0016021^cellular_component^integral component of membrane`GO:0005886^cellular_component^plasma membrane	.	OALVG00000026889.1	SUSHI DOMAIN-CONTAINING PROTEIN 1	K24469
OG0001122	oasisia	GO:0016324^cellular_component^apical plasma membrane`GO:0030424^cellular_component^axon`GO:0031526^cellular_component^brush border membrane`GO:0005905^cellular_component^clathrin-coated pit`GO:0030425^cellular_component^dendrite`GO:0031904^cellular_component^endosome lumen`GO:0009897^cellular_component^external side of plasma membrane`GO:0016021^cellular_component^integral component of membrane`GO:0043235^cellular_component^receptor complex`GO:0005509^molecular_function^calcium ion binding`GO:0051087^molecular_function^chaperone binding`GO:0017124^molecular_function^SH3 domain binding`GO:0060982^biological_process^coronary artery morphogenesis`GO:1904447^biological_process^folate import across plasma membrane`GO:0008584^biological_process^male gonad development`GO:0030001^biological_process^metal ion transport`GO:0030514^biological_process^negative regulation of BMP signaling pathway`GO:0001843^biological_process^neural tube closure`GO:0140058^biological_process^neuron projection arborization`GO:0003148^biological_process^outflow tract septum morphogenesis`GO:1905167^biological_process^positive regulation of lysosomal protein catabolic process`GO:0050769^biological_process^positive regulation of neurogenesis`GO:0070447^biological_process^positive regulation of oligodendrocyte progenitor proliferation`GO:0061156^biological_process^pulmonary artery morphogenesis`GO:0006898^biological_process^receptor-mediated endocytosis`GO:0003139^biological_process^secondary heart field specification`GO:0007605^biological_process^sensory perception of sound`GO:0060068^biological_process^vagina development`GO:0003223^biological_process^ventricular compact myocardium morphogenesis	GO:0016324^cellular_component^apical plasma membrane`GO:0030424^cellular_component^axon`GO:0031526^cellular_component^brush border membrane`GO:0005905^cellular_component^clathrin-coated pit`GO:0030425^cellular_component^dendrite`GO:0031904^cellular_component^endosome lumen`GO:0009897^cellular_component^external side of plasma membrane`GO:0016021^cellular_component^integral component of membrane`GO:0043235^cellular_component^receptor complex`GO:0005509^molecular_function^calcium ion binding`GO:0051087^molecular_function^chaperone binding`GO:0017124^molecular_function^SH3 domain binding`GO:0060982^biological_process^coronary artery morphogenesis`GO:1904447^biological_process^folate import across plasma membrane`GO:0008584^biological_process^male gonad development`GO:0030001^biological_process^metal ion transport`GO:0030514^biological_process^negative regulation of BMP signaling pathway`GO:0001843^biological_process^neural tube closure`GO:0140058^biological_process^neuron projection arborization`GO:0003148^biological_process^outflow tract septum morphogenesis`GO:1905167^biological_process^positive regulation of lysosomal protein catabolic process`GO:0050769^biological_process^positive regulation of neurogenesis`GO:0070447^biological_process^positive regulation of oligodendrocyte progenitor proliferation`GO:0061156^biological_process^pulmonary artery morphogenesis`GO:0006898^biological_process^receptor-mediated endocytosis`GO:0003139^biological_process^secondary heart field specification`GO:0007605^biological_process^sensory perception of sound`GO:0060068^biological_process^vagina development`GO:0003223^biological_process^ventricular compact myocardium morphogenesis	.	OALVG00000028965.1	LOW-DENSITY LIPOPROTEIN RECEPTOR-RELATED PROTEIN	K20995
OG0001122	oasisia	GO:0016021^cellular_component^integral component of membrane`GO:0005509^molecular_function^calcium ion binding`GO:0006897^biological_process^endocytosis`GO:0021517^biological_process^ventral spinal cord development	GO:0016021^cellular_component^integral component of membrane`GO:0005509^molecular_function^calcium ion binding`GO:0006897^biological_process^endocytosis`GO:0021517^biological_process^ventral spinal cord development	.	OALVG00000035444.1	VITELLOGENIN RECEPTOR-LIKE PROTEIN-RELATED-RELATED	K20051
