OG0009082	riftia	.	.	.	RPACG00000019490.1	ECDYSONE-INDUCIBLE GENE E1 ISOFORM A	
OG0010839	riftia	GO:0005576^cellular_component^extracellular region`GO:0005509^molecular_function^calcium ion binding`GO:0030246^molecular_function^carbohydrate binding`GO:0042806^molecular_function^fucose binding`GO:0010185^biological_process^regulation of cellular defense response`GO:0001868^biological_process^regulation of complement activation lectin pathway`GO:0045088^biological_process^regulation of innate immune response	GO:0005576^cellular_component^extracellular region`GO:0005509^molecular_function^calcium ion binding`GO:0030246^molecular_function^carbohydrate binding`GO:0042806^molecular_function^fucose binding`GO:0010185^biological_process^regulation of cellular defense response`GO:0001868^biological_process^regulation of complement activation lectin pathway`GO:0045088^biological_process^regulation of innate immune response	.	RPACG00000013143.1	FAMILY NOT NAMED	
OG0010839	riftia	.	.	.	RPACG00000014737.1	SI:CABZ01040626.2-RELATED	
OG0010839	riftia	.	.	.	RPACG00000029516.1	FAMILY NOT NAMED	
OG0010842	riftia	.	.	.	RPACG00000001714.1	NO HIT
OG0011449	riftia	.	.	.	RPACG00000018608.1	NUDIX HYDROLASE 15 MITOCHONDRIAL-LIKE	
OG0011449	riftia	.	.	.	RPACG00000018609.1	NUDIX HYDROLASE 15 MITOCHONDRIAL-LIKE	
OG0011449	riftia	.	.	.	RPACG00000018610.1	OS02G0173200 PROTEIN	
OG0011449	riftia	.	.	.	RPACG00000018611.1	NUDIX HYDROLASE 15 MITOCHONDRIAL-LIKE	
OG0011449	riftia	.	.	.	RPACG00000018612.1	NUDIX HYDROLASE 15 MITOCHONDRIAL-LIKE	
OG0011449	riftia	.	.	.	RPACG00000018613.1	NUDIX HYDROLASE 15 MITOCHONDRIAL-LIKE	
OG0011449	riftia	.	.	.	RPACG00000018614.1	OS02G0173200 PROTEIN	
OG0011449	riftia	.	.	.	RPACG00000018615.1	NUDIX HYDROLASE 15 MITOCHONDRIAL-LIKE	
OG0011449	riftia	.	.	.	RPACG00000018616.1	NUDIX HYDROLASE 15 MITOCHONDRIAL-LIKE	
OG0011449	riftia	.	.	.	RPACG00000018617.1	NUDIX HYDROLASE 15 MITOCHONDRIAL-LIKE	
OG0011449	riftia	.	.	.	RPACG00000018618.1	NUDIX HYDROLASE 15 MITOCHONDRIAL-LIKE	
OG0011449	riftia	.	.	.	RPACG00000018619.1	NUDIX HYDROLASE 15 MITOCHONDRIAL-LIKE	
OG0011449	riftia	.	.	.	RPACG00000018620.1	NUDIX HYDROLASE 15 MITOCHONDRIAL-LIKE	
OG0011449	riftia	.	.	.	RPACG00000018621.1	NUDIX HYDROLASE 15 MITOCHONDRIAL-LIKE	
OG0011449	riftia	GO:0005576^cellular_component^extracellular region`GO:0005833^cellular_component^hemoglobin complex`GO:0020037^molecular_function^heme binding`GO:0005506^molecular_function^iron ion binding`GO:0019825^molecular_function^oxygen binding`GO:0005344^molecular_function^oxygen carrier activity	GO:0005576^cellular_component^extracellular region`GO:0005833^cellular_component^hemoglobin complex`GO:0020037^molecular_function^heme binding`GO:0005506^molecular_function^iron ion binding`GO:0019825^molecular_function^oxygen binding`GO:0005344^molecular_function^oxygen carrier activity	GO:0020037^molecular_function^heme binding	RPACG00000018622.1	BLR2807 PROTEIN	
