Orthogroup	Panther_annotation
OG0000121	 SUBFAMILY NOT NAMED
OG0000127	 NUCLEAR ENVELOPE-ASSOCIATED PROTEIN 1
OG0000192	 CYTOCHROME P450 4F22
OG0000232	 SUBFAMILY NOT NAMED
OG0000235	 OS01G0338200 PROTEIN
OG0000287	 RAS-RELATED C3 BOTULINUM TOXIN SUBSTRATE 3
OG0000477	 SUBFAMILY NOT NAMED
OG0000527	 FAMILY NOT NAMED
OG0000529	 MAMMALIAN EPENDYMIN-RELATED PROTEIN 1
OG0000586	 SUBFAMILY NOT NAMED
OG0000787	 SUBFAMILY NOT NAMED
OG0000923	 SIDESTEP PROTEIN
OG0001003	 ZGC:194887
OG0001026	 HISTONE H1OO
OG0001076	 ZINC FINGER DHHC DOMAIN CONTAINING PROTEIN
OG0001080	 SUBFAMILY NOT NAMED
OG0001126	 ZINC FINGER PROTEIN
OG0001164	 COLLAGEN ALPHA-1(II) CHAIN
OG0001235	 "BETA-1 3-GALACTOSYLTRANSFERASE 4"
OG0001264	 DYNEIN HEAVY CHAIN
OG0001475	 SI:DKEYP-2E4.2-RELATED
OG0001591	 GAMMA-GLUTAMYL HYDROLASE
OG0001603	 IP21249P
OG0001744	 HAT FAMILY DIMERISATION DOMAINCONTAINING PROTEIN
OG0001864	 E3 UBIQUITIN-PROTEIN LIGASE HERC2
OG0001903	 PERILIPIN
OG0001962	 FI20177P1
OG0002206	 SUBFAMILY NOT NAMED
OG0002324	 SUBFAMILY NOT NAMED
OG0002327	 NO HIT
OG0002517	 SYNDAPIN ISOFORM C
OG0002777	 NEUROLIGIN 3 ISOFORM B
OG0002786	 SUBFAMILY NOT NAMED
OG0003374	 PRKCA-BINDING PROTEIN
OG0003478	 PROTEIN CBG05349
OG0003564	 26S PROTEASOME REGULATORY SUBUNIT 6A
OG0003672	 TBC1 DOMAIN FAMILY MEMBER 1
OG0003674	 SI:CH211-165E15.1
OG0003928	 ABNORMAL SPINDLE-LIKE MICROCEPHALY-ASSOCIATED PROTEIN
OG0004021	 SERINE/ARGININE-RICH SPLICING FACTOR 10
OG0004235	 PROTEIN MAX
OG0004355	 DOUBLECORTIN DOMAIN-CONTAINING PROTEIN 1
