OG0000043	OALVG00000007688.1
OG0000061	OALVG00000002827.1, OALVG00000002845.1, OALVG00000005352.1, OALVG00000005354.1, OALVG00000005356.1, OALVG00000005358.1, OALVG00000005360.1, OALVG00000005362.1, OALVG00000005364.1, OALVG00000005366.1, OALVG00000005368.1, OALVG00000005370.1, OALVG00000005372.1, OALVG00000005374.1, OALVG00000005376.1, OALVG00000005424.1, OALVG00000005425.1, OALVG00000005544.1, OALVG00000006183.1, OALVG00000009348.1, OALVG00000009350.1, OALVG00000009352.1, OALVG00000009354.1, OALVG00000009356.1, OALVG00000009358.1, OALVG00000009360.1, OALVG00000009362.1, OALVG00000009364.1, OALVG00000009366.1, OALVG00000009369.1, OALVG00000009371.1, OALVG00000009373.1, OALVG00000009375.1, OALVG00000009377.1, OALVG00000009379.1, OALVG00000009381.1, OALVG00000010973.1, OALVG00000022680.1, OALVG00000022682.1, OALVG00000024700.1, OALVG00000025144.1, OALVG00000025146.1, OALVG00000025148.1, OALVG00000025151.1, OALVG00000025153.1, OALVG00000025155.1, OALVG00000027571.1
OG0000062	OALVG00000002826.1, OALVG00000005353.1, OALVG00000005355.1, OALVG00000005357.1, OALVG00000005359.1, OALVG00000005361.1, OALVG00000005363.1, OALVG00000005365.1, OALVG00000005367.1, OALVG00000005369.1, OALVG00000005371.1, OALVG00000005373.1, OALVG00000005375.1, OALVG00000005378.1, OALVG00000005423.1, OALVG00000005543.1, OALVG00000009349.1, OALVG00000009351.1, OALVG00000009353.1, OALVG00000009355.1, OALVG00000009357.1, OALVG00000009359.1, OALVG00000009361.1, OALVG00000009363.1, OALVG00000009365.1, OALVG00000009367.1, OALVG00000009368.1, OALVG00000009370.1, OALVG00000009372.1, OALVG00000009374.1, OALVG00000009376.1, OALVG00000009378.1, OALVG00000009380.1, OALVG00000009382.1, OALVG00000022681.1, OALVG00000022683.1, OALVG00000024532.1, OALVG00000024551.1, OALVG00000024552.1, OALVG00000024699.1, OALVG00000025141.1, OALVG00000025143.1, OALVG00000025145.1, OALVG00000025147.1, OALVG00000025149.1, OALVG00000025150.1, OALVG00000025152.1, OALVG00000025154.1, OALVG00000025156.1, OALVG00000025158.1, OALVG00000025160.1, OALVG00000025162.1, OALVG00000025164.1, OALVG00000025166.1, OALVG00000025168.1, OALVG00000027572.1
OG0000107	OALVG00000023736.1, OALVG00000026066.1
OG0000123	OALVG00000018864.1, OALVG00000029225.1
OG0000138	OALVG00000008568.1
OG0000245	OALVG00000003095.1, OALVG00000033411.1
OG0000256	OALVG00000017253.1
OG0000299	OALVG00000000911.1, OALVG00000010249.1, OALVG00000015239.1
OG0000313	OALVG00000012115.1
OG0000314	OALVG00000011050.1
OG0000315	OALVG00000019127.1, OALVG00000029034.1
OG0000316	OALVG00000000663.1, OALVG00000000669.1, OALVG00000002908.1
OG0000326	OALVG00000014658.1, OALVG00000017871.1
OG0000350	OALVG00000005962.1, OALVG00000007694.1, OALVG00000026055.1
OG0000446	OALVG00000031431.1
OG0000453	OALVG00000024105.1, OALVG00000024979.1
OG0000459	OALVG00000023417.1
OG0000465	OALVG00000002686.1, OALVG00000008946.1
OG0000497	OALVG00000005758.1, OALVG00000019964.1, OALVG00000028269.1
OG0000528	OALVG00000012269.1
OG0000548	OALVG00000013829.1, OALVG00000025532.1
OG0000599	OALVG00000017772.1
OG0000631	OALVG00000014180.1
OG0000655	OALVG00000012059.1, OALVG00000012231.1
OG0000717	OALVG00000019077.1
OG0000765	OALVG00000003325.1, OALVG00000004513.1
OG0000767	OALVG00000005211.1
OG0000814	OALVG00000030745.1
OG0000908	OALVG00000014690.1, OALVG00000016714.1
OG0000937	OALVG00000033179.1
OG0001067	OALVG00000009914.1
OG0001175	OALVG00000002947.1, OALVG00000013895.1
OG0001201	OALVG00000009679.1
OG0001224	OALVG00000009924.1
OG0001321	OALVG00000026451.1
OG0001446	OALVG00000001479.1
OG0001594	OALVG00000006501.1, OALVG00000019241.1
OG0001635	OALVG00000014716.1
OG0001648	OALVG00000011472.1
OG0001839	OALVG00000002254.1, OALVG00000002255.1, OALVG00000010128.1, OALVG00000010331.1, OALVG00000020557.1
OG0002083	OALVG00000010092.2
OG0002092	OALVG00000026507.1
OG0002164	OALVG00000012160.1
OG0002250	OALVG00000018595.1
OG0002586	OALVG00000009575.1, OALVG00000009919.1, OALVG00000025242.1, OALVG00000028415.1, OALVG00000030295.1, OALVG00000032098.1, OALVG00000034701.1
OG0002848	OALVG00000001117.1, OALVG00000006085.1, OALVG00000006086.1, OALVG00000008033.1, OALVG00000008544.1, OALVG00000008545.1, OALVG00000013102.1, OALVG00000014917.1, OALVG00000014918.1, OALVG00000014969.1, OALVG00000014970.1, OALVG00000016452.1, OALVG00000019374.1, OALVG00000020654.1, OALVG00000026385.1, OALVG00000026930.1, OALVG00000027135.1, OALVG00000028321.1, OALVG00000030841.1, OALVG00000032482.1, OALVG00000033635.1
OG0003208	OALVG00000011467.1, OALVG00000011471.1
OG0003286	OALVG00000023295.1
OG0003326	OALVG00000003875.1
OG0003426	OALVG00000011627.1, OALVG00000019599.1, OALVG00000022925.1, OALVG00000022926.1, OALVG00000022927.1
OG0003460	OALVG00000018885.1
OG0003677	OALVG00000013982.1
OG0004073	OALVG00000007545.1, OALVG00000007546.1, OALVG00000007548.1, OALVG00000017592.1, OALVG00000029431.1
OG0004111	OALVG00000025206.1
OG0004212	OALVG00000023634.1
OG0004243	OALVG00000019962.1
OG0004627	OALVG00000011720.1, OALVG00000028733.1
OG0004717	OALVG00000002640.1
OG0004828	OALVG00000007202.1
OG0004830	OALVG00000022951.1
OG0004901	OALVG00000018540.1
OG0005038	OALVG00000022923.1
OG0005041	OALVG00000004123.1
OG0005229	OALVG00000022977.1
OG0005310	OALVG00000033776.1
OG0005368	OALVG00000006706.1
OG0005484	OALVG00000014185.1
OG0005489	OALVG00000005844.1, OALVG00000014683.1, OALVG00000028314.1
OG0005625	OALVG00000032277.1
OG0005751	OALVG00000033253.1
OG0005997	OALVG00000011164.1, OALVG00000011166.1, OALVG00000015538.1, OALVG00000015540.1
OG0006016	OALVG00000000876.1, OALVG00000021626.1, OALVG00000021686.1
OG0006073	OALVG00000006737.1
OG0006084	OALVG00000004516.1, OALVG00000017614.1
OG0006112	OALVG00000002571.1
OG0006114	OALVG00000007542.1
OG0006159	OALVG00000013600.1
OG0006163	OALVG00000022968.1
OG0006225	OALVG00000035698.1
OG0006446	OALVG00000009126.1, OALVG00000027003.1, OALVG00000027004.1, OALVG00000035112.1
OG0006494	OALVG00000035119.1
OG0006595	OALVG00000009337.1
OG0006606	OALVG00000030126.1
OG0006635	OALVG00000035680.1
OG0006669	OALVG00000015862.1
OG0006710	OALVG00000009461.1
OG0006805	OALVG00000007794.2
OG0006816	OALVG00000017535.1
OG0006895	OALVG00000022979.1
OG0007043	OALVG00000008133.1
OG0007086	OALVG00000028771.1
OG0007173	OALVG00000013666.1
OG0007181	OALVG00000023031.1
