OG0000833	oasisia	.	.	.	OALVG00000017851.1	NO HIT
OG0000833	oasisia	.	.	.	OALVG00000019526.1	FAMILY NOT NAMED	
OG0000833	oasisia	GO:0009986^cellular_component^cell surface`GO:0030425^cellular_component^dendrite`GO:0016021^cellular_component^integral component of membrane`GO:0031594^cellular_component^neuromuscular junction`GO:0043025^cellular_component^neuronal cell body`GO:0005886^cellular_component^plasma membrane`GO:0044853^cellular_component^plasma membrane raft`GO:0014069^cellular_component^postsynaptic density`GO:0097060^cellular_component^synaptic membrane`GO:0034185^molecular_function^apolipoprotein binding`GO:0005509^molecular_function^calcium ion binding`GO:0042803^molecular_function^protein homodimerization activity`GO:0030971^molecular_function^receptor tyrosine kinase binding`GO:0097110^molecular_function^scaffold protein binding`GO:0150094^biological_process^amyloid-beta clearance by cellular catabolic process`GO:0048856^biological_process^anatomical structure development`GO:0048813^biological_process^dendrite morphogenesis`GO:0009953^biological_process^dorsal/ventral pattern formation`GO:0042733^biological_process^embryonic digit morphogenesis`GO:0030326^biological_process^embryonic limb morphogenesis`GO:0006897^biological_process^endocytosis`GO:0001942^biological_process^hair follicle development`GO:0001822^biological_process^kidney development`GO:0060173^biological_process^limb development`GO:0050771^biological_process^negative regulation of axonogenesis`GO:0090090^biological_process^negative regulation of canonical Wnt signaling pathway`GO:0030279^biological_process^negative regulation of ossification`GO:0042475^biological_process^odontogenesis of dentin-containing tooth`GO:0050731^biological_process^positive regulation of peptidyl-tyrosine phosphorylation`GO:1901631^biological_process^positive regulation of presynaptic membrane organization`GO:1904395^biological_process^positive regulation of skeletal muscle acetylcholine-gated channel clustering`GO:0097104^biological_process^postsynaptic membrane assembly`GO:0097105^biological_process^presynaptic membrane assembly`GO:0008104^biological_process^protein localization`GO:0009954^biological_process^proximal/distal pattern formation`GO:0043113^biological_process^receptor clustering`GO:0001932^biological_process^regulation of protein phosphorylation`GO:0071340^biological_process^skeletal muscle acetylcholine-gated channel clustering`GO:0050808^biological_process^synapse organization`GO:0051124^biological_process^synaptic growth at neuromuscular junction`GO:0016055^biological_process^Wnt signaling pathway	GO:0009986^cellular_component^cell surface`GO:0030425^cellular_component^dendrite`GO:0016021^cellular_component^integral component of membrane`GO:0031594^cellular_component^neuromuscular junction`GO:0043025^cellular_component^neuronal cell body`GO:0005886^cellular_component^plasma membrane`GO:0044853^cellular_component^plasma membrane raft`GO:0014069^cellular_component^postsynaptic density`GO:0097060^cellular_component^synaptic membrane`GO:0034185^molecular_function^apolipoprotein binding`GO:0005509^molecular_function^calcium ion binding`GO:0042803^molecular_function^protein homodimerization activity`GO:0030971^molecular_function^receptor tyrosine kinase binding`GO:0097110^molecular_function^scaffold protein binding`GO:0150094^biological_process^amyloid-beta clearance by cellular catabolic process`GO:0048856^biological_process^anatomical structure development`GO:0048813^biological_process^dendrite morphogenesis`GO:0009953^biological_process^dorsal/ventral pattern formation`GO:0042733^biological_process^embryonic digit morphogenesis`GO:0030326^biological_process^embryonic limb morphogenesis`GO:0006897^biological_process^endocytosis`GO:0001942^biological_process^hair follicle development`GO:0001822^biological_process^kidney development`GO:0060173^biological_process^limb development`GO:0050771^biological_process^negative regulation of axonogenesis`GO:0090090^biological_process^negative regulation of canonical Wnt signaling pathway`GO:0030279^biological_process^negative regulation of ossification`GO:0042475^biological_process^odontogenesis of dentin-containing tooth`GO:0050731^biological_process^positive regulation of peptidyl-tyrosine phosphorylation`GO:1901631^biological_process^positive regulation of presynaptic membrane organization`GO:1904395^biological_process^positive regulation of skeletal muscle acetylcholine-gated channel clustering`GO:0097104^biological_process^postsynaptic membrane assembly`GO:0097105^biological_process^presynaptic membrane assembly`GO:0008104^biological_process^protein localization`GO:0009954^biological_process^proximal/distal pattern formation`GO:0043113^biological_process^receptor clustering`GO:0001932^biological_process^regulation of protein phosphorylation`GO:0071340^biological_process^skeletal muscle acetylcholine-gated channel clustering`GO:0050808^biological_process^synapse organization`GO:0051124^biological_process^synaptic growth at neuromuscular junction`GO:0016055^biological_process^Wnt signaling pathway	.	OALVG00000019982.1	LOW-DENSITY LIPOPROTEIN RECEPTOR-RELATED PROTEIN	K20051
OG0000833	oasisia	GO:0030424^cellular_component^axon`GO:0098978^cellular_component^glutamatergic synapse`GO:0030426^cellular_component^growth cone`GO:0005887^cellular_component^integral component of plasma membrane`GO:0099056^cellular_component^integral component of presynaptic membrane`GO:0043005^cellular_component^neuron projection`GO:0005886^cellular_component^plasma membrane`GO:0014069^cellular_component^postsynaptic density`GO:0042734^cellular_component^presynaptic membrane`GO:0045202^cellular_component^synapse`GO:0030246^molecular_function^carbohydrate binding`GO:0050839^molecular_function^cell adhesion molecule binding`GO:0004930^molecular_function^G protein-coupled receptor activity`GO:0016524^molecular_function^latrotoxin receptor activity`GO:0015643^molecular_function^toxic substance binding`GO:0007189^biological_process^adenylate cyclase-activating G protein-coupled receptor signaling pathway`GO:0035584^biological_process^calcium-mediated signaling using intracellular calcium source`GO:0007166^biological_process^cell surface receptor signaling pathway`GO:0007157^biological_process^heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules`GO:0051965^biological_process^positive regulation of synapse assembly`GO:0090129^biological_process^positive regulation of synapse maturation	GO:0030424^cellular_component^axon`GO:0098978^cellular_component^glutamatergic synapse`GO:0030426^cellular_component^growth cone`GO:0005887^cellular_component^integral component of plasma membrane`GO:0099056^cellular_component^integral component of presynaptic membrane`GO:0043005^cellular_component^neuron projection`GO:0005886^cellular_component^plasma membrane`GO:0014069^cellular_component^postsynaptic density`GO:0042734^cellular_component^presynaptic membrane`GO:0045202^cellular_component^synapse`GO:0030246^molecular_function^carbohydrate binding`GO:0050839^molecular_function^cell adhesion molecule binding`GO:0004930^molecular_function^G protein-coupled receptor activity`GO:0016524^molecular_function^latrotoxin receptor activity`GO:0015643^molecular_function^toxic substance binding`GO:0007189^biological_process^adenylate cyclase-activating G protein-coupled receptor signaling pathway`GO:0035584^biological_process^calcium-mediated signaling using intracellular calcium source`GO:0007166^biological_process^cell surface receptor signaling pathway`GO:0007157^biological_process^heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules`GO:0051965^biological_process^positive regulation of synapse assembly`GO:0090129^biological_process^positive regulation of synapse maturation	GO:0030246^molecular_function^carbohydrate binding	OALVG00000019985.1	PROTEIN EVA-1	K04594
OG0000901	oasisia	GO:0005737^cellular_component^cytoplasm`GO:0005524^molecular_function^ATP binding`GO:0071345^biological_process^cellular response to cytokine stimulus`GO:0036336^biological_process^dendritic cell migration`GO:0070373^biological_process^negative regulation of ERK1 and ERK2 cascade`GO:0043124^biological_process^negative regulation of I-kappaB kinase/NF-kappaB signaling`GO:0050728^biological_process^negative regulation of inflammatory response`GO:0032692^biological_process^negative regulation of interleukin-1 production`GO:0032715^biological_process^negative regulation of interleukin-6 production`GO:0032088^biological_process^negative regulation of NF-kappaB transcription factor activity`GO:1901223^biological_process^negative regulation of NIK/NF-kappaB signaling`GO:0031953^biological_process^negative regulation of protein autophosphorylation`GO:0009968^biological_process^negative regulation of signal transduction`GO:0045751^biological_process^negative regulation of Toll signaling pathway`GO:0045345^biological_process^positive regulation of MHC class I biosynthetic process`GO:1901224^biological_process^positive regulation of NIK/NF-kappaB signaling`GO:0043281^biological_process^regulation of cysteine-type endopeptidase activity involved in apoptotic process`GO:0043122^biological_process^regulation of I-kappaB kinase/NF-kappaB signaling	GO:0005737^cellular_component^cytoplasm`GO:0005524^molecular_function^ATP binding`GO:0071345^biological_process^cellular response to cytokine stimulus`GO:0036336^biological_process^dendritic cell migration`GO:0070373^biological_process^negative regulation of ERK1 and ERK2 cascade`GO:0043124^biological_process^negative regulation of I-kappaB kinase/NF-kappaB signaling`GO:0050728^biological_process^negative regulation of inflammatory response`GO:0032692^biological_process^negative regulation of interleukin-1 production`GO:0032715^biological_process^negative regulation of interleukin-6 production`GO:0032088^biological_process^negative regulation of NF-kappaB transcription factor activity`GO:1901223^biological_process^negative regulation of NIK/NF-kappaB signaling`GO:0031953^biological_process^negative regulation of protein autophosphorylation`GO:0009968^biological_process^negative regulation of signal transduction`GO:0045751^biological_process^negative regulation of Toll signaling pathway`GO:0045345^biological_process^positive regulation of MHC class I biosynthetic process`GO:1901224^biological_process^positive regulation of NIK/NF-kappaB signaling`GO:0043281^biological_process^regulation of cysteine-type endopeptidase activity involved in apoptotic process`GO:0043122^biological_process^regulation of I-kappaB kinase/NF-kappaB signaling	GO:0005515^molecular_function^protein binding	OALVG00000000560.1	NACHT LRR AND PYD DOMAINS-CONTAINING PROTEIN 12	K22614
OG0000901	oasisia	GO:0005829^cellular_component^cytosol`GO:0061702^cellular_component^inflammasome complex`GO:0072558^cellular_component^NLRP1 inflammasome complex`GO:0005654^cellular_component^nucleoplasm`GO:0005634^cellular_component^nucleus`GO:0005524^molecular_function^ATP binding`GO:0019899^molecular_function^enzyme binding`GO:0019904^molecular_function^protein domain specific binding`GO:0006919^biological_process^activation of cysteine-type endopeptidase activity involved in apoptotic process`GO:0006954^biological_process^inflammatory response`GO:0045087^biological_process^innate immune response`GO:0032610^biological_process^interleukin-1 alpha production`GO:0032611^biological_process^interleukin-1 beta production`GO:0051402^biological_process^neuron apoptotic process`GO:1904784^biological_process^NLRP1 inflammasome complex assembly`GO:0043280^biological_process^positive regulation of cysteine-type endopeptidase activity involved in apoptotic process`GO:0030163^biological_process^protein catabolic process`GO:0070269^biological_process^pyroptosis	GO:0005829^cellular_component^cytosol`GO:0061702^cellular_component^inflammasome complex`GO:0072558^cellular_component^NLRP1 inflammasome complex`GO:0005654^cellular_component^nucleoplasm`GO:0005634^cellular_component^nucleus`GO:0005524^molecular_function^ATP binding`GO:0019899^molecular_function^enzyme binding`GO:0019904^molecular_function^protein domain specific binding`GO:0006919^biological_process^activation of cysteine-type endopeptidase activity involved in apoptotic process`GO:0006954^biological_process^inflammatory response`GO:0045087^biological_process^innate immune response`GO:0032610^biological_process^interleukin-1 alpha production`GO:0032611^biological_process^interleukin-1 beta production`GO:0051402^biological_process^neuron apoptotic process`GO:1904784^biological_process^NLRP1 inflammasome complex assembly`GO:0043280^biological_process^positive regulation of cysteine-type endopeptidase activity involved in apoptotic process`GO:0030163^biological_process^protein catabolic process`GO:0070269^biological_process^pyroptosis	GO:0005515^molecular_function^protein binding	OALVG00000000575.1	NACHT LRR AND PYD DOMAINS-CONTAINING PROTEIN 12	K20865
OG0000901	oasisia	GO:0005737^cellular_component^cytoplasm`GO:0005829^cellular_component^cytosol`GO:0005783^cellular_component^endoplasmic reticulum`GO:0005576^cellular_component^extracellular region`GO:0000139^cellular_component^Golgi membrane`GO:0072559^cellular_component^NLRP3 inflammasome complex`GO:0005634^cellular_component^nucleus`GO:0005524^molecular_function^ATP binding`GO:0042802^molecular_function^identical protein binding`GO:0042834^molecular_function^peptidoglycan binding`GO:0043565^molecular_function^sequence-specific DNA binding`GO:0008134^molecular_function^transcription factor binding`GO:0006919^biological_process^activation of cysteine-type endopeptidase activity involved in apoptotic process`GO:0006915^biological_process^apoptotic process`GO:0071222^biological_process^cellular response to lipopolysaccharide`GO:0071224^biological_process^cellular response to peptidoglycan`GO:0006952^biological_process^defense response`GO:0050830^biological_process^defense response to Gram-positive bacterium`GO:0051607^biological_process^defense response to virus`GO:0009595^biological_process^detection of biotic stimulus`GO:0006954^biological_process^inflammatory response`GO:0045087^biological_process^innate immune response`GO:0032611^biological_process^interleukin-1 beta production`GO:0032621^biological_process^interleukin-18 production`GO:0002523^biological_process^leukocyte migration involved in inflammatory response`GO:0002674^biological_process^negative regulation of acute inflammatory response`GO:0050728^biological_process^negative regulation of inflammatory response`GO:0032691^biological_process^negative regulation of interleukin-1 beta production`GO:0032088^biological_process^negative regulation of NF-kappaB transcription factor activity`GO:1901223^biological_process^negative regulation of NIK/NF-kappaB signaling`GO:0044546^biological_process^NLRP3 inflammasome complex assembly`GO:0043280^biological_process^positive regulation of cysteine-type endopeptidase activity involved in apoptotic process`GO:0032731^biological_process^positive regulation of interleukin-1 beta production`GO:0032736^biological_process^positive regulation of interleukin-13 production`GO:0032753^biological_process^positive regulation of interleukin-4 production`GO:0032754^biological_process^positive regulation of interleukin-5 production`GO:0051092^biological_process^positive regulation of NF-kappaB transcription factor activity`GO:2000321^biological_process^positive regulation of T-helper 17 cell differentiation`GO:2000553^biological_process^positive regulation of T-helper 2 cell cytokine production`GO:0045630^biological_process^positive regulation of T-helper 2 cell differentiation`GO:0045944^biological_process^positive regulation of transcription by RNA polymerase II`GO:0002830^biological_process^positive regulation of type 2 immune response`GO:0016579^biological_process^protein deubiquitination`GO:0045471^biological_process^response to ethanol`GO:0014070^biological_process^response to organic cyclic compound`GO:0007165^biological_process^signal transduction	GO:0005737^cellular_component^cytoplasm`GO:0005829^cellular_component^cytosol`GO:0005783^cellular_component^endoplasmic reticulum`GO:0005576^cellular_component^extracellular region`GO:0000139^cellular_component^Golgi membrane`GO:0072559^cellular_component^NLRP3 inflammasome complex`GO:0005634^cellular_component^nucleus`GO:0005524^molecular_function^ATP binding`GO:0042802^molecular_function^identical protein binding`GO:0042834^molecular_function^peptidoglycan binding`GO:0043565^molecular_function^sequence-specific DNA binding`GO:0008134^molecular_function^transcription factor binding`GO:0006919^biological_process^activation of cysteine-type endopeptidase activity involved in apoptotic process`GO:0006915^biological_process^apoptotic process`GO:0071222^biological_process^cellular response to lipopolysaccharide`GO:0071224^biological_process^cellular response to peptidoglycan`GO:0006952^biological_process^defense response`GO:0050830^biological_process^defense response to Gram-positive bacterium`GO:0051607^biological_process^defense response to virus`GO:0009595^biological_process^detection of biotic stimulus`GO:0006954^biological_process^inflammatory response`GO:0045087^biological_process^innate immune response`GO:0032611^biological_process^interleukin-1 beta production`GO:0032621^biological_process^interleukin-18 production`GO:0002523^biological_process^leukocyte migration involved in inflammatory response`GO:0002674^biological_process^negative regulation of acute inflammatory response`GO:0050728^biological_process^negative regulation of inflammatory response`GO:0032691^biological_process^negative regulation of interleukin-1 beta production`GO:0032088^biological_process^negative regulation of NF-kappaB transcription factor activity`GO:1901223^biological_process^negative regulation of NIK/NF-kappaB signaling`GO:0044546^biological_process^NLRP3 inflammasome complex assembly`GO:0043280^biological_process^positive regulation of cysteine-type endopeptidase activity involved in apoptotic process`GO:0032731^biological_process^positive regulation of interleukin-1 beta production`GO:0032736^biological_process^positive regulation of interleukin-13 production`GO:0032753^biological_process^positive regulation of interleukin-4 production`GO:0032754^biological_process^positive regulation of interleukin-5 production`GO:0051092^biological_process^positive regulation of NF-kappaB transcription factor activity`GO:2000321^biological_process^positive regulation of T-helper 17 cell differentiation`GO:2000553^biological_process^positive regulation of T-helper 2 cell cytokine production`GO:0045630^biological_process^positive regulation of T-helper 2 cell differentiation`GO:0045944^biological_process^positive regulation of transcription by RNA polymerase II`GO:0002830^biological_process^positive regulation of type 2 immune response`GO:0016579^biological_process^protein deubiquitination`GO:0045471^biological_process^response to ethanol`GO:0014070^biological_process^response to organic cyclic compound`GO:0007165^biological_process^signal transduction	GO:0005515^molecular_function^protein binding	OALVG00000000585.1	SUBFAMILY NOT NAMED	K12800
OG0000901	oasisia	GO:0005737^cellular_component^cytoplasm`GO:0005524^molecular_function^ATP binding`GO:0045087^biological_process^innate immune response	GO:0005737^cellular_component^cytoplasm`GO:0005524^molecular_function^ATP binding`GO:0045087^biological_process^innate immune response	GO:0005515^molecular_function^protein binding	OALVG00000002240.1	NACHT LRR AND PYD DOMAINS-CONTAINING PROTEIN 12	K22615
OG0000901	oasisia	GO:0005813^cellular_component^centrosome`GO:0005737^cellular_component^cytoplasm`GO:0005829^cellular_component^cytosol`GO:0005634^cellular_component^nucleus`GO:0005524^molecular_function^ATP binding`GO:0000978^molecular_function^RNA polymerase II cis-regulatory region sequence-specific DNA binding`GO:0051607^biological_process^defense response to virus`GO:0045087^biological_process^innate immune response`GO:0035556^biological_process^intracellular signal transduction`GO:0032088^biological_process^negative regulation of NF-kappaB transcription factor activity`GO:0032480^biological_process^negative regulation of type I interferon production`GO:0060339^biological_process^negative regulation of type I interferon-mediated signaling pathway`GO:0060335^biological_process^positive regulation of interferon-gamma-mediated signaling pathway`GO:0045345^biological_process^positive regulation of MHC class I biosynthetic process`GO:0045944^biological_process^positive regulation of transcription by RNA polymerase II`GO:0060340^biological_process^positive regulation of type I interferon-mediated signaling pathway`GO:0043549^biological_process^regulation of kinase activity`GO:0009617^biological_process^response to bacterium	GO:0005813^cellular_component^centrosome`GO:0005737^cellular_component^cytoplasm`GO:0005829^cellular_component^cytosol`GO:0005634^cellular_component^nucleus`GO:0005524^molecular_function^ATP binding`GO:0000978^molecular_function^RNA polymerase II cis-regulatory region sequence-specific DNA binding`GO:0051607^biological_process^defense response to virus`GO:0045087^biological_process^innate immune response`GO:0035556^biological_process^intracellular signal transduction`GO:0032088^biological_process^negative regulation of NF-kappaB transcription factor activity`GO:0032480^biological_process^negative regulation of type I interferon production`GO:0060339^biological_process^negative regulation of type I interferon-mediated signaling pathway`GO:0060335^biological_process^positive regulation of interferon-gamma-mediated signaling pathway`GO:0045345^biological_process^positive regulation of MHC class I biosynthetic process`GO:0045944^biological_process^positive regulation of transcription by RNA polymerase II`GO:0060340^biological_process^positive regulation of type I interferon-mediated signaling pathway`GO:0043549^biological_process^regulation of kinase activity`GO:0009617^biological_process^response to bacterium	.	OALVG00000004346.1	RGD1565685 PROTEIN	K22615
OG0000901	oasisia	GO:0005813^cellular_component^centrosome`GO:0005737^cellular_component^cytoplasm`GO:0005829^cellular_component^cytosol`GO:0005634^cellular_component^nucleus`GO:0005524^molecular_function^ATP binding`GO:0000978^molecular_function^RNA polymerase II cis-regulatory region sequence-specific DNA binding`GO:0051607^biological_process^defense response to virus`GO:0045087^biological_process^innate immune response`GO:0035556^biological_process^intracellular signal transduction`GO:0032088^biological_process^negative regulation of NF-kappaB transcription factor activity`GO:0060339^biological_process^negative regulation of type I interferon-mediated signaling pathway`GO:0060335^biological_process^positive regulation of interferon-gamma-mediated signaling pathway`GO:0045345^biological_process^positive regulation of MHC class I biosynthetic process`GO:0045944^biological_process^positive regulation of transcription by RNA polymerase II`GO:0060340^biological_process^positive regulation of type I interferon-mediated signaling pathway`GO:0043549^biological_process^regulation of kinase activity`GO:0009617^biological_process^response to bacterium	GO:0005813^cellular_component^centrosome`GO:0005737^cellular_component^cytoplasm`GO:0005829^cellular_component^cytosol`GO:0005634^cellular_component^nucleus`GO:0005524^molecular_function^ATP binding`GO:0000978^molecular_function^RNA polymerase II cis-regulatory region sequence-specific DNA binding`GO:0051607^biological_process^defense response to virus`GO:0045087^biological_process^innate immune response`GO:0035556^biological_process^intracellular signal transduction`GO:0032088^biological_process^negative regulation of NF-kappaB transcription factor activity`GO:0060339^biological_process^negative regulation of type I interferon-mediated signaling pathway`GO:0060335^biological_process^positive regulation of interferon-gamma-mediated signaling pathway`GO:0045345^biological_process^positive regulation of MHC class I biosynthetic process`GO:0045944^biological_process^positive regulation of transcription by RNA polymerase II`GO:0060340^biological_process^positive regulation of type I interferon-mediated signaling pathway`GO:0043549^biological_process^regulation of kinase activity`GO:0009617^biological_process^response to bacterium	GO:0005524^molecular_function^ATP binding`GO:0005515^molecular_function^protein binding	OALVG00000006151.1	NACHT LRR AND PYD DOMAINS-CONTAINING PROTEIN 12	K20865
OG0000901	oasisia	GO:0005737^cellular_component^cytoplasm`GO:0005783^cellular_component^endoplasmic reticulum`GO:0005576^cellular_component^extracellular region`GO:0000139^cellular_component^Golgi membrane`GO:0072559^cellular_component^NLRP3 inflammasome complex`GO:0005634^cellular_component^nucleus`GO:0005524^molecular_function^ATP binding`GO:0042802^molecular_function^identical protein binding`GO:0043565^molecular_function^sequence-specific DNA binding`GO:0008134^molecular_function^transcription factor binding`GO:0006919^biological_process^activation of cysteine-type endopeptidase activity involved in apoptotic process`GO:0071222^biological_process^cellular response to lipopolysaccharide`GO:0071224^biological_process^cellular response to peptidoglycan`GO:0050830^biological_process^defense response to Gram-positive bacterium`GO:0051607^biological_process^defense response to virus`GO:0006954^biological_process^inflammatory response`GO:0045087^biological_process^innate immune response`GO:0032611^biological_process^interleukin-1 beta production`GO:0032621^biological_process^interleukin-18 production`GO:0002674^biological_process^negative regulation of acute inflammatory response`GO:0032691^biological_process^negative regulation of interleukin-1 beta production`GO:0032088^biological_process^negative regulation of NF-kappaB transcription factor activity`GO:1901223^biological_process^negative regulation of NIK/NF-kappaB signaling`GO:0044546^biological_process^NLRP3 inflammasome complex assembly`GO:0043280^biological_process^positive regulation of cysteine-type endopeptidase activity involved in apoptotic process`GO:0032731^biological_process^positive regulation of interleukin-1 beta production`GO:0032736^biological_process^positive regulation of interleukin-13 production`GO:0032753^biological_process^positive regulation of interleukin-4 production`GO:0032754^biological_process^positive regulation of interleukin-5 production`GO:0051092^biological_process^positive regulation of NF-kappaB transcription factor activity`GO:2000321^biological_process^positive regulation of T-helper 17 cell differentiation`GO:2000553^biological_process^positive regulation of T-helper 2 cell cytokine production`GO:0045630^biological_process^positive regulation of T-helper 2 cell differentiation`GO:0045944^biological_process^positive regulation of transcription by RNA polymerase II`GO:0002830^biological_process^positive regulation of type 2 immune response	GO:0005737^cellular_component^cytoplasm`GO:0005783^cellular_component^endoplasmic reticulum`GO:0005576^cellular_component^extracellular region`GO:0000139^cellular_component^Golgi membrane`GO:0072559^cellular_component^NLRP3 inflammasome complex`GO:0005634^cellular_component^nucleus`GO:0005524^molecular_function^ATP binding`GO:0042802^molecular_function^identical protein binding`GO:0043565^molecular_function^sequence-specific DNA binding`GO:0008134^molecular_function^transcription factor binding`GO:0006919^biological_process^activation of cysteine-type endopeptidase activity involved in apoptotic process`GO:0071222^biological_process^cellular response to lipopolysaccharide`GO:0071224^biological_process^cellular response to peptidoglycan`GO:0050830^biological_process^defense response to Gram-positive bacterium`GO:0051607^biological_process^defense response to virus`GO:0006954^biological_process^inflammatory response`GO:0045087^biological_process^innate immune response`GO:0032611^biological_process^interleukin-1 beta production`GO:0032621^biological_process^interleukin-18 production`GO:0002674^biological_process^negative regulation of acute inflammatory response`GO:0032691^biological_process^negative regulation of interleukin-1 beta production`GO:0032088^biological_process^negative regulation of NF-kappaB transcription factor activity`GO:1901223^biological_process^negative regulation of NIK/NF-kappaB signaling`GO:0044546^biological_process^NLRP3 inflammasome complex assembly`GO:0043280^biological_process^positive regulation of cysteine-type endopeptidase activity involved in apoptotic process`GO:0032731^biological_process^positive regulation of interleukin-1 beta production`GO:0032736^biological_process^positive regulation of interleukin-13 production`GO:0032753^biological_process^positive regulation of interleukin-4 production`GO:0032754^biological_process^positive regulation of interleukin-5 production`GO:0051092^biological_process^positive regulation of NF-kappaB transcription factor activity`GO:2000321^biological_process^positive regulation of T-helper 17 cell differentiation`GO:2000553^biological_process^positive regulation of T-helper 2 cell cytokine production`GO:0045630^biological_process^positive regulation of T-helper 2 cell differentiation`GO:0045944^biological_process^positive regulation of transcription by RNA polymerase II`GO:0002830^biological_process^positive regulation of type 2 immune response	.	OALVG00000007815.1	NACHT LRR AND PYD DOMAINS-CONTAINING PROTEIN 12	K20865
