OG0000167	Ofus|OFUSG19136.1
OG0000285	Ofus|OFUSG12664.1, Ofus|OFUSG12666.1, Ofus|OFUSG12667.1, Ofus|OFUSG12668.1, Ofus|OFUSG12669.1, Ofus|OFUSG12670.1
OG0000444	Ofus|OFUSG13895.1
OG0000477	Ofus|OFUSG05865.1
OG0000565	Ofus|OFUSG10047.1, Ofus|OFUSG11268.1, Ofus|OFUSG13247.1, Ofus|OFUSG16972.1, Ofus|OFUSG20679.1
OG0000593	Ofus|OFUSG08821.1, Ofus|OFUSG14039.1, Ofus|OFUSG18122.1, Ofus|OFUSG19530.1, Ofus|OFUSG23776.1
OG0000599	
OG0000620	
OG0000631	Ofus|OFUSG00908.1
OG0000717	Ofus|OFUSG02716.1
OG0000767	
OG0000787	Ofus|OFUSG19899.1
OG0001003	
OG0001091	Ofus|OFUSG04001.1
OG0001126	Ofus|OFUSG03748.1, Ofus|OFUSG03755.1
OG0001158	
OG0001195	
OG0001224	Ofus|OFUSG13991.1
OG0001517	
OG0001603	Ofus|OFUSG00254.1
OG0001635	Ofus|OFUSG05195.1
OG0001783	
OG0001914	Ofus|OFUSG04386.1
OG0001971	
OG0002083	Ofus|OFUSG00106.1, Ofus|OFUSG00341.1, Ofus|OFUSG00596.1, Ofus|OFUSG01456.1, Ofus|OFUSG01734.1, Ofus|OFUSG01841.1, Ofus|OFUSG01998.1, Ofus|OFUSG03563.1, Ofus|OFUSG04741.1, Ofus|OFUSG04869.1, Ofus|OFUSG05453.1, Ofus|OFUSG06936.1, Ofus|OFUSG08478.1, Ofus|OFUSG08835.1, Ofus|OFUSG09020.1, Ofus|OFUSG09961.1, Ofus|OFUSG10520.1, Ofus|OFUSG10706.1, Ofus|OFUSG11420.1, Ofus|OFUSG12499.1, Ofus|OFUSG13842.1, Ofus|OFUSG16544.1, Ofus|OFUSG16786.1, Ofus|OFUSG16838.1, Ofus|OFUSG18532.1, Ofus|OFUSG18978.1, Ofus|OFUSG19476.1, Ofus|OFUSG19593.1, Ofus|OFUSG19785.1, Ofus|OFUSG20368.1, Ofus|OFUSG20737.1, Ofus|OFUSG21989.1, Ofus|OFUSG22272.1, Ofus|OFUSG23461.1, Ofus|OFUSG23692.1, Ofus|OFUSG25391.1, Ofus|OFUSG25423.1, Ofus|OFUSG25494.1
OG0002211	
OG0002219	Ofus|OFUSG17720.1
OG0002250	
OG0002402	Ofus|OFUSG06287.1
OG0002438	Ofus|OFUSG21287.1, Ofus|OFUSG21288.1
OG0002455	Ofus|OFUSG19531.1
OG0002737	Ofus|OFUSG06205.1, Ofus|OFUSG22286.1
OG0002763	
OG0002777	
OG0002786	
OG0002912	Ofus|OFUSG00654.1
OG0003193	Ofus|OFUSG21150.1
OG0003286	Ofus|OFUSG17110.1, Ofus|OFUSG22087.1
OG0003352	Ofus|OFUSG02993.1
OG0003466	
OG0003666	Ofus|OFUSG22772.1
OG0003743	Ofus|OFUSG17186.1
OG0003772	Ofus|OFUSG09958.1
OG0003804	Ofus|OFUSG04732.1
OG0004228	Ofus|OFUSG25750.1
OG0004246	
OG0004258	Ofus|OFUSG14006.1
OG0004269	Ofus|OFUSG19405.1
OG0004337	Ofus|OFUSG08585.1
OG0004344	Ofus|OFUSG26004.2
OG0004499	
OG0004636	Ofus|OFUSG17135.1
OG0004800	Ofus|OFUSG08057.1
OG0004829	Ofus|OFUSG05586.1
OG0004901	
OG0004940	
OG0004950	
OG0004971	Ofus|OFUSG23512.1
OG0005017	
OG0005041	Ofus|OFUSG09610.1, Ofus|OFUSG24754.1
OG0005057	Ofus|OFUSG08251.1
OG0005262	Ofus|OFUSG26425.1
OG0005290	Ofus|OFUSG18904.1
OG0005574	Ofus|OFUSG07394.1
OG0005607	Ofus|OFUSG09983.1
OG0005837	Ofus|OFUSG22503.1
OG0005899	
OG0006112	Ofus|OFUSG21368.1
OG0006114	
OG0006125	Ofus|OFUSG14105.1
OG0006159	Ofus|OFUSG01710.1, Ofus|OFUSG01712.1, Ofus|OFUSG01714.1, Ofus|OFUSG01797.1, Ofus|OFUSG01798.1, Ofus|OFUSG04597.1, Ofus|OFUSG10316.1, Ofus|OFUSG19798.1
OG0006162	Ofus|OFUSG02272.1, Ofus|OFUSG07358.1, Ofus|OFUSG07361.1, Ofus|OFUSG07362.1, Ofus|OFUSG13793.1, Ofus|OFUSG13794.1, Ofus|OFUSG13795.1, Ofus|OFUSG17407.1, Ofus|OFUSG18019.1, Ofus|OFUSG19835.1, Ofus|OFUSG22053.1, Ofus|OFUSG22055.1, Ofus|OFUSG26166.2
OG0006167	Ofus|OFUSG10494.1
OG0006174	
OG0006181	
OG0006212	Ofus|OFUSG00062.1
OG0006225	
OG0006384	Ofus|OFUSG18908.3
OG0006443	Ofus|OFUSG11339.1
OG0006446	
OG0006476	Ofus|OFUSG05977.1
OG0006511	Ofus|OFUSG14860.1
OG0006595	
OG0006690	Ofus|OFUSG10177.1
OG0006805	Ofus|OFUSG11378.1
OG0006828	Ofus|OFUSG12090.1
OG0006996	Ofus|OFUSG10355.1
OG0007024	Ofus|OFUSG19280.1
OG0007078	Ofus|OFUSG15100.2
OG0007086	
OG0007103	Ofus|OFUSG00003.1
OG0007173	
OG0007281	
OG0007466	Ofus|OFUSG10779.1
OG0007468	
OG0007562	
OG0007596	Ofus|OFUSG23388.1
OG0007720	Ofus|OFUSG09992.1
OG0007757	
OG0007815	Ofus|OFUSG15378.1
OG0008049	Ofus|OFUSG23511.1
OG0008063	
OG0008105	
OG0008150	Ofus|OFUSG00458.1
OG0008313	Ofus|OFUSG26491.1
OG0008335	
OG0008386	Ofus|OFUSG06111.2, Ofus|OFUSG19913.1
OG0008388	
OG0008404	
OG0008431	
OG0008467	Ofus|OFUSG00897.1
OG0008485	Ofus|OFUSG13466.1
OG0008523	Ofus|OFUSG08457.1
OG0008535	Ofus|OFUSG21398.1
OG0008567	Ofus|OFUSG23786.1
OG0008572	Ofus|OFUSG04790.1
OG0008604	Ofus|OFUSG24746.1
OG0008627	
OG0008675	Ofus|OFUSG25379.1
OG0008841	Ofus|OFUSG06292.1
OG0008842	Ofus|OFUSG02917.1, Ofus|OFUSG05223.1
OG0008857	Ofus|OFUSG22178.1
OG0008883	
OG0008890	
OG0008921	Ofus|OFUSG22021.1
OG0008944	Ofus|OFUSG22134.1
OG0008950	Ofus|OFUSG01902.1
OG0008970	Ofus|OFUSG10156.1
OG0008996	
OG0009006	Ofus|OFUSG11048.1
OG0009019	Ofus|OFUSG08323.1, Ofus|OFUSG09247.1, Ofus|OFUSG09897.1, Ofus|OFUSG13011.1
OG0009053	Ofus|OFUSG01703.1, Ofus|OFUSG01883.1, Ofus|OFUSG11140.1, Ofus|OFUSG25486.1
OG0009079	
OG0009121	Ofus|OFUSG07974.2
OG0009149	Ofus|OFUSG10226.1
OG0009156	Ofus|OFUSG07565.1
OG0009271	Ofus|OFUSG12399.1
OG0009287	
OG0009295	
OG0009343	Ofus|OFUSG06888.1
OG0009344	
OG0009393	
OG0009428	Ofus|OFUSG03227.1
OG0009443	Ofus|OFUSG08685.1
OG0009541	Ofus|OFUSG08778.1
OG0009544	Ofus|OFUSG16223.1
OG0009686	Ofus|OFUSG26661.1, Ofus|OFUSG26664.2
OG0009730	
OG0009749	
OG0009822	Ofus|OFUSG05222.1
OG0009832	Ofus|OFUSG12128.1
OG0009834	Ofus|OFUSG19209.1
OG0009854	
OG0009915	Ofus|OFUSG26832.1
OG0009941	Ofus|OFUSG00603.1
OG0009952	
OG0010020	Ofus|OFUSG01221.1
OG0010023	Ofus|OFUSG25431.1
OG0010035	Ofus|OFUSG04450.1
OG0010037	
