#Host
OALVG00000000005.1	K10660
OALVG00000000014.1	K18622
OALVG00000000025.1	K07912
OALVG00000000026.1	K10761
OALVG00000000027.1	K12846
OALVG00000000030.1	K16315
OALVG00000000035.1	K17675
OALVG00000000064.1	K01992
OALVG00000000065.1	K01992
OALVG00000000071.1	K21882
OALVG00000000072.1	K20120
OALVG00000000081.1	K11501
OALVG00000000082.1	K00844
OALVG00000000083.1	K20799
OALVG00000000084.1	K19589
OALVG00000000085.1	K07374
OALVG00000000094.1	K07520
OALVG00000000137.1	K15294
OALVG00000000139.1	K00629
OALVG00000000141.1	K01202
OALVG00000000142.1	K08669
OALVG00000000143.1	K15695
OALVG00000000145.1	K02183
OALVG00000000145.1	K13448
OALVG00000000146.1	K25614
OALVG00000000147.1	K24737
OALVG00000000149.1	K24737
OALVG00000000155.1	K17540
OALVG00000000166.1	K11251
OALVG00000000167.1	K08270
OALVG00000000173.1	K13298
OALVG00000000180.1	K01676
OALVG00000000181.1	K17505
OALVG00000000186.1	K11294
OALVG00000000190.3	K11064
OALVG00000000194.1	K16911
OALVG00000000195.1	K00915
OALVG00000000196.2	K13044
OALVG00000000196.2	K03102
OALVG00000000197.1	K22378
OALVG00000000198.1	K16750
OALVG00000000200.1	K11251
OALVG00000000201.1	K13806
OALVG00000000206.1	K03671
OALVG00000000219.1	K10282
OALVG00000000221.1	K03022
OALVG00000000224.1	K09561
OALVG00000000225.1	K03107
OALVG00000000227.1	K25443
OALVG00000000228.1	K25443
OALVG00000000230.1	K07556
OALVG00000000231.1	K23335
OALVG00000000232.1	K03955
OALVG00000000232.1	K02078
OALVG00000000240.1	K12844
OALVG00000000243.1	K10352
OALVG00000000246.1	K13516
OALVG00000000247.1	K20135
OALVG00000000248.1	K04405
OALVG00000000254.1	K10104
OALVG00000000254.1	K25360
OALVG00000000254.1	K08767
OALVG00000000254.1	K10417
OALVG00000000260.1	K07375
OALVG00000000261.1	K24759
OALVG00000000272.1	K03165
OALVG00000000273.1	K23402
OALVG00000000276.1	K00600
OALVG00000000278.1	K00600
OALVG00000000280.1	K24747
OALVG00000000281.1	K11726
OALVG00000000281.1	K01507
OALVG00000000282.2	K04491
OALVG00000000283.1	K08493
OALVG00000000284.1	K02915
OALVG00000000285.1	K01639
OALVG00000000287.1	K01639
OALVG00000000289.1	K18630
OALVG00000000290.1	K03593
OALVG00000000294.1	K11855
OALVG00000000295.1	K24512
OALVG00000000297.1	K16744
OALVG00000000306.1	K04233
OALVG00000000306.1	K01992
OALVG00000000309.1	K01992
OALVG00000000318.1	K07914
OALVG00000000320.1	K19363
OALVG00000000321.1	K07195
OALVG00000000322.1	K12866
OALVG00000000336.1	K14387
OALVG00000000343.1	K00432
OALVG00000000344.1	K00253
OALVG00000000349.1	K01183
OALVG00000000351.1	K01183
OALVG00000000352.1	K01183
OALVG00000000353.1	K01183
OALVG00000000355.1	K01183
OALVG00000000356.1	K01183
OALVG00000000357.1	K01183
OALVG00000000359.1	K01183
OALVG00000000360.1	K01183
OALVG00000000369.1	K02857
OALVG00000000371.1	K12834
OALVG00000000372.1	K14777
OALVG00000000374.1	K16540
OALVG00000000375.1	K12580
OALVG00000000382.1	K07953
OALVG00000000383.1	K17403
OALVG00000000384.1	K14007
OALVG00000000396.1	K18441
OALVG00000000398.1	K24739
OALVG00000000399.1	K04392
OALVG00000000399.1	K07860
OALVG00000000399.1	K07975
OALVG00000000400.1	K16194
OALVG00000000401.1	K12823
OALVG00000000402.1	K12590
OALVG00000000404.1	K00030
OALVG00000000405.1	K22381
OALVG00000000406.1	K15029
OALVG00000000407.1	K11275
OALVG00000000408.1	K06237
OALVG00000000414.1	K07843
OALVG00000000415.1	K08136
OALVG00000000416.1	K24399
OALVG00000000434.1	K13237
OALVG00000000438.1	K24887
OALVG00000000439.1	K15235
OALVG00000000440.1	K17935
OALVG00000000445.1	K01634
OALVG00000000446.1	K12494
OALVG00000000448.1	K02955
OALVG00000000449.1	K25207
OALVG00000000468.2	K17816
OALVG00000000470.1	K13150
OALVG00000000471.1	K11505
OALVG00000000472.1	K22290
OALVG00000000473.2	K22074
OALVG00000000474.1	K14304
OALVG00000000475.1	K15040
OALVG00000000476.1	K22697
OALVG00000000477.1	K10485
OALVG00000000482.1	K14763
OALVG00000000490.1	K15161
OALVG00000000492.1	K11718
OALVG00000000496.1	K07945
OALVG00000000501.1	K10767
OALVG00000000503.1	K02258
OALVG00000000504.1	K06944
OALVG00000000506.1	K10361
OALVG00000000507.1	K03842
OALVG00000000508.1	K21442
OALVG00000000540.1	K20003
OALVG00000000541.1	K21988
OALVG00000000542.1	K21988
OALVG00000000543.1	K21988
OALVG00000000544.1	K21988
OALVG00000000553.1	K04210
OALVG00000000558.1	K22790
OALVG00000000558.1	K01992
OALVG00000000570.1	K11498
OALVG00000000571.1	K17800
OALVG00000000582.1	K00819
OALVG00000000608.1	K20007
OALVG00000000610.1	K01992
OALVG00000000615.1	K02183
OALVG00000000615.1	K13448
OALVG00000000616.1	K15113
OALVG00000000617.1	K06229
OALVG00000000618.1	K16575
OALVG00000000623.1	K19024
OALVG00000000625.1	K24760
OALVG00000000628.1	K16302
OALVG00000000631.1	K17218
OALVG00000000633.1	K22470
OALVG00000000633.1	K17218
OALVG00000000640.1	K24436
OALVG00000000677.1	K15259
OALVG00000000678.1	K15259
OALVG00000000679.1	K18758
OALVG00000000686.1	K23168
OALVG00000000690.1	K18409
OALVG00000000690.1	K18405
OALVG00000000692.1	K15623
OALVG00000000693.1	K08957
OALVG00000000694.1	K06093
OALVG00000000695.1	K06816
OALVG00000000696.1	K04506
OALVG00000000697.1	K21797
OALVG00000000699.1	K22128
OALVG00000000711.1	K07843
OALVG00000000715.1	K01904
OALVG00000000716.1	K01904
OALVG00000000724.1	K23223
OALVG00000000725.1	K23223
OALVG00000000726.1	K17570
OALVG00000000728.1	K01992
OALVG00000000729.1	K24726
OALVG00000000730.1	K04554
OALVG00000000731.1	K08333
OALVG00000000732.1	K06158
OALVG00000000732.1	K01992
OALVG00000000733.1	K11323
OALVG00000000737.1	K24360
OALVG00000000741.1	K11600
OALVG00000000742.1	K13340
OALVG00000000743.1	K01469
OALVG00000000744.1	K26053
OALVG00000000745.1	K11514
OALVG00000000746.1	K24812
OALVG00000000757.1	K12180
OALVG00000000758.1	K20784
OALVG00000000758.1	K11714
OALVG00000000761.1	K11089
OALVG00000000762.1	K11089
OALVG00000000763.1	K16532
OALVG00000000764.1	K13084
OALVG00000000765.1	K11826
OALVG00000000766.1	K02891
OALVG00000000770.1	K02737
OALVG00000000772.1	K24064
OALVG00000000773.1	K00645
OALVG00000000774.1	K02212
OALVG00000000775.1	K24734
OALVG00000000776.1	K24734
OALVG00000000778.1	K09381
OALVG00000000782.1	K09381
OALVG00000000783.1	K15104
OALVG00000000786.1	K15104
OALVG00000000792.1	K02516
OALVG00000000793.1	K00565
OALVG00000000794.1	K25662
OALVG00000000799.1	K25812
OALVG00000000801.1	K12607
OALVG00000000802.1	K12035
OALVG00000000810.1	K10776
OALVG00000000821.1	K00830
OALVG00000000823.4	K08818
OALVG00000000826.2	K24333
OALVG00000000828.1	K14165
OALVG00000000829.1	K16457
OALVG00000000833.1	K12391
OALVG00000000834.1	K07071
OALVG00000000840.1	K08653
OALVG00000000841.1	K13118
OALVG00000000872.1	K14434
OALVG00000000872.1	K23869
OALVG00000000879.1	K14434
OALVG00000000879.1	K23869
OALVG00000000900.1	K01045
OALVG00000000916.1	K05218
OALVG00000000927.1	K11314
OALVG00000000928.1	K05302
OALVG00000000929.1	K01456
OALVG00000000940.1	K23167
OALVG00000000940.1	K00344
OALVG00000000941.1	K20299
OALVG00000000944.1	K26095
OALVG00000000945.1	K09458
OALVG00000000947.2	K10314
OALVG00000000948.1	K14686
OALVG00000000951.1	K23732
OALVG00000000952.1	K23732
OALVG00000000953.1	K25440
OALVG00000000954.1	K13174
OALVG00000000956.1	K13111
OALVG00000000959.1	K24734
OALVG00000000968.1	K03307
OALVG00000000969.1	K01992
OALVG00000000970.1	K01992
OALVG00000000971.1	K09113
OALVG00000000993.1	K20194
OALVG00000000996.1	K00910
OALVG00000000997.1	K24815
OALVG00000001000.1	K15423
OALVG00000001002.1	K07192
OALVG00000001003.1	K10803
OALVG00000001017.1	K23791
OALVG00000001018.1	K20129
OALVG00000001020.1	K11648
OALVG00000001021.1	K10575
OALVG00000001023.1	K25112
OALVG00000001024.1	K07253
OALVG00000001027.1	K17609
OALVG00000001029.1	K20131
OALVG00000001030.1	K23339
OALVG00000001038.1	K01183
OALVG00000001039.1	K01183
OALVG00000001040.1	K15074
OALVG00000001041.1	K01907
OALVG00000001043.1	K05286
OALVG00000001043.1	K01992
OALVG00000001045.1	K17508
OALVG00000001046.1	K06675
OALVG00000001047.1	K12172
OALVG00000001048.1	K23499
OALVG00000001061.1	K13703
OALVG00000001062.1	K07876
OALVG00000001094.1	K01992
OALVG00000001123.1	K24104
OALVG00000001126.1	K11422
OALVG00000001130.1	K00457
OALVG00000001131.1	K00457
OALVG00000001132.2	K04437
OALVG00000001135.1	K06058
OALVG00000001136.1	K16452
OALVG00000001138.1	K05766
OALVG00000001142.1	K21248
OALVG00000001143.1	K04794
OALVG00000001144.1	K03354
OALVG00000001146.1	K24682
OALVG00000001182.1	K06965
OALVG00000001183.1	K06228
OALVG00000001185.1	K14549
OALVG00000001185.1	K24104
OALVG00000001207.1	K01021
OALVG00000001208.1	K01992
OALVG00000001213.1	K03495
OALVG00000001229.1	K22970
OALVG00000001243.1	K24936
OALVG00000001244.1	K14318
OALVG00000001245.1	K09313
OALVG00000001248.1	K23498
OALVG00000001257.1	K24069
OALVG00000001262.1	K10742
OALVG00000001279.1	K23573
OALVG00000001282.1	K19679
OALVG00000001296.1	K12172
OALVG00000001299.1	K22470
OALVG00000001299.1	K17218
OALVG00000001305.1	K23677
OALVG00000001312.1	K15306
OALVG00000001313.1	K15332
OALVG00000001314.1	K16811
OALVG00000001316.1	K13172
OALVG00000001331.1	K00799
OALVG00000001336.1	K00869
OALVG00000001337.1	K22747
OALVG00000001338.1	K01050
OALVG00000001339.1	K01050
OALVG00000001340.1	K11292
OALVG00000001341.1	K11837
OALVG00000001342.1	K05520
OALVG00000001343.1	K23312
OALVG00000001344.1	K22644
OALVG00000001372.1	K18753
OALVG00000001374.1	K24169
OALVG00000001377.1	K24020
OALVG00000001381.1	K24779
OALVG00000001384.1	K21988
OALVG00000001387.1	K13514
OALVG00000001388.1	K24761
OALVG00000001389.2	K05546
OALVG00000001389.2	K01187
OALVG00000001390.1	K19751
OALVG00000001397.1	K02355
OALVG00000001403.1	K10306
OALVG00000001407.1	K17562
OALVG00000001409.1	K10667
OALVG00000001415.1	K08744
OALVG00000001416.1	K00621
OALVG00000001417.1	K18159
OALVG00000001418.1	K17610
OALVG00000001419.2	K14006
OALVG00000001420.1	K12231
OALVG00000001425.1	K22987
OALVG00000001427.1	K15442
OALVG00000001428.1	K07140
OALVG00000001430.1	K11577
OALVG00000001431.1	K11577
OALVG00000001432.1	K23845
OALVG00000001433.1	K10417
OALVG00000001440.1	K00728
OALVG00000001441.1	K01992
OALVG00000001443.1	K01800
OALVG00000001443.1	K00799
OALVG00000001445.1	K12829
OALVG00000001446.1	K12592
OALVG00000001448.1	K01992
OALVG00000001449.1	K01992
OALVG00000001458.2	K11800
OALVG00000001461.1	K03348
OALVG00000001462.1	K03348
OALVG00000001469.1	K09537
OALVG00000001491.1	K14388
OALVG00000001491.1	K03307
OALVG00000001518.1	K11517
OALVG00000001556.1	K00718
OALVG00000001558.1	K02270
OALVG00000001564.1	K18025
OALVG00000001565.1	K10880
OALVG00000001566.1	K08798
OALVG00000001569.1	K14621
OALVG00000001570.1	K14621
OALVG00000001571.1	K19937
OALVG00000001572.1	K11996
OALVG00000001573.1	K21989
OALVG00000001574.1	K02874
OALVG00000001579.1	K18177
OALVG00000001581.1	K15127
OALVG00000001582.1	K03006
OALVG00000001583.1	K24982
OALVG00000001584.1	K01809
OALVG00000001585.1	K03353
OALVG00000001586.1	K16530
OALVG00000001587.1	K16530
OALVG00000001589.1	K14402
OALVG00000001597.1	K24436
OALVG00000001617.1	K24971
OALVG00000001618.1	K22195
OALVG00000001625.1	K01875
OALVG00000001626.1	K06063
OALVG00000001627.1	K08869
OALVG00000001628.1	K09592
OALVG00000001630.1	K01360
OALVG00000001632.1	K24751
OALVG00000001633.1	K08811
OALVG00000001633.1	K07090
OALVG00000001634.1	K08811
OALVG00000001635.1	K12822
OALVG00000001637.1	K08815
OALVG00000001639.1	K22540
OALVG00000001642.1	K01992
OALVG00000001672.1	K04565
OALVG00000001673.1	K15528
OALVG00000001678.1	K03138
OALVG00000001679.1	K10291
OALVG00000001680.1	K02922
OALVG00000001681.1	K07198
OALVG00000001682.1	K24825
OALVG00000001683.1	K24469
OALVG00000001687.1	K18160
OALVG00000001710.1	K11647
OALVG00000001712.1	K16483
OALVG00000001713.1	K14033
OALVG00000001715.1	K19996
OALVG00000001728.2	K20465
OALVG00000001730.1	K09666
OALVG00000001731.1	K15197
OALVG00000001735.1	K03247
OALVG00000001736.1	K14773
OALVG00000001737.1	K10345
OALVG00000001741.1	K02876
OALVG00000001758.1	K10370
OALVG00000001759.1	K10408
OALVG00000001761.1	K01969
OALVG00000001762.1	K12396
OALVG00000001763.1	K01149
OALVG00000001777.1	K03139
OALVG00000001779.1	K12486
OALVG00000001780.1	K14798
OALVG00000001796.1	K01992
OALVG00000001797.1	K24963
OALVG00000001803.1	K03105
OALVG00000001807.1	K16490
OALVG00000001809.1	K09502
OALVG00000001810.1	K16765
OALVG00000001811.1	K23298
OALVG00000001812.1	K15129
OALVG00000001816.1	K11840
OALVG00000001817.2	K04345
OALVG00000001819.1	K03843
OALVG00000001820.1	K24752
OALVG00000001824.1	K07048
OALVG00000001833.1	K11471
OALVG00000001844.1	K11791
OALVG00000001845.1	K17921
OALVG00000001849.1	K22808
OALVG00000001849.1	K06867
OALVG00000001854.1	K00861
OALVG00000001855.1	K02939
OALVG00000001856.1	K22560
OALVG00000001876.1	K12399
OALVG00000001877.1	K00456
OALVG00000001878.1	K08773
OALVG00000001879.1	K16728
OALVG00000001881.1	K18708
OALVG00000001882.1	K06634
OALVG00000001884.2	K13887
OALVG00000001886.1	K00873
OALVG00000001887.1	K00831
OALVG00000001888.1	K21138
OALVG00000001889.1	K25065
OALVG00000001894.1	K01590
OALVG00000001894.1	K01593
OALVG00000001899.1	K13280
OALVG00000001907.1	K10283
OALVG00000001908.1	K08889
OALVG00000001912.1	K01231
OALVG00000001913.1	K18449
OALVG00000001913.1	K01514
OALVG00000001914.1	K01231
OALVG00000001916.1	K15085
OALVG00000001918.1	K07112
OALVG00000001918.1	K01992
OALVG00000001919.1	K05677
OALVG00000001919.1	K01992
OALVG00000001922.1	K00993
OALVG00000001923.1	K20402
OALVG00000001924.1	K11271
OALVG00000001929.1	K04416
OALVG00000001941.1	K01841
OALVG00000001942.1	K09459
OALVG00000001944.1	K12472
OALVG00000001948.1	K14296
OALVG00000001954.1	K14805
OALVG00000001955.1	K22817
OALVG00000001956.1	K22817
OALVG00000001961.1	K22792
OALVG00000001966.1	K03123
OALVG00000001971.2	K21852
OALVG00000001977.2	K03127
OALVG00000001980.1	K11662
OALVG00000001993.1	K12876
OALVG00000001994.1	K24762
OALVG00000001999.1	K26117
OALVG00000002004.1	K13105
OALVG00000002005.3	K04497
OALVG00000002007.1	K11125
OALVG00000002008.1	K11125
OALVG00000002012.1	K06823
OALVG00000002014.1	K08202
OALVG00000002016.1	K00261
OALVG00000002020.1	K08283
OALVG00000002026.1	K03234
OALVG00000002027.1	K00021
OALVG00000002028.1	K18674
