Orthogroup	Panther_annotation
OG0000555	 OS03G0108700 PROTEIN
OG0001088	 NO HIT
OG0001465	 SUBFAMILY NOT NAMED
OG0002343	 SUBFAMILY NOT NAMED
OG0002459	 SUBFAMILY NOT NAMED
OG0002604	 NO HIT
OG0004955	 PHARYNX AND INTESTINE IN EXCESS PROTEIN 1
OG0005500	 FAMILY NOT NAMED
OG0006613	 SUBFAMILY NOT NAMED
OG0006614	 SUBFAMILY NOT NAMED
OG0007149	 EXPRESSED PROTEIN
OG0007150	 NO HIT
OG0007630	 SUBFAMILY NOT NAMED
OG0008434	 NO HIT
OG0008763	 SERINE PROTEASE HTRA2 MITOCHONDRIAL
OG0008764	 SUBFAMILY NOT NAMED
OG0009360	 NO HIT
OG0009361	 NO HIT
OG0009362	 GROUP 3 LEA PROTEIN
OG0009991	 SUBFAMILY NOT NAMED
OG0009992	 SUBFAMILY NOT NAMED
OG0009993	 NO HIT
OG0009994	 NO HIT
OG0009995	 NO HIT
OG0009996	 INTEGRAL MEMBRANE PROTEIN
OG0009997	 NO HIT
OG0010280	 NO HIT
OG0010281	 SARCOMA ANTIGEN NY-SAR-23
OG0010282	 NO HIT
OG0010283	 BNAA01G33610D PROTEIN
OG0010558	 NO HIT
OG0010559	 NO HIT
OG0010560	 CLAUDIN-1
OG0010853	 NO HIT
OG0011469	 NO HIT
OG0011470	 BNAA03G53850D PROTEIN
OG0011471	 BLR1117 PROTEIN
OG0011797	 SUBFAMILY NOT NAMED
OG0011798	 NO HIT
OG0011799	 EXPANSIN
OG0011800	 UNCHARACTERIZED
OG0011801	 NO HIT
OG0011802	 NO HIT
OG0012178	 NO HIT
OG0012640	 NO HIT
OG0012641	 ELONGATION FACTOR TU DOMAIN 2 PROTEIN
OG0013166	 CYCLIN-A3-2
OG0013167	 GUANINE NUCLEOTIDE-BINDING PROTEIN G(I)/G(S)/G(O) SUBUNIT GAMMA-3
OG0013168	 NO HIT
OG0013169	 NO HIT
OG0013170	 PYRROLINE-5-CARBOXYLATE REDUCTASE 3
OG0013171	 OS08G0543275 PROTEIN
OG0013826	 OSJNBB0070J16.10 PROTEIN
OG0013828	 METAL DEPENDENT HYDROLASE - RELATED
OG0013829	 PROTEIN CBG16847
OG0013830	 SUBFAMILY NOT NAMED
OG0013831	 NO HIT
OG0014596	 NO HIT
OG0014597	 NO HIT
OG0014598	 FAMILY NOT NAMED
OG0014599	 PROTEIN NIPSNAP
OG0014600	 NO HIT
OG0014601	 NO HIT
OG0014602	 NO HIT
OG0014603	 KERATIN ULTRA HIGH-SULFUR MATRIX PROTEIN-LIKE
OG0014604	 PEPTIDYL-PROLYL CIS-TRANS ISOMERASE
OG0014605	 MYB-LIKE PROTEIN V
OG0014606	 NO HIT
OG0015557	 SUBFAMILY NOT NAMED
OG0015558	 NO HIT
OG0015559	 NO HIT
OG0015560	 SUBFAMILY NOT NAMED
OG0015561	 SUBFAMILY NOT NAMED
OG0015563	 SUBFAMILY NOT NAMED
OG0015564	 NO HIT
OG0015565	 PERIAXIN
OG0015566	 BNAC05G34980D PROTEIN
OG0016716	 SUBFAMILY NOT NAMED
OG0016717	 NO HIT
OG0016718	 SUBFAMILY NOT NAMED
OG0016719	 FI02047P-RELATED
OG0016720	 FAMILY NOT NAMED
OG0016721	 SUBFAMILY NOT NAMED
OG0016722	 SUBFAMILY NOT NAMED
