Orthogroup	Panther_annotation
OG0000833	 LOC100135371 PROTEIN
OG0000901	 ZINC FINGER PROTEIN 766-RELATED
OG0000923	 SIDESTEP PROTEIN
OG0000953	 NO HIT
OG0001406	 FAMILY NOT NAMED
OG0001463	 SUBFAMILY NOT NAMED
OG0002954	 TRACE AMINE-ASSOCIATED RECEPTOR 19N
OG0004087	 SUBFAMILY NOT NAMED
OG0004466	 LRAT-LIKE DOMAIN
OG0005492	 NOTCH 3
OG0005493	 TOLL-LIKE RECEPTOR 4
OG0006603	 VITELLOGENIN RECEPTOR-LIKE PROTEIN-RELATED
OG0006605	 NO HIT
OG0006606	 NO HIT
OG0007621	 G-PROTEIN COUPLED RECEPTOR
OG0007622	 NO HIT
OG0007623	 SUBFAMILY NOT NAMED
OG0007624	 SUBFAMILY NOT NAMED
OG0008033	 PROTEIN CAPPUCCINO
OG0008424	 SUBFAMILY NOT NAMED
OG0008425	 SI:CH1073-291C23.2
OG0008754	 CLASS II MAJOR HISTOCOMPATIBILITY COMPLEX TRANSACTIVATOR
OG0009070	 FAMILY NOT NAMED
OG0009071	 NO HIT
OG0009072	 SORBIN AND SH3 DOMAIN-CONTAINING 3
OG0009649	 RAN GTPASE-ACTIVATING PROTEIN 1
OG0009651	 NO HIT
OG0009652	 FAMILY NOT NAMED
OG0009654	 CARBOHYDRATE SULFOTRANSFERASE
OG0009655	 MONOCARBOXYLATE TRANSPORTER 5
OG0009973	 SUSHI NIDOGEN AND EGF-LIKE DOMAIN-CONTAINING PROTEIN 1
OG0009974	 NO HIT
OG0009976	 CALCIUM-BINDING PROTEIN CML34-RELATED
OG0009977	 GALACTOSIDE 2-L-FUCOSYLTRANSFERASE
OG0009978	 NO HIT
OG0010255	 SUBFAMILY NOT NAMED
OG0010256	 SUBFAMILY NOT NAMED
OG0010532	 RECEPTOR-TYPE TYROSINE-PROTEIN PHOSPHATASE
OG0010535	 SUBFAMILY NOT NAMED
OG0010823	 TRANSFORMING GROWTH FACTOR ALPHA
OG0010824	 OVOCHYMASE 1
OG0010825	 THIOESTERASE 1/PROTEASE 1/LYSOPHOSPHOLIPASE L1
OG0010827	 NO HIT
OG0011124	 SUBFAMILY NOT NAMED
OG0011125	 NO HIT
OG0011128	 SLIT RELATED LEUCINE-RICH REPEAT NEURONAL PROTEIN
OG0011130	 PHOSPHATIDYLETHANOLAMINE BINDING PROTEIN
OG0011132	 ARMADILLO-TYPE FOLD-RELATED
OG0011134	 SUBFAMILY NOT NAMED
OG0011421	 ATP-BINDING CASSETTE SUB-FAMILY A (ABC1) MEMBER 14
OG0011423	 TRANSMEMBRANE PROTEASE SERINE
OG0011425	 FAMILY NOT NAMED
OG0011755	 NO HIT
OG0011756	 PENTRAXIN
OG0011757	 RAN GTPASE-ACTIVATING PROTEIN 1
OG0011759	 TRACE AMINE-ASSOCIATED RECEPTOR 19N-RELATED
OG0011762	 USHERIN
OG0011763	 BLR2807 PROTEIN
OG0011764	 PROTEIN CBG12474
OG0012124	 TOLL-LIKE RECEPTOR
OG0012125	 NO HIT
OG0012127	 LEISHMANOLYSIN-LIKE PEPTIDASE
OG0012128	 NF-KAPPA-B-REPRESSING FACTOR-RELATED
OG0012130	 VITELLOGENIN RECEPTOR-LIKE PROTEIN-RELATED-RELATED
OG0012132	 N-ACETYLTRANSFERASE ACA1
OG0012136	 COLLAGEN-RELATED
